1150s 这正是这件事情的可笑可悲之处
1154s 你父陶谦原本是想向那曹操献媚
1156s 不料想弄巧成拙画虎没成
1158s 不料想弄巧成拙画虎没成
1160s 反类其犬
1162s 致使你们两家反目成仇
1164s 兵戎相见
1170s 堂堂的朝廷命官
1174s 一州之长尊
1178s 居然做出了这种荒唐的事情
1182s 恕许攸直言
1184s 这件事情实在是思蠢之极
1192s 我家主公袁绍袁本初
1196s 声振寰宇威名满天下
1198s 声振寰宇威名满天下
1202s 我家主公总不能在你父陶谦
1204s 我家主公总不能在你父陶谦
1206s 做出了这等可笑可悲的事之后
1210s 再荒唐的添上一些可叹和可怜吧
1212s 再荒唐的添上一些可叹和可怜吧
1214s 再荒唐的添上一些可叹和可怜吧
1222s 恕不远送
1230s 冀州袁绍不肯发兵相助
1232s 南阳袁术虽然肯发兵拒曹
1236s 但他却让家父割让武宁
1238s 泗水两郡之地作为酬谢
1240s 二袁原本与家父相交最深
1244s 但在紧要关头却都婉言推辞
1248s 公孙将军家父的生死
1252s 和徐州城五十三万百姓的存亡
1254s 就仰仗将军了
1256s 曹操一旦得了徐州
1258s 必然会图谋中原
1260s 进而会与袁氏二雄争天下
1262s 进而会与袁氏二雄争天下
1264s 袁绍和袁术
1266s 都知道曹操得势之后的后果
1272s 自己坐观成败
1274s 以取渔翁之利呀
1276s 这对堂兄弟
1278s 可谓是一对笑面虎
1282s 两人之间早晚必有一场恶斗
1284s 公孙将军我求你快快发兵
1286s 救救徐州城吧
1290s 报募主公
1292s 报募主公
1296s 玄德老弟来了陶侄啊
1298s 你且下去歇息
1300s 待我和玄德商议之后
1314s 贤弟啊你且看一下
1316s 陶谦发给我的求援信
1320s 曹操亲率五万大军攻打徐州
1322s 曹操亲率五万大军攻打徐州
1324s 陶谦危在旦夕
1328s 你说我是救陶谦呢
1336s 敢问将军的意思是
1342s 但是我现在是兵少将弱
1344s 但是我现在是兵少将弱
1348s 再说了袁绍和袁术
1354s 我哪有能力救徐州啊
1356s 即便是我全军出援
1360s 而且侥幸成功了我得到了什么
1362s 我只不过是得到像陶谦这般弱友
1364s 我只不过是得到像陶谦这般弱友
1366s 却结下了像曹操袁绍这样的强敌
1368s 却结下了像曹操袁绍这样的强敌
1372s 不值啊不智啊
1374s 将军所言在下万万不敢苟同
1376s 将军所言在下万万不敢苟同
1378s 陶恭祖为先帝钦命忠义厚道
1380s 陶恭祖为先帝钦命忠义厚道
1382s 治徐州多年贤名远播
1384s 曹孟德以报父仇为名趁火打劫
1386s 曹孟德以报父仇为名趁火打劫
1388s 图谋徐州六郡
1390s 虽说是乱世争雄各凭实力
1392s 虽说是乱世争雄各凭实力
1396s 最终必定是得人心者方能得天下
1398s 最终必定是得人心者方能得天下
1400s 在下此次前来就是来和将军辞行的
1402s 在下此次前来就是来和将军辞行的
1406s 我要去徐州援救陶谦
1408s 我说刘备啊你才有多少兵马啊
1410s 我说刘备啊你才有多少兵马啊
1412s 区区两三千人
1414s 竟敢去破曹操的五万大军
1418s 你这可是以卵击石哦
1422s 他曹操也未必就是石头
1426s 也罢既然你非得要去
1428s 也罢既然你非得要去
1430s 那我就借给你精兵三千
1432s 稍壮声势
1440s 在下不要将军任何兵马
1444s 只向将军借一个人
1450s 常山赵子龙
1458s 你为何独独要借赵云
1460s 世人只知道吕布名冠天下
1464s 却并不知道赵子龙之勇
1466s 远胜于匹夫吕布
1474s 你愿意跟随刘备去援救徐州吗
1476s 你愿意跟随刘备去援救徐州吗
1486s 你们两个啊是英雄相惜
1492s 好子龙啊
1494s 那你就随刘备去吧
1498s 谢将军
1500s 谢将军
1504s 公孙将军虽有数万将士
1506s 但真正的英雄只有子龙一个
1508s 其实在下对玄德君的人品
1510s 早已是仰慕已久从今以后
1512s 只要主公一声令下
1514s 在下赴汤蹈火在所不辞
1516s 好子龙从此
1518s 刘关张赵就是四兄弟了你意如何
1520s 谢主公大恩
1524s 子龙我们赶紧赶回平原县
1526s 明日一早奔赴徐州我估计
1528s 陶谦支持不了多久
1530s 只怕三五日之内便会破城
1532s 遵命在下有一事不解
1534s 遵命在下有一事不解
1538s 袁绍袁术坐拥几十万大军
1540s 却彼此观望
1542s 不肯发兵援助徐州
1544s 主公兵不过两干
1546s 将不过关张赵
1548s 却何以敢对抗曹操呢
1550s 好问得好子龙若不问
1552s 好问得好子龙若不问
1554s 我早晚也会告诉你方今天下
1556s 各路英雄豪杰
1558s 皆以兵马权谋称霸一方
1560s 而我刘备在兵马上远不如他们
1562s 但我有两样是他们没有的
1564s 其一我以仁义为立身之本
1566s 其一我以仁义为立身之本
1568s 因为天下大乱首先在于人心丧乱
1570s 因为天下大乱首先在于人心丧乱
1572s 欲治乱世必先收人心
1574s 我必须以仁抗不仁以义拒不义
1576s 我必须以仁抗不仁以义拒不义
1578s 其二我身为汉皇后裔
1580s 除贼扶汉是我毕生心愿
1584s 那陶谦是先帝钦命素以仁义治政
1588s 我助他便是扶汉
1590s 而曹操名为报父仇实为取徐州
1592s 而曹操名为报父仇实为取徐州
1594s 意在取天下耿耿野心路人皆知
1596s 意在取天下耿耿野心路人皆知
1598s 我举兵抗曹便是以仁抗不仁
1600s 我举兵抗曹便是以仁抗不仁
1602s 以天下大义拒枭雄之不义
1606s 世人也能看见一件事情
1610s 正道不灭大义永存
1612s 正道不灭大义永存
1632s 主公探马来报
1634s 袁绍袁术刘表
1636s 公孙瓒等各路诸侯
1638s 都不愿意出兵援助陶谦
1642s 果然不出我之所料
1644s 没有人愿意为了一个陶谦
1646s 跟我为敌
1650s 徐州是我们的囊中之物了
1654s 好好啊
1658s 攻城的器械大部分也到位了
1662s 明日中午开始攻城
1664s 还有一件事令在下不安
1672s 说南郊一带发现吕布的兵马
1678s 吕布败军之将丧主之徒
1680s 吕布败军之将丧主之徒
1682s 吕布败军之将丧主之徒
1688s 难道他敢攻我的充州大营
1690s 难道他敢攻我的究州大营
1692s 主公善用兵者不虑胜先虑败
1694s 主公善用兵者不虑胜先虑败
1700s 充州可是我们的大本营啊
1704s 都带来打徐州了
1708s 兖州几乎是座空城
1710s 主公吕布可是骁勇异常啊
1712s 主公吕布可是骁勇异常啊
1714s 吕布虽勇
1716s 贪而好利勇而无谋
1720s 连袁绍袁术都不敢动我的
1722s 充州大营他敢吗
1724s 再说了
1726s 我估计三日之内
1730s 城一破
1732s 我就令许褚带领两万精兵
1734s 回防充州大营
1738s 许褚早就想跟吕布大战三百合了
1744s 从地图上看主公的心思
1746s 从地图上看主公的心思
1748s 似乎已超出了徐州啦
