300s 却只能龟居于充州一
304s 主公要想成天下大业
306s 首先要图霸中原
308s 首先要图霸中原
310s 中原首望之地
312s 当数徐州六郡因此
314s 当数徐州六郡因此
316s 主公心里头早就记着徐州了
318s 主公心里头早就记着徐州了
320s 否则的话
322s 主公刚才的痛哭声中
324s 怎么会带有这么凛然的杀机呢
326s 怎么会带有这么凛然的杀机呢
330s 让你说着了
334s 我就是想让他们
336s 把我的悲伤之情传出去
338s 传给天下的诸侯
340s 陶谦杀了我爹
346s 此时此刻
348s 这个消息已经顺风传出百里开外
354s 但是主公啊徐州并不好取
358s 在下以为取徐州有两难
360s 在下以为取徐州有两难
364s 徐州刺史陶谦乃先帝钦命
366s 徐州刺史陶谦乃先帝钦命
368s 此人治政以宽仁为本
370s 驭民以厚道著称
374s 官声的口碑嘛也堪称上佳
378s 因此取之不易
384s 平原的公孙瓒
386s 甚至连荆州的刘表
388s 都对徐州是垂涎三尺
392s 他们只是望而止步探而不取
394s 就是怕触犯众怒
396s 树敌于各路诸侯啊
406s 那你说我是取呢还是不取
408s 那你说我是取呢还是不取
412s 陶谦命部下杀害主公家父
414s 此仇不报天理难容啊
416s 此仇不报天理难容啊
418s 此外陶谦厚道近乎迁腐
424s 像这样的人他能配据有徐州嘛
428s 徐州是乃中原重镇
430s 黄河而望泰山
432s 得之可纵横南北
436s 苍天送徐州给主公
438s 如同送一杆大旗给狂风
442s 送一把宝剑给剑鞘
444s 主公不取何待
454s 或听你讲话如饮美酒
456s 或听你讲话如饮美酒
460s 令人陶醉呀
466s 简直是一种享受
472s 主公在下建议
476s 主公即刻上疏朝廷
478s 奏明陶谦之罪
480s 到袁绍袁术公孙瓒处去报丧
482s 到袁绍袁术公孙瓒处去报丧
484s 让各路诸侯都知道
486s 陶谦杀害了主公家父
488s 此讯一到
490s 他们也就都明白了
492s 到那个时候
494s 主公起兵去讨贼
496s 那是奉旨讨贼啊
498s 上合天意下合人情中合道义
500s 上合天意下合人情中合道义
504s 为此这徐州非主公莫属了
506s 为此这徐州非主公莫属了
520s 我嘛床因为悲伤过度不能执笔
522s 我嘛床因为悲伤过度不能执笔
526s 就劳你代拟一道哀疏
528s 在上奏朝廷的同时
530s 飞马传送给各路诸侯
532s 表明杀父之仇
534s 表明杀父之仇
536s 和被迫起兵报仇
540s 此疏在下已拟好
542s 请主公过目
546s 不必了你写的东西
548s 肯定是字字句句皆合我意
550s 传命三军
552s 明日辰时起兵讨伐陶谦
554s 明日辰时起兵讨伐陶谦
562s 主公啊此次出征
564s 你为什么不分派好谁为先锋
566s 谁为中军谁为后应啊
570s 以往出征
572s 都是先分配好谁为先锋
576s 怎么说打就打了
578s 那是因为这回与以往不同
580s 我是要为父报仇怒火满腔
582s 我已经乱了方寸了
588s 所以我的五万大军全都是先锋
590s 我们要一鼓作气拿下徐州
594s 袁绍袁术等诸侯
596s 在接到主公的哀疏同时
598s 很可能也会接到陶谦的求援书信
600s 就袁绍的心性而言
602s 他要犹豫几天
604s 拿不定主意是帮助陶谦好呢
606s 还是保持中立
608s 我们一定要拿下徐州
610s 造成既成事实
612s 你听听荀或说得多好
614s 比我自个儿说得都好
616s 末将明白了
618s 我不能和主公相提并论
620s 我是跟着主公时间长了
622s 多学了一些教益
628s 荀或你是怕我嫉你吗
640s 不就是嫉妒我自个儿吗
644s 主公的一席话真是令人陶醉
646s 主公的一席话真是令人陶醉
682s 曹孟德亲率大军征讨
684s 曹孟德亲率大军征讨
686s 陶谦自知不敌
688s 陶谦自知不敌
690s 只得出城气罪
692s 只得出城气罪
696s 曹老太爷路经徐州时
698s 曹老太爷路经徐州时
700s 我想借此机会结交你
702s 我想借此机会结交你
704s 我想借此机会结交你
706s 所以我们全家老少像伺候王公
708s 所以我们全家老少像伺候王公
712s 像伺候自己的父亲那样
714s 伺候曹老太爷
720s 我赠送了价值十万钱的礼品
724s 并派部将张闾护送
728s 万不料此人恶行未改
730s 万不料此人恶行未改
732s 万不料此人恶行未改
734s 杀害了曹老太爷
738s 使我铸成了大错
740s 陷于无义之绝境
742s 陷于无义之绝境
746s 因此我们全家老少
748s 因此我们全家老少
