750s 和徐州城的老少
754s 都在为曹老太爷服孝
756s 都在为曹老太爷服孝
766s 我陶谦虽然身患重病
768s 我陶谦虽然身患重病
774s 捉拿恶贼张间
776s 亲手交给你
778s 把他刷心取肝
782s 祭奠曹老太爷的在天之灵
784s 祭奠曹老太爷的在天之灵
788s 杀父之仇不共戴天
794s 在下虽然有罪
798s 但出于有意献宠
800s 无心获罪呀
804s 气求曹公看在这一节上
806s 稍恕我罪
808s 暂且退兵容我杀贼自赎
810s 暂且退兵容我杀贼自赎
812s 暂且退兵容我杀贼自赎
816s 对了从今年起
818s 徐州府愿意每年向贵部提供
822s 二十万粮饱
824s 你是想收买我
826s 不不不我不是这个意思
828s 那你是什么意思
832s 陶谦
834s 你不仅纵使部下杀害我父
838s 还暗中勾结袁绍谋我充州
842s 妄想与他人共分我的属地
844s 曹孟德啊
848s 世人皆知我陶谦向无大志
850s 世人皆知我陶谦向无大志
852s 我何曾贪恋过别人的城池啊
854s 我何曾贪恋过别人的城池啊
856s 你瞒得了别人瞒不了我
858s 陶谦
860s 你一向都是故作韬晦
862s 虚伪险恶我跟你明说了吧
866s 今日我就不杀你
868s 赶紧回去备战
870s 两日之后我要拿下徐州
872s 曹孟德我陶谦也是一方刺史
874s 曹孟德我陶谦也是一方刺史
876s 曹孟德我陶谦也是一方刺史
878s 身受皇命世受国恩
882s 其实我比你父亲还大一岁哪
884s 其实我比你父亲还大一岁哪
886s 我奴颜卑膝地向你气罪
888s 我奴颜卑膝地向你气罪
890s 都到这个地步了
892s 都气到这个地步了
894s 你还不放过我吗
896s 你还不放过我吗
898s 你非要强占徐州
902s 非要逼我徐州数十万军民
906s 以死相抗吗
910s 我要取你的首级祭奠家父
914s 阁下如果知趣
916s 回家洗净了脖子等着
920s 转告徐州城中的百姓
924s 破城之后我不会屠城
926s 凡为我父服丧者
928s 都可以免死
958s 主公你为何不下令趁势攻城啊
960s 你不是让我们一鼓作气
970s 因为我发现
974s 陶谦比我想象中的要厉害啊
978s 我刚才仔细看了
980s 虽然他的城关遍插白旗
982s 虽然他的城关遍插白旗
984s 但是每一杆白旗下头
986s 都暗藏着强弓硬弩
990s 你看他表面上对我奴颜卑膝
994s 实则故作韬酶暗藏杀机
998s 他们一定做好了守城的准备
1002s 而且城里的军民
1004s 也一定会跟他共存亡
1008s 不过是八千守军
1012s 他除了八千守军
1014s 还有几十万百姓哪
1018s 陶谦素以仁爱治民
1020s 大难临头
1022s 百姓们多会效命
1024s 你再看他的城关
1028s 高三丈有余坚固无比
1032s 我们的人虽多但多是轻骑
1034s 如果强攻势必伤亡太大
1038s 我答应给他们两天时间
1040s 因为我们攻城的器械
1042s 要两天之后才能到达
1044s 那时再攻就可一鼓作气
1046s 那时再攻就可一鼓作气
1052s 传命下去
1056s 就说陶谦已经吓得肝胆都破碎了
1058s 就说陶谦已经吓得肝胆都破碎了
1064s 让将士们歇息两天
1066s 第三天日出时分
1068s 各部合力攻城
1078s 冀州
1094s 陶使君写给我家主公的信
1096s 我家主公已经详细地阅过了
1098s 我家主公已经详细地阅过了
1100s 袁将军何时发兵啊
1104s 什么发兵不不不
1106s 我家主公考虑再三
1108s 还是不能发兵相救
1112s 在你来冀州求救之前
1114s 那曹操的哀疏已经到了冀州
1116s 那曹操的哀疏已经到了冀州
1118s 疏上写得分明
1120s 这杀父之仇可是不共戴天啊
1122s 这杀父之仇可是不共戴天啊
1124s 这杀父之仇可是不共戴天啊
1128s 我家主公若是在此时此刻
1130s 又为此事而发兵相救
1136s 实在是出师无名啊
1138s 许大人
1140s 我父亲从未纵使张闾杀害曹嵩啊
1144s 相反他之所以派人去护送曹嵩
1146s 他是想结交曹操啊
1150s 这正是这件事情的可笑可悲之处
1154s 你父陶谦原本是想向那曹操献媚
1156s 不料想弄巧成拙画虎没成
1158s 不料想弄巧成拙画虎没成
1160s 反类其犬
1162s 致使你们两家反目成仇
1164s 兵戎相见
1170s 堂堂的朝廷命官
1174s 一州之长尊
1178s 居然做出了这种荒唐的事情
1182s 恕许攸直言
1184s 这件事情实在是思蠢之极
1192s 我家主公袁绍袁本初
1196s 声振寰宇威名满天下
1198s 声振寰宇威名满天下
1202s 我家主公总不能在你父陶谦
1204s 我家主公总不能在你父陶谦
1206s 做出了这等可笑可悲的事之后
1210s 再荒唐的添上一些可叹和可怜吧
1212s 再荒唐的添上一些可叹和可怜吧
1214s 再荒唐的添上一些可叹和可怜吧
1222s 恕不远送
1230s 冀州袁绍不肯发兵相助
1232s 南阳袁术虽然肯发兵拒曹
1236s 但他却让家父割让武宁
1238s 泗水两郡之地作为酬谢
1240s 二袁原本与家父相交最深
1244s 但在紧要关头却都婉言推辞
1248s 公孙将军家父的生死
1252s 和徐州城五十三万百姓的存亡
1254s 就仰仗将军了
1256s 曹操一旦得了徐州
1258s 必然会图谋中原
1260s 进而会与袁氏二雄争天下
1262s 进而会与袁氏二雄争天下
1264s 袁绍和袁术
1266s 都知道曹操得势之后的后果
1272s 自己坐观成败
1274s 以取渔翁之利呀
1276s 这对堂兄弟
1278s 可谓是一对笑面虎
1282s 两人之间早晚必有一场恶斗
1284s 公孙将军我求你快快发兵
1286s 救救徐州城吧
1290s 报募主公
1292s 报募主公
1296s 玄德老弟来了陶侄啊
1298s 你且下去歇息
