800s 你竟然还没有出兵
815s 庐江距此八百多里
818s 一来一往最少也要二十天
821s 庐江太守陆康拥军上万
824s 踞城坚守
827s 你孙策就是再善战
836s 主公
839s 这是庐江太守陆康的首级
851s 你你真把庐江城拿下来了
854s 此时此刻
857s 庐江两郡四县五座城池
860s 已经全部归属主公
869s 你是怎么把它攻下来的
872s 末将接到命令后
875s 当天就率领五千轻骑
878s 星夜兼程奔赴庐江
884s 陆康还没有来得及设防
887s 就已经被我攻下城池
893s 那那我借给你那三万精兵
896s 主公借给我的三万精兵
905s 望主公见谅
929s 有过之而无不及啊
932s 我有孙郎在何愁吕布
953s 死而无憾哪
956s 谢主公嘉奖
962s 我要为孙郎庆功
971s 末将想去坟前祭奠一番
980s 好啊等你祭父回来
1004s 黄叔
1007s 公子你还是叫我黄盖吧
1013s 刚才在大堂上
1019s 他的话外之音吗
1022s 什么话外之音
1028s 如能有孙郎如子
1031s 他言下之意是
1037s 这个我听出来了
1040s 那公子的意思是
1046s 袁氏宗族四世三公
1049s 天下奇才半出其门
1052s 多少人想攀附却苦于无门
1055s 袁术更是拥兵三十余万
1058s 久怀帝王之志
1061s 他早晚会成大业的
1070s 袁术他不配做我的义父
1079s 公子一言英雄本色啊
1085s 公子
1088s 当年
1091s 先将军孙坚视我如兄弟
1094s 无论何时何地
1097s 如果需要在下效力
1109s 黄叔我记下了
1121s 安王昌药
1124s 警明文
1127s 父亲孩儿看您来了
1130s 父亲孩儿看您来了
1133s 你归天之后
1136s 母亲和孩儿迁居曲阿
1142s 时受各地诸侯欺凌
1145s 旧日将士星散
1148s 家产凋零
1157s 孩儿也不得不归从袁术
1160s 孩儿未能继承你的英雄大业
1166s 孩儿向你请罪
1184s 如不拔剑而起建功立业
1187s 岂不愧对先父天灵
1211s 孙策啊
1214s 我从庐江城就开始追你
1217s 足足追了八百多里
1220s 今天总算是追上你了
1223s 我就让你再追我八百里
1250s 我母亲悲伤过度
1253s 也跟随父亲而去了
1262s 飘然一人了
1274s 全部换成了钱粮
1277s 前来投奔你了
1283s 我愿跟你一同实现昔日的誓言
1298s 今天是我十年来最高兴的一天
1313s 首先你必须要脱离袁术
1319s 我只是担心他会舍不得放我走
1334s 你说得倒是潇酒洒啊
1337s 但你知道吗
1346s 都对它梦寐以求
1352s 大丈夫手提三尺剑即可纵横天下
1355s 何客区区俗物
1364s 他也说这玉蟹是祸水
1367s 留之有害而无益
1376s 这孙权到哪儿去了
1385s 现在正在各处遍访贤士
1400s 我母亲在书信里说
1403s 扬州刺史刘逼迫日近
1406s 要将我全家赶出曲阿
1412s 我舅父险些被他谋害
1415s 主公我想向你借一些兵马
1418s 前去曲阿救难省亲
1421s 请主公恩准
1433s 来去路上也得不少日子啊
1442s 我这里大战在即啊
1457s 我派人到曲阿
1460s 把你母亲接到南阳来住
1463s 我保证她富贵终生
1466s 主公曲阿是故土
1475s 求主公让我去吧
1490s 也罢你执意要去
1493s 那就快去快回吧
1496s 不过借将士的事儿
1505s 我这大战在即啊
1520s 我愿以它为质
1523s 玉玺为质是啊是啊
1550s 果然是传国玉蟹
1562s 今日终得一见哪
1568s 你要多少将士
1574s 程普黄盖韩当祖茂
1583s 不是令尊孙坚的旧部吗
1589s 他们不只是先父的旧将
1598s 程普黄盖韩当祖茂
1604s 你们愿意随孙策前去吗
1622s 好那你们就跟他去吧
1640s 你们有半个时辰回家收拾物品
1643s 我在城门外面等你们
1646s 公子真的有这么紧急吗
1652s 目前我还不想和他反目成仇
1676s 得此玉玺便是得天意啊
1682s 即位九五成帝王大业
1688s 请我主公成帝王大业
1694s 我看成大业只怕是孙策
1697s 我看成大业只怕是孙策
1700s 他不但不会回到你的身边
1703s 还会成为主公的大敌
1706s 先生此话什么意思啊
1709s 孙策用区区一块石头
1712s 黄程韩祖四员大将
1715s 而他们都是其父孙坚
1724s 主公难道就没有看出他的志向吗
1727s 主公难道就没有看出他的志向吗
1736s 背后有高人指点啊
1742s 孙策宁可舍弃玉玺
1751s 孙策有志向没有实力
1757s 就凭他现在区区几千人马
1763s 但愿主公说的是对的
1775s 驾驾驾驾
1832s 先生你看我
1838s 人已年过花甲满面苍桑
1841s 年华将逝来日无多啊
1844s 我要再不创立大位
1847s 以后就没有时间完成心愿了
1850s 等我即位后
1853s 一定拜先生为国师
1856s 一人之下万人之上
1859s 青史扬名啊
1862s 先生不要再劝了
1868s 在下生性固执
1871s 宁可直言死于谏
1877s 你万万不可做皇帝
1883s 当年高皇帝刘邦
1886s 官位不过泗上一亭长
1889s 手中不过三尺剑
1892s 随从不过数十人
1898s 现在汉廷已延年四百年
