1200s 其用意和袁术娶亲是一样
1204s 就是要把你绑在他的战车上
1208s 是是是
1212s 发不发兵啊
1214s 当然受封但不可发兵
1216s 当然受封但不可发兵
1218s 我们要坐观曹袁的胜败
1252s 主公何事召我
1268s 此处就是我们
1270s 诏令讨贼王师集结的地方
1272s 诏令讨贼王师集结的地方
1278s 那些奉诏的诸侯
1284s 对主公应早有预料
1290s 可是我没有预料到的是
1292s 有一个人他算不上什么诸候
1294s 有一个人他算不上什么诸候
1298s 却率领了区区几千兵马前来助战
1300s 却率领了区区几千兵马前来助战
1308s 我倒把此人给忘了
1310s 刘备乃汉室后裔
1316s 那当然他最恨贼子篡立
1320s 不满你说
1324s 我怎么也没料到他会来
1332s 把你叫来就是想问问你
1334s 我是应该用他呢
1336s 还是应该杀他
1348s 刘备素有英雄大志
1350s 主公应杀之以防后患
1356s 知道了你去吧叫郭嘉来
1358s 知道了你去吧巴叫郭嘉来
1374s 大哥
1376s 我们赶了五百里到这里讨贼
1378s 曹贼这厮好大的架子
1382s 竟敢如此慢待我们
1384s 三弟别动
1386s 曹操身为护国大将军
1392s 你总要给他一些时间思量
1410s 叫我杀了刘备以绝后患
1414s 臣以为不妥
1418s 主公率大军讨袁贼
1420s 当以信义行天下
1422s 刘备素有义名
1424s 此次又是主动奉诏带兵助战
1428s 如果主公杀了他
1432s 天下的贤人义士都会裹足止步
1434s 天下的贤人义士都会裹足止步
1436s 再不敢为主公效命
1438s 此时杀一人而失天下人心
1440s 此时杀一人而失天下人心
1442s 臣以为断断不可
1446s 知道了你去吧
1460s 在下晋见主公
1464s 程昱
1468s 刚才郭嘉让我不要杀刘备
1472s 荀或让我杀了他
1474s 你意下如何
1478s 刘备是当世的英雄
1480s 又是主公未来的大患
1484s 在下建议
1486s 主公先用之待用罢之后
1488s 主公先用之待用罢之后
1490s 再杀之以除后患
1496s 好知道了你去吧
1510s 主公是怎么跟你说的
1516s 你先
1518s 二位你们是怎么回答主公的
1520s 二位你们是怎么回答主公的
1522s 我建议主公杀刘备
1524s 我建议主公杀刘备
1528s 我建议主公用刘备
1532s 我建议主公先用之再杀之
1534s 我建议主公先用之再杀之
1538s 主公一向多疑
1542s 我们已经将三种选择交给了主公
1544s 何去何从
1546s 那就由主公自己决断吧
1598s 玄德贤弟我盼你真是望眼欲穿哪
1606s 你看袁术篡逆
1608s 天子诏令各地诸侯举兵除贼
1610s 天子诏令各地诸侯举兵除贼
1612s 可是他们坐观成败
1614s 单等着看我的笑话
1616s 只有你刘玄德带兵前来
1618s 只有你刘玄德带兵前来
1620s 真不愧是皇亲后裔大汉忠良
1622s 真不愧是皇亲后裔大汉忠良
1628s 攻破伪都寿春手刃袁贼
1636s 好功成之后
1638s 我即给天子上表封你为豫州牧
1640s 我即给天子上表封你为豫州牧
1652s 上将军纪灵乔获不敌关羽张飞
1654s 上将军纪灵乔获不敌关羽张飞
1656s 此刻曹操大军已经包围寿春全城
1658s 此刻曹操大军已经包围寿春全城
1660s 南门告急
1662s 西门将士也仍在浴血奋战
1664s 急盼援军
1666s 这可如何是好啊这这
1670s 快快
1672s 令张勋杨奉率虎贯军出战
1674s 令张勋杨奉率虎贯军出战
1676s 令雷薄突破城围
1678s 到淮南去请各镇将军前来歼敌
1680s 到淮南去请各镇将军前来歼敌
1682s 烹陛下曹军兵锋日盛
1684s 烹陛下曹军兵锋日盛
1686s 他们急于速战
1688s 而我们则不可中他的奸计啊
1690s 而我们则不可中他的奸计啊
1692s 锁城避战
1694s 坚守待援方为上策啊
1696s 坚守待援方为上策啊
1706s 不错不错
1708s 不错不错
1710s 曹操远道而来
1714s 粮草不足
1716s 他才急于攻陷寿春
1718s 如果我们再坚持三十天
1730s 是啊对下明鉴
1736s 大军出征已经二十三天
1740s 现在粮食快用尽了
1742s 你还可支应几日
1744s 最多三天
1748s 你务必要支应十日
1750s 那时粮草方可运到
1754s 三日之粮如何才能支应十日啊
1764s 这将士们要是吃不饱肚子
1766s 闹出事情来怎
1768s 我自有良策你照办就行
1776s 来吃饭了
1778s 开饭了开饭了吃饭了
1784s 吃饭了吃饭了
1792s 连肚子都填不饱
1796s 就是就是
1800s 不干了弟兄们都不干了走
1802s 不干了弟兄们都不干了走
1810s 主公这些日子营中怨言四起
1820s 主公召我何事
1824s 想借你一样东西以安军心
1826s 盼你不要怪
1828s 主公想借什么东西
1830s 借你项上人头
1832s 不过此物我只能借不能还了
1834s 不过此物我只能借不能还了
1838s 在下无罪啊主公
1844s 我知道你无罪
1846s 但是不杀你恐怕会激起兵变
1850s 你放心你死后
1852s 你的父母就是我的父母
1854s 我待他们
1856s 会比待自己的父母更孝顺
1858s 你的儿子就是我的儿子
1862s 我待他们会比自己的儿子更亲近
1866s 你的儿子待在你的身边
1870s 这么更有出息
1872s 你说对不对啊
1874s 主公饶命啊主公饶命啊
1876s 主公饶命啊主公饶命啊
1878s 将此人军前正法
1882s 主公饶命啊主公饶命啊主公
1884s 主公饶命啊主公饶命啊主公
1890s 弟兄们你们都看见了吧
1894s 掌粮主薄贪污军粮
1902s 把所有的粮食酒肉都拿出来
1904s 让弟兄们吃饱喝足之后全力攻城
1906s 让弟兄们吃饱喝足之后全力攻城
1910s 三日之内如攻不下寿春
1916s 自本将开始所有人皆斩
1918s 自本将开始所有人皆斩
1928s 点火放
1966s 弟兄们攻城
