1680s 不知道将军说的是哪一个
1688s 乔公有两个女儿
1690s 对长女叫大乔
1692s 二女叫小乔
1694s 她们都喜欢在竹林里练习琴曲
1696s 她们都喜欢在竹林里练习琴曲
1700s 我们只是听到了琴曲
1702s 并未见到弹奏琴曲之人
1706s 只是听到那日弹奏的古曲江南
1710s 既然这样
1712s 我让大乔小乔出来见过二位将军
1714s 一问便知
1722s 世人都说你精通音律
1724s 我看这样好不好
1726s 让大乔和小乔同时弹奏一支曲子
1732s 看看那天在竹林当中弹奏的
1734s 公瑾意下如何
1744s 但不知乔公的二位小姐
1812s 公瑾如何啊
1816s 此曲堪称绝伦
1822s 文区区
1832s 见过二位将军
1834s 区区区
1836s 区区
1838s 世上竟有如此美妙的女子
1854s 主公袁术那个门客
1856s 主公袁术那个门客
1862s 此事公瑾不用多言
1866s 看看我收集的这些琴谱
1878s 主公何时开始喜欢上收集琴谱了
1882s 我也想像公瑾一样
1884s 学习一些音律
1888s 我看伯符
1890s 不是真心要学习音律吧
1900s 看来知我者莫如公瑾也
1902s 看来知我者莫如公瑾也
1906s 那日你我一同去乔家
1908s 那日你我一同去乔家
1912s 你觉得乔公的大乔小乔如何啊
1914s 你觉得乔公的大乔小乔如何啊
1916s 两个人都有伯牙子期之才
1918s 倾国倾城之容
1924s 那公瑾以为
1926s 那公瑾以为
1928s 如果你我兄弟二人
1930s 能娶大乔小乔为妻
1932s 能娶大乔小乔为妻
1934s 如何
1938s 天作之合
1942s 这些琴谱就是聘礼
1944s 这些琴谱就是聘礼
1946s 我要给你我兄弟二人求亲
1970s 今日端午节特赠关将军
1972s 今日端午节特赠关将军
1974s 金五十美玉三件
1976s 钱三千绸缎二十匹
1980s 关羽拜谢丞相
1982s 丞相口谕
1984s 关羽征战多年鞍马徒劳
1986s 应稍事休息
1988s 特赠江南美女十名早晚侍候
1994s 美女万万使不得使不得
1996s 美女万万使不得使不得
1998s 关羽如果说使不得
