1034s 你是何人哪
1038s 小的沛国客商
1040s 复姓皇甫名章
1044s 这几位军爷是认错了人了
1046s 把小的拿来了请大人明察
1050s 曹操曹孟德
1052s 曹操曹孟德
1054s 你竟如此健忘
1058s 两年前我到京师去求官
1062s 当时你架子可是够大的啊
1064s 连我投拜的名刺看都不看
1066s 就让你手下掷还于我
1070s 还顺便送了我一句话
1072s 什么当今奸臣当道
1074s 什么当今奸臣当道
1084s 原来是陈公台
1086s 原来是陈公台
1088s 在下有眼不识圣贤多有得罪
1090s 在下有眼不识圣贤多有得罪
1096s 仍到我府上去求官
1100s 当今奸臣当道
1102s 京官不做也罢
1106s 我气的倒不是你说的这几句话
1108s 我气的是你连面都不见我一见
1112s 曹阿瞒啊曹阿瞒
1114s 你历来是轻狂傲慢狂妄自大
1116s 你历来是轻狂傲慢狂妄自大
1118s 藐视天下
1120s 阶下之囚啦
1122s 不敢与县令大人论天下
1128s 我也不屑于和你这个钦犯
1130s 论什么天下
1136s 和你论天下
1138s 我还不如听听我的叫呢
1146s 跟你论一论柴米油盐的事情
1148s 拿下你曹操的脑袋
1150s 赏千金封万户侯
1152s 赏千金封万户侯
1154s 听清了吗
1156s 千金哪值三十万石谷
1158s 千金哪值三十万石谷
1162s 三百七十五年的官俸
1166s 全县百姓一年的口粮啊
1168s 全县百姓一年的口粮啊
1170s 还要外加上一个万户候
1174s 从今往后
1176s 我陈宫可是要坐拥金山了呀
1178s 我陈宫可是要坐拥金山了呀
1180s 我真是闹不明白
1184s 你连皮带肉也就一百多斤重吧
1186s 怎么会值千金呢
1190s 那悬赏之人是不是瞎了眼晴了
1192s 好了不要再啰唆了
1202s 给我一把快刀免得爷爷遭罪
1204s 给我一把快刀免得爷爷遭罪
1210s 不错
1216s 死到临头了还挺有股子英雄之气
1218s 死到临头了还挺有股子英雄之气
1222s 别着急
1224s 明天一早我就会准备一口坛子
1226s 装上你的脑袋奔赴京师
1230s 不过今天晚上嘛
1232s 好岁你还是我本官的客人
1234s 好岁你还是我本官的客人
1240s 让他尝尝中牟县大牢的厉害
1244s 走走
1260s 大人大人给点吃的吧
1264s 大人放了我吧我没罪
1286s 董卓对你不薄啊
1288s 你为何要刺杀他
1296s 燕雀安知鸿鹄之志
1298s 燕雀安知鸿鸽之志
1300s 我这只燕雀
1302s 倒还真想知道你的鸿鹄之志
1304s 倒还真想知道你的鸿鹄之志
1310s 我历代祖上世食汉禄世受皇恩
1312s 我历代祖上世食汉禄世受皇恩
1314s 我历代祖上世食汉禄世受皇恩
1316s 如果我曹操不思报国
1320s 如今奸贼当道生灵涂炭
1324s 正臣授首仕子蒙羞
1326s 四百年的大汉江山危在旦夕
1332s 就越是英雄辈出之时
1334s 凡我志士仁人都可杀贼建功
1336s 凡我志士仁人都可杀贼建功
1340s 振兴汉室治国平天下
1342s 振兴汉室治国平天下
1344s 而欲救国就必先诛杀董卓
1350s 才不得不屈身事贼以谋求时机
1358s 孟德兄真乃无双国士智勇超群
1360s 孟德兄真乃无双国士智勇超群
1362s 请受陈宫一拜
1378s 大堂之上人多眼杂
1382s 陈宫我不得不折厚你一番
1386s 就算是报我当年登门受辱之愤吧
1390s 知道吗我早就恨透了国贼董卓
1392s 知道吗我早就恨透了国贼董卓
1394s 早就想手提三尺剑手刃国贼
1396s 早就想手提三尺剑手刃国贼
1400s 而恰恰是你做了我想做
1402s 而没有办法做到的事情
1406s 陈宫深表敬佩
1416s 仓煌逃出京师
1418s 亡命于大漠荒野
1422s 虽然刺贼没有成功
1424s 但是孟德兄已经名垂青史
1426s 但是孟德兄已经名垂青史
1428s 不以成败论英雄
1434s 实话说
1438s 对于刺杀这件事我已经后悔了
1452s 我曹操何许人也
1454s 我应该振臂高呼
1456s 召集天下的壮士
1458s 组建剿贼义军
