2004s 你的画像已经传到这儿来了
2006s 我也成了你的从犯
2008s 不过你的头颅值干金
2010s 我这头颅只值五十金
2012s 抱歉我的脑袋太贵
2014s 你的又太便宜
2022s 早就有人易子而食了
2026s 饥民们为了半斗粮谷
2028s 都不惜链而走险卖友求利
2036s 所有人梦嘛以求的猎物啊
2038s 说得是
2040s 你我身负大业
2042s 如果死于鹰犬之手岂不可惜
2044s 咱们绕过这个城镇
2052s 此地离陇山已经不远了
2054s 不奉朝廷号令武装自保
2056s 不奉朝廷号令武装自保
2058s 那儿是不是有个小县叫成皋县
2060s 那儿是不是有个小县叫成皋县
2078s 尔等何人竟敢闯到这儿来
2080s 请问壮士吕伯奢在吗
2086s 就说刺董失败的钦犯曹操
2088s 孟德
2090s 如果提曹操的首级献入京城
2092s 朝廷赏千金封万户侯
2094s 朝廷赏千金封万户侯
2098s 还有中牟县令陈公台
2100s 和曹操一起前来
2102s 如提陈公台的首级献入京城
2104s 如提陈公台的首级献入京城
2106s 朝廷赏五十金
2110s 孟德呀于你这是什么意思啊
2114s 是我父亲的结义兄弟
2116s 此人急公好义绝不会卖友
2120s 相反如果我把底细直接告诉他
2122s 倒会引起他的敬重
2126s 难道你就如此信任这个吕伯奢
2132s 也绝不会信不过吕伯奢
2134s 快开门开门去
2140s 侄儿啊侄儿
2142s 侄儿
2146s 是我啊可是我曹阿瞒哪
2148s 苍天有眼
2150s 你还没死
2152s 真是太好了
2154s 真是你啊太好了
2164s 你父亲举家避难到陈留去了
2166s 我是为你的安危日夜悬心哪
2168s 我是为你的安危日夜悬心哪
2170s 伯父这位是中牟县令陈公台
2172s 伯父这位是中牟县令陈公台
2178s 义士大恩要是没你
2180s 阿他就活不到今天了
2182s 受老夫一拜
2184s 伯父
2186s 伯父高义晚辈十分敬佩
2190s 走走走回家去走走走
2196s 赶紧杀猪宰羊温酒设宴
2202s 已经两天都没有进食了
2204s 阿瞒哪这就是你家
2206s 阿瞒哪这就是你家
2208s 过了风头再走也不迟啊
2210s 吕伯家里没酒了
2214s 到镇上沽好酒
2218s 现在镇上到处都贴满了
2220s 搜拿我们两个人的告示
2222s 要是万一他们有的人贪图赏金
2226s 岂不是给老伯惹祸吗
2228s 伯父我等就不吃酒了
2230s 有碗饭充饥即可
2238s 活酒不叫他们去我自己去
2240s 活酒不叫他们去我自己去
2244s 到我这儿来没酒喝可不行
2246s 来来来来来
2252s 贺二哎
2254s 快点快去把毛驴给我牵过来
2256s 快点啊
2280s 孟德
2282s 快醒醒星你听是什么声音
2288s 不要让那贼货跑了
2290s 快拿刀来把那厮绑起来宰了
2292s 好我去关门你去拿刀
2342s 看来他们想杀了你我二人
2344s 提人头请官领赏
2346s 你不是说过你伯父急公好义
2350s 也不会不信吕伯奢吗
2352s 我是说过这话
2356s 人可以为了半斗粮谷卖友求荣
2358s 如今世风日下人心难料
2360s 你是说吕伯奢到镇上去沽酒
2364s 找官兵来捉拿我们
2366s 断然如此
2374s 杀出一条血路方能脱身
2384s 你们准备好了没有啊
2386s 我刀可是磨好了
2388s 我先进去看看
2390s 进去吧进去吧
2426s 杀人啦杀人啦
2428s 杀人啦杀人啦
2430s 杀人啦
2436s 杀人啦
2470s 我们作孽了
2472s 误会他们了
2476s 他们不是要杀我们是要杀猪
2478s 他们不是要杀我们是要杀猪
