12s aaae
14s 大都督大都督
16s 曹贼无故杀我兄长啊大都督
18s 荆襄旧部无不切齿痛恨
22s 我兄弟特来投奔大都督
24s 为大都督效命杀曹贼
26s 为我兄长报仇啊大都督
30s 荆襄水军也愿意反曹吗
34s 已跟弟兄们相约
36s 大家都愿意奉都督号令
38s 待大战起时一起反曹
44s 真是上天助我
46s 两位兄弟请随我进帐喝酒去
56s 子敬啊公瑾留用蔡氏兄弟了吗
58s 子敬啊公瑾留用蔡氏兄弟了吗
60s 留下了任命为水师将军
62s 留下了任命为水师将军
66s 好有趣有趣
70s 孔明啊
72s 蔡氏兄弟前来相投
78s 我担心二人是奸细
80s 奸细有奸细的妙用
82s 有时候
84s 一个奸细能顶十万兵哪
88s 正是且看公瑾如何用他们吧
94s 连营二百多里
96s 非一日可破
98s 现令诸将各领三个月粮草
100s 现令诸将各领三个月粮草
102s 分发至各营中
110s 大都督
112s 我们屯兵夏口已快半年了
114s 始终不见都督有任何动作
118s 现在又要我们再等三个月
120s 叫我说别说三个月
122s 你就是三十个月也无济于事
126s 如果本月能破曹军就破了
128s 都督还是向主公谢罪请辞吧
138s 黄盖你是想夺我军权吗
144s 都督如果没有破敌之策
146s 应该另选贤能
148s 如再敢胡言乱语军法不容
150s 如再敢胡言乱语军法不容
152s 周瑜你本是无能之辈
154s 周瑜你本是无能之辈
156s 却善用狂傲自大来欺世盗名
158s 我担心江东六郡
160s 要断送在你手里
162s 老匹夫你厚我太甚
164s 黄老将军
166s 我随上将军打天下时
168s 哪有你呀
170s 如不是主公宽仁为怀
172s 我等岂容你张狂
180s 黄盖抗我将令乱我军心
182s 着将黄盖斩首示众即刻执行
184s 着将黄盖斩首示众即刻执行
186s 黄盖虽然犯下罪过
188s 但是战前斩将于我军不利啊
190s 是啊大都督
192s 黄将军随先生征战多年
194s 功不可没
196s 还是先免了他的死罪吧
200s 待破了曹军再斩不迟啊
212s 如不是看在众老将面上
214s 我非把你
216s 你要杀便杀要砍便砍
218s 我九泉之下也不服你
220s 我九泉之下也不服你
222s 拖下去即斩
224s 大都督大都督饶了黄老将军吧
226s 大都督大都督饶了黄老将军吧
228s 大都督大都督
230s 周瑜你个混蛋
232s 周瑜
234s 老子就是被打死了也不服你
236s 你是个什么东西
238s 一个无能之辈
240s 大都督饶过黄老将军吧
242s 求你饶了他吧
244s 是啊大都督
252s 死罪可免活罪难赦
258s 着将黄盖打一百军杖
260s 罢免一切军职仅留薪俸
262s 公瑾
264s 黄将军已年近六十
266s 这一百军棍下去
270s 还望公瑾多宽容他一些吧
274s 听令痛打一百军杖
276s 杖杖无虚一杖也不许少
278s 杖杖无虚一杖也不许少
282s 周瑜我的小儿
284s 我死了也不服你
286s 你什么东西欺世盗名之徒
288s 你什么东西欺世盗名之徒
300s 周瑜我死了也不服你
302s 周瑜我死了也不服你
306s 周瑜你这混蛋
308s 周瑜你这混蛋
310s 老子死了也不服你不服你
312s 老子死了也不服你不服你
320s 你不是去柴桑见吴侯了吗
324s 就听说公瑾在大庭广众之下
326s 就听说公瑾在大庭广众之下
328s 把黄公覆老将军打得皮开肉绽
332s 我刚才才去探望过
334s 老将军现在已是双腿俱断
338s 真断了腿呀
342s 你哎哟什么呀
344s 疼啊替黄老将军心疼啊
346s 疼啊替黄老将军心疼啊
350s 孔明啊我听人家说
352s 公瑾在打黄盖的时候
354s 在场所有的人都苦劝
356s 唯独你飘然而过一言不发
358s 唯独你飘然而过一言不发
360s 可有此事啊
362s 子敬难为我了
364s 这是你们东吴自家的事
366s 你们的将军都劝不下来
368s 我客居于此岂敢多嘴
374s 将军们是公瑾的部下劝也无用
376s 而你却不然
378s 你是宾客恰恰可以直言相劝哪
382s 子敬欺我子敬又欺我
386s 我怎的欺你了
390s 我何时欺过你呀
398s 可谓一个愿打一个愿摸
402s 这是大都督的苦肉计呀
406s 哦是这样
412s 既然你当时已经看出是苦肉计
414s 那你就更应该相劝哪
418s 因为你劝了
420s 公瑾才会相信
422s 你没有识破他的苦肉计
424s 因为你劝了
426s 才会显得更苦更痛更真切
428s 才会显得更苦更痛更真切
430s 公瑾才会显得更高明
432s 难道不是这样吗
440s 是我糊涂我该劝
442s 辜负了子敬一片苦心哪
446s 孔明啊
448s 为了维护孙刘两家
450s 联合抗曹的大局
458s 口已说破心已操碎啊
460s 口已说破心已操碎啊
462s 可你们二位高士呢
464s 斗法斗得是愈加得起劲哪
468s 我左支右挡两头遭罪啊
472s 可怜我一个思者
476s 真是太累了太累了
478s 抱歉抱歉在下告罪了
480s 抱歉抱歉在下告罪了
484s 你切莫谦称什么愚者
488s 你才真正是大智若愚呀
