704s 曹仁刚挫我兵锋
706s 此时气焰正盛
707s 此时气焰正盛
709s 我们准备暂时避其锋芒
712s 等你的伤势好些再说
718s 都督
719s 都督慢点别动
727s 岂可为我一人
733s 拿我战甲来
734s 都督你的伤势未好
736s 千万不可接战哪
739s 大丈夫既食君禄
742s 就该死于战场
743s 以马革裹尸还
748s 这点伤不算什么
752s 都督你不能去呀
755s 走上马跟我杀出营门
757s 走上马跟我杀出营门
766s 听着
770s 你不是想取我的南郡吗
776s 你在孵蛋哪
782s 你在孵蛋哪快出来啊
784s 快快开城献降我饶你不死
785s 快快开城献降我饶你不死
788s 曹仁匹夫周郎来也
790s 谁敢拿下曹仁
794s 来将休狂
802s 弟兄们一起高声厚骂周瑜
803s 弟兄们一起高声厚骂周瑜
806s 丞相有令
808s 着周瑜献出大乔小乔
809s 着周瑜献出大乔小乔
811s 归降朝廷饶尔不死
812s 归降朝廷饶尔不死
815s 周瑜你听着
818s 丞相说了
821s 你归降后大乔归我
823s 你归降后大乔归我
826s 小乔留给丞相配房
827s 小乔留给丞相配房
829s 你呢
830s 我给你找了个好差事
832s 我给你找了个好差事
835s 你只配给丞相养马
838s 给我曹仁
839s 倒尿壶洗脚
841s 倒尿壶洗脚
848s 气煞我也
857s 大都督大都督
860s 大都督大都督大都督大都督
862s 大都督大都督大都督大都督
863s 大都督
872s 大都督
874s 我无大碍快哭
877s 让他们以为我死了
881s 你们一齐大放悲声
883s 让曹仁听见快
884s 好大都督啊
886s 好大都督啊
887s 好大都督啊
889s 你怎么回事啊
890s 你醒一醒啊大都督啊
892s 你醒一醒啊：大都督啊
893s 你醒一醒啊大都督
896s 大哥你听他们在哭喊呢
898s 大哥你听他们在哭喊呢
899s 大都督啊
901s 莫非周瑜气死了
904s 死了
908s 我就骂了几句泼皮话啊
914s 看来此人心胸太狭隘
916s 看来此人心胸太狭隘
920s 还死撑着应战
925s 弟兄们拿下周瑜尸体
926s 弟兄们拿下周瑜尸体
928s 赏万金冲啊
935s 弓箭手
937s 上射住阵脚
940s 放箭
943s 撤回大营撤回大营
944s 撤回大营撤回大营
955s 曹仁急攻东吴大寨
956s 周瑜带伤出战
958s 箭伤进裂而亡
959s 东吴大军全军举孝哭声一片
961s 东吴大军全军举孝哭声一片
971s 周瑜死了
974s 真让人不敢相信
976s 如此天纵之才竟然死了
977s 如此天纵之才竟然死了
980s 主公周瑜定是诈死
982s 主公周瑜定是诈死
986s 周瑜如果死了
989s 程普定会遣人来求
991s 我们与他合兵一处
992s 防止曹军趁势追击
995s 避免全军履没
997s 可是到现在既不见有人来报丧
998s 可是到现在既不见有人来报丧
