18s 西凉军的精锐主要是他的战骑
22s 这十多万战骑
24s 分统在李郭二将手中
26s 分别叫龙骤营虎营
28s 分别叫龙骧营虎营
36s 俞将军与华雄征战一个回合
38s 就被斩落马下
42s 一个回合一个回合
48s 华雄果然英勇啊
62s 袁公我有上将军潘凤
64s 手执一柄百斤重的开山斧
68s 此人必可斩杀华雄
72s 潘将军何在
76s 你敢出战吗
80s 我的大斧早就饥渴难耐了
82s 好如果你把华雄斩于马下
86s 赏金百两赐良马五十匹
88s 赏金百两赐良马五十匹
90s 取酒来为潘将军壮行
92s 取酒来为潘将军壮行
164s 如欲攻取洛阳
166s 如欲攻取洛阳
168s 必须先破虎牢关汇水关
170s 必须先破虎牢关汇水关
174s 我十八镇诸侯可分五路人马进军
176s 我十八镇诸侯可分五路人马进军
178s 袁盟主可引一路攻取孟津
180s 袁盟主可引一路攻取孟津
184s 孙文台将军可引一路攻取成皋
186s 辉林全孙文台将军可引一路攻取成皋
188s 公孙将军可引一路攻取太谷
190s 林全公孙将军可引一路攻取太谷
192s 耀林全祸事了祸事了祸事了
196s 慕盟主
198s 潘将军与华雄征战不到一个回合
200s 就被斩于马下
202s 什么又被斩了
210s 一个小小的华雄都如此棘手
212s 一个小小的华雄都如此棘手
214s 以后碰到吕布该怎么办呢
224s 谁敢出战华雄
226s 赏金千两赠良马百匹
228s 赏金千两赠良马百匹
230s 谁敢出战
250s 只可惜我的上将颜良文丑未在
252s 只可惜我的上将颜良文丑未在
254s 如有一人在此
258s 岂容华雄放肆啊
266s 马弓手关羽请战华雄
268s 马弓手关羽请战华雄
270s 什么你一个小小的弓手
272s 什么你一个小小的弓手
274s 竞敢口出狂言
278s 没有大将军了吗
280s 叉出去
282s 公路兄息怒
288s 此人既敢于请战必有勇略
290s 此人既敢于请战必有勇略
292s 为何不让他试试呢
294s 使一个小小的弓手出战
298s 岂不是让华雄耻笑嘛
302s 公路兄
308s 此人生得卧眉凤目满面英雄气
310s 此人生得卧眉凤目满面英雄气
312s 华雄又怎么会知道他是个弓手呢
314s 华雄又怎么会知道他是个弓手呢
316s 这个姓曹的说得对
318s 我二哥这个弓手
320s 胜过你们所有的将军诸侯
330s 若砍不下华雄的头
332s 那就砍关某的头谢罪
334s 那就砍关某的头谢罪
342s 刘关张三兄弟义同生死
354s 刘玄德不愧是皇室宗亲
356s 刘玄德不愧是皇室宗亲
358s 豪气干云
360s 军校在
364s 我要为这位壮士敬酒壮行
372s 不必小小华雄何须借酒
374s 不必小小华雄何须借酒
378s 诸公稍候关某去去便回
380s 二弟小心
382s 哥哥放心
434s 这是谁呀他能行吗你说
436s 这华雄这么厉害
440s 又是一个人头落地了
444s 马腾将军你率五千人马策应
446s 马腾将军你率五千人马策应
450s 这个马弓手如果也死了
452s 那又该谁出战哪
456s 西凉军果然名不虚传啊
458s 耀林全
460s 耀林全董卓不好对付啊
490s 赢了
492s 赢了赢了
494s 赢了赢了
496s 好好
568s 林全
574s 林全
586s 增设第十九镇讨贼兵马
588s 增设第十九镇讨贼兵马
590s 统兵将军为
592s 刘备
602s 刘备领命
624s 二弟啊愚兄再敬你一碗
626s 二弟啊愚兄再敬你一碗
628s 你杯酒斩华雄一战成名
632s 令众路诸侯对咱们兄弟刮目相看
636s 二哥你把华雄的脑袋
638s 往那堂上一扔
640s 那满堂的诸侯啊
642s 全都看傻啦
644s 什么刺史啊太守啊将军的
646s 我看哪都是饭桶草包
648s 我看哪都是饭桶草包
650s 二哥我也敬你一碗
652s 大哥关某不负大哥三弟厚望
654s 大哥关某不负大哥三弟厚望
656s 侥幸成功来来来
658s 侥幸成功来来来
668s 大哥啊可有句话我可先下
672s 二哥你已经是斩将立功了
674s 回头吕布那小子来了
676s 可不准二哥你动
678s 得该轮到我了
682s 二弟三弟
684s 我们三兄弟此次来会盟
688s 从入关起便饱受欺厚
690s 十八路诸侯
692s 就根本没把我等放在眼里
694s 在这乱世当中
696s 我们要想有立足之地
698s 就必须要靠自己的本事剿贼建功
700s 就必须要靠自己的本事剿贼建功
706s 您现在也应该是一路诸侯了
708s 第十九镇统兵将军
710s 如今咱们也可以
712s 和各路诸侯平起平坐了
716s 未必我这路将军是虚设的
718s 未必我这路将军是虚设的
728s 我已经派小校去取了
730s 料那袁绍四世三公名满天下
732s 料那袁绍四世三公名满天下
734s 总不至于言而无信吧
736s 再说
738s 二哥你刚替他斩了华雄立了功
740s 袁绍那厮如敢赖账
742s 我拿大耳刮子扇他
744s 主子爷主子爷主子爷
748s 打了打了
750s 他们使大耳刮子打的小的
752s 谁打你为何打你啊
754s 小的奉二爷之命
756s 去大营领取粮饷
758s 可是那个后将军袁术
760s 他一个子儿也不给咱们
762s 你有没有说过
764s 是袁盟主当着众诸侯的面
766s 许给我们金千斤马百匹
768s 许给我们金千斤马百匹
772s 可袁术说粮草堆在洛阳城呢
774s 可袁术说粮草堆在洛阳城呢
776s 想要啊自个打进洛阳城取去
778s 小的和他争辩
780s 他的手下就打了小的
782s 还厚骂了三位主公
786s 骂什么呀于一个字都不准漏
788s 他们骂他们骂主子爷是
790s 他们骂他们骂主子爷是
794s 是什么织席贩履之徒
796s 屠猪屠猪卖狗之徒
800s 这帮鸟人
804s 二哥你刚替他们出生入死
806s 这帮鸟人言而无信
808s 二哥你别管
810s 让我去捕袁术那小子
812s 等等我们应该和袁绍去说理
814s 等等我们应该和袁绍去说理
816s 袁绍那小子浑身上下都是嘴
818s 跟他讲理用口舌啊
820s 只能刀下理论
822s 三弟不可造次
830s 依我看无论是说理还是动刀
832s 依我看无论是说理还是动刀
840s 而且还是袁绍亲自任命
842s 他为盟军总提调官
846s 袁术拒不发给我们兵马粮饱
848s 袁绍心里清楚但伴装不知
852s 真没有想到袁氏兄弟名满天下
854s 真没有想到袁氏兄弟名满天下
856s 做起事来竟如此不堪
858s 既然有这层担忧
860s 我们干吗还要在这儿寄人篱下
862s 在这种地方受这等鸟气啊
864s 我们离开这鸟地方走人
866s 三弟别急且听大哥有何主意
868s 三弟别急且听大哥有何主意
874s 你们还记得曹操吗
876s 此人暗藏韬略颇有见识
878s 此人暗藏韬略颇有见识
880s 为人也很仗义
882s 对我们也算不错
886s 我想不妨先向他请教一下
890s 那小子满脸虚情假意
892s 我看也不是什么好东西
904s 被一个名叫关羽的贼将斩了
906s 我三万前军全军溃败
910s 十八路诸侯共有兵马五十余万
912s 声势浩大
914s 前锋将军为长沙太守孙坚
918s 他亲率两万精兵率先进军
922s 昨日已攻破了白马要寨
926s 还有臣刚才得报
928s 虎牢关也已万急呀
930s 虎牢关也已万急呀
938s 即刻调集全部西凉人马
940s 本相要亲自率军出战
942s 遵命
948s 相国要亲自率军出战
952s 那定然是马到成功
954s 不过臣担心
956s 如果相国这次倾城出兵的话
960s 城中恐有不虞啊
962s 城中恐有不虞啊
964s 把话说明白喽到底是什么意思
966s 把话说明白喽到底是什么意思
968s 相国你是知道的
970s 现在的朝中大臣
972s 大半都是前朝公卿
974s 他们对相国
976s 对相国你一直是虚与委蛇
978s 对相国你一直是虚与委蛇
980s 表面恭顺其心回测
984s 现为朝中太傅的袁隗
986s 当他得知华雄兵败后
988s 喜得是手舞足蹈
992s 如果你统军倾城出兵天一旦
996s 要是与袁绍里应外合的话
998s 要是与袁绍里应外合的话
1000s 则多有不便啊
1008s 郭汇
1010s 即刻拿下袁隗全家老少
1012s 即刻拿下袁隗全家老少
1014s 明日出征时
1016s 城门下全部斩首祭旗
1020s 让那些个前朝公卿大臣们看看
1022s 让那些个前朝公卿大臣们看看
1024s 这就是与我董卓暗中为敌的下场
1026s 这就是与我董卓暗中为敌的下场
1028s 传令三军
1030s 本相出征后
1032s 五日内要取孙坚首级
1034s 十日内定斩袁绍首级
1040s 募相国臣还有一个建议
1042s 相国此次剿贼未必一定要力战
1044s 相国此次剿贼未必一定要力战
1054s 李儒你把话说明白喽
1058s 那十八路诸侯中
1060s 过去彼此之间一直勾心斗角
1062s 过去彼此之间一直勾心斗角
