1808s 刘备大肆购买聘礼
1812s 这件事必然会传到
1814s 万一她老人家生起气来
1816s 该如何是好啊
1818s 这件事情
1844s 母亲孩儿正要
1846s 母亲孩儿正要
1850s 你眼里还有我这个娘吗
1854s 虽说男大当婚女大当嫁
1856s 可我毕竟是你母亲
1858s 你妹子是我女儿
1860s 你做儿子的要嫁我女儿
1862s 竟然不跟为娘的说一声
1866s 你好大的胆啊你放肆
1870s 母亲孩儿知错了
1876s 他想促成孙刘两家
1878s 秦晋之好共抗曹军
1882s 难道东吴的男人
1886s 要用我这个女儿来做抵押
1888s 去换取与刘备的联盟
1892s 我记得那刘备和你父亲
1894s 是一辈人
1898s 你把自己的亲妹妹嫁给他
1900s 你忍得下这个心吗
1906s 派人去把周瑜唤来
1908s 我要骂死他
1916s 亏你还是柱国大夫
1918s 看你主子办傻事
1920s 怎么就不知道说句明白话
1928s 叫周瑜来我等着
1942s 子敬子敬快起来吧
1944s 子敬子敬快起来吧
1946s 想想这戏该怎么收场啊
1956s 831
1962s 主公啊
1964s 刘备现在既然已经来了
1968s 不管这事儿以后成不成
1970s 你总该先尽地主之谊吧
1974s 这其他的事
1976s 还是等公瑾回来以后
1978s 咱们再议吧
1982s 你先去码头迎接
1988s 遵命
2010s 吕将军你看
2012s 那不是刘备的船吗
2018s 待我上前把他拿下
2020s 慢着晚了
2022s 慢着晚了
2026s 现在已经下不了手了
2034s 赵将军
2044s 刘皇叔一路辛苦了
2050s 没想到刘皇叔
2052s 也没有事先知会一声
2054s 你看我们连鼓乐仪仗
2056s 都没有准备
2060s 我是成亲心切
2062s 老天也相佑
2064s 江上一帆风顺
2066s 本来是五日的路程
2068s 好好好刘皇叔请
2074s 我已经叫人洒扫过馆驿了
2076s 皇叔先去安歇
2078s 我家主公随后就来拜见
2092s 却准备了不少精兵战甲嘛
2096s 也许是皇叔驾到的消息
2098s 传开了你看
