702s 兵不满两干粮不盈干
708s 你们每个人手上都有上万精兵
716s 我今天话说到这儿
722s 私事我们是兄弟
724s 公事我们是主臣
728s 把荆襄之事全部托付给军师
730s 你们就必须照办
732s 如有什么违抗
738s 无论我在东吴还是回到荆襄
740s 我一定用这把刀
742s 结果了我自己的性命
744s 大哥
746s 我们兄弟听你的就是了
756s 三弟这把刀我先留下
758s 三弟这把刀我先留下
788s 先生
790s 先生快坐没打扰你吧
794s 主公你说的
804s 就是明天要去建康了
812s 先生在卜卦
814s 是啊我已经卜了三卦了
816s 是啊我已经卜了三卦了
820s 都是凶卦
836s 你能不能改个主意啊
844s 我这是别无选择了
846s 自涿郡起兵到今天
848s 自涿郡起兵到今天
850s 二十多年了
852s 我还一事无成
856s 对于一个快五十岁的人来说
860s 上天还会留给他多少时间了
866s 保住这片来之不易的土地
868s 那中兴汉室的愿望
872s 就只能是水中之月了
886s 虽然我口口声声不赞成你去
890s 但是我心里还是希望你能去
898s 那为何口是心非啊
900s 不让主公去是出于情
902s 担心主公的安危
904s 让主公去是出于理
908s 我知道这是大局
912s 请主公恕罪我也是两难哪
922s 你把荆州之事尽托付于我
924s 你把荆州之事尽托付于我
926s 我怕我资历尚浅不能服众
930s 负了主公的重托呀
934s 我知道你在担忧什么
938s 你在担忧我二弟和三弟
940s 你在担忧我二弟和三弟
944s 他们与我桃园结义后
946s 纵横天下得了一些虚名
950s 自先生出山以来
952s 他们虽然被先生的才气所折服
956s 但毕竟与我的感情太深了
960s 我走以后
962s 以我的名义从江东来的一切号令
966s 他们可以一概不遵
968s 但如果我真的遇到什么危险
970s 他们难免会不听你的差遣
972s 他们难免会不听你的差遣
976s 主公连这个都想到了
980s 这确实是我忧虑之处啊
990s 孔明不必担心
998s 我这就留一道密令给你
1004s 如果我这两位兄弟
1008s 不听你的号令
1020s 你就把这道密令交给子龙
1026s 让他依令行事
1028s 让他依令行事
1034s 主公这怎么能行呢
1036s 云长与翼德跟随主公
1038s 出生入死几十年
1054s 我漂泊一生历经顿挫
1056s 我漂泊一生历经顿挫
1058s 只有遇到了你
1062s 我才有了今天这个局面
1064s 我心里清楚
1070s 能帮我完成中兴汉室的梦想
1076s 如果我这次真的回不来
1080s 荆州也只能交给你
1082s 主公
1088s 至于我这两个弟弟
1092s 你能用则用之
1094s 你能用则用之
1096s 不能用就弃之
1098s 不能用就弃之
1104s 跟汉业中兴比起来
1106s 我们兄弟间的情分不算什么
1108s 我们兄弟间的情分不算什么
1112s 主公
1122s 主公就放心去吧
1126s 主公是天人
1128s 我这卦能卜人间生死
1132s 但卜不了天机
1134s 我想主公定能平安回来的
1138s 如果如果真是老天不开眼
1140s 如果如果真是老天不开眼
1142s 出了什么意外
1144s 我定和云长翼德
1148s 尽心辅佐少主诛贼强汉
1162s 以前我只知道先生的智
1164s 以前我只知道先生的智
1168s 今天我才知道先生的忠啊
1170s 今天我才知道先生的忠啊
1174s 好了这我就放心了
1176s 好了这我就放心了
1178s 好了这我就放心了
1180s 我可以放心地走了
1184s 此去东吴路途艰险
1186s 此去东吴路途艰险
1188s 主公还是带上子龙吧
1192s 他弓马娴熟一身是胆
1202s 至于这封密令在下不需要了
1204s 至于这封密令在下不需要了
1240s 能给我弹一曲吗
1244s 我已经很久没有听你弹琴了
1250s 这张琴
1252s 自赤壁之后我就没有弹过
1254s 自赤壁之后我就没有弹过
1258s 今夜我就弹上一曲
1262s 算是为我主公送行
