300s 我打伤你了
302s 不末将无碍
304s 大都督伤得更重
312s 我为孙氏赴汤蹈火十几年
320s 最后落到如此下场
328s 大都督主公年少
332s 你就不要再怪他了
342s 一定是他看透了
346s 让刘备轻舟直下
350s 弄得尽人皆知
354s 逼得主公不得不嫁妹与他
360s 大都督你就不要再难过了
366s 此事难以改变
368s 现在重要的是
372s 江东不能一日没有大都督啊
384s 江东已经没有周瑜了
396s 末将刚刚从巴陵回来
400s 怎么样他们撤军了吗
402s 丁盛蒋钦甘宁等将都说
404s 诸葛亮大军已动
406s 如果此时让他们撤下
408s 诸葛亮必定会挥师东进
410s 巴陵必失
412s 因此他们请主公三思
414s 因此他们请主公三思
420s 让我三思一派胡言
422s 让我三思一派胡言
424s 刘备在建康
426s 诸葛亮只会虚张声势
428s 挥师东进
430s 这分明是他们抗命的托辞
432s 你执我剑印立刻传令
436s 你以为你是曹操啊
448s 母亲孩儿最近心烦事太多
454s 做人主的
456s 应该能忍常人所不能忍
458s 宽仁为怀虔诚待士
460s 宽仁为怀虔诚待士
462s 以周瑜在军中的威信
466s 那些青年将领
468s 只怕都会与你离心离德
470s 没他们扶持
472s 我看你这个吴候
478s 可是事情已经僵持在这儿
480s 孩儿也是束手无策呀
482s 孩儿也是束手无策呀
484s 我告诉你一策
486s 马上把兵符给公瑾送回去
496s 母亲你让我还他兵符
498s 我可以给他送过去
500s 但是依公瑾之计
502s 但是依公瑾之计
504s 这样势必会激起孙刘大战
512s 也不会有崩溃
514s 母亲经历那么多腥风血雨
516s 这道理爲能不懂
520s 首先是你们主臣将帅
524s 尤其是你
526s 不能和周瑜闹翻
530s 那母亲的意思是
532s 那母亲的意思是
538s 只能把小妹嫁给刘备了
542s 孙刘两家结为亲家
548s 母亲你不是不愿意吗
550s 母亲你不是不愿意吗
552s 母亲你不是不愿意吗
556s 是啊我真不愿意
558s 我十八岁的女儿
560s 四十八岁的老头
566s 为了保住你父兄留下的基业
578s 母亲
588s 主公奴才即刻报都督
600s 都督主公来看你来了
640s 看来公瑾还是在生我气呀
642s 看来公瑾还是在生我气呀
650s 公瑾兵符我给你送来了
652s 公瑾兵符我给你送来了
656s 你收也得收不收也得收
658s 你收也得收不收也得收
664s 这件事说起来是我的不对
666s 这件事说起来是我的不对
670s 你与吾兄同年视吾为弟
672s 你与吾兄同年视吾为弟
674s 奉我母为己母
678s 当年吾兄渡江攻刘时
682s 你率亲族子侄相从
684s 那时我孙家也就千余兵马
690s 就没有我江东之地
700s 先兄一直视你为手足膀臂
702s 先兄一直视你为手足膀臂
704s 他在临终前留下一句话
710s 外事不决问周瑜
714s 可见你在我先兄心中
722s 这件事是我错了
724s 这件事是我错了
728s 是我违背了先兄的遗言
732s 我向你赔罪
734s 主公在下向主公请罪
736s 主公在下向主公请罪
742s 我们名为君臣实为兄弟
744s 我们名为君臣实为兄弟
746s 我年纪轻经的事少
748s 难免不办错事
754s 就不能原谅我一回吗
758s 主公你就别再说了
760s 主公你就别再说了
770s 不过荆州之事
774s 我都听你的
778s 那好请主公这就下令
780s 那好请主公这就下令
782s 拿下刘备进军荆州
784s 主公
786s 此事断不可依着公瑾
790s 我亲自去了趟巴陵前线
792s 攻袭荆州的六万大军
794s 已经全部归营了
798s 公瑾刘备是汉之宗室
