306s 大都督
312s 给刘备送月支
314s 刘备竟然嫌六万太少
318s 加多少
326s 主公请大都督酌
330s 那么我看加两万太少
332s 那么我看加两万太少
334s 凑个数给他十万吧
340s 大都督府上财力拮据
344s 供养兵马
346s 这可是一笔很大的开销啊
350s 长此下去怎么受得了啊
352s 供个女婿是贵了点
356s 能换回荆州
358s 那可太便宜了
360s 过一阵子
362s 等刘备朽到骨髓里
364s 他就该任我摆布了
368s 都督英明还有
370s 都督英明还有
372s 赵云看不惯刘备醉生梦死
374s 顶撞了刘备
376s 二人发生争执
378s 现在刘备已经把赵云赶走了
382s 好事啊让他走啊
386s 意气消沉的境况
388s 告诉荆州诸将
390s 荆州军心大乱
392s 他们一乱
394s 我们日后取荆州
396s 就易如反掌了
412s 军师听说子龙回来了
416s 他人呢
422s 子龙
430s 军师这是怎么回事儿
432s 军师这是怎么回事儿
436s 有违职责按军律当杖三十
438s 有违职责按军律当杖三十
442s 子龙你你伤着没有啊
448s 子龙大哥在那边怎么样啊
450s 子龙大哥在那边怎么样啊
460s 他已陷入温柔乡中
466s 便把我赶了回来
468s 什么不可能啊
474s 这不明摆着吗
476s 东吴设下美人计
478s 长此下去必有变故啊
480s 长此下去必有变故啊
484s 军师你下令
492s 俺当这个先锋
494s 我马上就去军营
502s 江东有十万精兵
506s 守住荆州尚且捉襟见肘
508s 如何还能去攻打人家
510s 在虎视耽耽
514s 兵不在多而在勇
516s 我带兵偷袭建康
518s 出其不意定能救回大哥
526s 奇袭这条路如何行得通啊
530s 这也不行那也不行的
532s 难道眼睁静看着大哥
534s 一辈子做人家阶下囚啊
542s 不是行不行我看
544s 不是行不行我看
546s 是有人别有用心吧
562s 眼下主公的处境危险
568s 看见东吴往巴陵
570s 不断运兵运粮
572s 随时都有西进的可能
574s 主公把荆州交予
576s 军师与二位将军
578s 大家应该精诚团结才是
594s 子龙你这是干嘛去
600s 这顿军棍
602s 算是把我打醒了
606s 我的职责是护卫主公
608s 不能离开他身边
610s 我就是爬
612s 也要爬回东吴去
618s 子龙
626s 赵云回去后
628s 受到了诸葛亮的责罚
632s 然后又狼颁的伏在马背上
640s 赵子龙真乃当世良将
642s 忠勇难得
646s 遭了这么一顿打
650s 是决不会回来的
654s 可惜呀
658s 跟着刘备
664s 赵云这次回去
666s 荆州应该知道他们主子
668s 在建康的情形了
670s 那边有什么动静吗
672s 细作探回的消息说
674s 关羽和张飞二人
676s 和诸葛亮产生了争执
684s 看来荆州的兵权
686s 是掌握在诸葛亮一个人手上
688s 关张二人不服疏于军务
690s 关张二人不服疏于军务
692s 终日饮酒作乐
694s 诸葛亮也只能带着黄忠
696s 魏延等人去操练新兵了
702s 派些人去荆州造些流言
704s 派些人去荆州造些流言
708s 就说诸葛亮跟我有密约
712s 让他们自己咬起来
714s 咱们就有热闹可瞧了
730s 子龙你背上的伤没事吧
732s 子龙你背上的伤没事吧
734s 军师没让人真打
740s 这是军师给你的信
756s 军师真是有办法
758s 不到大半年的功夫
760s 就囤了这么多粮草
768s 军师让马四处奔走
772s 隐在山中的荆州人才
774s 还起用了一班荆州旧部
776s 这些人久居荆襄
780s 根深叶茂招兵买马
782s 而且训练出来的兵卒
784s 也十分适合在那儿作战
786s 好我原来的兵马
792s 对付曹操占不了便宜
794s 对付周瑜就更加难了
806s 天天吵着
808s 要兴兵来把主公抢回去
816s 这两个人的脾气
820s 我不在迟早要生出事来
824s 可军师也说了
826s 他们闹闹也好
828s 这样会使周瑜更加懈怠
834s 真是难为孔明了
842s 什么时候返回荆州
844s 军师什么意见
846s 军师说主公决定
848s 主公决定返回了
850s 他就会造声势
852s 说是曹操大军来犯
854s 这样主公回去就有理由了
864s 尽早脱身免得夜长梦多
868s 下这个决定了
870s 那咱们是走水路返回
872s 还是走陆路返回
876s 我们可以在水路上
878s 抛下一个诱饵
882s 周瑜自掌东吴水师
884s 诸将多为其嫡系
888s 他必全力追杀
890s 我们想要脱身就难了
892s 陆上就不同了
896s 陈武潘璋蒋钦欠周泰他们
898s 都和孙权亲近
