900s 若我们万一有闪失
906s 主公说得有理
918s 只是还有一件事情
924s 何事主公
942s 想把夫人一同带回去
952s 一日夫妻百日恩哪
956s 我与她不只有夫妻之情
960s 她对我更有救命之恩
988s 这花好看吗
998s 不过它没有我的娇妻好看
1002s 夫君你也学会奉承人了
1026s 怎么了
1032s 夫人荆州出事了
1034s 夫人荆州出事了
1040s 出了什么事了
1042s 曹操大军来犯
1046s 荆州万分危机
1048s 荆州万分危机
1052s 你想回荆州了
1064s 夫人待我回去击退曹操
1066s 夫人待我回去击退曹操
1068s 即刻回来多者三个月
1070s 即刻回来多者三个月
1072s 少者二十天可否
1078s 假话
1082s 你这一去就不会再回来了
1084s 你这一去就不会再回来了
1088s 而且曹操根本就没有来犯
1094s 就编了这个理由来唬我
1104s 你心里一定有事
1108s 说吧把实情都告诉我
1112s 好夫人
1120s 我此次东来成亲
1124s 实际上是一场鸿门宴
1126s 实际上是一场鸿门宴
1132s 在甘露寺的一曲箫声
1136s 我早已身首异处了
1140s 现在我必须要回荆州
1142s 现在我必须要回荆州
1146s 夫人若跟我走
1150s 从此便会和太夫人天各一方
1152s 若夫人不跟我走
1158s 无论是走还是留
1162s 都像有把刀
1164s 在我的心头刷过
1174s 你真的不舍得跟我分开
1180s 我刘备血雨腥风
1182s 我刘备血雨腥风
1184s 生来死去三十年
1186s 就像一叶没有根的草
1202s 我就像面对一颗晶莹的露珠
1206s 哪怕有一丝会吹动你的风
1212s 我现在不得不回荆州
1214s 我现在不得不回荆州
1218s 但是我也舍不得你
1230s 我跟你走你要记住
1234s 从前我是吴侯之妹
1238s 现在我是你刘玄德的妻子
1240s 现在我是你刘玄德的妻子
1242s 嫁鸡随鸡嫁狗随狗
1246s 你走到哪儿我跟到哪儿
1250s 哪怕身上只有一根稻草取暖
1254s 我也要跟你一人一半
1270s 什么曹操兴兵犯荆州的事
1274s 这话连我都不信
1276s 怎么得过周瑜呢
1280s 可是我不知道该怎么办
1282s 可是我不知道该怎么办
1316s 今儿怎么记得来看看我了
1320s 我还以为我女儿
1322s 嫁了人就忘了娘呢
1326s 女儿嫁人了就不是女儿了
1328s 来让我瞧瞧
1334s 这些日子玄德待你还好吧
1336s 这些日子玄德待你还好吧
1340s 嗯天天陪着我
1342s 嗯这门亲还真没选错
1344s 嗯这门亲还真没选错
1348s 他也学会疼人了
1358s 他这两天心情不太好
1366s 玄德父母的坟墓远在涿郡
1370s 明日是公公的忌日
1372s 玄德昨夜伤感了一夜
1376s 我看着也替他难过
1378s 我想陪他出城到江边去
1380s 我想陪他出城到江边去
1382s 望北遥祭表上一份孝心
1384s 望北遥祭表上一份孝心
1386s 或许他的心境会好一点
1388s 或许他的心境会好一点
1394s 不知母亲能否同意
1406s 你们要出城了成啊
1408s 你们要出城了成啊
1410s 你们要出城了成啊
1412s 这是尽孝道你该去了
1414s 这是尽孝道你该去了
1426s 女儿代夫婿谢过母亲
1442s 有日子没给你梳头了
1444s 有日子没给你梳头了
1448s 让我给你梳个头吧
1460s ODE
1508s 你的头发可稀疏了
1512s 我夜夜用何首乌给你梳洗
1514s 我夜夜用何首乌给你梳洗
1516s 不想长大后
1518s 不想长大后
1522s 竟长出这么一头浓密的头发
1526s 真是漂亮极了
1534s 母亲你在流泪吗
1536s 母亲你在流泪吗
1544s 人老了就爱想从前的事
1546s 人老了就爱想从前的事
1552s 想起你小时候的模样
1558s 这眼泪啊就流了下来
1560s 这眼泪啊就流了下来
1578s 这头发太长了剪了吧
1580s 这头发太长了剪了吧
1582s 这头发太长了剪了吧
1584s 这头发太长了剪了吧
1666s 末将见过太夫人
1672s 是幼平呀
1674s 不知太夫人唤末将来有何盼附
1682s 我差你去办一件事情
1684s 请太夫人盼
1688s 快到春荒了囤的军粮够用吗
1694s 虽然如此还是要省一些用
