402s 谁让我诸葛亮遇到了主公呢
412s 子龙好了到了江边了
416s 我料孔明必会派快船来接我们
418s 你赶紧沿江边寻找快船
430s 刘备快下马受缚吧
432s 刘备快下马受缚吧
434s 你是我东吴爱婿
436s 我也不忍心伤你呀
440s 子龙啊我们还有第四只锦囊吗
442s 主公待我与周瑜决一死战
444s 主公待我与周瑜决一死战
446s 不必了他们人多
450s 刘备快下马受缚吧
456s 主公
462s 拜上大都督了我家军师有言
464s 拜上大都督了我家军师有言
466s 你伤情未愈不必和我们交战
470s 当是百年好合呀
474s 敢请大都督自重啊
480s 大都督大都督啊怎么了
484s 杀杀
492s 放箭
504s 再敢向前一步休怪我等无情
512s 主公沿江而下半里便有快船
514s 主公沿江而下半里便有快船
516s 主公快去
538s 军师备下了一句告别词
540s 要我传给周瑜听
548s 好吧你传给他吧
550s 传话吧
552s 周郎妙计安天下赔了夫人又折兵
554s 周郎妙计安天下赔了夫人又折兵
556s 周郎妙计安天下赔了夫人又折兵
558s 周郎妙计安天下赔了夫人又折兵
560s 周郎妙计安天下赔了夫人又折兵
564s 周郎妙计安天下赔了夫人又折兵
566s 匹夫我誓杀你
568s 匹夫我誓杀你
574s 大都督大都督大都督
598s 请军师下令出兵伐吴
600s 请军师下令出兵伐吴
602s 这支兵马已经不是从前
604s 主公和二位拉起来的
606s 几百人的小队伍了
608s 而是一支几万人的大军
612s 什么时候打仗该怎么打
614s 都得按规矩来
616s 就是有千军万马
618s 那也是从大哥这颗种子上
622s 要是没了大哥
624s 就是得到全天下又有个屁用啊
628s 我瞧出来了你呀
630s 是想他永远不会回来了
632s 你想占有荆州
636s 主公对二位情深似海
640s 对我也是恩重如山
642s 你们追随主公几十年
644s 我等待这样一位英雄
646s 也等了十几年
648s 你们对主公忠心耿耿
650s 我对主公的忠心上苍可鉴
654s 只是打仗不能只凭意气
656s 只是打仗不能只凭意气
658s 要有谋略得能忍耐
662s 诸葛先生我知道你能言善辩
664s 诸葛先生我知道你能言善辩
668s 任你说得天花乱坠
670s 是对付我们的
672s 这是不争的事实对吧
674s 我问你为何突然调集
676s 我问你为何突然调集
678s 黄忠和魏延的人马
682s 你是想把大哥从中原带来的人马
684s 全都给收拾了
686s 二位将军
688s 你们真的是误会军师了
690s 二位将军哪
692s 军师猜到你们今天要起事
694s 他令我拿着兵符
696s 火速把黄忠的人马
698s 全都调出城去了
700s 为的就是
704s 自相残杀令亲痛仇快呀
710s 二位将军你们要是不信的话
712s 现在可以出去看看
714s 公安城内还能找到一个荆州兵吗
716s 公安城内还能找到一个荆州兵吗
724s 不管怎么说
726s 我也要带兵把大哥救出来
728s 我也要带兵把大哥救出来
730s 我们曾经盟誓
732s 不求同生但求同死
734s 不求同生但求同死
736s 我不信
738s 在这个世上对大哥的感情
740s 在这个世上对大哥的感情
742s 有谁能超过我和三弟
748s 诸葛亮带的荆州兵不可靠
750s 要靠只能靠我这一万个老兄弟
752s 把大哥救出来走
754s 把大哥救出来走
758s 报启禀二将军三将军
762s 主公回来了主公回来了
768s 三弟走
772s 先生主公回来了
776s 我们还是出去迎接吧
802s 先生你哭了
806s 学生侍从你多年了
810s 还是第一次见你流眼泪
828s 大哥大哥
830s 大哥大哥呀
832s 主公主公
834s 大哥兄弟想死你了
836s 大哥兄弟想死你了
838s 大哥想你呀
842s 二弟三弟我也想你们哪
848s 军师呢为何不见孔明
852s 他他在府衙候着你呢
856s 快见军师如无他的锦囊妙计
858s 我险些陷于大难啊
862s 军师军师大哥回来了
864s 军师军师大哥回来了
878s 怎么回事怎么回事
880s 怎么回事怎么回事
882s 怎么回事怎么回事
888s 定是你们气走了军师
894s 尤其是翼德你我不在时
896s 尤其是翼德你我不在时
898s 你们竟让军师饱受屈厚
900s 是也不是
906s 我大哥我去把军师找回来
908s 我大哥我去把军师找回来
910s 我大哥我去把军师找回来
912s 让开军师军师
914s 让开军师军师
928s 船家休要开船
932s 不用理踩船家解缆开船
934s 不用理踩船家解缆开船
936s 休要开船船家
944s 军师军师军师啊
946s 军师军师军师啊
950s 军师啊
952s 你万万不能走啊
954s 都是俺张飞鲁葬开罪了你
956s 都是俺张飞鲁莽开罪了你
958s 俺张飞在这里给你赔罪了
960s 先生关羽向先生请罪
962s 先生关羽向先生请罪
972s 孔明啊事情我都知道了
974s 这二位也都知罪了回去吧
976s 这二位也都知罪了回去吧
978s 待回去以后再责罚他们可好
984s 军师啊
986s 俺张飞给你跪下赔罪了
988s 二哥你也过来
990s 这些都免了吧
994s 我去意已决
996s 此心有如有如这中箭的枯木
998s 此心有如有如这中箭的枯木
1000s 此心有如有如这中箭的枯木
1014s 军师啊咱咱生来是不下跪
1016s 生来不即头的可是今天
1020s 老大个头都给你磕了
1022s 你还是不宽恕啊
1024s 你你也太小心眼了吧
1042s 成啊求是求不动你了
1044s 成啊习求是求不动你了
1048s 咱们把军师架回城去
1054s 翼德翼德云长你们放我下来
1058s 我已经挂了印和你们毫无关系
1060s 云长翼德休得无礼啊
1062s 放我下来
1064s 休得无礼
1086s 你们两个站得像卫兵似的
1092s 俺哥俩都把好酒好菜给他送来了
1094s 可他不吃啊
1096s 大哥都一天了
1098s 军师还是不肯宽恕我们
1100s 军师还是不肯宽恕我们
1102s 是啊
1104s 你们两个啊自作自受
1108s 好好悔过吧
1124s 8888
1132s 孔明来
