1533s 三姓家奴
1678s 你是个英雄豪杰
1680s 董卓是乱世奸贼
1684s 为大汉建立万世功勋
1686s 为大汉建立万世功勋
1687s 此时我三兄弟
1689s 要你性命如探囊取物
1690s 但是英雄相惜
1692s 我等不忍杀你
1693s 听吾一言快快弃暗投明
1695s 听吾一言快快弃暗投明
1696s 哥哥不必跟他啰嗪
1698s 三姓家奴看枪
1699s 三姓家奴看枪
1719s 大哥小心
1780s 不过瘾不过瘾
1782s 这小子怎么跑了
1786s 不愧是人间吕布马中赤兔
1791s 如此英雄却陷入奸人之手
1794s 大哥你又动了侧隐之心了
1797s 此人不可教化
1798s 大哥 二哥
1800s 现在正好乘胜追杀才是啊
1801s 现在正好乘胜追杀才是啊
1803s 董卓大军肯定藏于山后
1804s 二弟三弟不必再追了
1806s 董贼若在正好取他首级
1807s 董贼若在正好取他首级
1810s 三弟三弟回来
1828s 袁盟主贼军势穷良机难得
1830s 快传命进军吧
1833s 众将听令
1834s 大开城门出战董卓遵命走
1836s 大开城门出战董卓遵命走
1837s 大开城门出战董卓遵命走
1839s 出战出战出战
1842s 快快
1852s 全部集结完毕都在城东待命
1854s 好随我直奔虎牢关攻取洛阳
1855s 好随我直奔虎牢关攻取洛阳
1857s 好随我直奔虎牢关攻取洛阳
1878s 昨夜老夫得到密报
1879s 袁绍率领的王师
1882s 已经攻破了虎牢关
1887s 西凉军之溃败
1888s 董卓被刘关张三兄弟刺于马下
1890s 董卓被刘关张三兄弟刺于马下
1891s 董卓被刘关张三兄弟刺于马下
1894s 好啊生死不明那就是死了
1896s 好啊生死不明那就是死了
1897s 好啊生死不明那就是死了
1900s 上天哪苍生有幸日月光复啊
1902s 上天哪苍生有幸日月光复啊
1903s 上天哪苍生有幸日月光复啊
1905s 想西凉军败兵
1906s 想西凉军败兵
1908s 正在仓煌逃命啊
1911s 我王师兵临城下
1912s 我王师兵临城下
1914s 眼瞅着破城在即
1915s 眼瞅着破城在即
1917s 我大汉不日即可复兴
1918s 我大汉不日即可复兴
1920s 我快将这消息
1921s 赶紧告诉太后和天子
1923s 赶紧告诉太后和天子
1926s 你们赶紧召集人手
1930s 好好是是
1944s 司徒大人董董相在宫里
1948s 相国在殿里
1950s 相国在殿里
1951s 相国在殿里
1954s 天还没亮相国就带着甲士们
1956s 闯进皇宫里来了
1962s 袁绍的五十万大军
1963s 被咱家打得落花流水
1965s 被咱家打得落花流水
1968s 可是还有些部分残余
1969s 可是还有些部分残余
1971s 可能要进犯京城掠夺圣驾
1972s 可能要进犯京城掠夺圣驾
1974s 可能要进犯京城掠夺圣驾
1977s 所以咱家是不得不防啊
1978s 所以咱家是不得不防啊
1981s 对了近日有童谣说
1983s 对了近日有童谣说
1984s 东头一个汉西头一个汉
1986s 东头一个汉西头一个汉
1989s 迁都入长安方可无斯难
1990s 迁都入长安方可无斯难
1995s 好真好说的
1999s 东都洛阳历经二百年
2001s 东都洛阳历经二百年
2002s 气数已尽
2004s 咱家是夜观天象
2007s 见帝气旺于长安
2010s 所以咱家决定护驾西幸
2011s 所以咱家决定护驾西幸
2013s 迁都于长安
2016s 那么各位百官公卿们
2017s 那么各位百官公卿们
2019s 都快快准备吧
2023s 促装起行吧
2031s 自从黄巾起事之后连年兵戈
2032s 自从黄巾起事之后连年兵戈
2035s 早已将长安化为一片断壁残垣
2037s 早已将长安化为一片断壁残垣
2038s 相国如果西迁长安
2040s 犹如弃宫室而就瓦砾
2041s 犹如弃宫室而就瓦砾
2046s 愿请相国明察
2050s 懂什么国家大计
2053s 迁都长安那是中兴大汉王朝
2055s 迁都长安那是中兴大汉王朝
2056s 那是百年大计
2059s 洛阳暗长安明
2062s 迁都长安就是弃暗投明
2068s 京都洛阳乃朝廷命脉
2071s 倘若无故离宗庙弃皇陵
2073s 将使朝廷大乱百姓沦难
2074s 将使朝廷大乱百姓沦难
2076s 如此关天之事
2079s 企盼相国慎之又慎哪
2080s 企盼相国慎之又慎哪
2082s 企盼相国慎之又慎哪
2083s 慎之又慎
2086s 咱家有什么不慎重了
2088s 咱家有什么不慎重了
2091s 那长安有函关之险陇山之佑
2092s 那长安有函关之险陇山之佑
2094s 那长安有函关之险陇山之佑
2095s 建宫用的木材砖瓦
2097s 建宫用的木材砖瓦
2098s 它是睡手可得
