639s 这是大汉天子的传国玉蟹啊
640s 这是大汉天子的传国玉玺啊
641s 这是大汉天子的传国玉玺啊
642s 这是大汉天子的传国玉玺啊
648s 传国玉玺
650s 末将年幼的时候就听家父说过
651s 末将年幼的时候就听家父说过
653s 这传国玉玺上锲着八个字
654s 这传国玉玺上锲着八个字
656s 受命于天既寿永昌
657s 受命于天既寿永昌
658s 受命于天既寿永昌
660s 春秋年间卡和采玉进入荆山
661s 春秋年间卡和采玉进入荆山
662s 春秋年间卡和采玉进入荆山
664s 看见一只金凤
665s 落在一块大青石上鸣叫
666s 落在一块大青石上鸣叫
667s 卡和便剖开青石
668s 卡和便剖开青石
670s 采得一块绝世美玉
672s 便把它献给了楚王
673s 便把它献给了楚王
675s 秦灭六国后
676s 这块玉就落入了秦皇的手中
677s 这块玉就落入了秦皇的手中
678s 这块玉就落入了秦皇的手中
680s 丞相李斯啊
681s 亲自篆刻了这八个字
682s 亲自篆刻了这八个字
684s 秦皇就把它列为传国玉蟹
685s 秦皇就把它列为传国玉玺
686s 秦皇就把它列为传国玉玺
688s 欲传百世千世万世
689s 欲传百世千世万世
693s 主公你看就是它啊
694s 主公你看就是它啊
695s 主公你看就是它啊
696s 主公你看就是它啊
701s 程普叔叔说得非常对
703s 爹权儿也知道
708s 那你说说
710s 秦皇赢政得到这块传国玉玺以后
711s 秦皇赢政得到这块传国玉玺以后
713s 根本就没有传千世万世
714s 根本就没有传千世万世
715s 仅仅传了两世暴秦就亡了
716s 仅仅传了两世暴秦就亡了
717s 仅仅传了两世暴秦就亡了
718s 后来由我高祖皇帝一统天下
719s 后来由我高祖皇帝一统天下
720s 后来由我高祖皇帝一统天下
721s 建立了大汉王朝
722s 建立了大汉王朝
723s 玉玺落到了高祖手里以后
724s 玉玺落到了高祖手里以后
726s 又传了十五代君王
728s 西汉末年王莽篡逆
729s 西汉末年王莽篡逆
730s 孝元皇太后就用这块玉玺砸贼
731s 孝元皇太后就用这块玉玺砸贼
732s 孝元皇太后就用这块玉玺砸贼
733s 玉玺掉在了地上崩坏了一角
734s 玉玺掉在了地上崩坏了一角
735s 玉玺掉在了地上崩坏了一角
736s 后来匠人们就用黄金镶补了
737s 后来匠人们就用黄金镶补了
738s 后来匠人们就用黄金镶补了
743s 二弟你是怎么知道那么多的
744s 二弟你是怎么知道那么多的
745s 二弟你是怎么知道那么多的
747s 那是应该的
754s 今日上天把玉玺授命于主公
755s 今日上天把玉玺授命于主公
756s 今日上天把玉玺授命于主公
758s 足见主公有九五之尊哪
759s 足见主公有九五之尊哪
760s 足见主公有九五之尊哪
