1400s 我如何向伯父交代呀
1404s 少将军不要太着急
1406s 少将军不要太着急
1410s 昨日有人在往襄阳的路上
1414s 此人的医术可谓医中之圣
1416s 许多绝症到他的手下
1418s 即刻妙手回春哪
1420s 先生所说的
1422s 是不是传说中的华神仙哪
1424s 正是此人
1426s 我与此人有过一面之交
1430s 将军我这就派人去追他
1434s 先生我亲自去我马快
1446s 箭头沾有乌头毒药
1450s 药性已直透入骨髓
1454s 再不医治非但这只胳膊要废了
1456s 只恐性命难保啊
1460s 先生可医否
1462s 我虽有疗法
1464s 只恐君侯受不了剧痛
1466s 只恐君侯受不了剧痛
1474s 关某驰骋疆场几十年
1478s 出生入死何惧之有
1480s 出生入死何惧之有
1482s 君侯请听我讲这疗伤之法之后
1486s 再做决定如何
1488s 请讲
1492s 先选净处深理一柱
1494s 柱上钉铜环
1496s 君侯需以伤臂穿于环中
1498s 君侯需以伤臂穿于环中
1500s 我用绳缚之
1502s 然后用棉被蒙君侯之首
1504s 为何要把我的头蒙起来
1508s 只恐君侯看到我的疗法受惊
1512s 我看你疗伤做甚我要看这棋
1514s 我看你疗伤做甚我要看这棋
1516s 这盘棋我还没下完你接着讲
1518s 这盘棋我还没下完你接着讲
1524s 我用尖刀割开君侯皮肉
1530s 然后用刀刃刮去骨上箭毒
1532s 然后用刀刃刮去骨上箭毒
1534s 以药敷之
1536s 再用针线缝合伤臂
1538s 再敷药如此方可无恙
1540s 再敷药市如此方可无恙
1544s 何需这般繁琐
1546s 我就坐这儿下棋
1548s 你只管动刀就是
1552s 还愣着干什么动刀吧
1560s 少将军
1562s 取只盆来接血
1578s 君侯勿惊
1580s 季常
1624s 季常我和你赌酒
1628s 输了罚酒一杯
1666s 季常该你落子了
1684s 君侯好了
1686s 君侯好了
1690s 三日之内不可活动这只伤臂
1700s 好啊
1702s 我这只臂膀又可活动自如了
1704s 我这只臂膀又可活动自如了
1706s 先生真乃神医呀
1708s 先生真乃神医呀
1712s 君侯我从医一生
1714s 从未见过君侯这样的人
1716s 君侯真乃天神也
1742s 在下有一事相托
1748s 请先生以伤情甚重为由
1752s 劝关将军退回荆州静养
1756s 为何你自己不跟他说呢
1764s 难道他肯听我的吗
1766s 难道他肯听我的吗
1770s 求先生了
1776s 也罢我试试
1790s 先生关某有一心愿
1796s 军中如有先生在
1798s 如同增加了数万将士的性命
1800s 如同增加了数万将士的性命
1802s 关某斗胆
1804s 敢请先生在军中留住
1806s 我军将士必以国士相待
1808s 我军将士必以国士相待
1810s 多谢君侯美意
1812s 在下一向闲云野鹤
1814s 在下一向闲云野鹤
1818s 再者请君侯恕我直言
1822s 在下本不愿治这刀兵之伤
1824s 为何呢因为我治好了他
1828s 就会增加更多的刀兵
1830s 医者虽有再生之德
1832s 但在下更愿意用这微末的本领
1836s 救治更多的寻常百姓
1838s 如果我留在营中
1840s 老百姓怎么办呢
1844s 先生高义在下敬佩
1846s 先生高义在下敬佩
1852s 先生这黄金百两
1856s 权作谢礼
1858s 这我不能接受我另有所请
1860s 这我不能接受我另有所请
1862s 请先生示下
1866s 君侯的箭疮虽治了但仍须爱护
1868s 君侯的箭疮虽治了但仍须爱护
1870s 切勿怒火攻心
1878s 因此请将军远离战地
1880s 回荆州调养
1884s 不百日之内
1886s 不百日之内
1890s 我不用这条伤臂
1892s 一样可以攻下樊城
1900s 先生此次辛苦了
1902s 不辛苦
1904s 季常啊请恕我直言
1906s 季常啊请恕我直言
1910s 关将军的伤情我已治好了
1912s 可是他的狂傲之病
1916s 远胜于伤情我无药可治
1918s 远胜于伤情我无药可治
1922s 在下明白了
1924s 在下明白了
1958s 大都督你看荆州军营江边
1960s 立起数百座烽火台
1962s 一旦有警夜举火日起烟
1964s 片刻之间战情将直达关羽
1968s 荆州水师会立即闻警而动
1970s 荆州水师会立即闻警而动
1972s 关羽也会前来援救
1978s 我军将水陆两面受敌呀
1980s 动手吧大都督
1982s 我们定能在关羽回援之前
1986s 现在还不是时候
1988s 大都督要是关羽一旦攻下樊城
1990s 大都督要是关羽一旦攻下樊城
