0s 第士十三集
1s 第七十三集
16s 曹仁将军令在下冒死突围
18s 樊城被围两个月
21s 城中的老鼠都被吃光了
22s 如果将军再不发兵救援
24s 我们就只有吃人肉了
25s 我们就只有吃人肉了
28s 兄弟跟你说实话吧
30s 兄弟跟你说实话吧
33s 我在此等待了二十天
34s 我在此等待了二十天
37s 但是没有魏王之令我不能进兵
39s 但是没有魏王之令我不能进兵
40s 但是没有魏王之令我不能进兵
42s 但是没有魏王之令我不能进兵
45s 将军将军啊难道你想坐视
46s 将军将军啊难道你想坐视
48s 樊城弟兄们全军阵亡
49s 樊城弟兄们全军阵亡
51s 想看到曹仁将军
52s 落到定军山的下场吗
58s 扶他下去吧
61s 将军 将军
70s 我徐晃为将三十年
75s 何曾受过如此耻厚
79s 知道耻厚好啊知耻而后勇嘛
81s 知道耻厚好啊知耻而后勇嘛
82s 知道耻厚好啊知耻而后勇嘛
90s 魏王魏王
91s 你终于来了
94s 魏王你终于来了
106s 魏王我恨不得劈自己一刀啊
108s 魏王我恨不得劈自己一刀啊
111s 你命令末将在此守候二十多天
112s 你命令末将在此守候二十多天
114s 我七次请战
117s 你七次给我骂回来
120s 魏王你今天为何亲自赶来
121s 魏王你今天为何亲自赶来
124s 因为现在战机已到
126s 因为现在战机已到
129s 你看孙权要和咱们联合
130s 你看孙权要和咱们联合
135s 按信上的日子算
138s 吕蒙此时应该在荆州城下了
139s 吕蒙此时应该在荆州城下了
144s 末将在
151s 现在我把我的虎责营御林军
153s 现在我把我的虎责营御林军
154s 现在我把我的虎责营御林军
156s 现在我把我的虎责营御林军
157s 现在我把我的虎责营御林军
159s 还有我儿曹彰全部交给你
160s 还有我儿曹彰全部交给你
162s 还有我儿曹彰全部交给你
163s 这是我最精锐的十二万兵马
168s 关羽号称天下第一猛将
171s 他所统率的荆州军
172s 是刘备最精锐的军队
174s 是刘备最精锐的军队
180s 击败他
183s 全部斩尽杀绝一个降卒都不留
184s 全部新尽杀绝一个降卒都不留
192s 攻城
214s 不许退缩谁都不许退
216s 不许退缩谁都不许退
217s 违令者立
219s 今日务必给我拿下荆州城
