800s 荆州败兵来报昨天夜里
802s 东吴吕蒙率军过江
804s 袭击了荆州
812s 这个东吴阿蒙
816s 他竟然在背后捕我一刀
824s 我沿江上下有百十座烽火台
826s 将士们为何不举火报警
828s 东吴军士扮作客商过江
834s 三更时突然下手
836s 杀尽守城士卒
840s 南郡傅士仁糜芳
842s 为什么不来援救荆州
846s 他们这两个叛徒已经降吴
862s 天哪
870s 我关羽一世英明
872s 竟坏于奸小之手
876s 兄长把荆州托付给我
880s 我有何面目去见兄长
882s 我有何面目去见兄长
890s 关平你速带君侯赶快撤退
892s 关平你速带君侯赶快撤退
902s 不要走了关羽
904s 谁斩了关羽首级赏干金
906s 谁斩了关羽首级赏干金
920s 关某在此
922s 就是单手独臂也能砍了你
924s 快快下马受死
934s 君侯小心
940s 关羽啊虽然我胜之不武
942s 但你末日已到怨不得我了
950s 快保护君侯撤退快
974s 别跑了关羽
990s 休要放走关羽弟兄们给我追
1024s 徐将军我有三千精骑
1026s 都是西凉快马
1034s 好斩关羽之功我就让给你了
1036s 谢将军
1038s 请公子即刻领兵出发
1042s 切记关羽骁勇一定要小心哪
1048s 魏王定会大喜
1050s 你更是名震天下了
1052s 大恩不言谢容我后报
1054s 徐晃将军听令
1056s 魏王传令对于关羽的残军
1058s 只追不击
1060s 既不能伤更不能杀
1068s 父亲还要留用关羽吗
1076s 将在外君命有所不受
1082s 魏王军令你我不可违抗
1084s 你听见军令了我可没听见
1092s 公子公子请下马
1094s 公子公子请下马
1098s 你我必须遵守
1100s 我是魏王的儿子你管得着吗
1102s 你信不信我劈了你
1104s 你就是劈了我
1106s 我也要执行魏王的军令
1110s 放手放手
1112s 放手
1114s 砍哪你怎么不砍哪
1136s 你看清楚他是谁了吗
1140s 他是徐晃徐晃是谁呀
1142s 他是徐晃徐晃是谁呀
1146s 是我的韩信白起周亚夫
1152s 你小子还没开花结果哪
1154s 他一个徐晃顶得上你十个曹彰
1156s 他一个徐晃顶得上你十个曹彰
1158s 父王孩儿向父王请罪
1166s 徐将军曹彰罪该万死
1168s 公子快快请起呀
1180s 彰儿杀关羽容易
1182s 彰儿杀关羽容易
1186s 可是这个时候杀他
1188s 已经不是功劳而是祸水
1190s 因为关羽是刘备的骨肉兄弟
1192s 因为关羽是刘备的骨肉兄弟
1194s 杀了他会招来刘备的复仇大军
1196s 这股祸水
1198s 为何不引到吴军那儿去呢
1204s 只准你大张旗鼓地追
1206s 不准你靠近他百步之内
1226s 上将军我来了
1228s 周仓关平呢
1236s 曹兵离我们还有多远
1242s 曹操又在使什么诡计
1250s 刚才一场乱战四面皆敌
1252s 马先生给冲散了
1268s 都怪我大意失了荆州
1272s 一败涂地
1274s 上将军这条小路直通上庸
1276s 上将军这条小路直通上庸
1278s 我护着你
1280s 到了上席我们就脱险了
1288s 不要荆州了吗
1298s 站住你们是哪个营的
1302s 我等是廖化将军属下
1304s 廖化何在廖化何在
1306s 廖化将军前往上庸
1308s 催促刘封孟达发兵救援
1314s 现在发兵等于是杯水车薪
1318s 廖将军拔刀怒斥
1320s 被刘封手下逐出了城池
1322s 生死不明
1336s 快进麦城
1356s 陆逊的追兵可有追上
1358s 回大都督不见踪影
1360s 好给我追
1362s 好给我追
1382s 上将军喝些水吧
1384s 上将军喝些水吧
1388s 水不多了给赤兔马饮吧
1390s 水不多了给赤兔马饮吧
1410s 父亲当年长坂坡的时候
1412s 父亲当年长坂坡的时候
1416s 要比现在的情况惨多了
1420s 可后来赤壁一把大火
1424s 曹操八十三万大军吗
1430s 有志气呀F平儿
1442s 也不知他生死如何
1446s 他劝我不要离开荆州
1450s 真应该听他的话呀
1458s 父亲吕蒙虽然可恨
1462s 可他到底是敌人呢
1464s 比吕蒙更可恨的是刘封孟达
1466s 比吕蒙更可恨的是刘封孟达
1468s 比吕蒙更可恨的是刘封孟达
1470s 他们不但是父亲的部属
1472s 更是主公的侄儿啊
1474s 竟然拒不发兵坐视父亲沦难
1476s 竟然拒不发兵坐视父亲沦难
1478s 竟然拒不发兵坐视父亲沦难
1482s 将军 将军
1486s 怎么回事
1488s 不好了将军
1492s 是曹兵吗
1494s 黑灯瞎火的什么都看不清楚
1504s 曹军多北马
1506s 嘶鸣声高亢蹄声清悦
1512s 蹄声滞重
1518s 是吕蒙到了
1520s 父亲麦城三里小郭
1522s 吴军都是生力军哪
1524s 我们只剩几百兵马
1526s 是无论如何也挡不住的呀
1528s 我看趁敌立足未稳
1530s 我等护着你冲出去
1532s 赤免马快他们追不上你
1540s 昨天我已经去了上庸
1544s 开门迎战
1546s 父亲
1548s 留得青山在不怕没柴烧
1550s 我们留下来阻击吴军
1570s 随我出战
1592s 上将军上将军
1596s 上将军我们冲出来了
1598s 还有多少人
1602s 还有十二骑
1628s 看清楚他往哪个方向走了吗
1630s 天色太暗看不清楚
1638s 残兵败将了
1640s 一定是往上庸走了
1644s 都督关关羽的赤兔马太快了
1648s 他的赤免马是快
1650s 不过从樊城到这里
1652s 他们已经狂奔了三天三夜
1656s 也早已经精疲力尽了
1658s 你骑个毛驴也能赶上他
1660s 大都督
1662s 好像是陆逊的声音
1664s 大都督
1666s 你二人听命
1670s 率领人马往西边去
1672s 我带着剩下的人
1676s 陆逊准追奔我的将旗而去
1698s 上将军吴军很快就会追来的
1702s 从麦城出来快二百里了
1708s 让我的赤免马歇息一下
1752s 关将军吕蒙在此等候多时了
1760s 准备应战
