1700s 现在就告诉我们以安军心
1702s 大都督
1706s 好吧我们最后的防线
1708s 好吧我们最后的防线
1712s 是亭山蜀军攻到那里
1714s 是亭山蜀军攻到那里
1718s 应该是两个月后吧
1722s 我们现在要做的
1724s 就是要争取一切时间
1728s 拖垮蜀军以待天时
1730s 拖垮蜀军以待天时
1734s 我自有三十万雄兵从天而降
1736s 我自有三十万雄兵从天而降
1742s 三十万雄兵从天而降
1744s 简直就是痴人说梦啊
1746s 我担心大都督并无良策
1748s 他现在是表面镇定
1750s 内心恐惧不安哪
1752s 主公让他做大都督
1754s 早晚得大祸临头啊
1756s 不说了战死报国吧
1758s 死有何惧啊
1766s 丞相
1770s 丞相陛下的大军又告捷了
1772s 丞相下的大军又告捷了
1776s 进展到何程度了
1778s 陛下在富池口设伏
1780s 一举歼灭了吴军精锐七万余人
1786s 先后攻破吴军三道连营
1788s 近九十多座营寨
1790s 陛下现已深入吴境二百里了
1792s 陛下现已深入吴境二百里了
1794s 吴军上下是一片混乱
1798s 想不到啊
1800s 进展得如此顺当
1804s 是啊孙权用陆逊为大都督
1806s 是啊孙权用陆逊为大都督
1808s 此人太过稚嫩
1810s 在军中又无威信
1812s 连吃败仗也是在所难免的
1814s 连吃败仗也是在所难免的
1816s 孙权并不会打仗凡战必败
1818s 孙权并不会打仗凡战必败
1820s 但是他有一条好处
1822s 就是有知人之明
1828s 知道该找谁为自己打仗
1830s 周瑜鲁肃吕蒙
1832s 周瑜鲁肃吕蒙
1836s 如今用陆逊
1838s 看来陆逊也有过人之处
1840s 看来陆逊也有过人之处
1846s 下还有什么话挡来吗
1848s 蜀军年内定可荡平东吴
1852s 请丞相勘酌迁都何处
1858s 丞相怎么了
1860s 丞相怎么了
1866s 没什么只是有些担心
1870s 可担心什么我也不清楚
1876s 远隔两干里
1878s 我仿佛就能听见将士们的笑声
1884s 取笔来我给陛下回一封信
1886s 取笔来我给陛下回一封信
1888s 你亲自送到军中
1892s 败报又到了
1894s 我军败退了五十里呀
1896s 这第三道连营又尽失了
1898s 这第三道连营又尽失了
1900s 就是这可怎么办
1902s 这陆逊误国误君
1904s 再不撤换英东吴无救啊
1906s 再不撤换英东吴无救啊
1908s 自从陆逊挂帅后
