1400s 其后主刘禅
1402s 不过是一孺子
1406s 加之彝陵之战后
1408s 蜀元气尽丧军力大损
1410s 蜀元气尽丧军力大损
1414s 仲达朕想出兵伐蜀
1416s 仲达朕想出兵伐蜀
1420s 你看如何啊
1422s 下如要起兵伐蜀
1424s 真乃天赐其时啊
1430s 刚才陛下道出刘备死讯时
1432s 臣已经在为陛下
1434s 琢磨用兵方略了
1440s 爱卿真是才思迅捷啊
1448s 蜀大权就落在诸葛亮手中
1450s 蜀大权就落在诸葛亮手中
1452s 此人善能用兵
1454s 其才远胜于其主刘备
1458s 因此陛下如要伐蜀
1460s 当兴五路大军
1464s 让诸葛亮首尾难动
1466s 如此方能成功
1476s 请下修书一封
1480s 遣使见鲜卑首领比能
1482s 贿赂他金帛钱粮
1484s 令他起精兵十万
1486s 直取西平关
1488s 第二路
1492s 遣使赏赐蛮王孟获
1496s 令他起蛮兵十万
1502s 令降将孟达
1504s 起新城兵十万攻取汉中
1506s 起新城兵十万攻取汉中
1508s 第四路
1510s 遣使赴建业与吴王修好
1512s 遣使赴建业与吴王修好
1520s 令孙权起兵十万
1522s 攻取川峡两口径取城
1524s 攻取川峡两口径取城
1530s 这第五路嘛
1538s 陛下要选一智勇上将
1540s 官拜大都督
1542s 率十万精锐总直取阳平关
1544s 率十万精锐总直取阳平关
1548s 如此五路出兵
1550s 大军五十万
1554s 诸葛亮再有智谋
1556s 也会顾此失彼首尾难救
1558s 也会顾此失彼首尾难救
1560s 即使不失蜀地
1562s 也会失去汉中
1564s 两地失一蜀必亡
1570s 好方略
1576s 好方略呀
1578s 好好好好好好
1580s 好好好好好好
1590s 好像言犹未尽哪
1592s 好像言犹未尽哪
1598s 做这第五路的大都督啊
1618s 臣虽然不敢以智勇自翊
1622s 但始终臣想亲赴沙场
1624s 为陛下建功
1632s 司马懿是个天下奇才
1634s 司马懿是个天下奇才
1636s 你必须用他
1644s 但是你要记住
1648s 永远要防着他
1650s 永远要防着他
1658s 爱卿仲达
1662s 你是朕的心腹智囊
1666s 朕实在实在是舍不得
1672s 你呢还是帮助朕
1674s 运筹惟于中
1676s 决胜于干里之外
1682s 你仍然是灭蜀的第一功臣
1694s 令公子现居何职啊
1700s 陛下臣现任洛阳主薄
1708s 朕加授你为洛阳中郎将
1710s 朕加授你为洛阳中郎将
1716s 即日起随你父亲一道
1718s 参议军政
1724s 谢陛下天恩
1730s 臣已接四道军情急报
1732s 臣已接四道军情急报
1734s 鲜卑柯比能
1736s 领十万大军出旱路
1738s 攻我西平关
1740s 第二道蛮王孟获
1742s 领十万蛮军
1744s 北攻我南部各郡
1746s 第三道蜀中降将孟达
1748s 竟然也奉曹丕旨意
1750s 直攻我汉中之地
1752s 第四道魏大将军曹真
1754s 领精兵二十万
1756s 已经逼近阳平关了
1760s 那个李严
1762s 丞相知道这些军情吗
1764s 为臣在黎明时分
1766s 为臣在黎明时分
1768s 已经通报丞相了
1770s 那那他为何不来上朝议政啊
1772s 那那他为何不来上朝议政啊
1774s 丞相不知何故病了
1776s 丞相不知何故病了
1784s 你们可有退敌之策啊
1794s 下有丞相在
1796s 陛下有丞相在
1798s 犯兵定然可退蜀汉无忧
1804s 以臣之愚见
1806s 假如丞相称病不朝
1810s 正在苦思退敌之策
1812s 正在苦思退敌之策
1838s 是陛下
1840s 臣失敬告罪告罪
1842s 相父啊你独自在此看鱼
1844s 相父啊你独自在此看鱼
1846s 满朝文武都在看着你哪
1850s 大臣并非在观鱼
1852s 乃是在观犯兵的动向
1856s 朕告诉你
1858s 共有四路敌军来犯
1860s 陛下能说出是哪四路吗
1864s 第一路是番王辑比能
1866s 第二路是蛮王孟获
1868s 第二路是蛮王孟获
1870s 第三路是降将孟达
1872s 第四路是魏大将军曹真
1874s 好陛下侃侃道来敌情
1876s 令臣刮目相看
1880s 那既然如此
1886s 请陛下入亭拜茶
1902s 这四路敌军看起来来势凶泌
1906s 不足为惧
1910s 爱卿你说的果然不错
1912s 相父早有退敌之策了
1918s 陛下只需派马超去镇守
1920s 他在羌人中的威信
1922s 被称为天威将军
1930s 南蛮孟获犯兵四郡
1934s 陛下可派魏延
1936s 领一军左出右入右出左入
1938s 以为疑兵之计
1940s 蛮兵们作战
1942s 通常恃勇寡智
1944s 其心多疑若见疑兵
1946s 必不敢进
1952s 阳平关这一路
1954s 虽说是曹军十五万精锐
1958s 但大都督曹真是徒有虚名
1962s 前番在南郡曾被陆逊打得大败
1966s 出镇阳平关
1974s 必不敢妄动时间一长
1976s 曹真粮尽
1978s 必然托故退军
1988s 但臣知道他降魏是迫不得已
1990s 但臣知道他降魏是迫不得已
1994s 孟达在新城等地拥兵自重
1996s 一向不奉魏廷号令
2008s 孟达与李严曾结有生死之交
2010s 臣已请李严修书一封
2012s 着亲信交与孟达
2014s 晓以利害
2016s 因此孟达必会托病不出
2020s 此一路犯兵又不足忧矣
2022s 此一路犯兵又不足忧矣
2028s 此外臣为防止意外
2030s 已密令张苞关兴二位将军
2032s 各引兵三万屯于紧要之处
2034s 做各地救援
2038s 相父真乃天神也
2044s 就将四路敌军打发了
2046s 烹下退敌之策
2048s 烹下退敌之策
2050s 须要秘密进行
2052s 丞相之所以托病不朝
2056s 就是怕走漏了消息
2062s 寡人真是误解相父了
2072s 相父还有什么忧虑吗
2074s 臣刚才观鱼时
2076s 臣刚才观鱼时
2078s 确实心存忧虑
2080s 这水面上的鱼臣都看见了
2082s 这水面上的鱼臣都看见了
2086s 有没有臣没有看见的恶鱼
2088s 相父何意
2090s 臣担心还有一路犯军
2092s 臣担心还有一路犯军
2096s 幼常猜得出来吗
2100s 正是
2102s 孙权
2104s 不会吧
2106s 他不是刚与我们重盟和好吗
2110s 孙权之所以与我再度修好
2114s 是由于当时曹魏大军
2118s 现在则不然
2120s 如果曹不许他以重利
2124s 比如约他共分川蜀之地
2126s 那孙权还能守得住盟约吗
2128s 那孙权还能守得住盟约吗
2134s 其才智不及曹操
2136s 但狡點不亚于乃父
2138s 三足鼎立相互牵制
2140s 如果曹丕不能先稳住东吴
2144s 岂敢尽意伐蜀
2146s 如臣所料不错的话
2150s 魏使恐怕已经前往东吴了
2152s 魏使恐怕已经前往东吴了
2156s 相父有什么办法
2160s 速遣使赴吴晋见孙权
2164s 晓以大义说明利害
2168s 这使命不易呀
2170s 那相父想派谁出使啊
2172s 那相父想派谁出使啊
2176s 我早已思得一人
2178s 照我看
2180s 此人才干不亚于陆逊
2182s 他既有忠勇又不惧斧
2184s 他既有忠勇又不惧斧護
2186s 他随臣多年常显出过人之智
2188s 只差为蜀汉建立殊勋罢了
2190s 只差为蜀汉建立殊勋罢了
2196s 臣请命出使东吴
2200s 此行即便不能成功
2202s 臣也定然上不厚君威
2210s 幼常拜托了
2212s 幼常拜托了
2218s 主公魏使在客栈中
2224s 急不可耐这些日子
2226s 更是天天催促在下
2228s 想面见主公
2230s 以便促请主公
2232s 早下决心起兵伐蜀
2236s 急什么就告诉他们
2238s 急什么就告诉他们
2240s 我患病不见任何人
2242s 多拖延他们几天便是
2244s 敢问主公在等什么
2248s 曹不是说
2250s 派五路大军伐蜀吗
2254s 那四路大军的境况
2258s 然后再定进退
2264s 主公依老臣之见
2266s 主公依老臣之见
2268s 不妨伴做应允曹丕
2270s 不妨伴做应允曹丕
2272s 答应他起兵伐蜀
2274s 同时又不与他定准进军日期
2276s 同时又不与他定准进军日期
2278s 这样既不得罪曹魏
2280s 这样既不得罪曹魏
2282s 又不负吴蜀之盟
2286s 万一曹丕伐蜀得胜了
2288s 咱们也能均分其地呀
2290s 咱们也能均分其地呀
2296s 主公魏使令臣传话
2298s 主公魏使令臣传话
2300s 说主公如果今日再不见他
2304s 那就证明东吴执意与魏为敌
2306s 他要回许昌复命了
2312s 顾雍
2322s 主公蜀汉使臣马逻
2324s 主公蜀汉使臣马
2326s 奉诸葛亮之命前来晋见
2330s 蜀臣按照规矩蜀使来吴
2332s 蜀臣按照规矩蜀使来吴
2334s 蜀臣按照规矩蜀使来吴
2336s 我三日前就该收到文书啊
2338s 马谬此行急切
2340s 他与蜀地文书
2342s 一同进的宫
2354s 主公这道文书
2358s 是诸葛亮亲笔写的
2360s 臣认得他的笔迹
2364s 曹不造使来吴的事
2366s 除了孤与你们几个人
2368s 没人知道
2370s 连诸葛瑾也不知
2372s 那诸葛亮为何就知道了
2374s 那诸葛亮为何就知道了
2376s 莫非他真的料事如神
2378s 莫非他真的料事如神
2380s 诸葛亮在信中
2382s 直言了他对那四路犯兵的
2386s 可见他早已胸有成竹早有布置
2388s 可见他早已胸有成竹斤早有布置
2392s 主公诸葛亮虽然多智
2394s 主公诸葛亮虽然多智
2396s 但他也经常故作疑兵
2398s 但他也经常故作疑兵
