0s 第八十四集
5s 吴王口谕
7s 传蜀汉使臣马进见
10s 传蜀汉使臣马进见
30s 吴王效楚汉故事
32s 郦生说齐
35s 看来今天我和魏使之间
37s 必有一人要被烹杀了
57s 蜀参军马谬拜见吴王殿下
60s 既为使臣
62s 见我王为何不跪
67s 上国天使不拜小邦之主
75s 马啊你此行来吴
77s 是想施展三寸之舌
80s 效仿丽生说齐吧
87s 孤平生最讨厌说客了
92s 将这狂徒扔入油鼎炸了
100s 本使无需尔等站污
102s 待我自己下鼎键
117s 没想到竟然悸惧我一儒生
127s 孤何惧一匹夫啊
137s 你无非是想替诸葛亮做说客
142s 劝我联蜀拒魏
145s 救蜀出险境
150s 非也马谣此来
162s 救吴可笑至极
167s 现在被包围的可是蜀汉
170s 现在被包围的可是蜀汉
177s 你既然知丽生说齐之典故
180s 扁鹊与蔡桓公之典呢
185s 患有重病的王公
187s 往往却不知道
190s 自己的病症之所在
202s 你可试言之如言不中我意
205s 你可试言之如言不中我意
217s 大王你乃是当今明主
220s 大王你乃是当今明主
222s 我家丞相亦是当世之俊杰
225s 我家丞相亦是当世之俊杰
227s 互为盟友则天下太平
232s 若互为仇敌则唇亡齿寒
235s 同理蜀有山川之险
237s 同理蜀有山川之险
240s 吴有三江之固
242s 若两国联合共为唇齿
245s 则进可兼取天下
247s 退可鼎足而立
252s 如果大王贪信曹魏所许之小利
255s 如果大王贪信曹魏所许之小利
257s 试问蜀一但灭亡
260s 试问蜀一但灭亡
262s 东吴又能和魏抗衡多久呢
265s 早晚必亡也
267s 反之
270s 蜀如果击退了曹魏的各路军马
275s 我主以后还会与殿下为盟吗
277s 蜀吴必将反目成仇啊
290s 断其一足必然天下倾覆
297s 此人必然难以立足
302s 你见过有谁
305s 拿着刀剁自己的脚吗
320s 也罢
327s 既然殿下愿意背盟毁约
330s 向曹丕拱手贡献江东八十一郡
332s 向曹丕拱手贡献江东八十一郡
337s 那么在下也愿自下鼎
350s 殿下嫌鼎中的沸油不够多吗
360s 先生好口才好胆识啊
362s 先生好口才好胆识啊
367s 请到后殿一叙
385s 既然蜀使没有入鼎之福
387s 还请殿下掷魏使入鼎
390s 以表明吴王联蜀抗魏之志
395s 并以此正天下视听
405s 召魏使上殿
407s 吴王口谕召魏使上殿
410s 吴王口谕召魏使上殿
412s 吴王口谕召魏使上殿
435s 四路伐蜀大军
437s 均被诸葛亮设计杀退了
445s 番王比能军至西平关
447s 遇蜀上将军马超所阻
450s 竟然不战自退
452s 蛮王孟获
455s 虽起兵攻至蜀南部四郡
460s 可魏延却使用疑兵之计
462s 令孟获损兵折将
465s 只能退败蛮洞
467s 新城孟达起兵至半道
470s 突然患病
472s 自此再也不能前进一步
482s 与赵子龙据守各处险道
487s 待粮草殆尽之后
490s 也只能班师回国了
492s 曹丕果然非诸葛亮之敌呀
495s 曹丕果然非诸葛亮之敌呀
497s 主公那天如果不把魏使掷进鼎
500s 主公那天如果不把魏使掷进鼎
502s 只怕我们又要结怨于蜀了
505s 只怕我们又要结怨于蜀了
507s 不结怨于蜀
510s 必结怨于魏
515s 我恐魏国伐蜀不成
517s 反来东吴报复
520s 主公勿虑这一次
522s 主公有恩于蜀
525s 曹丕如敢犯境
527s 主公也可请蜀发兵相援
530s 主公也可请蜀发兵相援
535s 孤无论是战是和
540s 都取决于自身国力
542s 只有自身强盛了
545s 别人才肯援你
547s 别人才肯援你
557s 告诉荆州陆逊上蔡朱桓
562s 严加操练三军
565s 严防曹丕来犯
582s 丞相曹魏的四路大军
585s 据报吴王孙权的四路大军
587s 据报吴王孙权的四路大军
592s 幼常啊此次退敌
595s 你可居首功
597s 本相要多谢你啦
600s 学生蒙先生教海多年
602s 略尽绵薄而已
605s 万万不敢居功
607s 此次曹丕五路伐蜀之策
610s 你知道是出自谁的主意吗
612s 0000消息虽不确切
615s 但在下听说
617s 是一个叫司马懿的人
620s 司马懿
625s 司马懿字仲达年近五十
627s 司马懿字仲达年近五十
630s 位居尚书右仆射
632s 一直是个文臣
635s 在曹丕登大位之前
637s 他一直是其幕僚
640s 此人从未领兵征战过
642s 尚不知其兵法韬略如何
647s 就凭他献与曹丕的这一策
650s 此人早晚会成辅弼重臣
655s 往后你替我多留意着他
657s 往后你替我多留意着他
667s 天子驾到
677s 众臣朝拜
685s 吾皇万岁万岁万万岁
687s 吾皇万岁万岁万万岁
692s 平身
695s 谢陛下
707s 各路大军皆是无功而返
715s 你们说此役败因何在
717s 你们说此役败因何在
