0s 第人十五集
5s 诸位爱卿边关报称
7s 诸葛亮起三十五万蜀军北伐
10s 现已屯兵汉中兵锋所向
12s 现已屯兵汉中兵锋所向
15s 直指两都
22s 你们说朕该如何应敌
30s 陛下诸葛亮屯兵于汉中
32s 意欲观我动静
35s 臣建议令各郡都督扼守边城
37s 以静制动
40s 之后再遣一上将出战赵云
45s 赵云乃蜀中五虎上将
47s 勇冠天下谁敢出战赵云
50s 勇冠天下谁敢出战赵云
52s 陛下
57s 臣与蜀军不共戴天
60s 请陛下赐臣以关西军
62s 出战赵云
65s 上报国家下雪父仇
70s 陛下夏侯驸马壮志可嘉
72s 可他未经大战
77s 臣建议
80s 还是请大将军曹真挂帅
82s 大司徒曹休为副
85s 提国中大军迎敌
90s 王朗我自幼深学韬略
92s 你怎敢欺我年幼
95s 莫非你暗通诸葛亮
100s 仅听将军这句
102s 就足见你心急如火
105s 这本身就是临敌大忌呀陛下
107s 这本身就是临敌大忌呀陛下
110s 臣如若不能生擒诸葛亮
120s 夏侯将军乃先帝之驸马
122s 忠勇无双若使之出战赵云
125s 必扬我大魏天威呀
130s 夏侯将军
132s 联授你为平西大都督
135s 着领关西军二十万迎敌
142s 告慰先帝天灵
145s 臣领旨
160s 丞相
162s 这是为何呀
165s 丞相据典军书记报说
172s 特送来美酒百坛良骏百匹
175s 以示壮行并传孙权口谕
177s 以示壮行并传孙权口谕
180s 祝丞相旗开得胜北伐成功
187s 你们知道孙权言下之意吗
192s 告诉丞相我军的行动
195s 他了如指掌
202s 至于祝我军旗开得胜等语
205s 恐怕就言不由衷了
207s 他既不愿意看到我军功成
210s 也不愿意看到我军大败
212s 他最希望看到的
215s 乃是蜀魏两败俱伤
217s 不错那就让他拭目以待吧
230s 赵将军请命取哪条路进军
252s 右路经斜谷左道可出祁山
260s 传命兵分两路
265s 一路走斜谷道伴攻嵋县
267s 一路出祁山进至陇右
270s 立稳脚跟后再择日攻取长安
277s 丞相为何不走第三条道啊
285s 出汉中并无第三条道啊
290s 图上没有图外却是有啊
300s 丞相你若给我五千精兵
302s 让我率军穿越秦岭
305s 经子午谷直逼长安
317s 必陷入重围全军暴尸山谷
320s 必陷入重围全军暴尸山谷
322s 不曹睿万万想不到
325s 我军会穿越秦岭
327s 越是危险之处越是无防
330s 我只需精兵五千
332s 直逼长安的话
335s 十日之内我便可建功
337s 如按丞相所说
340s 出祁山直逼长安
345s 而且沿途有敌兵布防
347s 须一城一寨的攻打
350s 旷日持久何时可得中原啊
355s 北伐乃兴亡大业
357s 万万不可险
362s 我大军当循陇右平坦大道
367s 如此进军我纵然不能速胜
370s 也万万不会失败
375s 就这么定了走大道传命吧
390s 想不到丞相竟是这般的谨慎
392s 想不到丞相竟是这般的谨慎
395s 魏延哪你记着
397s 丞相生平从不弄险
400s 因此才百战百胜
402s 兵法精髓就在于一个奇字
405s 如不敢冒险何来奇兵
412s 丞相细作传来军报
415s 曹睿任命夏侯驸马
417s 引西凉兵出战
425s 徒有虚名罢了不足虑也
427s 据说司马懿被排挤出了洛阳
430s 据说司马懿被排挤出了洛阳
432s 出任雍凉都督
437s 雍凉乃守长安的咽喉要道
440s 难道我的进军方略
442s 被曹睿识破了
447s 丞相的进军方略
452s 哨骑说雍凉守军只有八千
455s 并未增加一兵一卒
457s 司马懿极善用兵
460s 有他在有如十万大军
462s 有他在有如十万大军
477s 杀人何需用刺客
480s 有时流言也能杀人
485s 不是在猜忌司马懿吗
490s 否则也不会把他贬到边城去
525s 两月内必须扩军三万
527s 诸葛亮已经出兵了
530s 我料他必出祁山径取长安
535s 雍凉扼于长安要地
537s 早晚必将大战
542s 准备攻取嵋城
545s 祁山方向并无蜀军
547s 善战者能将千军万马
552s 蜀军入斜谷道
555s 就是诱我朝廷大军呢
557s 到那个时候他们必出祁山
562s 可万一诸葛亮不出祁山呢
572s 轻则招曹真弹劾
575s 重则会让天子生疑的
577s 不如先给朝廷上道奏章
580s 明此事
582s 朝廷的风气你不是不知
587s 陛下必将召重臣商议
597s 这区区八千兵马岂能抵挡得住
600s 可可如果朝廷
602s 治父亲擅自扩军之罪
605s 那又如何是好
607s 我身为雍凉都督
610s 负守城重任
612s 你想想扩军与失守
625s 总领雍凉兵马大都督司马懿
627s 总领雍凉兵马大都督司马懿
630s 谨以信义布告天下
632s 昔日太祖武皇帝创立基业
637s 本欲立曹子建为社稷之主
640s 不幸被奸谗交集
645s 皇孙曹容素无德行
647s 妄自臀位有负太祖遗旨
650s 本都督奉太祖天命
652s 兴师讨贼
655s 各地兵民人等宜归顺新君
660s 你听听你听听
665s 四伯啊你说过
667s 司马懿生性韬晦
670s 如此张扬的告示
677s 司马懿仅凭雍凉数千守军
680s 他岂敢自立
685s 不过要是司马懿私募兵马呢
687s 他敢朕没有下旨募兵
690s 他敢朕没有下旨募
692s 说司马懿在雍凉
