0s 第八十
20s 洪城将军吴庆
22s 率步军三万五千前来听命
27s 渭郡将军宋立武
30s 好好
35s 欲送仲达兄大功一件
37s 不知足下纳否
72s 我听说你重被起用
75s 可喜可贺呀
82s 你就不怕再度被贬吗
85s 怕呀我脖子也是肉长的
87s 怕呀我脖子也是肉长的
92s 那你为何还要出山哪
105s 我司马懿贪功名贪大业
107s 整日心痒难熬
110s 梦中都想和诸葛亮斗一高下
115s 仲达呀
117s 魏国生死存亡尽掌于你手
120s 此时此刻你有两个选择
122s 此时此刻你有两个选择
132s 一者你可拥兵自守
137s 坐视天子曹睿被擒
140s 听其魏国灭亡
145s 而你呢日后可居王位
147s 挥师角逐天下图成霸业
150s 挥师角逐天下图成霸业
152s 且慢你说什么天子被擒
155s 且慢你说什么天子被擒
165s 其二便是救天子护朝廷
172s 功成之后嘛
177s 你再遭到曹真等亲贵的
180s 毁攻计陷害
182s 低毁攻计陷害
190s 我选其二
195s 兄台要送我何等大功请讲
200s 好我告诉你孟达已反
202s 好我告诉你孟达已反
207s 他就要起新城十二万大军
210s 径取洛阳
212s 生擒天子献给诸葛亮
215s 新城至洛阳路途不远
220s 孟达可轻易得手啊
222s 孟达可轻易得手啊
235s 兄台是如何得知此事的
237s 孟达谋士李楠是我的旧友
242s 他抄写了孟达写给诸葛亮的密信
245s 交给了我
272s 孟达取洛阳诸葛亮取长安
275s 孟达取洛阳诸葛亮取长安
285s 曹魏真是要亡国灭种了
287s 仲达赶紧发兵洛阳
295s 此时赶去来不及了
302s 免得惊动孟达
305s 我亲率一支铁骑星夜进军
307s 我亲率一支铁骑星夜进军
310s 直扑新城擒拿叛将孟达
315s 你这是要以天子为饵
317s 擒贼建功啊
350s 好看来孟达并无防备
355s 父亲前军抓获孟达信使
357s 押过来
372s 认得我吗
375s 不认得
377s 我是骠骑大将军司马懿
380s 天哪你
387s 听着只要你肯说实话
390s 听着只要你肯说实话
400s 去给孟达将军送一封信
402s 不料撞入贵部军中
410s 大都督
422s 近报魏廷已再度起用司马懿
425s 此人奸诈多智用兵奇
427s 如果走漏消息
430s 他必引大军星夜征剿
432s 请将军提前举兵
435s 脱离新城与我会师后
440s 看来这个诸葛亮早有预见哪
445s 我如果晚来半个时辰
447s 万事皆休啊
450s 押下去待我查实
462s 擒贼先擒王
465s 派一胆大心细之人为使
472s 就说司马懿奉命前往洛阳
477s 随行只有二子
480s 携护卫侍从数人
482s 诱他出城相见
487s 平西大都督司马懿觐见
490s 平西大都督司马懿觐见
492s 平西大都督司马懿觐见
495s 平西大都督司马懿觐见
497s 平西大都督司马懿靓见
500s 平西大都督司马懿觐见
502s 平西大都督司马懿觐见
505s 平西大都督司马懿觐见
507s 平西大都督司马懿觐见
510s 平西大都督司马懿靓见
547s 仲达呀F爱卿快快起身
550s 仲达呀爱卿快快起身
552s 朕盼你如大旱望甘霖哪
560s JGR
567s 出什么事了
577s 孟达与诸葛亮暗通
580s 准备举新城兵十二万
582s 攻取洛阳生擒陛下
587s 星夜兼程赶往新城
590s 擒拿判将孟达
605s 天哪如非爱卿相救
607s 天哪如非爱卿相救
610s GR朕恐早丧于他命了
615s 你刚刚上任便建此奇功
617s 你是天朝的功臣哪
622s 恭喜陛下贺喜陛下
625s 诸葛亮他是必败无疑呀
630s GR
632s 其耿耿忠心可昭日月名垂青史
645s 皆宛城太守申仪之功
655s GR
657s GR
662s 授申仪为冀州刺史
665s 授申仪为冀州刺史
670s 臣领旨谢恩
680s 朕将两京全部兵马交付于你
682s GR朕令你带领全部军马
690s 你可当机立断先后奏
707s CNTE
737s 大司马曹休再败
740s 大将军曹真三败
742s 此三番败阵下来
745s 朝廷已损失了几十万兵马
752s 丢失城池十七八座
755s 更要紧的是
757s 京城人心动摇百官畏敌
760s 京城人心动摇百官畏敌
770s 不过我可以正告各位
775s 魏军之败到此为止
777s 蜀军之败由此开始
780s 蜀军之败由此开始
782s 如果大都督早些挂帅
787s 将军此言差矣
792s 如果没有曹休等三人的战败
795s 我们就不会有今后的胜利
800s 消耗了诸葛亮大量的
802s 钱粮军马
810s 五月有余兵锋已挫
817s 军械的供给
822s 而他们入我魏境作战
825s 每一粮一箭
827s 都要从汉中运出
832s 这样我们就占尽了
835s 天时和地利
852s 入子午谷穿秦岭
855s 径取长安
860s 这诸葛亮要这样用兵的话
862s 中原一半就是他的了
865s 可惜呀
867s 诸葛亮啊平生谨慎
875s 他只有稳扎稳打
877s 步步为营不求速胜
880s 只求百战不殆耳
882s 大都督
895s 陇西以南蜀军侧翼
902s 有一个地名叫街亭
905s 有一个地名叫街亭
907s 75它守汉中咽喉
910s 是蜀军的粮道所在
912s 只要我们能够抢占街亭
925s 如果诸葛亮还不撤兵
930s 各处险要口坚守不战
937s 陇西的几十万蜀兵
940s 就会饿死
950s 天下早就大定了
955s 袭取街亭
957s 此役非将军不可
960s 请将军率两万士兵前往
962s 请将军率两万士兵前往
970s 报丞相
972s 拜为西征大都督
975s 全由司马懿掌握
985s 孟达所有的部下
987s 丞相
990s 为左右大将军
992s 现已挥师西进
1010s 孟达起事不密反应迟钝
1015s 才招致此祸
1017s 司马懿奸诈多智
1020s 极善用兵
1022s 他才是我的大敌呀
1027s 众位判断一下
1030s 司马懿进军之后
1032s 会攻取哪里呀
1047s 街亭他定会攻取街亭
1050s 断我咽喉要道
1055s 众将
1057s 你们谁能引军据守街亭啊
1060s 你们谁能引军据守街亭啊
1062s 丞相在下愿守街亭
1070s 幼常街亭虽小
1072s 幼常街亭虽小
1075s 却是干系极大
1077s 一旦失守我军大势皆去了
1080s 马逻愿立军令状
1082s 如果街亭失守
1085s 请斩我头
1100s 颇通兵法
1102s 又蒙先生教海多年
1107s 一个小小的街亭
1110s 司马懿之才不下于曹操
1112s 张部又是天下名将
1115s 你恐怕不是他的对手啊
1125s 我也不惧丞相请授命吧
1127s 我也不惧丞相请授命吧
1140s 我马氏祖先皆汉世忠臣
1142s 蜀伐入沙场马革裹尸还
1145s 壮烈千秋
1150s 在下早就想领兵征战了
1152s 请丞相赐给我一个
1155s 告慰先祖的机会
1177s 好吧
1180s 我给你两万五千精兵
1182s 再加上将一员助你前去
1187s 谢丞相
1197s 助马谣镇守街亭
