1750s 抵敌抵敌快让人抵敌
1752s 抵敌抵敌抵敌
1762s 蜀军已经破城东关西关都失了
1764s 这些服饰是我军哨探用的
1766s 父亲你赶紧换上一件
1768s 儿保你乱杀出城去快
1770s 大都督大都督
1782s 当心被敌军认出来快快策马
1786s 生擒曹真生擒曹真别让他跑啦
1788s 生擒曹真生擒曹真别让他跑啦
1790s 生擒曹真生擒曹真生擒曹真
1792s 生擒曹真生擒曹真生擒曹真
1794s 生擒曹真生擒曹真生擒曹真
1802s 大都督大都督父亲大都督
1810s 儿啊我不不行了你快跑吧
1812s 儿啊我不不行了你快跑吧
1814s 不父亲我们一起走
1816s 不父亲我们一起走
1820s 不行我的腰腰断了不能骑了
1822s 不行我的腰腰断了不能骑了
1826s 你快拔拔剑杀了我
1828s 你快拨发拔剑杀了我
1832s 父亲你说什么
1836s 我是大司马大都督
1840s 一旦被抓朝廷蒙羞祖宗蒙羞
1842s 一旦被抓朝廷蒙羞祖宗蒙羞
1844s 快快快拔剑杀了我
1846s 快快快拔剑杀了我
1848s 不行父亲不行
1850s 不行父亲不行
1852s 来生再见了
1854s 快拔剑杀了我呀
1876s 父亲
1878s 小畜生快动手
1880s 你看援兵到了
1884s 援援兵到了
1892s 司马懿
1916s 要不我早就赶来救驾了
1920s 父亲
1938s 父亲父亲
1942s 父亲父亲
1946s 父亲父亲父亲
1948s 父亲父亲父亲
1952s 司马懿你
1956s 父亲父亲父亲
1958s 父亲父亲父亲
1960s 父亲父亲父亲
1966s 父亲
1974s 大都督
1978s 传副都督令
1982s 让将士们安心休整
1984s 告诉他们就说我说的
1990s 把酒肉都拿出来
1992s 让将士们饱餐一顿
1994s 遵命
2004s 我曾替你写过一道表章
2006s 我曾替你写过一道表章
2008s 现在你也替我写一道表章吧
2012s 这道表章应该如何写呀
2014s 这道表章应该如何写呀
2026s 你上奏朝廷
2028s 大都督曹真不听司马懿劝阻
2030s 大都督曹真不听司马懿劝阻
2032s 贸然犯进致使我军兵败
2040s 抛弃下所赐的朝廷服饰
2042s 抛弃下所赐的朝廷服饰
2044s 改穿蜀军小卒战服
2046s 改穿蜀军小卒战服
2048s 弃三军而独自逃命
2050s 幸得司马懿拼死相救
2056s 眼下三军无主军心动乱
2058s 眼下三军无主军心动乱
2068s 我是否言过了
2070s 大都督所言句句都是实情
2074s 大都督这道表章
2076s 我要请所有的将军联名上奏
2082s 听旨
2088s 奉天承运皇帝诏日
2090s 奉天承运皇帝诏日
2092s 司马懿忠勇报国功盖天地
2094s 司马懿忠勇报国功盖天地
2098s 朕应三军将士所请
2102s 朝廷大司马车骑大将军
2104s 兼领平西大都督统领三军
2106s 兼领平西大都督统领三军
2108s 兼领平西大都督统领三军
2110s 朕并赐天子剑锦袍玉带
2112s 朕并赐天子剑锦袍玉带
2114s 以壮军威
2120s 臣领旨谢恩
2124s 曹真丧师厚国本是罪无可赦
2126s 曹真丧师厚国本是罪无可赦
2130s 但念其伤重而死联不再加罪
2132s 但念其伤重而死联不再加罪
2134s 着其子曹爽
2136s 护曹真灵枢返回长安
2138s 护曹真灵枢返回长安
2140s 归葬祖坟
2142s 钦此
