625s 你怎么那么早就起来啦
632s 来来来来来来
635s 你怎么了这是
640s 相国相国您该早朝了
642s 相国相国您该早朝了
645s 你看看你看看
647s 我都不急你急什么呢
650s 我都不急你急什么呢
655s 我我去梳妆
660s 梳妆梳妆好子梳妆好啊
747s 我离不开你
750s 这里不是说话的地方快走啊
752s 这里不是说话的地方快走啊
755s 不我要带你走
757s 不我要带你走
760s 奉先
767s 奉先干什么
770s 89
787s 是这样好
790s 既然如此
792s 那你暂且到宫外等候
795s 记住今后没有我的命令
797s 不许到我的寝宫来
802s 遵命
840s 奉先奉先
842s 为何如此惊慌啊
845s 不急慢慢说
847s 相国他霸占了貂蝉
850s 相国他霸占了貂蝉
855s 那貂蝉与你有什么关系
857s 在下早就和貂蝉定情
860s 在下早就和貂蝉定情
862s 相约白头到老生死与共
865s 相约白头到老生死与共
870s 义父他却以给天子立妃为名
872s 义父他却以给天子立妃为名
877s 把貂蝉接到嘟坞来了
887s 什么样的女人没有啊
890s 区区一个貂蝉值什么
892s 何至于此伤感哪
895s 不她是我的命根子
902s 奉先哪恕我斗胆问一句
907s 如果你得不到貂蝉
910s 你将会怎样
915s 我绝不甘休
925s 臣斗胆谏言
927s 还是把那貂蝉赏还给吕布吧
930s 此刻天下未定
932s 相国仍需将士用命
935s 相国欲夺天下的话
937s 必须笼络住吕布
940s 让他驰骋疆场攻城拔寨
945s 只有这样相国才能成就大业啊
947s 只有这样相国才能成就大业啊
955s 他要什么咱家都可以给他
957s 唯独这个貂蝉
960s 你要知道貂蝉是人间极品
965s 请相国\酌
967s 万一吕布怒而悸反
970s 甚至投奔袁绍
972s 与我们为敌的话
975s 那可就大事去也啊
977s 那可就大事去也啊
982s 我对他不薄
985s 他对我也是忠心耿耿
987s 他对我也是忠心耿耿
990s 他怎会因此女而悸我呀
992s 敢问相国
995s 丁原是怎么死的
1000s 相国你只用了一匹赤兔马
1002s 就收得吕布前来归顺
1005s 不但如此
1007s 吕布居然为了这匹赤兔马
1010s 竟亲手杀了自己的义父丁原
1012s 竟亲手杀了自己的义父丁原
1015s 那么现在吕布为了貂蝉
1017s 又会做出何等事来
1020s 貂蝉与赤免马相比熟重熟轻
1022s 貂蝉与赤兔马相比熟重熟轻
1025s 大业与一个粉黛尤物相比
1030s 何者当取何者当弃呀
1032s 何者当取何者当弃呀
1085s 你可真是个仙人儿啊
1087s 咱家是越看越爱看
1090s 咱家是越看越爱看
1097s 来来来来来
1100s 宝贝来来来来来
1102s 宝贝来来来来来
1107s 心肝啊来来来来来
1112s 咱家今天啊跟你说个事儿
1130s 吕布想要你
1132s 吕布想要你
1140s 虽说吕布是我的义子
1142s 又是天下第一勇夫
1147s 既然他对你是这样地放心不下
1150s 我就成人之美
1155s 把你赏给他
1160s 你们两个在一起
1162s 不但是郎才女貌
1165s 也是情投意合啊
1170s 如鱼得水如胶似漆
1175s 你说是不是
1195s 相国奴婢没做错什么吧
1202s 昨天相国还对奴婢宠爱有加
1207s 可是今天却要将奴婢转送给别人
1215s 奴婢还不如相国
1217s 喜欢的一个物件
1220s 你这说的什么话
1222s 我我就是想提出来
1225s 和你商量商量嘛
1232s 本以为相国是真心对奴婢好
1235s 本以为相国是真心对奴婢好
1237s 奴婢也愿意侍奉相国一辈子
1240s 奴婢也愿意侍奉相国一辈子
1245s 可是相国
1247s 却要将奴婢转送给一个下人
1252s 相国你还是赐奴婢一死吧
1255s 相国你还是赐奴婢一死吧
1257s 以免悔厚了相国之尊
1262s 我的心肝你
1270s 我啊我跟你说吧
1277s 从心里头不愿意放你走啊
1280s 真的我舍不得你呀
1285s 来来来来宝贝
1292s 宝贝啊咱家还想跟你呀
1300s 白头到老富贵终生呢
1310s 为何要将我许配给吕将军
1317s 莫不是你怕他不成
1320s 我我怕他
1322s 他是我干儿子
1327s 既然不怕还要将我许配给他
1330s 当今天下谁人不知谁人不晓
1332s 当今天下谁人不知谁人不晓
1335s 连天子都要敬让你三分
1337s 可是你连自己的爱妾都留不住
1340s 可是你连自己的爱妾都留不住
1345s 外面的人会怎么想你
1347s 你岂不成了
1350s 成了公卿大臣的笑柄
1355s 对说得对咱家糊涂了
1357s 对说得对咱家糊涂了
1362s 咱家绝不把你让给别人
1365s 咱家和你永不分离
1372s 相国到时辰该上朝了
1380s 好上朝上朝
1385s 相国赴朝众军护驾
1405s 奉先随义父走走
1417s 奉先啊义父待你如何啊
1420s 奉先啊义父待你如何啊
1425s 义父待我情意深重恩同再造
1427s 记着
1430s 咱家早晚要改朝换代即大位
1432s 咱家定和你共享天下
1435s 还有咱家膝下无子
1437s 你就是我的亲儿子
1440s 咱家即位之后
1442s 第一件事就是要立你为太子
1447s 天下就是你的大位就是你的
1452s 谢义父
1457s 咱们父子俩你说你谢什么谢啊
1467s 在即位之前咱家得抬举抬举你
1470s 比如说
1472s 朝廷中大将军这个位置
1475s 咱家早就有意于你
1477s 但是恐怕西凉军众将不服
1480s 特别是李催郭二将
1482s 他们说你年轻气盛不堪大任
1485s 都要和你争这个大将军的位置啊
1487s 都要和你争这个大将军的位置啊
1495s 拜你为朝廷的大将军
1507s 吕布肝脑涂地难以回报
1510s 快起来快起来
1535s 没有就好没有就好
1550s 冀州牧韩馥近日与袁绍交恶
1555s 他上表朝廷要求天子下诏讨贼
1560s 好啊那就赐他一诏
1565s 着他奉剿灭袁绍
1567s 他如是胜了咱家就再赐他
1577s 曹操在青充二州
1582s 连续剿灭了五路黄巾乱军
1587s 得降卒二十余万
1590s 号称青州兵声势益大啊
1592s 号称青州兵声势益大啊
1597s 这个曹阿瞒是越发了得了
1602s 咱家得想法子收拢他才好啊
1612s 自开春以来中原一直大早
1617s 近日几个州已经是易子相食
1622s 好几个州郡都上书
1625s 好几个州郡都上书
1627s 要求朝廷拨粮相救
1632s 咱家的粮食还不够吃呢
1635s 哪里有粮食给他们哪
1637s 那朝廷要是不拨
1640s 坐视不顾的话
1645s 恐怕要有几十万灾民丧生啊
1647s 恐怕要有几十万灾民丧生啊
