4s 朝会时辰到。
6s 曹梦德昨天跟我说,今日天黑之前,必将董贼的首级悬于宫门。
21s 这个时辰啊,应该得手了。
24s 如果一旦有了好消息,就禀报陛下。
28s 你们也要做好应急的准备。
31s 好,遵命。
32s 我们大汉就要云破天开了。
36s 听着,若有之前,董贼首级必将悬于宫门。
41s 大家做好准备。
43s 京城相入朝。
48s 末将率军追逐百里开外,仍见不到曹操。
62s 不过,末将已将军马安置在各个要逃口,继续搜捕曹操。
66s 量他也跑不了。
68s 臣丸当务必须善莫入逃。
72s 曹操那个杂种,狗胆包天,竟敢行刺咱家。
101s 咱家是什么人呐?
104s 咱家是上天遣下来的丞相,是来中兴大汉王朝的。
110s 何人能刺得了咱家?
115s 这些个贼子,咱家眨眼一瞅就能瞅出来,抽鼻子一闻就能闻出来。
123s 你们当中就有曹操的主使,袁绍的内应。
130s 咱家恨不得把你们这些狼心狗肺的东西都给我揪出来,砍了,砍了。
137s 然后咱家就把他们这些肉拿来炖汤喝。
147s 有人说这肉酸,可咱家说了咱家不怕酸,不怕,不怕。
158s 上国言过了,皇宫里没有贼子。
167s 太常卿何在?
171s 臣在。
173s 你即刻用天子的玉玺发布诏令。
179s 火速传到各个郡,州,县,就说曹操大逆不道,施主备君。
186s 也要捉各地军民人等抓捕曹操。
191s 还有,如果谁能把曹操的手机献上京城,朝廷赏千金,封万户侯。
200s 臣即刻你指。
202s 王司徒王大人。
213s 董相国。
215s 前天是你的六十大寿,对吗?
220s 族下在府上大派宴席,对吗?
227s 族下请了那么多对宫廷大臣,为什么不请咱家?
234s 老夫贱将,含舍简陋。
241s 在下不敢惊动相国。
244s 莫非是你那一杯寿酒,咱家不配喝吗?
255s 含舍的酒,酒,酸。
265s 酒酸,咱家说了,不怕酸。
281s 你立刻把府上的家丁仆妇们全都遣散,
290s 散给他们铜钱,他们能上哪儿去就上哪儿去。
295s 别跟我殉葬肉。
299s 主公!
301s 还有,你也走吧,不用管我了。
308s 主公!
313s 貂蝉小姐,貂蝉小姐。
321s 吴伯,有事吗?
327s 主公今天下朝,身轻不对,怕是有大祸将至。
332s 你赶紧进去,小心伺候着。
335s 最好能问个明白。
337s 义父,万万使不得,万万使不得呀。
359s 貂蝉,好孩子,我不是叫你们马上离开这儿吗?
365s 你怎么还不走啊?
367s 到底发生了什么事情,何必如此啊?
376s 曹操行刺董贼,失败了。
381s 董贼怀疑我是曹操的背后主使。
387s 用不了多久,那群西良猛夫们就会来到这儿。
395s 你要是再不走,我就被灭门了。
401s 你刚才说,董卓怀疑你是曹操的主使。
431s 你是这么说的吧?
433s 是这么说的。
440s 那也就是说,他并没有确定,对吗?
444s 他是不能确定,因为曹操并没有被他们捕获。
450s 那你就更不能自尽了。
457s 你想啊,如果你自尽了,不就是等于不打自招,主动承认你就是曹操的主使了吗?
465s 义父,你若是死了,那就是天子无助,朝廷无望。
473s 富山上下八十几口,都要被斩尽杀绝的。
478s 还有啊,你忠心汉室的大愿,不也就永远都不能实现了吗?
485s 主公!主公!不好了!
502s 中郎将吕布带领西良军士闯进府门了!
506s 你不能犹豫,必须去见他。
517s 你是当朝的司徒大人,他不会把你怎么样的。
521s 是奉先哪,也合适啊。
549s 是啊。
550s 丙司徒,末将奉相国令来自搜捕曹操。
557s 那曹操奸华无比,他谋刺失败了,逃命还来不及呢,岂敢躲在我这儿。
566s 相国说,军士们既然追出百里开外,都没能追捕到曹操。
573s 那他很可能根本就没有出城,而是躲藏于京师贼潮当中。
582s 相国好见识啊,老夫这座府院竟然是个贼潮。
592s 司徒见谅,末将只能奉命而行。
598s 知道知道,将军请自便吧。
603s 搜。
604s 给我搜。
605s 诺。
606s 快点快点快点,你们几个过来。
608s 快点快点。
618s 不知将军有何畏感?
682s 在下吕布,奉董相国令前来搜捕逆贼曹操。
694s 曹操,我知道这个人。
700s 你知道他?
701s 前天,我义父过六世大寿,结果曹操不请自来,非要给我义父祝寿。
710s 没想到被我义父给痛骂了一顿,骂他是奸华小人,并派人把他给插出去了。
717s 真把他给插出去了?
719s 真的,我是亲眼所见的,府上上下都看见了。
725s 将军若是不幸,可以详查。
730s 这就是王思途祖传的七星刀吗?
762s 将军,你真有眼力。
765s 没错,这就是七星刀。
769s 看来王思途并没有把七星刀送给曹操。
774s 义父怎么会把七星刀送给曹操呢?
778s 要送也要送一位配得上这把宝刀的大英雄啊。
784s 好,既然七星刀在府上,这就说明王思途并非贼党。
790s 思途大人与曹操行刺并无牵连。
794s 当然是没有牵连的。
797s 我义父和董相国,还有将军你,都是朝廷的大忠臣啊。
803s 谢小姐夸奖。
805s 曹操并未在此,走。
807s 诺!
851s 皇天后土,日月乾坤。
865s 今日我刘备,关羽,张飞,在桃园中结为异姓兄弟。
874s 此生此世,同心协力,荣辱与共,上报国家,下安离书。
884s 不求同年同月同日生,
889s 但愿同年同月同日死。
894s 耿耿此心,唯天可表,万世。
899s 走吧!
900s 走吧!
926s 来,检查检查!
927s 快!
928s 走吧!
934s 走!
948s 走!
957s 把头转过来!
958s 此人就是钦犯!
973s 给我拿下!
974s 拿下!
975s 禀大人,小的拿住钦犯了。
999s 你是何人呐?
1022s 小的。
1024s 这几位君爷是认错了人了。
1037s 把小的拿来了。
1038s 请大人明察。
1040s 曹操!
1041s 曹孟德!
1043s 你竟如此健忘!
1046s 两年前我到京师去求官,还登门拜访过你。
1053s 当时你价格是够大的。
1056s 连我头拜的名次看都不够。
1059s 还顺便送了我一句话。
1061s 什么?
1062s 当今奸臣当道?
1065s 京官不做也罢?
1067s 想起来了吗?
1069s 原来是陈公抬。
1072s 在下有眼不识圣贤,多有得罪。
1077s 在下有眼不识圣贤,多有得罪。
1080s 在下有眼不识圣贤,多有得罪。
1088s 在下有眼不识圣贤,多有得罪。
1092s 不过就算是你今天扔到我府上去求官,我还是那句话。
1098s 当今奸臣当道,京官不做也罢。
1104s 我气的倒不是你说的这几句话。
1107s 我气的是你连面都不见一见。
1110s 你历来是轻狂傲慢,狂妄自大,藐视天下。
1119s 接下之求了,不敢与县令大人论天下。
1124s 当然。
1127s 我也不屑于和你这个钦犯论什么天下。
1131s 和你论天下,我还不如听听我的七尺叫呢。
1141s 不过,今天我倒是想跟你论一论柴米油盐的事情。
