4s 误会他们了。
45s 你太多疑了。
80s 咱们错杀了好人。
82s 做下大恶了。
84s 事已至此,悲叹何用?
90s 赶紧忘命吧。
97s 走吧。
175s 这是要去哪儿啊?
177s 伯父!
179s 这两天风声太紧,
181s 官兵追索甚急。
183s 假如我们留下,
185s 会给你带来祸患。
187s 我们还是走了为妙。
189s 那可不成啊。
191s 我们没酒都过来了。
194s 家里正杀猪煮猪肉呢。
196s 今晚咱们呢
198s 是吃饱喝足,
200s 一醉方休。
202s 谁也不能走啊。
206s 你待着干嘛?
210s 赶快给我回家啊。
212s 别在这儿待着啦。
216s 这大冷天的,
218s 你看。
220s 蒙德。
262s 这是我们的救命恩人。
264s 是位义士啊。
266s 对。
268s 他还是你父亲的姐姐兄弟,
270s 是你的伯父啊。
272s 对。
274s 我们已经错杀了
276s 吕家十几口无辜的人。
278s 你为什么还要杀了吕博社?
280s 正因为已经错杀无辜了,
282s 所以必须要斩草除根。
284s 你说什么?
286s 你想想,
288s 吕家十几口都被我们杀了。
290s 他能不惊不怒,
292s 能不带人来追杀吗?
294s 只有杀了他,
298s 才能永绝后患。
300s 你!
306s 手腕不抱鱼,
308s 吃醋还杀?
310s 你,你还有半个忠义之心吗?
314s 主什么?
347s 宁肯我负天下人,
349s 休叫天下人负我。
351s 龚台兄,
362s 恐怕我们得回去。
432s 要回哪里去?
434s 宁高县。
436s 为什么?
438s 死去城柳还有七百里路。
440s 我们已经两天两夜都没吃没喝了。
442s 如果再这么走下去,
444s 我们非冻饿而死不可。
446s 灵心发现,
448s 要回去安葬武功及其家人。
450s 龚台兄,
454s 不必太动感情。
456s 我一定会帮你。
458s 龚台兄,不必太动感情。
460s 死者不可复生,
462s 而生者仍需肩负大业。
464s 妈已经把吃的喝的都准备好了。
466s 如果我们不回去,
468s 她不是白死了吗?
470s 走吧。
472s 伯父,
485s 不是阿满害了你,
489s 是这个乱世害了你。
491s 你的大恩大德,
493s 大仁大义,
495s 侄儿至死都不会忘。
497s 侄儿想念你,
499s 无辜痛哉,痛哉。
506s 有忌耻,
511s 有这道无耻的世界。
513s 伯父,
517s 曹操,
519s 定会为你老人家报仇雪恨。
521s 举一套贼,
523s 扩清天下。
525s 日后,
527s 曹操大业有成,
529s 定会,
531s 赐你丹书铁卷,
533s 还要册封你为公侯。
535s 让你老人家的在天之灵,
537s 永享万世香火。
541s 听你这话,
543s 不像是逃亡的罪徒,
551s 倒像是明天的帝王。
553s 龚太兄,
555s 人心叵测,
558s 世事难料。
560s 将来的事,
562s 谁说得定呢?
564s 铁壁。
581s 吃东西吧,
583s 我已经十几天都没有吃过肉了。
588s 你呢?
590s 想什么呢?
604s 我的那些个蛆蛆,
608s 个个儿。
612s 但是你却抛弃了他们,
614s 跟着我走了。
616s 这是为什么呢?
618s 是不是说明,
620s 我曹操比那些蛆蛆,
622s 强点儿啊?
624s 所以说,
626s 在乱世当中,
628s 只有强者,
630s 才配谈人意。
632s 弱者,
634s 只有配炮器。
642s 你是不是有点后悔啊,
644s 龚太兄?
646s 当初在中谋县的大牢里,
648s 应该一刀把我的脑袋砍下来,
650s 装到坛子里,
652s 送到京师,
654s 到董卓那儿去,
656s 换几个小巧合。
660s 是!
664s 因为你是英雄豪杰,
666s 一生忘死,
668s 抛家器官跟随于你。
670s 今天我真不知道,
672s 你是忠义之士,
674s 还是奸恶之徒。
685s 龚太兄,
687s 自古以来就是,
689s 大奸思中,
691s 大伪思真。
693s 忠义和奸恶,
695s 都不是从表面就能看得出来的。
697s 也许你昨天看错了我曹操,
699s 可是今天呢,
701s 你就看错了。
703s 不算是我,仍然是我。
705s 我从来都不怕别人看错我。
718s 行了,肉,吃吧。
720s 十几口无辜蓝,
749s 竟然能如此汗水。
754s 什么人呐,是人不是。
757s 宁肯我负天下人,
761s 休叫天下人负我。
765s 建峰,
772s 建峰之煞律师,
776s 却能禁住天下人心,
778s 更危险,更可怕。
784s 把他杀了,
792s 为天下人助。
817s 天救了他,杀了他。
823s 这样做好吗?我不能无情啊。
832s 要杀便杀嘛,
890s 何必犹豫呢?
892s 眼下已是数百年来,
904s 从未有过的大乱。
906s 金城中,
908s 董卓祸乱朝廷,
910s 屠戮中粮,
912s 擅行废礼,
914s 褻瀆朝纲。
916s 金城外,
919s 各路诸侯,刺史,
921s 将军,
923s 眼看着董卓,
925s 独霸京师,全倾天下,
927s 哪一个不是,
929s 又气,又怒,
931s 又嫉妒。
933s 而乱世,正是
935s 英雄辈出之时,
937s 所谓时势造英雄。
941s 尔,
943s 想举一起兵,成就一番大业。
945s 尔啊,
947s 董贼事大,
949s 只恐一时,
951s 难计为敌啊。
953s 尔在京城时曾经,
955s 屈身试于董贼,
957s 据我观察,
959s 董贼所倚仗的,
961s 就是一支西良军,
963s 而西良军
965s 虽然小勇,
967s 贼手董卓,
969s 却是并无远见与着实。
971s 此人,
973s 独霸洛阳,
975s 手握朝纲,
977s 却只懂得,
979s 奸淫烧杀掠夺,
981s 胸中并无大志。
983s 尔啊,
987s 我已把曹氏家产,
989s 全部变卖,
991s 得金两万五千。
993s 你可用他,
995s 招募兵用,
997s 打造战价齐藩。
999s 不够,
1001s 远远不够,
1003s 成大事者,
1005s 不可无欠,
1007s 却又不完全在于欠。
1009s 首先,
1011s 是人,
1013s 得以英雄豪杰,
1015s 胜过十万金银。
1025s 在下魏国人士热敬,
1030s 自文谦,
1032s 特来投拜曹操,
1034s 共乡大义。
1036s 在下俱路人士李典,
1038s 自曼城,
1040s 愿效于曹公,
1042s 下侯元下侯敦兄弟,
1044s 领壮士千语,
1046s 特来投奔曹兄,共同逃贼。
1048s 孟德能够得到
1050s 列位壮士相助,
1052s 实乃天意,
1054s 大事必成。
1056s 大伙快坐吧,
1058s 咱们从长计议。
1060s 大哥,大哥,
1062s 大哥,
1064s 袁绍派人送信来,
1066s 说他已从渤海起兵,
1068s 沿途邀集了十八阵诸侯,
1070s 力请大哥前去入盟呢。
1072s 中原十八阵诸侯
1089s 都加盟义军了,
1091s 仅此就占了大半个天下,
1093s 我看,
1095s 董卓河带的西凉军,
1097s 岂不是谈之可蔑吗?
1099s 大哥,赶紧动身吧,
1101s 弟兄们与你同去。
1103s 大哥,弟兄们与你同去。
1105s 大伙想想,
1109s 这十八阵诸侯,
1111s 原本都是各地
1113s 枭雄,
1116s 一个手里没有几万兵马,
1118s 一个手里没有几万兵马,
1122s 我们就凭着这点家族子弟,
1124s 我们就凭着这点家族子弟,
1126s 怎么可能在盟军中
1128s 占有一席之地?
1130s 但是如果没有一席之地,
1132s 但是如果没有一席之地,
1134s 就算你打败了董卓,
1136s 就算你打败了董卓,
1138s 我们又能得到什么呢?
1141s 这些诸侯原本就是要
1143s 争官,争享,
1145s 争城池,
1147s 谁会把我们放在眼里?
1149s 大哥,真是有远见啊,
1153s 董贼还没有灭掉,
1155s 你就已经看到攻城之后的事了。
1157s 你就已经看到攻城之后的事了。
1159s 智者律远,
1161s 健威之助。
1163s 那你说怎么办?
1165s 难道我们不去入盟了吗?
1167s 当然要入。
1171s 因为我,已经给十八路诸侯准备了一份大礼。
1173s 因为我,已经给十八路诸侯准备了一份大礼。
1175s 而这,
1177s 恰恰是十八路诸侯
1179s 最要紧之物。
1181s 它的价值,
1183s 甚过十万雄兵。
1185s 大哥,什么礼物啊?
1187s 天子诏书。
1193s 大家想想,十八路诸侯,
1196s 什么都有了。
1200s 兵马,粮草,
1202s 军械。
1204s 唯独缺少了
1206s 逃贼所必需的
1208s 天子诏。
1210s 无此,
1212s 他们凭什么举一逃贼?
1214s 凭什么号令天下?
1216s 他们岂非,明不正,
1218s 言不顺了吗?
1220s 而我,刚刚
1222s 从京师出来,
1224s 只有我,能够挟出天子
1226s 谜诏。
1228s 也就是说,
1230s 只有,
1232s 有了我曹操,
1234s 十八镇诸侯才算是
1236s 明镇,言顺。
1238s 盟军,才算是
1240s 奉天举一。
1242s 大哥,天子
1244s 真的授予你,逃贼诏书了吗?
1246s 当然没有。
1250s 不过,
1252s 我可以替天子你一道诏书。
1254s 狡诏啊?
1256s 狡诏?
1258s 对,假的。
1261s 假的,
1263s 有时候比真的
1265s 还管用。
1267s 孙监!
1342s 长沙孙监,拜见员工!
1344s 请!
1346s 北平公孙瓒,拜见员工!
1348s 快请,快请。
1350s 二弟三弟,
1378s 那就是沉流城。
1383s 袁绍正在汇集各路诸侯。
1385s 我们这就去入盟吧。
1389s 去是去,但有一条,
1391s 大哥非议我不可。
1393s 三弟说。
1395s 既然是去入盟,
1397s 那大哥就得做盟主。
1399s 要不,咱不入这破盟。
1401s 三弟,你有所不知,
1403s 袁绍四市三宫,
1405s 名动天下。
1407s 他所召集的十八镇诸侯,
1409s 个个都是刺史俊手之类的人物。
1411s 任谁都比你哥哥的名头大。
1413s 咱不管这个。
1415s 咱只要问问,
1417s 在这些诸侯当中,
1419s 可有像哥哥这样的汉皇后裔吗?
1423s 只怕没有。
1425s 可有像哥哥这样的仁义君子吗?
1427s 只怕
1429s 也没有。
1431s 大哥不做盟主,
1433s 谁做呀?
1435s 难道叫我张飞做吗?
1437s 我最怕这啰嗦事了。
1439s 所以,进城之后,
1441s 盟主是我大哥的,
1443s 副盟主
1445s 是二哥的。
1447s 但张飞嘛,
1449s 就做个先锋将军。
1451s 好了,三弟,不客胡言,
1453s 快快进城吧。
1455s 三弟,咱哥制大,
1457s 岂在一时啊。
1459s 快快进城吧。
1461s 各路英雄,既然已经到了城里,
1463s 咱们也好,早早地会会他们。
1465s 走!
1474s 此次会盟聚义,
1476s 我们是为了剿灭董贼,
1478s 振兴汉市,
1480s 并不是为了加官进爵,
1482s 贪图高官后路。
1484s 知道了大哥,
1486s 走,进城!
1494s 袁绍,
1496s 非常感谢,
1498s 各位将军前来会盟,
1500s 今日之会,
1506s 真乃我大汉王朝的
1508s 中兴之兆,
1510s 空前之盛事啊。
1512s 就是洛阳朝廷,
1514s 又何曾聚过这么多英雄豪杰啊?
1516s 东贼要是知道我等在此聚义,
1518s 肯定会闻风丧胆。
1520s 我等兵风所向,
1522s 破洛阳驱董卓首级,
1524s 阵入探当群伍啊。
1528s 十怕阵诸侯望这一战,
1530s 这大半个江山,
1532s 就在我们的脚底下了。
1534s 剩下那一小片江山,
1536s 也是弹指可取。
1538s 各位将军,
1540s 此时此刻,
1542s 我各路人马相驾,
1544s 步军四十五万,
1546s 其余兵九万。
1548s 这匹董卓的西凉军,
1550s 还督出两倍有余,
1552s 如此强大的军力,
1554s 何愁贼寇不灭。
1556s 这一战,
1558s 袁弓,
1560s 各位将军,
1562s 在下有一言,
1564s 我等既然是聚义会盟,
1566s 必须先立一位得高望重之士为盟主,
1575s 统一号令,
1577s 方可进军剿贼。
1580s 我们都应该遵从盟主号令。
1582s 原本初,
1584s 四十三公兵,
1586s 三十四公兵,
1588s 三十四公兵,
1590s 三十四公兵,
1592s 三十四公兵,
1594s 这是一 Belly Steel答案。
1596s 此事三公,
1598s 焊想后亦,
1600s 门生故力遍天下,
1602s 贤德之声,
1604s 远波四海。
1607s 在下的意思,
1609s 请袁弓丹当义军盟主,
1611s 我等遵奉号令,
1613s 共同逃贼。
1615s 这,非本初不可。
1617s 非本初不可呀!
1619s 非本初不可呀!
1633s 这既然诸公有令,
1635s 袁某
1636s 只好奉命了
1642s 站住
1647s 儿等何人
1648s 小子
1649s 快去叫袁绍出来接驾
1651s 我大哥前来会盟了
1652s 你
1653s 三弟
1654s 休得无礼
1659s 这位弟兄
1660s 请通禀一声
1661s 就说平原
1662s 刘备 关羽 张飞
1664s 前来会盟
1666s 刘什么
1667s 关什么
1669s 没听说过
1670s 袁将军请你们了吗
1672s 天下兴亡
1676s 匹夫有责
1677s 何必要请
1678s 既然没请
1679s 就快快离去
1681s 城关内都是群英聚一
1683s 没你们可作息
1687s 走吧 走吧
1688s 赶紧走
1696s 给我拿下
1697s 拿下
1698s 敢打我
1699s 拿下
1700s 拿下
1701s 拿下
1708s 想当初我赴
1709s 王司徒寿宴的时候
1711s 也是因为名位太低
1713s 而被拒之门外
1715s 想不到今天这三位壮士
1717s 和我同死遭遇
1721s 在下刘备
1722s 有礼
1724s 敢问足下是
1726s 萧綦校尉
1727s 曹操
1728s 你就是次董的曹孟德
1732s 曹某未曾见过
1735s 孟德兄次贼一举
1737s 已经名扬海内
1738s 刘备深感敬佩
1742s 这位将军
1743s 你既没听过
1744s 这三位壮士的大名
1745s 那你听说过我曹操吗
1747s 曹公大名 如雷贯耳
1749s 在我次董之前
1751s 和他们一样
1752s 也是无名之辈
1754s 你又怎么知道
1755s 今天的无名之辈
1757s 来日会不会明镇天下
1760s 假如有一天
1762s 他们真的明镇天下了
1764s 你又会不会
1765s 为今天的所作所为
1766s 追悔国旗呢
1769s 曹公说的是
1770s 曹公说的是
1771s 三位 随我入关吧
1773s 多谢曹将军
1774s 三位英雄 起
1778s 孟德 你终于来了
1790s 我等可都是望眼欲穿了
1792s 曹孟德之身次董
1794s 名扬海内
1795s 兄弟见礼了
1796s 孟德
1797s 中原八百里
1798s 都贴满了拿你的告示
1800s 正可谓是
1801s 天下何人不识君哪
1806s 本初兄
1807s 龚禄兄
1809s 孙文泰将军
1811s 龔孙将军
1813s 马腾将军
1814s 操某见礼了
1818s 好
1819s 那位将军请坐
1824s 孟德
1827s 请坐
1828s 请
1829s 请
1830s 你们没有看见
1831s 我哥哥在这里吗
1832s 三弟 不可无礼
1841s 孟德
1842s 这三位壮士
1849s 是你的人吗
1851s 倒也不是
1852s 我们三位将军
1854s 倒也不是
1855s 我是在关前与他们相遇
1857s 当时守将正在
1860s 为难他们
1861s 我顺便就把他们
1863s 带进来了
1864s 都是陌路英雄
1867s 来 三位
1871s 我给你们引荐一下
1873s 这位
1877s 就是咱们
1878s 十八路盟军的盟主
1880s 袁绍
1881s 袁本初将军
1883s 这位是
1896s 对不住
1897s 我实在是
1898s 记不住你的名字吧
1899s 禀袁盟主
1902s 在下刘备 自玄德
1904s 这位是我二弟关羽
1906s 自云长
1907s 这位是我三弟张飞
1909s 自易德
1914s 请问
1915s 足下是何出身
1917s 我是汉室宗亲
1922s 景帝之子
1923s 中山晋王刘胜之后
1925s 什么
1931s 请问
1933s 足下从何而来
1935s 现居和官爵
1938s 又以何事为业
1941s 刘备事局相里
1942s 并无爵位
1944s 以知席范履为业
1946s 二弟关羽
1947s 河北谢梁人士
1949s 以守门护院为业
1952s 三弟张飞
1953s 河北卓州人士
1955s 以卖酒屠猪为业
1958s 一个知席范履
1959s 一个看门护院
1961s 还有一个
1962s 屠猪卖酒的
1963s 可笑三个莽夫
1964s 竟然在此大言不惭
1970s 我以为
1972s 一个堂堂
1975s 帝王之后
1977s 能在大庭广众之下
1979s 天下英雄面前
1981s 将知席范履
1984s 卖酒屠猪
1985s 说得如此态然
1988s 可见此人
1989s 心胸不凡
1991s 说得是
1992s 龙德说得是
1994s 柳辈
1996s 你此行来有何目的
1999s 闻原本初传书海内
2003s 拒议讨贼
2004s 在下是来会盟的
2008s 你有多少人马
2010s 连我在内
