16s 西梁军的精锐主要是他的战绩。
21s 这十多万战绩分统在李国二将手中。
26s 分别叫龙香营、虎贝营。
30s 报!
35s 禀盟主,于将军与花雄争战一个回合就被斩落马下。
47s 花雄果然英勇啊,谁敢出战花雄。
61s 员工,我有上将军潘凤,手持一柄百斤重的开山斧。
66s 有万夫不挡之勇,此人必可斩杀花雄。
70s 潘将军可在?
74s 末将在。
75s 你敢出战吗?
77s 有何不敢,我的大斧早就即刻难耐了。
81s 好,如果你把花雄斩于马下,省金百两,赐两马五十匹。
89s 领命。
90s 驱小来,为潘将军撞行。
145s 攻取洛阳,必须先破虎牢关、四水关。
172s 我十八镇诸侯可分五路人马进军。
177s 员盟主,可应一路攻取孟金。
182s 孙文泰将军可应一路攻取成岗。
187s 宋孙将军可应一路攻取太古。
191s 活尸了!活尸了!活尸了!
196s 禀王主,潘将军与花雄征战不到一个回合,就被斩于马下。
200s 什么?又被斩马?
210s 一个小小的花雄都如此棘手,以后碰到吕布该怎么办呢?
224s 谁敢出战花雄?赏金千两,赠两马百匹,谁敢出战?
249s 只可惜我的上将颜良文丑非在。
254s 如有余人在此,岂容花雄放肆?
266s 马攻守关羽,请战花雄。
270s 什么?你一个小小的攻守竟敢口出狂言?
277s 你以为我们众诸侯没有大将军了吗?插出去!
281s 公路兄,息怒。
285s 你看,此人既敢与请战必有隐律,为何不让他试试?
292s 是一个小小的攻守出战,岂不是让花雄耻笑吗?
301s 公路兄。
304s 请看,此人生的卧眉奉目满面英雄气,花雄又怎么会知道他是个攻守?
315s 这个姓曹的说得对,二哥这个攻守胜过你们所有的将军诸侯。
322s 砍不下花雄的头,那就砍关某的头谢罪。
341s 刘关璋三兄弟一同生死,如果二弟不生,愿砍我三兄弟的人头。
348s 好,刘玄德不愧是皇室宗亲,豪气干军。
359s 君相!
360s 在!
361s 拿酒来,我要为这位壮士敬酒壮行。
365s 不必,小小花雄何须借酒,主公稍后官某去去便回。
380s 二弟小心。
381s 哥哥,放心。
383s 又是一个人头,落地了。
441s 你率五千人马,侧应。
448s 诺。
449s 这根马攻守如果也死了,那又该谁出战呢?
453s 是啊,十两经兵端不一对,果然名不虚幻啊。
459s 十九阵,投贼兵马,统名将军委,刘备。
593s 刘备领命。
603s 二弟啊,于兄再敬你一碗。
627s 你杯酒斩花雄一战成名,令众路诸侯对咱们兄弟刮目相看。
634s 就是就是。
635s 二哥,你把花雄的脑袋往那堂上一扔。
639s 那满堂的诸侯啊,那全都看傻了。
642s 什么刺史啊,太守将军啊。
645s 呸,我看哪,都是饭桶草包。
