7s 你好糊弄啊
9s 你扣了刘备的粮饷也就罢了
12s 你干嘛还要扣孙将军的粮草军械
19s 孙文台何许人言
21s 他是盟军的先锋大将
24s 这些我都知道
27s 我不但知道孙文台的战功
30s 我还知道他从来不把咱们原盟主放在眼里
34s 既然你已经知道了
36s 那你还责罪他做事
39s 大哥
40s 你就听于弟一句话吧
43s 汉氏气数已尽
46s 即将灭亡
48s 只有余者才傻乎乎的一味服汉
53s 恶者如董卓
55s 早已篡汉自立
57s 董卓想做的事情
59s 是许多枭雄想做而不敢做的事情
65s 你是想叫我做余者
68s 还是做恶者
70s 既不做余者
72s 也不做恶者
74s 应当做智者
78s 眼下
79s 虽然十八路诸侯会盟
83s 但是十八路诸侯的真正动机
86s 未必是为国出
90s 他们只是想在天下破乱的时候
94s 为自己寻得一块最大的地盘而已
99s 最可怕的是长沙太守孙监
102s 孙监如果破洛阳斩董卓
106s 他会不会把西粮兵
107s 囊入自己的手中啊
110s 他会不会坐镇朝廷拥兵自立
114s 会不会取代董卓
116s 称霸天下
117s 成为比董卓更可怕的枭雄啊
124s 这个
133s 也不是没有可能啊
139s 所以啊
141s 大哥
143s 我们的上策就是
145s 在剿灭董卓的同时
148s 也大大削弱
149s 孙监等诸侯的兵马士兵
152s 最好让他们一起灭亡
155s 这样
156s 天下自然就落到袁氏的狼中了
160s 这些我何尝不知啊
163s 只是你做得太过分了
169s 为何呀
171s 你想
172s 孙监是盟军的先锋大将军
175s 他一旦兵败
177s 数十万盟军将土崩瓦解
179s 到时候你我都将身败名裂
182s 还谈什么功名大业
189s 禀盟主
190s 昨夜三更
190s 李绝郭四二将
191s 率领八万西粮经纪
193s 夜袭孙监大营
194s 孙监折兵损将
195s 已退出白马要战
198s 禀盟主
199s 董卓亲率二十五万西粮大军
201s 清晨而出
202s 扬言要为国剿贼
204s 五日内斩孙监
205s 十日内取
207s 说
208s 取袁盟主首级
212s 你听到了吗
215s 我们倒成贼了
219s 朕可谓是胜者为王
221s 败者为贼
223s 如果董卓胜了
225s 你的一切竞囊妙计
227s 都成了水中月
229s 镜中花
232s 这孙监败得也太快了吧这是
235s 愚蠢
236s 害得我更愚蠢
237s 我
238s 孙监没有粮食能打仗吗
240s 孙文台兵败
241s 早在我预料之中
244s 曹将军来了
247s 敢问孟德兄
248s 为何如此说话
251s 因为孙监虽然英勇
254s 但是求胜心切
256s 独军深入
257s 已称骄兵而骄兵必败
260s 敢问袁盟主
262s 此时此刻
263s 你准备如何应变
268s 立即将孙文台备战
270s 董贼亲征的军情
272s 传达至各部
275s 之后召集各镇诸侯
277s 共商御敌大宋
279s 不
280s 你万万不可将
284s 孙监兵败的事情
285s 告诉各诸侯
288s 相反
290s 你要告诉大伙
291s 孙监胜了
292s 而且是大胜
294s 董卓
295s 才是兵败如山倒
298s 现在就等着大家伙儿
300s 义勇而上
301s 攻下虎牢关
302s 直取洛阳城
305s 否则的话
307s 孙监兵败
309s 必然会引起各诸侯的
311s 拒敌之心
312s 而人心一散
314s 盟军就完了
316s 传令
322s 率台设宴
324s 为孙将军庆功
327s 列位将军
330s 孙文台雄
332s 大破贼军
335s 大张我盟军的声音
337s 我等
339s 为孙将军
342s 遥相
343s 庆贺
345s 为孙将军庆贺
348s 董贼
349s 谈之可灭
356s 我等数日后
357s 就可在京城
359s 把酒庆功了
365s 袁盟主
367s 我听说董卓
368s 已经拥兵出关了
369s 此事确否
371s 是
372s 那么
376s 我等还要在此
377s 聚饮高会吗
379s 兵法云
381s 以静制动
386s 以义代劳
388s 乃胜战之道也
390s 董卓的大军既已出关
396s 孙文台的孤军
397s 便处于险境了
400s 盟主
401s 就不担心他会兵败吗
403s 为何
404s 他不担心
405s 兵败吗
411s 你为何扣下
412s 我哥哥的粮饷步伐
414s 为何还打我的属下
416s 你一个小小的布工手
418s 怎敢如此无礼
419s 咱俩
420s 俺张飞
421s 对这无耻之徒
423s 历来无礼
424s 你们敢怎么样
430s 好啊
433s 列位诸公
436s 如果你们容得下
437s 这三位在这里
438s 肆意放肆
441s 那就容我袁术
443s 告老还乡了
444s 龚禄兄息怒了
451s 袁弓禄
453s 位居副盟主
454s 掌管我十九路诸侯之粮饷
457s 岂能一走了之
459s 你走了
460s 我们吃什么
461s 吃什么
462s 是啊
466s 坐坐坐
469s 既然如此
470s 容我三兄弟告退
473s 玄德
474s 留步
482s 玄德
484s 你乃汉皇宗亲
486s 有辱我盟军大道
488s 岂能一走了之
490s 你走了
490s 我等岂不寒心
492s 孟德不必寒心
495s 你完全知道
497s 天下虽大
498s 列位
500s 却难以并列于十
540s 奉先哪
543s 看见了吧
545s 前面那座城池
547s 那便是袁绍的大营
551s 义父
553s 凭我的赤兔马方天几
555s 是十八路诸侯如草芥
558s 待会儿交兵时
560s 我会亲手斩下袁绍的脑袋
564s 以报义父厚恩
567s 好 好
569s 我儿英雄盖世
572s 天下无敌
574s 不过
575s 袁绍他也是徒有虚名
578s 不足为虑
580s 他的狗头可以
582s 占据其向上
584s 但有一个人的脑袋
586s 奉先
587s 务必替咱家把他取来
591s 是谁
592s 恶贼曹操
595s 这小子咱家恨偷他了
597s 可莫得把他碎尸万段
600s 错骨扬灰
601s 才能解我这心头之恨
604s 义父请放心
606s 儿臣一定会
608s 砍下曹操的头颅
612s 你再看
613s 看看前面那座城官
616s 极其高大兼顾
618s 我西梁军纪善于野外作战
620s 但不善于攻坚
621s 如果袁绍他
624s 拒手不战的话
626s 可就颇为麻烦了
630s 义父有何意见
632s 我想啊
634s 咱们这样
636s 让大军在此设伏
638s 你带领百计前去挑战
640s 设法把袁绍引出关来
643s 咱们在野外和他决意持兄
646s 不许百计
648s 单击便可
652s 咱俩势力之族
657s 他有什么资格做盟主啊
658s 你吓得几个大尔瓜子带走
663s 三弟
664s 收起你那大尔瓜子吧
666s 当心脏了自己的手
670s 不瞒二位兄弟说
673s 我其实并不想离开盟军
676s 但是他们不容我等
681s 怎么着哥哥
682s 你还惦记着十九镇将军的宝座
685s 区区虚名 何足留恋
689s 我是惦记着洛阳城内的盟难天子
692s 盟军原本可以杀进京城
695s 灭贼兴旱的
697s 这个好办啊
698s 我们三兄弟只管杀进洛阳
701s 看他董卓的脑袋就事了
703s 三弟
704s 就是莽撞
706s 大哥
707s 我们走了也好
709s 来时三兄弟走时兄弟仨
712s 无牵无挂 志在天下
723s 儿等听着
730s 莫要做缩头乌龟
733s 快快出来和我吕布决一死战
738s 禀盟主
739s 西梁军已杀到关前了
741s 多少兵马
742s 关前只有吕布一人
744s 他单人闯关
745s 指名要娶曹操头颅
749s 多谢多谢啊
750s 曹某又要名扬天下了
754s 各位将军
756s 区区吕布
758s 只身闯关
761s 是众将军如无物
765s 是可忍
767s 孰不可忍啊
770s 我部汉将刘三刀
772s 三刀之内
773s 必斩吕布于马下
775s 好
777s 我有上将韩勇
778s 可出战吕布
780s 二位且慢
785s 我有北海勇驾王充
786s 他早就想刀劈吕布
788s 博下赤土马
789s 做他自己的作计了
791s 好
792s 盟主
794s 韩将军 刘将军 王将军已经出城
