14s 你为何把洛阳让给孙监
15s 自己却要追杀祖国呢
18s 你说是一片废墟重要呢
20s 还是一个天子重要
22s 那当然是天子了
23s 洛阳也是一片废墟
25s 无用之物
27s 天子才是宝中之马
29s 如果我们能劫回圣驾
32s 绝对是汉庭屠宫
34s 从此之后
35s 各镇诸侯
36s 都要对我们刮目相看
38s 朝廷至少也得设封我为
41s 以西梁自首或者是金州人来说
44s 由此
45s 我们就可以奠定大业
48s 末将明白了
50s 不过大哥呀
51s 我们明明只有四千兵马
52s 你为何对孙监说
53s 我没有万余经济呀
56s 如果我不这么说
57s 他能把他的三千战器
58s 交给我吗
61s 大哥
62s 此行我们是孤军追杀
64s 永卓虽然败了
65s 但他的西梁败军
67s 仍然不下于数万呀
68s 称圣精军不在兵马
72s 沸逃之事无惧其多
75s 可吕布在他身边呀
76s 此人可是骁勇无比呀
79s 你估计自己
80s 站得过吕布吗
82s 惭愧
83s 如论咱打独斗
84s 我非他之敌
86s 但如论排兵雇阵
87s 他不是我的对手
88s 说对了
90s 吕布虽然小勇
92s 却是一剑匹夫
93s 绝对撑不了气候
95s 西梁军虽多
96s 也是强弩之末
98s 我军虽少
100s 却是乘胜追击
102s 两者一胜一衰
104s 胜负力霸
106s 听着
107s 进敌之后
109s 你无需立战
110s 只要多步移兵
112s 虚张声势
113s 让西梁军浑飞胆丧即可
116s 而交战之时
117s 你也不要去站吕布
119s 更不用去取董卓的首级
121s 我只要你不顾一切地冲上去
124s 给我劫回田子即可
126s 遵命
130s 田子啊
145s 老臣的命苦啊
148s 老臣是天底下命最苦的人
153s 苦得就像是车轮底下的野草
156s 我苦得就像是
159s 石头缝里的黄莲荡
162s 老臣为了救助大汉
164s 不惜抛家舍业
166s 从西梁来到了朝廷
167s 六年多来
168s 老臣是吃不好睡不好
171s 藕心瀝血
173s 我时宜
178s 老臣的一片中心换来了什么
181s 换来了是
182s 满朝的宫廷大臣对老臣的恨
185s 换来了中原诸侯
187s 对老臣的怒
189s 换来了数不清的明枪暗箭
191s 阴谋诡计
192s 老臣知道
197s 天下的人恨不得
199s 剥老臣的蹄
201s 食老臣的肉
202s 老臣被他们逼得是
204s 步步走在刀刃上
207s 老臣是天底下命最苦的人哪
211s 你说是不是
213s 天子啊
216s 咱家可是跟你掏心窝子了
220s 你是老臣唯一的一个亲人哪
231s 是老臣
233s 把你摆到这个地位上的
235s 既然我能把你摆上去
237s 想扒了下来你
239s 那就扒了下来你了
241s 老臣对你是一片中心
243s 你也要忠心于老臣哪
246s 你说是不是
248s 你明白了吗
249s 明白没有
280s 义父
282s 贼军追上来了
285s 不必惊慌
287s 我已命李国二将断后了
289s 奉献啊
290s 小心护驾
292s 遵命
293s 吕布在此
339s 这世上
341s 有我就有你
509s 小姐
514s 好孩子
516s 你安然无恙啊
518s 我没事
525s 你得真是
532s 凤凰液盘
576s 虽说贼兵都跑了
578s 可是我们得到的
579s 也只是一座空城
584s 早生十年
585s 就可以到这里来玩玩了
588s 秦儿
590s 子儿
592s 东贼乱京
594s 破满天下
595s 大汉王朝一夜间
600s 竟变成了一片灰烬
603s 大汉的命啊
606s 是大汉天子的
641s 传过玉玺呀
642s 国玉玺
649s 末将年幼的时候
651s 就听家父说过
652s 这传过玉玺上
653s 写着八个字
655s 受命于天
657s 继寿永昌
660s 春秋年间
661s 便和采玉进入京山
663s 看见一枝金凤
665s 落在一块打青石上鸣叫
667s 便和便抛开青石
669s 采得一块绝世美玉
671s 便把它献给了楚王
674s 启灭六国后
676s 这块玉就落入了秦皇的手中
679s 丞相李斯啊
681s 亲自撰刻了这八个字
684s 秦皇就把它列为传过玉玺
687s 预传百世千世万世
693s 主公
695s 就是他呀
696s 承睦叔叔说得非常对
702s 爹
703s 犬儿也知道
707s 那你说说
709s 秦皇嬴政得到这块传过玉玺以后
712s 根本就没有传千世万世
715s 仅仅传了两世
716s 报秦就亡了
718s 后来由我高祖皇帝一统天下
721s 建立了大汉王朝
723s 玉玺落到了高祖手里以后
725s 又传了十五代君王
727s 西汉末年
729s 王莽篡逆
730s 校园皇太后就用这块玉玺砸贼
733s 玉玺掉在了地上
735s 崩坏了一脚
736s 后来将士们就用黄金相补了
743s 二弟
744s 你是怎么知道那么多的
747s 那是应该的
753s 今日上天
755s 把玉玺授命于主公
758s 足见主公
759s 有其无五之尊哪
811s 恭喜爹可以称帝了
813s 哥哥
813s 可是谁知道
814s 这东西是福是祸
817s 别胡说
818s 哥哥
818s 难道你忘了吗
820s 秦皇想让他传千世万世
823s 可仅仅传了两世
824s 报秦就亡了
826s 住嘴
831s 张伯
833s 末将在
835s 传令各部
837s 立刻收拾行装
839s 明天一早
840s 随我返回江东
843s 遵命
851s 主主
852s 原盟主率领诸侯大军
853s 快要进城来了
858s 他们到底是来了呀
860s 刘备
876s 败计列为
878s 先皇天灵
880s 东贼祸乱天下
884s 玷污宫廷
886s 焚毁宗庙
888s 褻瀆皇冈
890s 臣
892s 身为帝宙侯仪
895s 竟不能缴贼建功
898s 退不能保静安民
901s 惭愧
906s 列为先祖先皇
913s 哥呀
914s 这说两句就行了
916s 谁知道先帝爷
917s 他听得见听不见
919s 今日在先祖先皇面前立誓
933s 此生此世
937s 臣定要剿灭叛贼
939s 看平四海
941s 光复宗庙
943s 忠行皇室
946s 玄奘老弟
955s 我去问你
956s 袁绍何在
959s 我听说在驾德殿上
962s 为孙监制酒庆功的吧
964s 你可愿意
965s 随我去见他一面
970s 好
971s 我与你去
973s 孙将军
975s 请
984s 孟德兄班时回朝了
989s 情况怎么样
991s 大胜而归吧
993s 就回圣家了吗
1010s 我没有得胜
1013s 我大败而归
1014s 而且败得极惨
1015s 我星夜率兵
1020s 追杀董卓
1023s 不了再形养
1025s 遭遇吕布的伏击
1028s 不其伤亡过半
1030s 如果不是曹洪
1032s 把他的战马让给我
1034s 此刻
1035s 我已经命丧吕布几下了
1038s 孟德孤军追杀
1044s 勇冠三军
1046s 随败有容
1047s 是吗
1052s 我也有一句
1054s 痛彻心扉的话
1056s 想说
1058s 你说
1058s 说
1059s 匹夫庶子
1064s 不相于谋
1070s 曹操
1072s 你这话什么意思
1075s 袁绍
1077s 袁盟主
1080s 我等会盟以来
1081s 至少有三次机会
1083s 可以把董卓扑灭
1085s 可是
1089s 都被你们
1090s 生生给错过了
1096s 第一次
1097s 就是我等会盟之初
1101s 我建议
1102s 趁董卓无妨
1104s 兵分五路
1106s 攻取洛阳
1107s 可是你们不听
1108s 第二次
1110s 就是董卓刚刚出关的时候
1111s 我建议出骑兵
1113s 攻袭董卓的后方大胤
1116s 可是各路诸侯
1117s 各为名利
1119s 争权夺利
1120s 勾心斗角
1121s 都不愿意率先出兵
1124s 第三次
1125s 就是董卓西迁
1126s 我率兵追杀的时候
1129s 你们本该派出
1130s 所有的旌旗萧将
1132s 行业驰援于我
1134s 可是你们都暗兵不动
1136s 致使我大败
1138s 这话就是
1140s 孟德兄不对了
1144s 你为何追杀董卓啊
1147s 那是因为你贪功心切
1150s 孤军深入
1151s 为何呀
1153s 你想独自劫得天子吗
1157s 怎么样
1158s 中了董卓的圈套
1160s 那才大败而至
1162s 没错
1163s 我是有些青帅
1164s 中了董卓的伏击
1166s 可是在我被伏击之后
1169s 如果能用上万的旌旗
1170s 继续追杀下去
1172s 一定能够斩杀董卓
1173s 劫回圣家
1175s 因为已经有了一次伏击
1176s 就绝不会再有第二次伏击
1179s 董卓伏击得逞之后
1181s 必然知得一蛮以征交兵
1184s 他料定我们不敢追杀
1186s 根本想不到追兵之后
1188s 还会再有追兵
1190s 孟德此话
1192s 深得兵法精髓
1202s 只可惜
1204s 我兵败之后
1206s 实在是
1208s 无力继续追杀
1210s 可是我回来一看
1213s 各位诸侯居然在这儿
1215s 捧羊宰牛
1217s 饮酒作乐
1219s 我曹某
1221s 今次大败
1222s 已经看透了列位的心计
1226s 你们名为
1227s 伏汉剿贼
1229s 实际上
1231s 都是在谋取自己的私利
1234s 曹某
1236s 深以为耻
1238s 仅此
1239s 告辞
1240s 你这是
1244s 玄德也要走吗
1245s 将军且慢
1252s 其实在下早已经告过辞了
1255s 只不过内心还有报国之私
1257s 所以才徘徊不定
1260s 袁盟主既然问起
1261s 在下正好直言
1264s 我三兄弟自会盟以来
1266s 屡力战功
1268s 可是
1269s 非但没有得到任何犒赏
1272s 反而处处受到刁难
1274s 今天刘备也斗胆问一下
1276s 袁氏兄弟
1278s 你们二位是想除贼伏汉呢
1282s 还是想借除贼之名
1285s 趁机掠取天下呢
1287s 所以我刘备
1288s 宁肯落入草马
1291s 也休与而登为伍
1300s 袁盟主
1302s 我孙监自入盟以来
1305s 始终担当先锋大任
1309s 破百马 战虎牢
1312s 可是一直得不到答应的知觉
1316s 只是我江东子弟死伤过半
1320s 我孙监如何向他们的父母交代
1325s 听孙将军的话
1328s 相士也要告辞了
1330s 不错
1334s 君子绝交
1339s 我战伤发作
1342s 不能再战了
1344s 我准备明日率部
1347s 返回江东
1355s 孙将军之急
1357s 恐怕不是战伤吧
1360s 是为了那块传国玉玺吧
1366s 你说什么
1367s 文太兄
1368s 俗话说得好啊
1372s 要想人不知 出非己莫为
1376s 那块玉玺是天子的命脉
1379s 朝廷的大宝
1381s 任何臣子都不得私自藏匿
1385s 否则就有不臣之心
1387s 有谋国之嫌哪
1390s 你既然拿到了传国玉玺
1394s 为了避免众诸侯起疑
1397s 理应放在盟主这里
1401s 日后
1403s 我也好进献给朝廷
1405s 归魂于天子
1406s 并奏报你的护国之功
1409s 否则众诸侯会说
1412s 我们舍生冒死的狡贼
1414s 贼在哪儿啊
1417s 原来我们自己的大营里
1419s 出了妄想篡地的国贼了
1429s 原盟主暗部假释
1437s 是想杀了我们
1440s 断断不适
1444s 不过我既然身为盟主
1447s 就必须要秉公办事
1450s 为朝廷
1452s 拿回传国玉玺
1453s 这点还请文太兄多多见谅
1458s 来人 叫孙箭打下
1460s 诺
1461s 来人
1462s 来人
1476s 文太兄
1478s 别误会
1480s 你我还是从长计议吧
1487s 请原盟主讲清楚
1490s 我孙箭有没有藏匿传国玉玺
1493s 没有
1494s 没有
1496s 绝对没有
1497s 我孙箭是不是妄图称帝的国贼
1501s 不是
1503s 不是
1504s 绝对不是
1506s 好
1509s 那你以后如何对各路诸侯解释
1513s 我就说
1515s 孙将军战伤复发
1518s 引兵回江东养伤去了
1539s 孙王恩断义绝
1545s 反目成仇
1557s 此番别后
1559s 不知何日才能相见
1562s 再见时
1564s 也不知你我之间
1566s 是敌是友啊
1569s 今后
1572s 无论发生什么事
1575s 我孙某绝不与两位英雄为敌
1578s 只要是忠于大汉之人
1581s 便是我刘备之友
1584s 只要叛汉助贼不管他是谁
1587s 都是我刘备之敌
1589s 说得好
1592s 宣德
1593s 请问你准备往哪里去
1596s 我已得到公孙将军邀请
1598s 前往平原县赞助
1600s 请问曹将军孙将军呢
1603s 我准备引军前往扬州
1607s 别途救国之道
1611s 我嘛
1613s 自然是
1615s 返江东故里养伤
1618s 生于后
1622s 只能报敬安民了
1627s 可叹啊
1629s 十八路英雄豪杰刚刚起事
1631s 却有兴惨
1633s 从此后
1635s 汉庭霍乱 无休无止
1639s 宣德此言
1641s 是有不确
1644s 恕我直言
1646s 十八路诸侯当中
1649s 只有孙文台兄
1651s 你我堪称英雄
1653s 其他人物
1655s 不是英雄而是萧兄
1657s 我料要不了多久
1659s 他们之间就会拼个你死我活
1662s 所以
1663s 我们选择尽早离开
1665s 是为上上之策
1674s 谨辞告辞
