7s 我们以前真是错待他了。
13s 是啊 父亲。
14s 我也没有想到刘表竟然这么讲义气。
185s 刘表今日之恩
190s 将来我们必当加倍回报。
195s 待回江东后
200s 你立刻把我们以前缴获荆州的所有兵马
203s 全部送还给他。
205s 再送他两千袋粮食
207s 不该比起仇断。
209s 以后
210s 你再送他两千袋粮食。
213s 再送他两千袋粮食。
215s 再送他两千袋粮食。
217s 以后
218s 逢年过节
219s 婚嫁寿诞
220s 不要以礼相合。
224s 主公
288s 是荆州兵袭击了我们。
289s 爹
290s 主公
291s 华奖
293s 主公
297s 你坚持住啊
298s 大家用力华奖
299s 主公
300s 冲出航道
302s 肯定在水下设下了巨石
312s 阻塞了航道
313s 我们冲不出去了。
314s 要拼了。
320s 江东战船都已陷入绝境
331s 他们是上天无路入地无门啊
333s 这可是千载难逢的良机啊
335s 我们必须把孙剑父子彻底消灭
337s 绝不能留后患啊
339s 你说得对
442s 带来了灾难了
447s 凶险
458s 爹
462s 快快登岸吧
468s 爹
469s 儿扶你上岸
474s 爹
475s 今天
479s 就不陪你上岸了
481s 我的娟儿啊
487s 你才将来
491s 一定要
492s 爹你放心
498s 孩儿以后
500s 会好好负责哥哥的
502s 他出生入死
514s 履历战功
516s 转眼间
517s 他就
519s 坐视
520s 留表
521s 还有那个穿过鱼席
532s 咱们不要了
534s 咱们不要了
535s 不要了
537s 改日
539s 把他转家
540s 转交给袁叔
544s 让他们袁氏兄弟
546s 相争去吧
548s 爹
549s 还记住了
550s 爹舍不得你
564s 爹舍不得你啊
567s 主公
568s 你放心吧
569s 爹
570s 主公
571s 我该
572s 再
573s 把娟儿带走
575s 爹不要了
576s 爹
577s 主公
578s 那你的主公
579s 只要现在还没有找
825s 我如何向我母亲交代
833s 我有何脸面
837s 回去见江东父老
839s 至于这次
842s 我们只能先回江东了
844s 待日后
845s 再找留表算账
847s 我誓死不回江东
856s 公子
857s 我有一策
858s 不知可行否
860s 荆州上将
863s 皇祖被你擒获
864s 我们
865s 何不用他
866s 换回主公的尸首
867s 不过
868s 须有一人为使
872s 携皇祖前去
873s 向留表议和
875s 如此才有可能成功
877s 我去
880s 公子
881s 公子
882s 你现在已经是
883s 江东之主
884s 绝不能再陷于险地
886s 还是我去吧
889s 我是父亲的长子
890s 如果我不去
892s 留表怎么能相信
893s 我们议和的诚意
894s 闪开
895s 他们杀了你怎么办
897s 他们已经害死了主公
899s 正盼望着
900s 斩草除根
901s 以绝后患
903s 我去
912s 我也是父亲的儿子
915s 我去个留表议和
917s 他们
918s 总该相信我们的诚意了吧
920s 不行
921s 这种事
922s 怎么能让你
923s 一个小孩子去
924s 末将觉得
929s 全公子的话
930s 有道理
932s 首先
933s 他是主公之子
934s 足见江东诚意
936s 此外
937s 只要大公子在
938s 留表断不敢
939s 加害二公子
940s 因为
941s 他们既害怕公子
942s 你复仇
943s 也担心
944s 激起天下诸侯的共怒
946s 所以
947s 以全公子为使
948s 反而会安全
949s 可
957s 那个老头
958s 见了我这个九岁的娃
959s 难道不惊讶吗
961s 难道不感动吗
963s 难道
964s 害怕他杀了我不成
966s 全公子真了不起
968s 句句说在点子上
970s 我看
971s 以全公子这样的才智
972s 此行
973s 必能成功
1017s 成谱黄盖
1018s 末将在
1020s 带领所有的将士
1022s 埋伏在
1023s 荆州大营附近
1024s 接应孙全
1026s 遵命
1036s 我们和江东之仇
1038s 永世不可解了
1040s 各地的诸侯听说
1043s 也会谴责我留表
1045s 不仁不义
1048s 主公
1049s 事情已经做下
1050s 就不必后悔
1052s 再说了
1053s 乱世之中强者为尊
1055s 江东恨我们怕什么
1057s 他们竞此大败
1058s 已经不是我们
1059s 荆州的对手了
1060s 禀主公
1065s 江东派来使者请和
1067s 并送回皇祖将军
1071s 什么
1072s 使者
1073s 是
1074s 让他们进来
1075s 诺
1078s 主公
1079s 末将
1081s 末将回来了
1082s 江东的使者呢
1094s 江东之子孙全
1096s 拜见刘伯伯
1098s 你就是使者
1100s 是
1102s 多大了
1104s 禀刘伯伯
1105s 孙全今年九岁
1107s 九岁就来为使
1109s 真是可笑
1115s 禀刘伯伯
1117s 高祖皇帝九岁时
1119s 射死过一头金鹅猛虎
1121s 吴帝爷九岁时
1122s 反攻杀敌
1124s 我孙全无用
1125s 九岁时只能向刘伯伯请和
1128s 请伯伯赐还我弟弟的尸首
1130s 从今以后
1131s 江东永远不向荆州复仇
1134s 这
1135s 主公
1145s 我们干脆斩草除根
1146s 彻底灭掉孙氏家族
1148s 然后趁其不备
1150s 发兵直去江东
1152s 以成王后大业
1153s 刘伯伯
1157s 我哥哥孙策已经继承复位
1159s 领长沙太守
1160s 现在他不在三京渡
1161s 早已返回江东
1163s 掌军御敌
1165s 我明白你的意思
1167s 孙全啊
1168s 我要问你
1170s 你父亲死在我的手里
1173s 你江东军为何不来杀我
1175s 报仇啊
1176s 反而要来求和
1179s 禀刘伯伯
1180s 弟弟临终前
1181s 交代过我一句话
1184s 什么话
1185s 弟弟说
1188s 刘伯伯有皇室之风
1190s 忠义厚当
1191s 是袁绍逼使他们
1192s 伏击我们的
1193s 要复仇
1194s 应该找袁绍复仇
1196s 江东与袁绍势不两立
1198s 弟弟还说
1199s 为了江东的安危
1201s 我们应该与刘伯伯
1202s 化干戈为玉帛
1204s 两家修好
1205s 和睦相处
1207s 你父亲
1208s 真是这么说的
1210s 是
1211s 孩子
1215s 孩子
1216s 快起来
1219s 你父亲的尸骨
1220s 我已经装练
1221s 你可以带回江东
1224s 我还要在江边设计
1226s 送别你父亲的英灵
1229s 谢
1230s 谢刘伯伯
1243s 相国
1244s 相国
1246s 相国
1247s 相国
1248s 大喜啊
1249s 大喜啊
1253s 相国的禁敌孙坚
1255s 在归乡的路上
1256s 途径三千度
1257s 中了金州军的埋伏
1258s 被刘表
1260s 杀死了
1266s 孙坚死了
1269s 真的死了
1271s 当真死了
1276s 苍天有眼
1279s 弃掉了咱家一块
1281s 心腹大患
1285s 在各路诸侯当中
1287s 孙坚是个英雄
1289s 只要他一死
1292s 中原的诸侯
1293s 都是猪狗鸡啊
1295s 我看他哪一个敢出来
1297s 跟咱家作对
1299s 这回咱家
1300s 一定是一个太平叫了
1304s 禀相国
1308s 在下有一言
1310s 鸦印日久
1312s 如梗在喉
1313s 已经是
1316s 不吐不快
1318s 说
1319s 敬请相国
1320s 敬九五之尊
1322s 及天子大位
1326s 等等
1331s 你是说
1332s 想让咱家做皇帝
1336s 是吧
1338s 那能成吗
1340s 又何不成啊
1342s 自宪国进京后
1344s 先是扫除宫为奸党
1346s 成清朝纲福利新军
1348s 继而又剿灭
1349s 袁绍士八戮贼军
1351s 君臣是无不额首称庆
1354s 百姓无不望天送养
1357s 正所谓
1358s 唯唯此功
1359s 功垂千古
1360s 强强英明
1361s 流芳万世
1363s 如果
1364s 如果相国
1365s 不及天子位
1366s 岂不有负臣民
1368s 九乱而妄至之心吗
1371s 汉言免四百年
