0s 宁甘宝贝啊,你可让我想死了啊!
148s 放开我!
149s 你!
150s 你不喜欢咱家?
158s 相国不是答应奴婢要做贵妃吗?
166s 怎么把奴婢,怎么把奴婢抬到这儿来了?
170s 这,这霉物比皇宫是好多了,
175s 霉物是人间天堂啊!
179s 霉物虽好,可是相国,相国毕竟不是天子。
189s 你既然已经答应了奴婢,就不该食言的。
194s 宁甘啊,咱家跟你说实话吧。
200s 那天子是什么呀?
202s 天子就是咱们养的一个掌上之物,徒有虚名。
208s 咱家是谁呀?咱家是尚父。
211s 尚父是什么,你知道吗?
213s 尚父,他是天子的主子,是天子的爹。
218s 宁甘啊,你,
221s 与其伺候那个徒有虚名的天子,
224s 倒不如伺候伺候天子他爹。
230s 你,你弄疼我了。
234s 好好好,弄疼你了。
236s 宝贝啊,我向你赔罪呀。
245s 你听我说,以后你就住在这。
251s 咱家要让你想尽天下之乐,
255s 咱家要把天下所有的珍惜宝物全都送给你。
259s 没事呢,你给我唱个小曲。
263s 不知相国想听什么曲子?
268s 我最爱听那个,那个叫暖意温香,抱满怀,离魂到天外。
275s 这句我是最爱听了。
279s 奴婢,这就去卸妆更衣准备。
283s 更衣?更衣好,更衣好。
288s 不过你可要快着点啊,咱家等着你。
292s 来人哪,在。
294s 侧候小姐更衣。
296s 诺。
297s 为了兴汉,灭贼,非如此不可呀。
346s 女儿,我求你了,求你为大汉献身哪。
353s 心肝宝贝,你快着点啊,咱家都等不及了。
367s 来了。
371s 将军,为何独坐在此?
407s 此刻上朝也太早了吧?
412s 我不是上朝,我想见貂蝉。
417s 见貂蝉?干嘛坐这儿啊?
421s 这儿离貂蝉近一些。
428s 老夫直言,貂蝉根本就不在皇宫里。
436s 那它在哪儿?
443s 将军,你还不知道啊,
446s 昨夜出耕时分,貂蝉就被抬进了梅雾,
452s 伺候相国大人去了。
458s 梅雾?
460s 老夫担心哪。
462s 担心什么?
464s 快说你担心什么?
467s 老夫担心的是,既然貂蝉被抬进了梅雾,
472s 它就伤了相国的凤塔牙床了。
476s 我万万不信!
486s 相国他亲口跟我说过,天子。
497s 相国不但跟将军这么说过,
504s 跟百官也是这么说的。
508s 否则的话,
510s 相国怎么能够堂堂正正地把貂蝉抬走呢?
516s 这事让人万难相信。
521s 不过刚才我碰上了内廷侍奉,
524s 他亲口跟我说,
526s 昨天夜里就是他亲手提着灯笼,
530s 把貂蝉做的工匠引入梅雾的。
535s 亲手?老亲手?
554s 小女本该是将军的爱妻,
563s 可相国却借着天子的名义,
