4s 我本想结交曹操这个肖雄,
7s 谁知弄巧成拙,
9s 惹起了逃遍拘祸呀,
12s 与周旦保了。
19s 父亲,曹老太爷致死,
22s 罪在贼将张凯。
24s 父亲也只是用人不明而已呀。
27s 儿子琢磨着,
29s 医者,我立刻派兵追杀张凯,
32s 务必取他手机。
34s 儿子,
35s 有我写张凯的手机去他们眼中,
38s 面向曹操向他说明事情的原本,
40s 赔礼请罪呀。
42s 对了父亲,
43s 他们不准缺手粮饷吗?
45s 我们可以再赔偿他们几十万箱,
48s 化解此事啊。
49s 你听说过一句话吗?
60s 您恳我负天下人,
63s 休叫天下人负我。
66s 这话谁说的?
72s 你现在知道他是何等人了吗?
82s 儿啊,
84s 徐州大难临头了。
87s 父亲,
88s 那我们该怎么办呢?
90s 怎么办呀父亲?
91s 即刻传命,
96s 各部召集所有兵马回防徐州,
99s 准备营地。
100s 好。
101s 等等,
104s 我还有一事,
107s 曹操要是清朝而出,
110s 仅凭我们的力量,
112s 是难以阻挡曹操的大军的。
115s 我计刻携旗到首书,
119s 你拿上它,
120s 星夜兼程,
122s 去冀州拜见袁绍,
125s 南洋的袁术,
127s 平原的公孙寨。
129s 他们距离徐州,
131s 都不过五日的行程。
135s 请他们发兵相救。
139s 你可说过,
140s 这几位诸侯,
141s 可都贪图咱们徐州城啊?
143s 正因为他们贪图徐州,
146s 才不愿意徐州落到曹操的手里啊?
150s 一旦落入曹操的手里,
152s 他便能称霸中原,
154s 对他们有违不利啊。
156s 你告诉他们,
157s 谁能劝退曹操退兵,
162s 化干戈为玉帛?
165s 我陶谦,
167s 愿意每年向他们敬送,
170s 二十万粮饷,
173s 至死不渝。
175s 好。
179s 事已至此,
186s 请主公节哀自重,
187s 请主公下令,
189s 末将只需三千精兵,
191s 五日之内便能踏平五凤山。
194s 末将保证,
195s 生擒张凯,
196s 拿他脑袋来给曹老太爷寄灵。
199s 不,
201s 为何要征缴五凤山?
204s 杀害曹公的虽然是贼人张凯,
207s 但是最后扩手,
209s 却是那徐州城里的陶谦。
