12s 主公,刘备派人送来一份拜帖。
16s 我就知道他会给我来信。
19s 你猜猜那信上的我都说了些什么。
23s 这,我可猜不出来。
26s 连这都猜不出来。
29s 今后如何做到料敌于先?
32s 如何才能做军中主将呢?
35s 这。
37s 我替你猜一猜吧。
39s 刘备此信,
44s 开头嘛,肯定是奉承我一番。
49s 他会替陶谦赔罪。
52s 因为毕竟是他的部将,杀了家父。
56s 最后,他会劝我退军。
60s 你念吧。
70s 孟德兄如物,玄德百败。
73s 长安一会,在下铭心刻骨。
76s 兄台之文韬武略,如日照昆仑。
79s 兄台之心胸大志,如江海奔腾。
83s 在下不胜仰慕。
85s 徐州刺史陶谦,实乃宽厚仁德之君。
89s 其部下叛逆之罪,不能敬归于其主。
93s 如今,兄之先父已逝,如逝水不可復归。
98s 陶谦愧恨无地,愿倾其财物。
102s 赔偿兄台,以收赎其罪。
105s 刘备斗胆尽言,
107s 盼兄台撤军沿河,化干戈为玉帛。
111s 常能如此,不但徐州百姓敢兄台大恩,
115s 天下人也必称颂兄台之名义。
119s 否则,战端已开,玉石同焚。
123s 刘备不才,愿与陶史君生死与共。
128s 放肆。
130s 那刘备不过是一个知习犯律的匹夫,
133s 竟敢来通我作对。
135s 传令下去。
137s 破城之后,
139s 徐州城的男女老幼全部斩尽杀绝,
143s 以为家父在天之灵。
146s 主公,这……
148s 我们没有那么多的粮食供养几十万战俘。
153s 末将,明白了。
155s 拜报到了。
157s 远州出事了?
158s 正是。
167s 昨天夜里,
171s 雷部率兵一举偷袭了远州,
174s 攻破了城。
176s 城中我军残部正在浴血奋战中。
180s 一届匹夫?
182s 他哪里来的如此胆识劲敢偷袭我的远州?
188s 主公,
189s 陈公做了吕部的军师。
192s 这就不奇怪了。
194s 这就不奇怪了。
198s 原来是陈公台在指使他。
203s 主公,
204s 远州一旦失陷,
206s 那我数万大军可就无家可归了。
210s 传命,
211s 全军即刻回驶远州。
214s 那徐州怎么办?
215s 等我战霸吕部。
221s 回来再说吧。
222s 现在嘛,
225s 不妨
233s 做个顺水人情,
237s 卖刘备个面子。
240s 你替我做个顺水人情。
242s 就说我接受他的建议。
245s 撤军,
246s 言和。
247s 遵命。
248s 不敢当,
249s 不敢当,
250s 万万不敢当。
252s 全德一纸信文,
256s 撤退了曹军,
262s 无万铁骑。
265s 使徐州免于战祸,
267s 转危为干。
270s 此事足以证明
272s 陈公的军事。
274s 徐州五十万官民,
277s 深感玄德军再造之恩。
280s 拜见玄德公。
283s 玄德老弟啊,
284s 老夫年迈,
286s 全死无财。
288s 徐州六军,
290s 只有在刘十军的治愈之下,
295s 才能够成功。
300s 玄德老弟啊,
302s 老夫年迈,
304s 全死无财。
306s 徐州六军,
307s 只有在刘十军的治愈之下,
309s 才可能太平昌盛。
312s 我已经征求过徐州
314s 所有文武官员的心意。
317s 他们都愿意你
319s 提领徐州啊。
322s 请看在纵人分上,
324s 单此任罢。
328s 陶公,
329s 陶公深情厚意,
331s 刘备极为感化。
333s 但此尊官方,
335s 刘备绝不感受。
337s 我早就说过了,
338s 徐州是来救徐州,
340s 而不是图徐州的。
342s 现在,
343s 曹操大军已撤。
345s 待我引罢此差,
346s 也该履行诺言,
347s 重归平原县。
349s 请留步,
350s 留步,
351s 留步,
352s 留步,
353s 留步,
354s 留步,
355s 留步,
356s 留步,
357s 留步,
358s 留步,
359s 留步,
360s 留步,
361s 留步,
362s 留步,
363s 留步,
364s 留步,
365s 留步,
366s 您看在众人的份上,
368s 单此任罢。
370s 不成,
371s 陶公啊,
372s 你这是逼我现在就离开徐州啊。
375s 请留步,
376s 请留步,
377s 请留步,
378s 请留步,
379s 即使你不统领徐州,
381s 也不能弃徐州而去啊。
383s 否则曹操定然复返,
385s 徐州早晚要落到奸凶的难中啊。
389s 董,
391s 这样吧,
392s 我搏出一个编程小配,
394s 你可领军暂住,
396s 我们可以形成一个蹊跷之势,
399s 一旦有景,
401s 我们可以相互应援啊。
404s 至于你不所需良详,
407s 全部由我供给,
409s 你看如何呀?
411s 刘备,
418s 谨遵陶公所命。
420s 好,
421s 好,
422s 好,
423s 开宴,
424s 上酒。
425s 太好了,
426s 太好了,
427s 太好了,
428s 请请请。
429s 六公,
440s 快请。
441s 何呀?
442s 陶公,
478s 你的病,
484s 不算是祸事,
487s 待来年开春,
489s 定可康复,
491s 你只需安心静养。
493s 我不是说我的病,
501s 我是说,
503s 徐州要大难临头了,
508s 刚刚接报,
512s 曹操就半日,
515s 大败吕布,
517s 这就意味着,
519s 他可以腾出手来,
522s 马上在大徐州了。
527s 玄德呀,
530s 鸟子将死,
533s 其鸣也哀,
536s 人之将死,
539s 其言也善哪。
542s 老夫,
543s 我有几句话,
547s 想跟你说,
550s 但我希望,
553s 在这个时候,
556s 你我之间,
559s 不要再有什么
561s 虚言客套,
564s 行吗?
565s 我知道,
573s 你们六官的
575s 三兄弟,
577s 必须
580s 以防蜀地,
583s 作为立身之本。
586s 我还知道,
591s 你刘备,
593s 不是不想得到徐州,
598s 恰恰相反,
601s 你想,
603s 你比任何人都想得到,
607s 是不是?
610s 只不过,
612s 你与性命,
615s 不想趁我之危罢了。
622s 吕涛公明鉴,
624s 请收下吧,
629s 徐州,
633s 只有托付于你,
636s 无他人,
637s 我给听的奏章,
642s 已经写在我的遗珠里了。
649s 套公,
652s 天下英雄众多,
654s 无论如何,
657s 也轮不到我刘备
662s 做徐州牧啊。
664s 那还有谁?
667s 袁绍四十三宫,
668s 威名满天下。
670s 不。
671s 袁蜀胸怀大志,
673s 一直想进取中原。
674s 不。
675s 还有,
676s 还有荆州刘表,
677s 刘表也是,
678s 皇监国纪。
679s 不,
680s 不,
681s 不,
682s 徐州,
683s 非你,
684s 不可。
686s 刘备,
