7s 在我们玉旅部交战的时候,京都长安发生了惊天动地的巨变。
166s 东卓部就将离绝国寺,决略天子。
176s 后来又反目为仇,大砍大杀。
179s 天子和百官被沦为人质,被国内二人是拉来拉去。
185s 整个长安是一片废墟,血流成河,断水断粮。
190s 天子一粗糠腐肉为食,百官更是眼眼待毙。
195s 讲要紧的说。
197s 要紧的是天子在安吉将军董成的相助下,
201s 侥幸逃脱了长安,星夜向东逃往洛阳。
206s 天子在逃亡途中写下此诏,
209s 急招天下诸侯前去秦王。
213s 如此两个人,天子和百官被沦为人质。
219s 如此两计,千古难觅。
224s 两计?
227s 主公,这叫什么两计啊?
229s 主公的意思是,从长安到洛阳,
236s 必须经过盲荡山一带。
238s 此山离眼州不足五百里。
241s 主公想起兵救驾,
246s 待天子到手之后,就可以...
250s 就可以挟天子以令诸侯,
253s 掌天下之柄。
255s 天子已经逃出长安了,
264s 急招各镇诸侯前去护驾。
268s 你们说说,
270s 我是奉诏还是不奉诏呢?
274s 主公,依许忧之见,
284s 主公非但应该奉诏赶去护驾,
288s 而且还必须抢先一步。
292s 因为当今天下纷乱动荡,
296s 诸侯争雄,但只是各霸一方。
300s 在这种时候,
302s 谁若能把天子握于掌中,
305s 谁就可以知天下牛而已。
308s 许忧之言,真乃匹夫之见。
314s 如今天下大事一目了然,
317s 当今天子只是徒有虚名,
322s 汉室遥遥欲坠。
325s 主公,若真把他请来,
327s 那是给自己添了个累赘。
330s 试问,天子如果来了,
333s 这冀州谁是主人?
336s 是主公你还是那个小娃儿?
339s 再者说,
341s 如果他白起皇帝谱来,
343s 今天一诏,
345s 明日一指,你听是不听,
348s 从是不从。
350s 天封说得有理。
354s 那天子也确实是个累赘。
357s 我就解罢。
361s 主公,
362s 刚才天封所言,
364s 那才真正是数目寸光,
367s 欲浮短见。
369s 大汉虽然遥遥欲坠,
372s 可尚未崩溃。
374s 那天子虽然年少无为,
377s 且徒有虚名,
379s 可他仍为汉帝。
381s 主公,你虽贵为冀州之主,
385s 可你仍是汉帝之臣啊。
389s 有道是,
391s 名不正则言不顺,
393s 言不顺则必败言。
395s 天子可不是累赘啊,
402s 那是一面号召天下诸侯的皇旗,
408s 一面统领三军的大盗啊。
413s 其作用可限量乎。
417s 在下担心,
419s 如果主公弃而不娶,
421s 定会落入别人掌中。
426s 谁会娶娶?
430s 燕州的曹操,
432s 荆州的刘表,
434s 他们都会娶娶,
436s 尤其是那曹操,
438s 甚至会娶姜。
440s 许幽之言,
442s 威严俗听啊,
444s 什么大旗大盗。
446s 那昔日天子,
448s 不过是寒秋中的一片落叶,
450s 无用之物罢了。
452s 曹操想要,
454s 任由他取却。
456s 我家主公,
458s 应该不上虚名,
460s 专心实际。
462s 敢问,
464s 当今最大的实际是什么?
466s 我以为,
467s 是迅速消灭公孙瓒,
469s 兼并青州幽州。
471s 如果此一成功,
473s 那天下神州,
475s 我家主公已独占四州。
477s 这和真正的天子,
479s 又有什么区别?
481s 所以主公,
483s 应该整军备战,
485s 迅速兼并清幽,
487s 切勿分心旁悟啊。
492s 主公,
496s 我意已决,
498s 不奉天子诏令。
500s 今备战,
502s 等秋收过后,
504s 粮饷备足,
506s 即可发兵,
508s 进去幽州。
510s 主公短见,
521s 庸臣无功,
523s 一只小小的传国玉璽。
527s 各路诸侯,
529s 尚且争来抢去,
531s 可一个活生生的皇帝,
534s 却怎么没人要呢?
536s 主是庸主。
548s 庸快,庸快。
576s 你们看,
578s 咱们跟太阳
580s 一块登上盲荡山了。
582s 已经一天一夜,
584s 走了五百多里了。
586s 这人不累,马也累啊。
588s 咱们还是歇息歇息吧。
590s 行,
592s 那就稍歇片刻。
594s 等日上三干的时候,
596s 继续出发。
598s 遵命。
600s 袁绍有什么动静?
602s 袁绍没有奉旨前来护驾。
605s 袁绍离盲荡山如此的近,
608s 可是他却没有来。
610s 人婚姻到这个地步,
612s 真是叫人喜欢啊。
615s 袁叔和刘表呢?
617s 南阳的袁叔没有行动,
619s 荆州的探少回报也没有到。
622s 估计他们也不可能前来护驾。
626s 看来天子非我莫属了。
629s 怎么?
631s 我的意思是说,
633s 看来救驾的,
635s 非我不可啦。
639s 主公!
641s 主公!
643s 谁下意的发现车轴印!
645s 撤!
647s 轮尖齿幅有多快?
649s 轮尖齿幅六尺六。
651s 六尺六?
653s 不好,天子的坐驾已经过去了。
655s 马上出发,全力追赶。
657s 主公,
659s 我们车车上看,
661s 这车已经驾过去很长时间了,
663s 咱们要是追不上怎么办?
665s 追不上?
667s 你就是给我追到洛阳城,
669s 追到常乐宫,
671s 追到上天入地,
673s 也要把天子给我追到手,
675s 听到了吗?
686s 主公,这五百多里啊。
688s 快去!
690s 咱们还是歇一会再走吧。
692s 刚才你警下令,
694s 说太阳到了三干,
696s 你说没用,走!
698s 陛下,陛下,
714s 来,陛下,
721s 我们终算是回来了。
