3s 你竟然能在这里七乐融融啊你啊。
37s 有何不乐?
39s 他来犯小配又不是犯我徐州,我瞅什么?
41s 我跟你说过了,
43s 小配一旦失手,
45s 我们徐州城等于失去屏障,
47s 唇亡齿寒啊。
49s 你又收了袁硕的粮饷,
51s 答应不住刘备。
53s 这两难的处境,
55s 你想过如何应对?
57s 你不想要,
59s 我才不想要。
61s 我才不想要。
63s 你想过如何应对?
65s 先生,
67s 你刚才听到刁禅的曲子了吗?
69s 他唱的可妙了。
71s 奉先!
73s 他唱的是
75s 天无绝人之路,
79s 地有好生之德,
81s 花有容枯之期,
83s 水有无尽之流。
85s 你说,
88s 他这词好不好?
90s 奉先啊!
92s 正非就是因为贪杯
94s 丢失了徐州城啊。
96s 你难道要学他的样子,
98s 去重蹈覆辙吗?
100s 那匹夫怎么能跟我相提并论呢?
102s 我有蚩兔马,有方天化脊。
104s 那好,我也送你两句唱词。
106s 君情如火,生死万机。
108s 你,你赶快
110s 给我率军出城。
112s 好,我去就是了。
114s 先等我回来啊。
121s 旅部刚刚发兵了。
123s 好,何时能来小配?
125s 旅部率军至五里坡,
127s 在那儿摆了一起酒宴,
129s 说是要请主公前去赴宴。
131s 赴宴?
135s 大战迫在眉睫,生死绝于一刻。
137s 他怎么能有闲情意志喝酒?
139s 我也不解。
141s 旅部说了,
143s 此宴能退敌。
145s 大哥,我看旅部这次
147s 早就被袁硕给收买了。
149s 他设下这红门宴,
151s 是想取大哥的性命。
153s 哥哥,万万不能上当啊。
156s 大哥,旅部收了袁硕
158s 二十万两项。
163s 我这就去。
167s 大哥,我相信旅部不会害我。
169s 再者,
171s 为了抵御袁硕大军,
173s 我就算身陷险地,
175s 也该亲身一试。
177s 哥哥,若真去,那由我来护驾。
179s 你和旅部一见面就会打起来,万万不可。
181s 俺非去不可!
183s 三弟!
185s 子龙,云长,
187s 你们键守城池,我去就就来。
189s 大哥,千万小心啊!
191s 旅部军威严整。
212s 此人不仅是个九色之徒,
214s 也是个能争善战的勇将啊。
216s 哼!
218s 贼旅部!
222s 二位将军,我家主公有令,
224s 请两位入营相训。
226s 请!
244s 玄德,你日后得志,
246s 可别忘了在下今日之恩啊。
248s 上将军之恩,
250s 在下并不敢忘。
254s 别别别,
264s 千万别动兵器。
266s 哼!
268s 我不是你兄弟!
272s 随你随你,不是就不是。
274s 不过,你是不是
276s 穷江美酒的兄弟?
278s 那是!俺张飞,
280s 那是千杯不对!
282s 言过了吧?
284s 刘备出征那天,
286s 你不就大醉了一场吗?
288s 你!
291s 今天我高兴,
293s 特请两位朋友
295s 来陪我喝酒。
297s 来,喝酒!
306s 干杯!
317s 如此美酒,
319s 若有乐曲相伴就更好。
321s 可惜,刁禅不在。
323s 他如在,
327s 酒不醉人,
329s 人自醉。
331s 哼哼!
334s 敢问上将军,
336s 你要杀我吗?
340s 不杀,不杀。
342s 那么你要杀这大日贼吗?
344s 不杀,
346s 都不杀。
