18s 国家
19s 在
20s 徐州情况如何
24s 刚刚收到陈规陈登父子二人书信
27s 其二人深得吕布信任
29s 已被请入徐州将军府了
32s 好
34s 告诉他们
36s 务必
37s 要离间吕布
40s 和陈公的关系
42s 使陈公丧失信任
44s 逐步被变
46s 同时
48s 要设法击驶吕布和刘备交恶
52s 待徐州城中大乱
54s 咱们就可以趁乱
56s 拿下徐州
58s 待事成之后
60s 我就会表奏天子
62s 册封陈规为
64s 徐州太守
66s 请主公放心
67s 陈氏父子
68s 足智多谋
69s 定不负主公众望
72s 好
77s 走吧
78s 继续
83s 上将军
101s 方金大事
102s 谁能得到上将军相助
104s 谁便能主掌天下
106s 元树就是因为没有得到
108s 上将军相助
109s 这才兵败寿春
111s 成千古遗恨
114s 我儿此话不然
116s 凭上将军之勇略
118s 足可以助守徐州
120s 而得中原
122s 之后得中原而得天下
125s 为何辅助元树等辈
128s 父亲说得对
129s 上将军统领的骁勇骑兵
131s 无人能与之争锋
133s 上将军的胯下赤兔马
135s 手中的方天锦
136s 更是天下无敌
138s 上将军应该独领风骚
140s 自成罢业
142s 这个当然
145s 不过
146s 仍需你们贤父子
148s 好生辅佐我才行
150s 不宜选儿
152s 备受上将军的宠爱
154s 更应赤诚报答
156s 家父与我
157s 也只有辅佐上将军
159s 成就功名霸业
160s 方能不屈此生啊
164s 好 好
165s 来来来
166s 跟我共敬一杯
168s 公台先生来了
169s 快请入席
177s 你们父子二人退下
179s 我跟奉贤有话要说
181s 不必走远
188s 就在庭外候着
189s 奉贤哪
191s 我听说你把他们父子二人
202s 请到内府来居住了
204s 是啊
205s 还拜了他们为左右参加
208s 没错
210s 奉贤哪
211s 他们父子二人
212s 那可是卑躬屈膝的小人
216s 当初在陶谦仗下
218s 他们就暗通袁绍
220s 去偷鸡去零
222s 背主求荣
223s 后来被陶谦察觉之后
225s 差点被杀
226s 只是因为陶谦
227s 一时心软
228s 才免他们一死
230s 霸之不用
231s 今天怎么
232s 怎么跑到你的面前来了
234s 还跟他们搞得
235s 如此的情投意识
236s 弓台
237s 陈规陈登对我忠心耿耿
242s 你何必妒忌他们呢
244s 什么
245s 我妒忌他们这对小人
249s 奉贤哪
250s 杀肠征战是你所成
256s 可是查人官事
257s 是你所短
259s 今天他们对你
260s 如此的奉承
261s 是必有所图
262s 你万万不要被他们的
264s 甜言蜜语所迷惑了呀
266s 成功
267s 你无端金蝉
268s 想陷害好人吗
269s 好人
270s 他们是一对奸贼
272s 绝对不是什么好人
274s 是中世间
275s 我自有明察
276s 用不着你说三道四
278s 你别忘了
280s 在徐州城内
281s 我做主
283s 上将军有了陈氏父子
290s 用不着我成功了
292s 先生如果觉得委屈
304s 就让我做主
305s 我做主
311s 先生如果觉得委屈
314s 就请自便吧
315s 我走
323s 徐州城大火不远了
325s 是你待
328s 沈便
329s 替我请两位参军进来喝酒
340s 为人臣者
341s 岂可对主公耳提面命
344s 非但耳提面命
346s 还想将主公置于掌中
348s 这可是不识时务
356s 父子二人
357s 这酒里边到底放了什么毒药
360s 先生不是说过吗
362s 拭目以待
368s 公台先生走好
370s 小小得知
381s 如此下去
382s 非但徐州不保
384s 连我也会大祸临头的
387s 明主何在
402s 何处是我立身之地
404s 吕布虽然愚蠢
410s 此人心性之爽
414s 来人哪
415s 先生
428s 备马
435s 我要出城设令
437s 诺
438s 快快拿下
465s 诺
466s 按通曹操
481s 图谋我徐州
483s 上将军
485s 刘备一直记恨你
486s 夺了他的徐州
487s 却又无法同上将军相争
490s 怎么办呢
491s 他只好按通曹操
492s 以便借曹军之力
493s 夺回徐州
495s 在下早就看出来了
497s 刘备大奸四中大伪四真
500s 表面上道貌黯然
502s 实际上却暗藏祸心
504s 是个百年罕见的伪君子
508s 说得好啊
510s 太好了
514s 尤其是
515s 大奸四中大伪四真的妙语
519s 堪称精辟啊
522s 不过中间真伪者
524s 难道仅仅是刘备一人
526s 在我们徐州城里
528s 就没有其他的奸贼了吗
530s 还有奸贼
534s 是谁
535s 禀上将军
541s 公台先生是在说我
545s 没错
547s 我说的就是你们父子二人
550s 如果我成功没有看错的话
552s 你父子二人就真正是
554s 道貌黯然 满腹祸心
556s 先生何出此言
557s 何出此言
558s 在你父子二人
559s 没有进入将军府之前
561s 徐州城里太平无事
564s 在你父子进入将军府之后
566s 徐州城里是非不断
569s 先是曹操赐奉将军为徐州牧
573s 再是徐州城里出现了
574s 大量刑纪可疑的眼中伤犯
577s 今天又有了这封密信
580s 说
581s 你父子二人是曹操的奸细
583s 还是刘备的奸细
584s 或者同是曹操刘备的奸细吗
587s 将军斩下我的头颅
604s 已是成功之矣
607s 成功
613s 你说陈登是奸贼
615s 可有屏障
617s 虽无屏障
619s 但是我相信我陈功的眼睛
622s 上将军都听见了吧
624s 御驾之罪何患无辞啊
629s 陈功
635s 我多次劝你不要嫉贺人家
637s 可你呢
638s 总是疑心生暗鬼
640s 蛊惑人心
641s 我告诉你
642s 陈登自入府以来
643s 屡屡说你的好话
645s 承赞你学府武车
647s 志谋过人
649s 还赞为当今第一谋士
651s 而你呢
653s 是吗
654s 他们当然会在你面前
655s 称赞我
658s 要不哪儿来的大奸似中
660s 大伟似真呢
662s 陈功
664s 快向陈登赔罪
668s 小除误会
669s 尽是前嫌
671s 绝对不
673s 听着
675s 听着
676s 我令你向他赔罪
683s 将军
684s 陈登刚才已经把配件
686s 呈予你
687s 你何不拿着配件
688s 就把我给杀了
690s 向奸贼赔罪
693s 休想
695s 你
696s 上将军
697s 在下岂敢让公台先生
699s 给我赔罪
700s 还是我向公台先生赔罪了
703s 公台先生
707s 尽管放心
709s 在下与家父
710s 虽然节程辅佐上将军
712s 但我们永远也不敢
713s 取代先生的军师大位
715s 在下与家父
716s 定会奉先生为师
718s 共同为上将军效命
721s 先生听见了吧
727s 人家是何等胸怀
729s 何等气度
730s 是奸
738s 走着瞧
739s 刘备暗通曹操
747s 图谋徐州
749s 本将决定
751s 出兵剿灭刘备
752s 以灭后患
756s 众将听着
759s 令张梁高顺
761s 令一万骑兵
763s 夜袭关羽营寨
765s 令宋县魏旭
767s 引军一万
768s 断其后路
770s 本将自捅大军
772s 攻取小配
774s 由我亲手
775s 斩杀张飞那死
778s 等大军出城之后
780s 令陈归陈登
781s 守备徐州
784s 众将不得有误
786s 遵命
787s 各位即刻整军
793s 等天黑之后
794s 到南关集结
796s 待命出发
798s 诺
799s 奉宪达
813s 还是让我来留守徐州
815s 不成
817s 你神之兵法
819s 临敌之时
820s 还需要你出谋划策呢
822s 可是你把一家老小
823s 整座城池
825s 都交到那对父子手里
827s 一旦有失
828s 如何是好
829s 先生
842s 你还是信不过他们
844s 是不信
846s 先生
849s 你姓陈
850s 他们也姓陈
852s 为何诸臣之间
853s 总是水火不容
856s 我从没听过他们攻击你
860s 却老是听你在背后
861s 重伤他们
863s 奉宪啊
864s 我现在暂且不论
866s 陈家父子的中和间
868s 我只说徐州
870s 徐州是我们的根据
872s 命脉之所在
873s 绝不如是
874s 所以无论如何
875s 要交到我们
876s 值得信任的将军
877s 手里来驻防
879s 依我看
881s 不如在张廖和高顺之间
884s 选一人留守
886s 不
888s 刘备兵虽少
892s 但他有关羽
893s 张飞 赵云这几员猛将
898s 而我又不能一一抵三
900s 所以张廖 高顺
903s 必须随我临敌
905s 但是无论如何
906s 也要把那对父子分开
908s 一人留守
909s 另一人随军
910s 也好
911s 那我让其父 陈归
917s 守城
919s 我让其子 陈登
920s 随军
921s 先生
922s 你不是最讨厌陈登吗
926s 那我带着他出发
927s 陈公虽然已经生疑
929s 但吕不信任我们
964s 无妨
966s 出城之后
967s 城外的事
968s 尽由我办理
969s 城内的事
970s 六守的两位将佐
971s 和六位校尉啊
975s 都已经被我收买了
976s 他们都愿意归顺朝廷
978s 不择守朝的位置啊
979s 也都是我亲自选定的
993s 父亲珍重
995s 我儿珍重啊
996s 带着三千铁锡
997s 去盗斗战司
998s 别动
999s 不可接战
1000s 秘方何在
1074s 主公
1075s 估计不到一炷香的功夫
1081s 整个城池
1082s 就个被吕不韦的
1083s 水泄不通
1087s 我现在写书信
1088s 已经来不及了
1089s 我召你火速出城
1091s 前去向曹操求援
1093s 令陆不韦
1094s 和陈登
1095s 前去向曹操求援
1097s 令陆不韦关于大营时
1099s 告诉他坚守待命
1101s 在曹军到来之前
1103s 万不可发兵圆佩城
1105s 切记
1106s 诺
1108s 三弟
1109s 在
1110s 关闭各处城关
1111s 令将士们上城拘敌
1115s 这个贼律部
1116s 只会偷袭
1129s 大尔在何在
1131s 刘备在此
1133s 敢问奉先将军
1134s 为何引军前来
1136s 你勾结曹操
1137s 涂抹我徐州
1139s 将军定然是误会了
1144s 在下
1145s 只会与将军同心协力
1147s 共保徐州
1148s 绝不会勾结曹操
1150s 谋取徐州
1151s 因为徐州一师
1153s 佩城也不保
1155s 在下岂能做这等蠢事
1159s 看见了吗
1167s 这是曹操给你的密信
1169s 被陈公缴获
1171s 罪证确凿
1172s 大尔在
1174s 我待你不保
1175s 为何怕我
1177s 你外表忠厚
1178s 内心却奸诈无比
1181s 快开城门
1182s 我可饶你不死
1185s 否则的话
1187s 我攻陷城池
1189s 老受不留
1190s 不是曹操的奸计
1194s 就是陈公的奸计
1195s 我就是曹操
1196s 你是何人呢
1233s 在下陈归侍从
1234s 主公令我给曹将军禀报
1236s 旅部已经中计
1237s 率大军攻取古城
1239s 配成去了
1241s 太好了 太好了
1243s 你马上回去告诉陈归
1245s 让他仔细把守城池
1246s 万不可放
1247s 旅部回城
1248s 我三天之内必到
1250s 另外你告诉他们父子
1253s 攻城之后
1254s 朝廷必有重赏
1256s 还有你
1257s 在下遵命
1259s 曹人
1260s 在
1261s 他的马不行了
1262s 给他换匹马
1263s 好
1264s 另外
1265s 传命前进
1266s 加速前进
1267s 诺
1287s 你是何人呢
1288s 旅部率大军攻打配城
1290s 我家主公万吉
1291s 令我向曹公求援呢
1293s 知道了 知道了
1294s 你没看到
1295s 我现在正往徐州去吗
1297s 曹公
1298s 你怎么会预先知道
1299s 旅部会攻打配城
1301s 是啊 是啊
1302s 我怎么会预先知道
1304s 因为我能掐会算
1306s 料敌于先
1329s 先生
1330s 已经三天了
1332s 不管我们军事
1333s 在城下怎么辱骂
1335s 他刘备
1336s 就是坚守不出
1338s 而配城一定被加高
1341s 无耻有余
1342s 一时难以攻陷
1345s 你看
1346s 我们如何是好
1348s 刘备
1351s 这是在等救兵啊
1354s 救兵
1356s 谁会来救他
1357s 难道你忘了
1360s 刘备暗通曹操的事了
1362s 如果曹操率大军前来
1372s 我们暂且翻身
1384s 开始的时候
1389s 我并不主张对刘备用兵
1391s 只是你坚持要攻去配城
1393s 现在咱们既然已经来了
1395s 就等于和刘备
1398s 撕破脸皮 樊目成仇
1401s 岂能够在他城下
1402s 辱骂一番就退军
1404s 另外
1405s 我也算了一下
1410s 曹操即使现在
1411s 从衍州出发
1413s 至少也得五天时间
1415s 才能赶到这里
1416s 也就是说
1417s 咱们还有四天时间
1419s 如果在四天之内
1420s 咱们要能攻陷配城
1422s 即使曹操
1423s 率大军赶到
1424s 也只能忘关心态了
1427s 好
1428s 先生
1432s 那我们要如何攻去配城
1434s 配城易守难攻
1439s 只能诱留被出城会战
1442s 好
1443s 那我们要如何诱留被出城呢
1450s 我的上将军
1451s 为什么事事都要问我呢
1454s 你可以去问问
1455s 你的左右参军嘛
1456s 万金时刻
1458s 还得仰仗先生
1480s 先生教我
1482s 请先生教我
1489s 冯县长
1491s 你看这样如何
1492s 将军
1493s 有什么情况
1497s 没有
1499s 你们要小心管我
1518s 诺
1519s 玄德先帝如我
1532s 我已率三万精兵来源
1534s 无日可留
1549s 三弟
1550s 是
1551s 曹操大军已到
1552s 好
1553s 他约我礼应外合
1556s 夹击吕布
1557s 好啊
1558s 这家伙来得真快啊
1561s 我又可以大开杀戒了
1563s 这几天可把我变坏了
1565s 十二日到
1567s 明日不就是十二日吗
1569s 曹操用兵如此神速
1574s 难道
1575s 他在吕布攻我之前
1577s 就已经发兵了吗
1586s 大军
1587s 我已经发兵了
1588s 我已经发兵了
1590s 大哥
1591s 再有两个时辰
1592s 这天可就亮了
1594s 你赶快调兵遣将吧
1596s 传中将
1597s 大唐听令
1610s 出来受死
1620s 不要做缩头乌龟了
1622s 快出城
1623s 出城受死
1625s 快快出城
1626s 找死吧
1627s 曹军到了
1628s 吕布的大军
1641s 已经开始乱了
1642s 三弟切记
1643s 不可练战
1645s 将部军引直配合弯即可
1647s 知道了
1648s 三军听令
1649s 开城计敌
1655s 遵命
1656s 大哥 三弟
1657s 云昌
1658s 为何到此
1691s 昨晚
1692s 曹操设来密信
1693s 约我在此拒监吕布
1695s 坏了
1696s 我们中了奸计了
1697s 定是成功诱我们出城
1699s 云昌
1700s 快撤
1702s 大耳贼
1703s 你跑不了了
1714s 赶快下马受死
1716s 那些贼 吕布
1717s 你三爷爷来了
1720s 主公
1760s 主公
1781s 小的亲眼看见
1782s 张将军被吕布
1783s 刺到马下
1784s 生死不明
1785s 杀回去
1786s 主公
1787s 主公不能回去
1788s 主公不能回去
1789s 主公不能回去
