15s 凤仙,幸会,幸会。
20s 孟德,多年不见。
23s 是啊,咱们上一次见面还是在董卓的府上。
28s 久别重逢,格外亲切啊。
33s 实话告诉你,我还有五万多军士,
37s 有百日囤粮。
39s 夏毕成你也看见了,
42s 他高三杖,厚两杖。
44s 三面环似水,易守难攻。
47s 凤仙,我今天来不是想听这些啊,
51s 我是过来跟老友叙旧的。
54s 叙旧?
56s 是啊,我老实告诉你吧,
60s 天下住侯当中,我谁都不怕,
64s 就怕你吕凤仙。
66s 天下住侯当中,我谁都不敬,
69s 就敬你吕凤仙,一言一笔之。
72s 我对你是又敬又畏啊。
77s 真的?
77s 那当然,你想啊,
81s 自从董卓进京以来,
83s 袁术,袁绍,刘表,陶谦,公孙瓒,
87s 还有我草草,相继列土称霸。
90s 可是没有一个人能一统天下,为什么呢?
94s 还不是因为有你吕凤仙吗?
99s 你住董卓的时候,
101s 董卓就可以独霸京师。
103s 你住袁术的时候,袁术他就敢称帝。
108s 你住刘备,甚至不需一刀一枪,
111s 只要袁门射击就可以一箭定太平。
117s 人中吕布,马中吃兔,
120s 此言不虚啊。
121s 再加上你手中这敢方天化己,
124s 真看天下无敌啊。
127s 那是,那是,有此可见。
131s 只要将军愿意助我,
134s 则草草的大业必成。
137s 可惜啊,
139s 可惜你这些年来一直东征西讨,
142s 战守不定,
144s 积择时,保则去,
147s 专门给各路诸侯添麻烦。
151s 人家收容你吧,
153s 你反过来夺人诚实,
155s 人家想狡杀你,
157s 又斗不过你,
158s 最后反被你所杀,
160s 你说是不是啊?
162s 是啊,
164s 蒙德兄说的是。
166s 所以,我思来想去啊,
169s 与其咱们俩拼个,
171s 你死我活两败俱伤,
174s 不如我冒个风险,
176s 冒个什么风险呢?
179s 我跟你结盟,
181s 咱们共同大业,
182s 只要咱们俩联手,
184s 定能一统天下。
188s 奉先啊,
189s 你听好,
191s 我想把所有的兵马都交给你,
194s 你来当这个三军大元帅,
196s 专事征战,
198s 我给你提供粮饷,军械,
202s 打仗我不行,
204s 但是辅助善战者,
206s 那正是曹操之所长啊。
211s 董卓当年要肯这么做,
213s 他早就当皇帝了。
214s 是是是是是是,
216s 董卓愚蠢,
218s 不识将军的价值啊,
221s 奉先,
223s 咱们讲和吧,
226s 就在这城关下,
227s 四水边,
228s 咱们沙雪为盟,
230s 载马为士,
231s 结为兄弟,
233s 你看可好啊?
235s 你还认得我吗?
241s 宫太兄啊,
250s 多年不见你可想死我了,
252s 咱们还有一壶酒没有喝完呢,
255s 先把酒撂下,
257s 来,
258s 吃我一剑。
267s 奉先啊,
268s 快快回城。
269s 如果不是成功放箭,
307s 那个呆子几乎被我说动了,
310s 我一定要杀了成功。
312s 主公,
314s 既然吕布不祥,
315s 末将领军强攻吧。
319s 我仔细看过那个城防,
321s 它确如吕布所言,
324s 高约三仗,
325s 后约两仗,
327s 如果强攻,
328s 恐怕伤亡太大。
333s 主公,
