3s 徐州城不愧为中原第一雄官
7s 想当年楚霸王项羽就是在此地
12s 用三万铁技杀的高祖弟
14s 五十万兵马士片甲不留啊
18s 徐州让我浑浅梦绕
22s 今日终于美梦成真了
26s 一看便知
27s 如此雄官区区吕布怎配具有
31s 雄官应当归属名主
34s 今日已成正果
37s 主公得徐州以后
38s 进可攻退可守
41s 鼎立中原之日
43s 为期不远矣
45s 说到吕布
46s 我想起一个人
48s 在下如果没有猜错的话
51s 主公八成想起貂蝉来了
53s 他怎么样
55s 吕布死了以后
57s 貂蝉是不吃不喝
59s 更不梳妆打扮
60s 整天呆坐着
62s 试着问他
63s 他只有一个请求
65s 什么
66s 要为吕布收尸
69s 主公
70s 恕在下直言
72s 不要招惹调查
74s 此女太过妖艳
76s 乱人心性
77s 主公休忘了
78s 董卓和吕布的下场
86s 荀玉啊
87s 多谢你的忠告
90s 但我既非董卓
92s 更非吕布
106s 小姐
108s 小姐请看
109s 这些都是曹将军送你的服饰
112s 渐渐都是珍奇之物
114s 就连长安宫里的嫔妃们
117s 可都得不到
118s 小姐
119s 快快梳妆打扮起来吧
121s 曹将军说了
128s 只要小姐把这些衣服穿起来
130s 事后曹将军一次酒宴
132s 曹将军什么条件都答应你
135s 我夫君收尸
143s 曹将军准了
145s 我要南暮棺材一口
147s 六尺一石一方
151s 以王宫治理后葬
154s 背上还要切命
165s 分威将军
166s 屡凤仙之目
168s 曹将军准了
171s 我还有一个请求
175s 我死后
180s 要和我的夫君
183s 站在一起
187s 准
188s 多亏各位将军
262s 费用必杀
264s 方能拿下徐州
266s 我与各位将军
268s 同饮此杯
269s 一醉方休
272s 恭送将军
274s 干
275s 干
302s 徐先生
304s 来来来 倒酒
306s 先生
307s 今天咱们俩说什么都得喝
311s 将军
312s 我真的喝不完
313s 你喝吧
315s 别呀
316s 先生
320s 等等
321s 你太什么气呢
327s 没事
328s 我真的没事
329s 你喝吧
330s 不不不
332s 等等
335s 你肯定有事
337s 告诉我
338s 这大喜的日子
340s 你瞅什么呀
344s 真的没事
345s 不不不
348s 你肯定有事
349s 你要是不告诉我
353s 我就不让你走
354s 好好好
360s 徐将军
361s 你知道吗
363s 主公喜欢女人呢
365s 你很提神
366s 谁不喜欢女人
367s 我徐主也喜欢女人
369s 你喜欢的女人
370s 和主公喜欢的女人
372s 根本就不一样
374s 主公喜欢的是一分少父
376s 尤其是别人家的媳妇
378s 你还记得张秀的事吗
381s 我当然记得了
383s 主公那天喝醉了
385s 把湘江张秀的小伯母
386s 招来示警
388s 张秀不堪欺辱
390s 竟然乘以攻杀主后
392s 要不是叠为后家
393s 公早死了
397s 徐将军
401s 就是为此丧命
405s 今晚主公
407s 要比那天夜里
410s 更加危
411s 怎么着
416s 你快说
417s 主公已经发话
421s 他今夜要去白门楼
423s 你知道白门楼里
424s 住的是谁吗
426s 谁
427s 刁蝉
429s 这个妖女怎么还没死
432s 非但没死
434s 还打扮得如花似玉
436s 正准备接待主公啊
441s 徐卓
442s 你可别忘了
445s 东卓和吕布
446s 就是因为刁蝉而死的
449s 此女太过妖艳
451s 心非啊
460s 她一旦颤上主公
462s 那可真是
463s 祸水横流
465s 肯定会殃及三军哪
468s 我现在就去除了祸水
473s 等等
477s 你就不怕主公
479s 降罪吗
482s 我徐卓跟随主公
485s 厮杀杜宁
486s 九死一生
487s 何惧之有
491s 如此长袖善舞
568s 不知醉倒了多少英雄豪杰
571s 我这一唱
575s 不是为了将军
577s 是为了我夫君
579s 难道在你心中
582s 我曹操还比不上一个吕布吗
586s 是
588s 在我心中
590s 将军是不如的
592s 为什么呢
594s 我夫君真诚
597s 将军老了
599s 我夫君善良
602s 将军谦写
604s 我夫君多情
608s 将军无意
614s 所以即便你是杀了他
617s 在我心里
619s 你永远不如他
624s 将军
632s 知道这是什么吗
634s 七星刀
646s 那你知道它的来历吗
