12s 成相有令,攻进众地,外臣只可到此为止。
16s 天子握病了,是才亲召刘备入宫谨安。
20s 夜深了,请明日再来吧。
22s 我是刘皇叔,天子授我任意出入职权。
27s 你们是何许人也,竟敢拦我。
29s 闪开,否则我告知曹子,拿你们问罪。
37s 报警。
41s 皇叔来了。
74s 臣刘备拜见董贵妃。
76s 为何不见其他皇亲?
82s 陛下只召见了你一人。
86s 陛下在哪里?兵得重吗?
91s 陛下在里间如厕。
93s 容臣在此恭候。
95s 不,清皇叔也到里间如厕。
103s 贵妃让臣如厕见家。
110s 清皇叔如厕。
117s 陛下,奇怪。
155s 宫中到处都是草草的耳目。
158s 只有这厕所才是最安全的地方。
161s 你看见这个地方了吗?
167s 它才是朕真正的地位。
171s 只有在这儿,朕才敢说句心里话。
176s 臣心如刀枪。
183s 朕现在的处境,比前些年好多了。
217s 你知道吗?
218s 朕从继位的那天起,
223s 就沦为董卓的掌中玩物。
226s 那时节,董卓祸乱宫廷,
230s 奸淫贫废,号称尚服。
235s 独掌朝政,
237s 朕又落入李国二贼手里。
245s 他们更是毒如歇舌,恶如狼啊。
252s 在董成国舅的谋划下,
255s 他逃出了长安,
257s 可却又被曹操挟持到徐昌来了。
278s 他从没虐待朕,
280s 每月每季,
282s 他还献给朕吃用不尽的锦衣玉食。
289s 他独把朝政当朕的家做朕的主。
293s 他正关在这个金丝笼里,
296s 挟天子令诸侯。
299s 而且只要时机一到,
302s 他必然篡夺帝位,
304s 弑君自立啊。
307s 皇叔,
309s 曹操名为汉相,
311s 实为汉贼。
313s 董卓不同的是,
319s 曹操窃国,
321s 不留贼名,
325s 对外反而显示出他是汉廷洞内,
328s 人为齐天啊。
330s 曹贼窃国,
335s 比董卓高明千百倍。
338s 昨日行猎已足见一般哪。
341s 陛下,
343s 陛下,
344s 臣迟早,
348s 定要受任此奸贼,
350s 重刑大汉,
352s 以报皇恩。
363s 就是想告诉你,
364s 请皇叔在,
371s 牟利英雄大业,
373s 匡扶汉氏,
374s 拯救天下苍生,
376s 高威先帝天灵。
378s 朕会另有秘制给你。
385s 领旨。
386s 受朕一拜。
403s 陛下。
404s 朕这一拜,
411s 不是天子拜成功,
413s 而是子侄,
417s 拜叔父。
420s 陛下。
435s 请皇叔擦干眼泪再出去,
467s 外面都是草草的卫士。
500s 请留皇叔稍候。
503s 何事?
504s 外官深夜出宫,
506s 依律必须搜身。
508s 放肆!
509s 敢搜我的身,
511s 我砍你的头!
514s 如果不搜身,
515s 陈相也一样会砍了我的头。
517s 这是君令,
518s 请皇叔体谅。
519s 爱妃,
570s 来,
571s 劳你把这道秘制
575s 缝入朕的玉带之中。
577s 这两天朕会出宫祭祖,
579s 朕便把它交给一位忠臣,
580s 让他联络天下英雄,
582s 举兵逃贼。
618s 禀陈相,
619s 陛下前天行列归来,
621s 说是受了风寒,
622s 病了。
624s 这个我知道。
626s 不过奇怪的是,
630s 陛下今天说病又好了,
632s 要去宫城阁祭祖,
634s 还带了国舅董成相随。
638s 陛下还招了谁?
640s 陛下只带了董成一人。
642s 两个人目前就在阁里,
644s 还没出来。
645s 卑职觉得很可疑,
647s 所以就立刻前来禀报。
649s 董国舅。
699s 曹丞相。
700s 我听闻陛下在此祭祖,
703s 特意赶来与他同祭。
705s 陛下还在吗?
707s 陛下刚刚祭霸,
709s 已经回宫。
710s 我正准备离开。
713s 我既来此,
716s 你还没离开。
718s 请你陪陪我,
720s 我们一起祭拜皇族。
724s 我遵命。
729s 国舅,请。
733s 丞相,请。
734s 国舅。
755s 这里真是个上大天意,
758s 下通灵溪的好地方。
760s 这里真是个上大天意,
762s 下通灵溪的好地方。
765s 我不明白丞相的意思。
768s 陛下单独召你到此,
773s 有何秘旨?
775s 绝对没有,绝对没有。
778s 从进来到出去,
780s 陛下没有跟我说过任何话。
783s 真的?
785s 千真万确。
789s 陛下只是赏了我一副玉带。
792s 你看看,
794s 这不是说过话吗?
797s 岂止说话,
799s 还赏了你一样东西。
802s 我是说,
803s 陛下并没有受我任何秘旨。
807s 就是他?
809s 对。
811s 赶紧国舅把他解下来,
814s 让我细细地观赏他吧。
821s 可以。
842s 合适吗?
843s 合适。
847s 我也觉得合适。
850s 我看这根带子扎在我身上,
853s 比扎在国舅身上更合适。
857s 你说对不对?
858s 对。
863s 那么,
864s 草某就厚着脸皮,
867s 请国舅把他转赠给我。
875s 丞相拿去吧。
877s 国舅真的答应了?
879s 我答应了。
882s 真舍得,
884s 我舍得。
892s 草某豈敢多人所爱。
896s 尤其是此物,
898s 又是天子赐给你的宝物。
901s 草某一介外臣,
903s 无福销售。
905s 国舅,
906s 收好它吧。
908s 多谢,
909s 多谢。
910s 董国舅,
944s 你,
945s 你这是...
946s 刘皇叔,
948s 我们进屋说话,好吗?
951s 国舅请。
952s 在《血诏》中说,
959s 人伦之大,
961s 以父子为先,
964s 卑贱之礼,
966s 以君臣为重,
968s 曹贼欺君雅妇,
972s 屠毒天下,
975s 祸乱朝纲,
976s 欺能难,
977s 国之重臣,
981s 当年列祖创业之艰难,
985s 天安之浩大,
988s 集结朝廷内外,
991s 助臣议事,
993s 起兵,
995s 缴密奸党,
997s 复兴大汗,
999s 协书证,
1006s 以武器,
1008s 何难取?
1011s 刘皇叔,
1012s 二位将军何故到此?
1054s 丞相有令,
1055s 请你立刻就去。
1058s 哦,
1059s 那请二位稍候容我更衣。
1061s 丞相只说让你立刻就去,
1062s 可没说让你更衣。
1064s 请。
1065s 拜见丞相。
1137s 你在家做了一件好大的事,
1139s 以为我不知道吗?
1142s 不知丞相所指何事?
1148s 种菜,
1149s 丞相当今皇叔,
1151s 侯爵将军,
1152s 竟然像农夫一样的种起菜来。
1155s 难道我草草供礼不足吗?
1158s 不是,
1159s 相府对我照料极是周到,
1161s 是我自己闲来无事,
1164s 突然想吃一口新鲜的韭菜了,
1166s 于是就种下了。
1169s 韭菜长得如何?
1171s 很好,
1172s 极为旺盛。
1174s 收割头一刀韭菜,
1176s 别忘了给我一筐,
1177s 我也要尝尝。
1178s 好,
1179s 在下深感荣幸。
1182s 走。
1183s 记得千年蒸元树,
1185s 烈日炎炎,
1187s 将士们甘渴难耐,
1191s 连路都走不动了。
1193s 我忽然心生一计,
1195s 举边指着远处大窖,
1197s 看那,
1198s 前方有一片梅林,
1201s 将士们听了,
1202s 欢声泪动,
1203s 口中流浪,
1205s 其实前头连一颗梅子也没有,
1208s 但是将士们被梅子所诱,
1210s 营地却到了。
1213s 丞相智谋过人,
1215s 望为只可一事,
1217s 定可成为传师名典,
1219s 世代相传。
1221s 丞相啊,
1222s 刚才我进府门的时候,
1226s 看见一具尸首太烂了,
1243s 我心想,
1244s 这尸首太烂了,
1246s 当我进门的时候,
1248s 看见一具尸首抬了出去,
1250s 一打听才知道,
1252s 是丞相梦中将它斩杀,
1256s 丞相真乃义人也,
1258s 连睡梦中也要睁着一只眼。
1264s 宣德,
1265s 你是厚道人,
1267s 我就跟你说实话吧,
1269s 并非我梦中好杀人,
1271s 睡觉就睡觉呗,
