0s 啊
4s 后面沉土大起
21s 估计是曹 recepts 追兵到啦
26s 云长子龙在 rapid 准备迎战
30s 外三地
32s 哎
32s 你自我去对会会他
34s 好
35s umbrell
36s 租
37s 教Studio
39s Ci extraordinarily
74s Iransecret
75s 林�itte
80s 爷不怕他
81s 丞相命我们招回决 tricks
83s 并没有让我们死杀
85s 如果刘备不肯奉命怎么办
87s 那也不可厮杀
89s 我们只有五百人吧
91s 可他们有五万
93s 你就说怎么办吧
95s 请将军在这领兵
99s 我过去给刘备传命
101s 没我的命令
103s 万万不可过来
105s 好 文远将军何故到此
144s 奉丞相命
146s 请刘皇叔回朝
148s 朝廷另有任用
150s 将在外
152s 军命有所不受
154s 何况现在
156s 元树兵马已动
158s 军情如火
160s 我应速速赶往徐州阻击他们
162s 万万不可失了容忌
166s 这么说
168s 刘皇叔不肯回朝了
170s 不回
172s 请将军
174s 代我向丞相禀报
176s 就说
178s 就说刘备
180s 丞相
182s 更不会辜负了朝廷
197s 张将军
199s 我以为敌军来袭
201s 所以预先不好地认识
203s 原来是张将军到来
205s 虚惊了一场
238s 要不是你拦着
240s 我早就和他们厮杀起来
242s 什么也不说 见丞相再说
244s 张辽徐楚到
246s 丞相
258s 刘备拒绝回朝廷
260s 他说
262s 丞相在外军命有所不受
264s 他说他急着赶往徐州
266s 去截杀袁树
268s 托词
270s 刘备还说什么
272s 刘备还说
274s 容忌不可失
276s 他说
278s 他绝对不会辜负丞相
280s 更不会辜负朝廷
282s 刘备那四海百家阵势
284s 我将本想厮杀
287s 张辽不让
289s 张辽做得对
296s 诺
301s 丞相
321s 刘备抗命不归
323s 其心思已经昭然可知
325s 拖持将来
327s 会更加麻烦
329s 不如立刻派大军狡杀
331s 丞相
343s 我越来越觉得用刘备
345s 是用对了
347s 第一
350s 刘备此次出征
352s 必能截杀袁树
354s 替我除一大害
356s 第二
358s 我料他不敢反
360s 因为我有
362s 朱金 陆昭
364s 二将随征
366s 那五万人马
368s 为他们掌控不归刘备
370s 第三
372s 我历来用人都是
376s 一人不用
378s 用人不已
382s 既然用了
384s 岂能后悔我刘备敢反
389s 正好
391s 给我一个取他手机的机会
393s 承玉
407s 先生
411s 你怎么老是叹息
416s 刘备抗命不归
418s 我劝主公派大军征讲
420s 主公非但不听
422s 还哈哈大笑
424s 说什么他越想越觉得
426s 用刘备用对了
428s 你听这话 荒唐不荒唐
430s 我看主公不荒唐
440s 是你荒唐
444s 你想想
446s 你已经领兵跑了
448s 你再派大军去征讲
450s 那不是一误再误
452s 我们当前的大敌
454s 是袁绍不能节外生枝
456s 再数强敌
460s 既然沐浴成舟
462s 那就让刘备这支舟
464s 让他
469s 这样我们就可以集中力量
471s 先生所言极是
476s 可主公也是
478s 明明错了
480s 却不认错
484s 我告诉你吧
487s 其实主公心里
489s 早就知道错了
491s 日后他也会改错
493s 但他永远不会认错
495s 何为认错
497s 那就是知错改错
501s 不认错
505s 万万不肯认错
507s 主公
528s 主公 末将已查明
530s 袁术就藏于这座庙中
532s 残兵不过百人
534s 大哥 给我一路相当工夫
536s 我把这手刀起来
538s 那袁术也算是一方诸侯
545s 如果亲回许昌
547s 太过折辱他了
549s 这样吧 我写一封手书
552s 只能送进庙中
554s 面呈袁术
556s 让他自己斟酌吧
558s 遵命
