7s 这都是你的老熟人,说说吧,谁主使你的?
173s 国贼。
175s 你原本有十根手指,怎么变成九根了呢?
183s 脚趾为势,是,是杀国贼。
190s 好一个,脚趾为势。
194s 来啊。
199s 在。
200s 将他剩下的手指全部斩去,
202s 看他还有何可教。
204s 诺。
205s 我就是没了手指,
208s 仍然有口可以吞贼,
214s 有舌可以骂贼。
217s 割掉他的舌头,砸掉他的牙齿。
220s 诺。
224s 董成,你的病可好点了吗?
252s 看来一剂药还不够,还得再来一剂。
257s 来啊,带上来。
261s 诺。
262s 庆彤,把你听到的给大伙说说。
277s 奴,奴才遵命。
279s 前天晚上,奴才经过主子的上房,
281s 在窗外听见主子和太医急评商量,
284s 商量要在丞相的糖药里下毒。
288s 贱奴。
290s 骂得好,这个奴才是贱。
293s 曹贼。
294s 事已至此,我别无所求,
297s 只求速死。
301s 不急,不急。
304s 我都不着急,你着什么急呢?
307s 我还有话要问你。
309s 庆彤,
311s 你的主子说你贱,
313s 你自个儿说你贱不贱。
318s 奴才,奴才。
320s 你贱。
322s 因为你,
323s 奴才,
325s 你贱。
327s 因为你犯了两条大罪。
332s 其一,
333s 身为奴才,
335s 你却与主子的小妾通奸。
338s 其二,
340s 你身为奴才,
342s 却隔窗偷听主子谈话,
344s 这还不算。
345s 还跑来向我告密。
348s 你这不是卖主丘容吗?
353s 这两桩大罪的任何一桩
356s 都可以让你碎尸万段。
359s 东城,
361s 看来你是有眼无珠啊,
363s 竟然养出这种奴才,
365s 还不如养一条赖皮狗。
367s 你说对不对?
369s 是。
371s 是。
372s 老杨。
375s 在。
376s 即刻把这个奴才拉下去,
379s 斩首。
380s 诺。
381s 丞相,我救了你,
382s 为何还要杀我呀?
383s 丞相!
384s 饶命啊!
385s 丞相!
386s 饶命啊!
387s 丞相!
388s 饶命啊!
389s 各位都看见了吧?
393s 我曹操虽狠,
395s 却正邪分明。
397s 你们说对不对啊?
399s 丞相说得极是。
402s 丞相说得极是。
404s 东城,
406s 拿出来吧。
408s 把玉带诏拿出来吧。
413s 什么玉带诏?
415s 就是陛下藏在玉带里的雪诏。
419s 你以为我不知道吗?
421s 没有。
425s 万万没有。
433s 丞相,这是在东城府中送出来的。
442s 这都是拿纸写签的名啊。
450s 车骑将军,
452s 东城,
454s 西梁太守,
456s 马腾,
458s 长水校尉,
460s 总记,
462s 左将军刘备。
464s 果然有这个奸贼。
468s 我非得把他碎尸万段不可。
477s 来,喝酒。
549s 爱妃!
555s 爱妃!
578s 东城谋反你知道吗?
584s 破纸修照的事,
586s 你这么快就忘了?
590s 那是我做的事,
592s 不关陛下的事。
594s 你是董臣的女儿吗?
599s 你们父女何谋?
601s 陛下,
612s 倾听臣的一句忠告,
615s 这回的事,
617s 我只处置董非一人,
619s 但是如果还有下回,
623s 爱卿,爱卿,
653s 董非一有身孕,
655s 能不能等他生下皇子在?
668s 你是想让那个逆子将来为母报仇吗?
670s 陛下知道他是谁吗?
768s 朕当然知道,
773s 他是爱卿的女儿,
775s 朕的曹妃。
806s 陛下喜欢他吗?
808s 朕喜欢他。
812s 喜欢就好,
817s 中宫不可空虚,
819s 陛下不可无后,
821s 曹妃贤德,
823s 请陛下立曹妃为后。
825s 朕
859s 册封曹妃为
861s 中宫皇后。
865s 吾皇万岁!
884s 吾宗天领,
974s 朝廷不幸,
976s 陆巍四律,
978s 贵妃惨遭徒毒,
980s 中臣
982s 引恨久久,
984s 刘备尚不能安邦
986s 兴国,
988s 下不能剿贼出海,
990s 苦冬日月,
992s 痛断干场,
994s 刘备今此
996s 焚香告天。
998s 臣与那曹贼
1000s 势不两立,
1002s 宁愿赴汤蹈火,
1004s 狗认奸贼
1020s 曹军来了
1047s 准备好了吗
1048s 末将 只等主公令下
1053s 袁绍大军也据此不远了
1057s 你进入袁军大营后
1059s 不要先去见袁绍
1061s 去见许忧
1063s 许忧乃袁绍心腹谋臣
1065s 具足轻重
1067s 你见到他后跟他道明原位
1070s 得到他的支持以后
1071s 再去见袁绍
1072s 如此 把握会更大些
1075s 明白了
1081s 善战者一往无前
1083s 善谋者瞻前顾后
1085s 此次出征
1086s 丞相动用了全部精锐
1088s 延州几乎是一座空城
1090s 据少探报
1091s 袁绍的数十万大军
1093s 已经进铸关渡 虎视延州
1095s 如果袁绍聪明的话
1097s 令数万仪兵在正面牵制我们
1099s 自己亲率近旅
1100s 及攻我们的后方
1102s 则许昌堪威啊
1103s 一旦许昌有失
1105s 我们将败无可归
1106s 失去根据啊
1108s 此一招对袁绍
1110s 难道不是上策吗
1112s 确实是上策
1113s 但对袁绍来讲
1115s 那就未必了
1116s 袁绍是个多余寡断之主
1119s 他进而畏惧 退而贪力
1121s 临敌时是五分把握
1122s 他不占七分把握也不占
1124s 非等到十分把握了
1126s 他才全力以战
1128s 军机瞬息万变
1130s 哪有十分把握的机会
1132s 我料如果丞相在十日之内
1135s 拿下渠州城
1136s 袁绍不敢轻举望
1138s 恕我直言
1140s 你看渠州城如此坚实
1142s 十日之内能拿下吗
1144s 不可能
1146s 再者 袁绍多余寡断
1149s 可他身边不乏制谋之势啊
1151s 天封许忧等人
1153s 难道看不出胜机所在
1155s 他们不会建议袁绍
1156s 回攻衍州
1158s 那就看我们的衍州将士
1160s 能够坚守到多久
1162s 如果坚守到丞相
1163s 能一举攻下渠州城
1165s 那我们就是南北双线
1167s 双获胜利
1170s 如果不能的话
1171s 先生
1171s 那就
1172s 如果
1174s 拿不下这渠州
1176s 那我们将退屋根据
1179s 先入险境啊
1182s 用兵就是用险
1184s 无险就无胜
1185s 丞相如果现在不去渠州城
1188s 那么日后再去渠州的话
1190s 刘备他必定要偷袭渠州
1193s 日后之险大于今日之险
1196s 程昱有谋略
1198s 寻昱有见识
1200s 你们二人的话
1201s 我听了都阔受教议
1204s 你们知道吗
1206s 想当年
1207s 袁绍做十八路诸侯盟主的时候
1210s 对董卓就是畏首畏尾
1213s 谦言不见
1214s 由此可见
1216s 袁绍兵多却是雍主
1219s 刘备兵少却有雄才
1223s 若要战胜袁绍
1225s 必须得先行攻去渠州
1228s 刘备
1280s 你本是我的囊中物 池中鱼
1283s 只因我一时疏忽
1285s 才让你偷得渠州
1287s 曹操
1289s 你名为汉相 实为汉贼
1293s 刘备与天下英雄都以奉旨讨贼
1297s 势必杀
1298s 天底下想杀我的人多了
1302s 可惜都成了种中枯谷
1305s 你不是我的对手
1307s 还是赶快现成吧
1310s 我会给你一片地
1311s 让你继续种韭菜
1314s 否则破城之时 鸡犬不留
1318s 那就试试吧
1321s 我军虽少 却兵精将勇
1324s 你兵马虽多 却必败无疑
1327s 你何以如此自大
1330s 因为袁绍已举大军奔袭卒下后方
1334s 几日后定会攻陷徐昌
1336s 试问卒下
1338s 那时候你是入黄土呢
1341s 还是下九泉呢
1342s 你对袁绍的估计过高了吗
1347s 我对卒下的估计过高了
1350s 我原以为你心在主
1352s 也当有一丝人伦
1354s 不至于杀害贵妃
1356s 没想到
1357s 你竟然剿死了怀胎的贵妃
1360s 让自己的女儿见味忠公
1362s 可见你禽兽不如
1365s 你当真要战吗
1367s 战至最后一息
1368s 好
1388s 主公开火 渐渐惨剧续流
1404s 这么说
1405s 那曹操曹孟德
1407s 亲统二十万兵马
1409s 正在攻打徐州
1411s 是啊 徐州万急
1412s 我家主公请员工快快发兵啊
1414s 万急
1418s 你的意思是说
1420s 你家主公刘备
1421s 已经守不住城池了
1423s 不不
1424s 徐州固若金汤
1426s 激战震撼哪
1427s 好一个固若金汤
1430s 直说吧
1431s 尼芳
1433s 刘备上能支撑多少时
1436s 百日 胡说
1440s 五十日
1444s 恐怕也多说了吧
1452s 徐先生
1453s 我家主公的原话是
1455s 他定战至最后一人
1456s 最后一个
1457s 我主公说
