15s 请禀告丞相,关羽求见。
19s 丞相有要事,令任何人不准觐见。
24s 我已经求见三次了。
26s 你们一直挡架,请禀告丞相,我也有要事。
31s 丞相发令严厉,一旦有令,为者众称不但。
35s 恕在下不敢入报,请将军回府。
38s 请问关将军何事?
70s 你去通报一声,说关羽要见文远将军。
74s 张将军臥病,谢觉来访,请关将军见谅。
101s 将军。
106s 他们全都不肯见我,是不想放我走。
113s 那将军打算怎么办?
115s 我修书一封给丞相,就留在此。
123s 全堂告辞了。
126s 孙乾,马上打点形状,伺候二位嫂夫人上车。
131s 遵命。
132s 记着,丞相所赠的金银玉器,奴婦侍女,一律不许带走。
143s 明白。
144s 丞相!
203s 丞相,南蛮丞首禀报说,关羽领一辆一车,夺门而去。
209s 玉走了。
235s 报!
238s 丞相,关羽把朝廷赐予的汉寿廷侯大印,讯外粮上。
242s 把丞相赐予的金银玉器,侍女仆艺,全部留在客馆。
246s 并留下此信。
261s 财富不能动其心,绝路不能改其志,生死不能阻其行。
269s 对于这样的人,别说我草草,天奈其何。
280s 关羽此去必投袁绍,这样一来,袁绍可就如虎添翼了。
286s 请主公速派汉将铁骑追杀,以除后患。
291s 丞相,我将请兵三千,定展关羽手机,献与丞相。
296s 蔡阳,你虽骁勇只怕,未必杀得动关羽。
306s 事到如今,我们与其在这后悔探恨,不如再赐给关羽一道恩典。
317s 承玉。
318s 在。
319s 随我出城相送吧。
321s 诺。
322s 闻言兄,是否追我回去。
369s 是的话,你能跟我回去吗。
371s 万万不能。
375s 因此我也不是追你回去的。
378s 云诚啊。
379s 丞相得知你要远行,亲自出城相送。
384s 你看。
413s 云诚,为何心测匆匆啊?
419s 连喝我一杯送行酒都等不及了吗?
421s 诺。
423s 丞相。
424s 关某之前与丞相有约。
428s 一旦得知兄长下落,无论天涯海角,也要前去相会。
432s 现在已经知道兄长下落了,因此匆匆前往。
440s 万万恕罪。
442s 我既与你有约,又岂能失信啊,云诚。
447s 你看,此去济州八百余里,路途遥遥。
452s 路上风吹日晒的,我给你准备了一件紧袍,公女路上遮凉玉含。
461s 来,云诚,我给你配上。
473s 多谢丞相,恕关某不能下马叩谢。
479s 就此别过。
507s 就此别过。
509s 但愿你我后会有期啊,云诚。
513s 你这又是何必呢?
567s 我跟你十五年之多了,还没见过你如此呢。
578s 那是因为十五年了,我从来没有像今天这么感到过挫败。
585s 你想想,如果连一人之心都不能收服,何以收天下,又何以收天下人心?
596s 主公,你言重了。
600s 云诚今天这么做,完全是因为刘备的缘故。
607s 由此可见刘备这个人,当初,我第一次跟他见面的时候,就跟他议论过。
619s 在乱世当中,何以安天下?
623s 我认为要靠兵马和权某,刘备呢,他觉得要靠忠义。
630s 当时我还笑他,迂腐,幼稚。
635s 可是今天云诚的事让我觉得,刘备这个人很可怕。
647s 他比袁绍更可怕,刘备才是我真正的大敌。
656s 你不是厉令老爷吗?
662s 黑脸强盗,夺占了衙门,自己做齐老爷来了。
670s 一晚上县令替他看门。
672s 是啊,他还让咱们县令送了他的诏房。
675s 那人是天不乱地的,把全县的水粮免除了一半。
680s 剩下一半的也不交给朝廷,自己留下来招兵买马。
684s 真厉害啊。
692s 过来过来,随我断案。
697s 你们两个有何冤枉,说与我听,本官自当有公道。
704s 令将军老爷,小民张三,家中厚瓦像。
708s 去年春天,小民借给李二五百钱,约定为期半年。
714s 今日小人前去要钱,他非但不还,还打了小人。
719s 老爷你看哪。
720s 李二啊,你可借人家张三钱了?
724s 借了。
726s 那为何不还呢?
728s 没钱还哪。
730s 杀人偿命,欠债还钱,这是天道。
735s 来人,拖下去,重打三十大板,加厚施重。
740s 大人,饶命啊,大人,圣上饶命啊。
746s 张三啊,这李二是人,那你也是人。
751s 人家有拳脚,你也有拳脚。
754s 为何只吃人家打啊?
756s 老爷,小人受了他的欺负。
758s 来人,你给我拖下去,也打十大板。
761s 诺,打十大板。
762s 老爷,小人无罪啊,小美是受了他的欺负,打不过他啊。
766s 你挨了人打,你还好意思说呀。
776s 你为何不以死相拼呢?
778s 你这个娘蛋,这是气死我了。
781s 把她给我拖下去,再加打十大板。
784s 老爷,不能打我呀,老爷。
790s 你这个软蛋。
793s 张逢啊,此案断得如何?
802s 断得真。
805s 真是空前绝后。
810s 在下无体投地。
814s 张逢,我叫你派人去打探刘备和关羽的消息。
819s 打探得怎样?
821s 在下已派出四拨人,分别前往东南西北打探去了。
829s 可有何消息啊?
832s 没有。
834s 没有?打探不得消息。
839s 我把你们这一干人弄的腿,全都打烂了。
843s 遵命,遵命。
864s 闹屁了。
872s 将军,我的手已经被打肿了,实在打不动了。
876s 不就是个手腕的吗?
877s 蛇了绑的,哪里能踢来踢来的?
880s 踢了,就这样。
897s 张将军,外出打探的人回来了。
905s 将军。
905s 可有我哥哥的消息啊?
907s 将军,小的奔逐近五百多里,一直打探到黄河边上。
911s 也没能探听到刘备和关羽的下落。
913s 你可没用的东西。
914s 拖下去,给我打十大板。
915s 诺。
916s 打过之后,把九族饭包,再去打探消息。
919s 张将军,张将军,小的探到关羽的消息了。
923s 好,我二哥现在在哪里啊?
925s 小的一口气探到眼中,从于受伤士兵口里得知。
929s 关羽投靠曹丞相了。
931s 放屁,胡说八道。
933s 拖下去,给我打。
934s 张将军,张将军,探不到消息要打,
937s 小的探到消息为何还要打?
939s 张将军,张将军。
942s 张将军,小的,小的探到关将军消息了。
944s 快说。
945s 关将军,关将军投降曹丞相了。
948s 胡说。
949s 千金万修,千金万修啊,将军。
951s 关将军不但降曹,
952s 还帮,还帮曹丞相杀了元兽的大将,
955s 一个叫颜亮,一个叫文丑。
957s 关将军为曹丞相建了大宫,
958s 曹丞相就上奏朝廷,
960s 给关将军拜将封侯,叫个什么汉寿廷侯。
963s 关将军就住在许昌城里,
966s 曹丞相赏给他了一个大房子,
967s 里面什么都有,有楼庭。
970s 一派胡言,胡说八道。
972s 来人啊,来人啊,
974s 给我拖着你打。
975s 诺。
975s 张将军,张将军。
976s 给我喊喊他打。
977s 你不能这样啊。
977s 喊喊他打。
982s 早晚拿住你,叫你碎尸万段。
1048s 将军,此城守将,
1050s 名叫孔秀,
1052s 据说他武艺不俗啊。
1054s 咱们跟他以礼相上,
1056s 借道过关。
1060s 请问,孔将军在吗?
1063s 汉寿廷侯关羽,
1065s 借道过关。
1073s 在下便是孔秀。
1075s 敢问,关将军要去哪里啊?
1078s 经曹丞相准许,
1081s 前往河北,
1083s 与兄相会,
1084s 特此借道过关。
1087s 河北元少,
1089s 是丞相的大敌。
1091s 将军既然去那里,
1093s 一定有丞相颁发的文书喽。
1096s 匆匆赶路,
1097s 尚未能取得文书。
1099s 请将军见谅。
1104s 关羽,容我说句心里话。
1108s 你杀颜良、朱文丑,
1110s 名震天下。
1111s 这就是过路文书了。
1114s 哪里还需要其他文书啊?
1116s 不敢当。
1117s 官某全脱曹丞相之位。
1120s 孔将军,我们可以过关了吗?
1124s 当然可以。
1126s 请将军稍候。
1128s 容我进去另写一道文书赋予将军,
1131s 以免下一关再给将军添麻烦。
1135s 多谢,官某在此等候。
1144s 关羽没有过关文书,
1146s 他分明是背叛丞相,投奔元盛。
1149s 听令,你们速速披甲上马,
1152s 随我出关,擒拿关羽,被丞相建功。
1156s 将军,关羽可是勇猛过人啊。
