3s 站住
12s 天弓将军张角
14s 快快下马受降
22s 匹夫
23s 敢冒充我威名
29s 好汉
30s 你又是何人呐
37s 我这周沧
38s 你是谁
39s 关羽自云长
42s 将军
47s 我终于亲眼见到你了
49s 将军
51s 装饰
53s 装饰
54s 起来
55s 快快请起
56s 关某受之不齐啊
60s 将军
61s 在下本是黄金旧部
63s 跟张角征战的时候
64s 就听过将军的威名
66s 你收下我吧
69s 将军
70s 若能给您牵马追荡
72s 我死也甘心了将军
74s 将军
75s 我求求你将军
77s 我求求你了将军
79s 将军
80s 你在此战山为王
86s 有多痛快
87s 何必跟着我受罪
89s 我所过的日子
91s 天天为敌似伏
93s 凶险莫测
95s 周长不怕死
99s 只要能做将军的一个部族
101s 胜过战山为王
103s 禀告二位嫂嫂
105s 他们允许了
106s 我才敢收你
107s 二位嫂嫂
108s 关羽有事禀告
117s 叔叔请讲
119s 现有一壮汉
120s 名叫周沧
122s 他原本是黄金旧部
125s 现效居此山
126s 做了这一山的寨主
128s 他恳求于我
129s 让我收留他
130s 做我的部属
132s 关羽不敢自尊
135s 请二位嫂嫂决定
137s 叔叔
138s 这人先为贼后为盗
140s 山寨中
141s 还有他不少强人吧
144s 是
146s 那留他只怕不妥
148s 请叔叔斟酌
151s 嫂嫂说得是
161s 周沧啊
162s 嫂嫂认为你
163s 先从贼后从盗
166s 寨中还有那么多的部族
169s 不肯留你
170s 将军呢
172s 周沧是贼从盗
174s 都是出于无奈啊
176s 你想啊
177s 天下这么恶酌
179s 老是人活得了吗
180s 将军你起兵之前
181s 不也杀过仇家吗
184s 周沧说得也是啊
188s 你这山上
193s 还有很多的部族
195s 嫂嫂不肯留用
197s 周沧立刻
198s 遣散所有部众
199s 一把火烧了山寨
200s 只剩跟随将军
202s 稍候
205s 容我再禀告
207s 二位嫂嫂
209s 禀二位嫂嫂
213s 周沧情真意切
215s 他愿烧掉山寨
217s 遣散所有部族
218s 只身一人
219s 跟随关羽
221s 请二位嫂嫂
223s 如果只是他一人
225s 但随无妨
227s 周沧此生此世
242s 认定将军了
244s 周沧
245s 前面是什么地方
259s 前面五里就是古城
261s 我原本想占那个城池
263s 不想两个月以前
265s 来了个恶盗
266s 霸占了城池
267s 称王称霸
269s 方圆三百里
271s 没有人敢
272s 没有人敢惹他
275s 连你也不敢惹他吗
277s 那恶盗虎辈雄妖
278s 穷凶极恶
281s 我连占他三次
283s 都被他打败了
285s 敢不敢
286s 帮我上前通关
289s 有关将军在这
290s 就是那恶盗的末日
292s 我这就给你通关去
294s 令大司
295s 滚出城来
296s 孙乾
301s 在
302s 你押车慢行
303s 我先去打开城关
305s 再接你们入城
307s 遵命
309s 将军
310s 千万小心
319s 张将军
320s 我牛山的贼手周沧
322s 正在城外喊话
323s 叫将军滚出去
327s 不不不
329s 请将军出城
331s 手下外将
332s 也懒得踩他
334s 但这次
335s 不止他了
337s 来了另外一个将军
338s 姓关名语
340s 自云长
342s 什么
345s 关语
347s 不错
348s 正是将军的二哥
350s 将军
351s 不是日夜寻找他吗
353s 他来了
354s 好
356s 他来得好
358s 快快滚出来
371s 给我关将军磕头
373s 三弟
389s 是关语啊
401s 你是恶贼
402s 我没有你这二哥
404s 说清楚不行
410s 别
412s 好
413s 我让你死个明白
415s 我来问你
417s 你是否投降了曹操
419s 你是否被他
421s 拜剑封喉了
427s 你是否替他
428s 杀了颜良文筹
434s 贼子
438s 恩负义
440s 你还有脸来见我
442s 看我不戳你一万个窟窿
444s 三弟
446s 我之所以顺曹是为了
448s 保护嫂夫人
449s 寻找兄长下落
451s 那是万般无奈
453s 嫂夫人
454s 嫂夫人在哪里
456s 就在后面
457s 把曹军都带来了
471s 你还敢狡辩
473s 废话少说
474s 你先吃我一枪
477s 我斩了来将
479s 以表忠心
481s 好
483s 我在这里三通古罢
485s 你就要斩了那贼将
487s 否则
488s 你就是忘恩负义
490s 你就是个贼子
491s 是你杀了我外甥
514s 起气吧
515s 没错
516s 是我官毛所杀
518s 我要杀你顶面
520s 你通古罢
523s 本不想杀你
534s 可你屡次辱我
535s 今日
536s 我要取你手机
538s 洗我冤屈
540s 二通古罢
570s 三弟
574s 看到了吧
575s 关于何人
577s 永远不会忘恩负义
595s 好
631s 在下刚刚接报
640s 说刘备二弟关云长
643s 已经离开草草
645s 一路上
646s 他过五关斩六将
648s 千里走丹寂
650s 现在已经到达了汝南郡
652s 在一座古城中
654s 与其三弟张义德相会
657s 好啊
658s 汝南郡此不足二百里
661s 这三两日内
662s 他们就可以到了
664s 主公
668s 只是他们兄弟相会以后
671s 却在古城停留不前
674s 牵眼观望
676s 这是为何呢
680s 这
681s 主公
682s 这就得问问
684s 他们那生死与共的大哥
686s 刘备了
688s 报
689s 禀主公
690s 左将军刘备拜会
695s 叫我进来
696s 诺
697s 刘备拜见明公
713s 刘备
714s 我刚刚听说
723s 关羽离开草草了
726s 等他到了冀中
728s 我要将他斩首示众
730s 为严良文丑报仇
732s 以泄我恨
734s 严良文丑
735s 如同二鹿
740s 关羽如一虎
742s 明公失二鹿
