53s 济州大将军袁绍禁告苍雄,
56s 曹贼逆天篡汉,
58s 徒徒生灵,祸乱天下。
60s 陈绍,成天道领王师,
63s 率大军七十万,
65s 征曹灭贼,
67s 扩清环宇。
69s 望天生护佑,
71s 助绍早奏开宣。
73s 陈绍,
75s 杀雪祭拜。
90s 济州大将军袁绍禁告帝母,
94s 曹贼逆天篡汉,
96s 徒徒天下,
98s 只是万物枯锁,
100s 民不聊生。
102s 陈绍,扶地而拜,
104s 依徒我生,
106s 为万物治表,
108s 取生灵之际,
110s 誓灭曹贼,
112s 还大地昌荣。
114s 陈绍,
116s 杀雪祭拜。
127s 绍,
129s 禁告列祖列宗,
131s 曹贼逆天篡汉,
134s 徒徒祖宗神灵,
136s 只是宗庙崩坏,
138s 刚长静悔,
140s 神灵不安。
142s 袁绍,
144s 弃血隐恨,
146s 誓灭妖孽,
148s 取曹贼首级。
150s 居于祖宗灵前,
152s 望祖宗的天灵护佑,
154s 助绍大盛全归。
156s 袁绍,
158s 杀雪祭拜。
185s 外面为何有鼓吼之声?
187s 主公正在举行
189s 征曹试试大会,
191s 祭天祭地祭祖封之灵。
193s 主公又要出使?
195s 是,听说
197s 主公祖宗有七十万大军。
199s 徒有虚名罢了。
201s 快,去禀报,
203s 我要给主公上书觐见。
205s 大人,罢了罢了,
207s 你就是因为禁键才进了这牢房啊。
209s 我宁可因箭而死,
211s 也绝不会言,
213s 曲彼默。
215s 三军将士,
250s 敬听我言,
252s 此战,
255s 不仅决定着
257s 元氏一族的生死存亡,
261s 也决定着列位将士的
263s 获复荣辱。
265s 此战,
267s 决定着未来五百年的历史,
269s 决定着皇朝天下的
271s 最后归属。
273s 生死存亡,
278s 获复荣辱,
280s 皇朝天下,
282s 坚决于此战。
334s 冯丰又在辱我,
336s 他上书让我休兵停战,
338s 一时大战前夕了,
340s 他竟敢还大发安隐,
342s 乱我军心。
344s 禀副帅,
350s 祭天,祭地,
354s 祭祖之后,
356s 尚缺遗物祭旗,
358s 禀副帅用填封手机祭旗,
360s 以壮军威。
362s 不可不可,主公,
364s 万万不可呀,
366s 眼下这战端
368s 尚未开启,
370s 我们却先斩臣下,
373s 这对我们此次出师远征,
375s 剿灭那曹贼,
377s 空飞吉兆。
379s 意你之间呢?
384s 依在下愚笨之见,
389s 倒不如
391s 等我们大获全胜,
393s 凯旋归来之后,
397s 也好让那个,
399s 平时只会夸夸其谈,
401s 实为迂腐短剑,
403s 鼠目寸光的小人田凤,
405s 亲自看到主公,
407s 你辉煌的战绩,
409s 丰功伟业。
411s 到那时,
413s 到那时主公,
415s 你再赐他自尽,
417s 也不为耻啊。
421s 好,等我取了他的手机,
424s 和曹贼的手机放在一起,
426s 一把火烧干净。
430s 如此极好,
