12s 我成就大业的时机到了。
161s 夫君为何如此高兴?
194s 曹操率军到了关渡,
203s 许诚必然空虚。
210s 我率军齐袭,
212s 这是千载难逢的好机会啊。
216s 夫君,
217s 此事还需从长计议,
221s 毕竟曹操不是等闲之辈。
225s 夫君,
226s 这次我定要夺取许诚。
232s 杀!
235s 主公,
236s 我们的阵脚已经乱了。
237s 依在下之见,
238s 我们还是撤军吧。
240s 不,
241s 在战!
517s 主公,
518s 巨战者死,
519s 都给我冲出去!
521s 你看,
522s 曹操的铁骑已经冲破我们的中军大阵了。
525s 再不撤就了!
529s 夫君,
530s 我们的阵脚已经乱了。
532s 再不撤就来不及了!
535s 主公!
536s 不行!
539s 快把主公架走!
542s 撤!
543s 主公!
544s 撤!
545s 是来取我性命的吧?
677s 员工,
678s 你对我有恩,
680s 刘备今日是来报恩的。
683s 你如何报答我?
692s 请员工先走,
694s 我替你抵抗曹军。
696s 刘备,
699s 你带了多少人马?
701s 不足五千。
703s 我堂堂七十万大军都败了。
714s 你区区几千人,
716s 又有何用?
718s 你七十万大军都败了?
720s 我的天哪!
722s 你这个仗,
723s 是怎么打的?
725s 这七十万大军,
726s 就是伸直了脖子,
728s 让曹军砍,
729s 那也得砍这几天几夜啊!
731s 三弟,
732s 请员工快走,
734s 重整旗鼓,
735s 再战曹操。
738s 恨死我也,
740s 苍天助贼,
742s 不助我!
746s 快走吧,
747s 再不走就来不及了,
748s 走吧!
753s 人民知道,
803s 倘若正面厮杀,
804s 他绝非我敌!
806s 银儿使出连环奸计,
808s 一战茶的功夫,
810s 他竟然使出三道奸计来!
813s 先是虚言求和,
816s 再者就是将天子让给我,
818s 还要放出宫里,
820s 来扰乱我的军心!
825s 主公,
826s 是四道奸计,
828s 主公,
830s 那曹操之所以请你喝茶,
834s 就是要有意拖延战计,
836s 分明是想利用那,
839s 太阳熄射的光线,
841s 刺射我军目。
846s 是我过失,
850s 是我糊涂啊!
855s 此战,
856s 错在于我,
857s 连累三军的!
862s 主公,
865s 主公切勿过于悲伤,
867s 这常言道,
868s 胜败,
869s 乃兵家之常嘛,
871s 况且我们,
872s 主公,
873s 在下痛定思痛,
875s 反倒想起一个人了。
879s 想起谁了?
882s 别嫁天锋,
884s 主公啊,
885s 战前天锋,
887s 曾多次奏剑,
888s 曹贼善战,
890s 灭曹未必非战不可,
893s 应当随机应变,
895s 以静制动而。
897s 主公如果专注于
898s 富国强兵,
900s 那三五年后,
901s 定当不战而胜。
907s 回当初不听他言,
909s 才惨遭失败呀!
913s 天锋现在在哪?
915s 在冀州大牢。
918s 他怎么在冀州大牢呢?
920s 主公你忘了,
921s 是你把他关进大牢的。
926s 主公,
927s 你不是要把那天锋的手机
928s 和那曹操的脑袋,
930s 摆在一起,
931s 一把火,
932s 烧了祭旗吗?
934s 快快快,
935s 快去传令,
936s 立即开示天锋。
938s 另外,
939s 派我的车驾
940s 把他接到关渡大帐来,
942s 我要重用他。
944s 遵命。
945s 快去快去。
946s 依在下之见,
959s 开示天锋即可,
961s 然未必需要重用啊。
965s 为何啊?
969s 你有所不知,
973s 在下刚刚接到
974s 冀州守将来报,
977s 说主公你在关渡
979s 战败一时,
980s 传回冀州以后,
982s 所有的文臣武将
984s 和满城的百姓
985s 无不震痛,
987s 唯有那天锋小人,
989s 他在狱中居然高声欢笑,
993s 得意忘形,
994s 狂妄地吹嘘,
995s 说什么,
996s 在下实在是不敢直言。
1002s 说,
1003s 那天锋在狱中养天长孝,
1014s 他说你是庸主,
1016s 刚必自用,
1017s 不足以为谋,
1019s 他的先见之名你不听,
1021s 所以必然有今天这个大败。
1025s 这狗狗狠,
1027s 这个贼子竟敢
1030s 如此地藐视我啊。
1032s 在,
1035s 主公。
1038s 持我配戒,
1040s 立即前往冀州大牢,
1042s 立战天锋。
1044s 遵命。
1045s 副帅,
1053s 各路拜兵
1054s 已经陆续回营了,
1055s 清点过后
1056s 仍有近四十万,
1057s 我们主要损失在于
1058s 资重和战车。
1060s 副帅,
1061s 我军虽然守战失利,
1063s 但兵马
1064s 仍旧是曹军的两倍以上,
1065s 足以再战。
1067s 好,
1068s 我们定要汲取教训,
1074s 大破曹军,
1076s 三军五日内休整,
1081s 准备再战。
1083s 你真是料事如神哪,
1100s 你说过,
1101s 曹操善于用兵,
1106s 伐曹必败,
1108s 我刚刚听到消息,
1110s 主公果然在关渡大败了。
1112s 我多么希望我言错呀,
1121s 可不幸又被我言中了。
1126s 我想,
1127s 过不了几日,
1128s 主公定会重新启用大人。
1131s 你不了解我家主公,
1139s 我家主公是外宽内极,
1142s 喜怒无常。
1144s 如果我军大胜曹军,
1146s 主公欢喜之余,
1148s 定会不计前嫌立刻射我。
1151s 可现在主公大败,
1157s 那一定是恼羞成。
1161s 我明,
1172s 不久已。
1174s 并别嫁,
1175s 主公叩谕,
1185s 全封谢军备主,
1186s 罪无可赦,
1188s 定其自尽。
1190s 你能告诉我,
1191s 是许佑还是郭徒挑唆主公的吗?
1197s 明白了。
1198s 老李啊,
1211s 麻烦你给我取笔墨来,
1219s 我要给主公写一封遗书。
1222s 是。
1223s 这位军师啊,
1235s 我不想死在这牢中,
1240s 待会儿可否允许我在星光下自问,
1243s 我想最后看一眼天相,
1249s 竟凭尊义,
1254s 诸草无诸元哪。
