13s 主公 外面有一位来客
15s 自称是主公旧游许忧
17s 请求拜见主公
19s 许忧
21s 是袁绍帐下的许忧吗
23s 在下不知
25s 那人只说主公应该记得当年偷鸡宰鹅之事
27s 传邪啊主公
31s 传邪啊主公
38s 快快
40s 南洋故人许忧
42s 叩见蒙德公
44s 真的是你啊
46s 啊
48s 你怎么会到这儿来呢
51s 袁绍不能相容
53s 我如再不来投
55s 恐性命难保望
59s 这是天上掉下一座金山呀
61s 我的兄台相助
63s 大事可成
65s 收我一拜
67s 不敢不敢
69s 蒙德兄请起
73s 蒙德兄
75s 高义啊
77s 望临相迎
79s 卓时令在下
81s 受宠若敬
83s 见到你许忧
85s 我岂能不得已忘形啊
87s 走走走
89s 进去说话
112s 说说吧
114s 为何来投啊
116s 今日
118s 我曾给袁绍献一击
120s 让他集四十万大军
122s 分作两路
124s 一路十万人马
126s 仰攻你的大营
128s 另一路集三十万精兵
130s 进去徐昌
132s 我告诉袁绍
134s 无论这两路人马哪一路能够得手
136s 你曹蒙德都将大败
138s 袁绍果真如此用兵
140s 我必亡
142s 可惜啊
144s 忠言逆耳
146s 雍主非但不听
148s 反而要记下我这颗相上的头颅
150s 留作他
152s 日后问罪
154s 梁臣侍庸主真乃人生
156s 莫大的痛苦
158s 如此妙计
160s 袁绍怎么会不用呢
162s 袁绍他认为你诡计多端
164s 你连堂堂的
166s 大汗天子都能用来
168s 行骗
170s 岂不会设下伏兵
172s 诱使我们去偷袭
176s 世人都说我多疑
178s 看来还有人比我更
180s 多疑
182s 你已经
184s 把他们给吓怕了
188s 恕徐悠之言
190s 其实你曹蒙德
192s 远没有那么强大
194s 可恰恰
196s 就是那些庸人心目中
198s 对你的恐惧
200s 不仅助长而且成就了
202s 你的强大
204s 精辟深刻
208s 除了你
210s 徐悠
212s 你也听不到这么精彩的报奖
214s 越是精辟之言
216s 就越有杀身之后
218s 实在是无奈了
221s 今天
223s 我才转头与你
227s 如蒙德兄不弃
229s 从今以后
231s 徐悠愿效全马之劳
233s 兄台啊
235s 你早就该来偷我了
237s 这天底下
239s 只有我能配得上你的
241s 满腹才华
243s 容我问你一事
249s 还望你能够
251s 如实相告
253s 你我现在已经是
255s 同舟共济我们是
257s 荣如与共的兄弟
259s 我任何事情都不会瞒你
263s 好 蒙德兄
267s 你军中的粮草
269s 尚可只剩多少时
273s 兄台果然是高人哪
275s 一问就问到我的痛处
277s 我此次出征
279s 原本带了百日军粮
281s 不料耗损巨大
283s 现在
285s 还有五十日呢
289s 未必吧
291s 我跟旁人是这么说的
293s 但是实际上
295s 还有一个月的
297s 可悲啊
301s 我徐悠冒死前来
303s 成心相投
305s 原以为是起暗投明啊
309s 可蒙德兄
311s 你根本不相信我呀
319s 兵法云
321s 兵不厌诈
326s 我跟你说了你可千万不要泄露出去
328s 免得乱了我的军心哪
330s 我目前
344s 曹蒙德啊曹蒙德
346s 难怪世人都说你是奸凶
350s 看来
352s 他们都太低俗了
354s 根本就不了解
358s 你是奸凶之祖
362s 古今无双 通前绝后
364s 曹蒙德
366s 你根本没有时日之良
368s 严重了
370s 我无非
372s 就是问了你军中粮草的事情
374s 可你前前后后
376s 转世之间
378s 就跟我撒了三次谎
380s 你根本就没有时日之良吧
384s 好吧
386s 什么事都瞒不过你
388s 那我就
390s 给你透个实情
392s 我现在
396s 还剩五日的粮草
400s 我正为此
402s 焦虑万分了
404s 曹蒙德
406s 莫非你还要骗我
408s 第四次吗
410s 此话怎讲
412s 你连隔日之粮都没有了
414s 你军中已经断粮了
416s 从明天开始
418s 你和你的军士
420s 将沙马冲击
428s 我截获了你
431s 崔耀军粮的军令
433s 袁绍知道吗
435s 知道
437s 可他知道有什么用
439s 他根本就不信
441s 他认定
443s 以你曹蒙德的精明
445s 绝不会在临战之际断粮
447s 他更不能相信
449s 如果你曹蒙德断了粮
451s 居然还不退兵
453s 他必然认定
455s 我现在军中只剩
467s 半日之粮
471s 我唯一的指望就是
473s 明天日落时分
475s 军粮能如期送到
477s 如果明日
479s 运不到呢
481s 蒙德
483s 若是我许忧
485s 送给你百万袋粮草
487s 你说什么
492s 蒙德兄
494s 那袁绍所有的
496s 所有的粮草
498s 全部囤于吴朝
500s 吴朝的守军相当薄弱
502s 守将纯于铜
504s 那是个九囊饭袋
506s 不堪重用
508s 如果蒙德兄
510s 你能亲率一支铁骑
512s 连夜杀奔吴朝
514s 一把火烧了他的资重
516s 援军势必大乱
518s 你也可顺势
520s 夺取你所需要的粮草
525s 我亲自率军前去
536s 我许忧
538s 说的是谎言
540s 你就不怕
542s 袁绍早已经在吴朝
544s 设下伏兵
546s 这个我不担心
548s 我不是袁绍
550s 更非庸主
552s 真的假的我闻得出来
554s 何以见得
560s 我一直苦思不解
562s 袁绍为何兵败了
564s 还不退军
566s 而且能在短短十几日之内
568s 就能重新召回几十万残军
570s 原来他手里
572s 有吃的
574s 残军不回营就得饿死
576s 其二
578s 你许忧
580s 深夜来偷我
582s 必有大礼相送
584s 兄台不愧是
586s 天下名主啊
588s 从今往后
590s 我若能服侍名主
592s 如同再造
594s 幸甚
598s 我灭了袁绍
600s 你是投功
602s 你打算何时
609s 启程啊
611s 事不宜迟
613s 我这就出发
615s 我会率猛将士员
617s 精气五千奔袭吴朝
619s 估计会在
621s 黎明时分到达
623s 好 如此甚好
625s 蒙德兄一定切记
627s 在你奔袭途中
629s 无与袁兵不必与其纠缠
631s 只需亮出袁军的旗号即可
633s 就称是后将军
635s 蒋骑的兵马
637s 是奉袁绍之命
639s 驰援吴朝的
641s 多谢兄台指教
643s 袁军的旗甲我倒是搅和了不少
645s 今晚正好可以用上
649s 我还是吃不准
651s 如果吴朝一旦火起
653s 袁绍会当如何
657s 袁绍定会
659s 火速派兵
661s 救援吴朝
663s 袁绍这个人
665s 平时虽然昏运
667s 可一旦盛名起来
669s 往往也能做出让人意外的事来
671s 他势必
673s 置吴朝于不顾
675s 集中所有兵马
677s 直扑你的大营
679s 他一定会认为
681s 你曹蒙德率清纪
683s 奔了吴朝
685s 你的大营势必空虚
687s 没错 还是兄台更了解袁绍
