5s 刚刚得到消息,主公要收留刘备,并且要把新野交给他驻军。
12s 你们听着,刘备此人,向来都是假称仁义,可是他心怀大志。
18s 尤其他手下三员猛将,关羽,张飞,赵云,各个是勇猛无比。
27s 我们要严加防范啊。
29s 大哥,关张赵再是勇猛,也不过只带来两千多兵马。
33s 而我们有精兵数十万,哪怕一人吐口吐马,也能将他生生淹死了。
41s 关羽三日之内连斩严良文丑,连曹操对他,都又敬又慰。
48s 你们岂能轻视他?
50s 再者,刘备手下虽然只有两千多兵勇,可个个是身经百战的老兵啊。
57s 而你们呢,整日里吃酒赌博,有多少年没打仗了?
65s 主公说了,发往新野的粮草军械,都有我们供给。
71s 你们听着,发往新野的粮草军械,一定要两千人围堵,多一点都不给他,以提防他扩充军备。
81s 遵命。
85s 上将军,主公夫人有请。
87s 知道了,回禀夫人,我稍后就去见她。
92s 诺。
102s 你看,翻过这座山就是新野城了。
105s 新野城市虽不大,却是一座坚城,易守难攻。
110s 据荆州也不过百里,如有战事,半日即可相遇。
115s 我等能在新野住脚,全亏了景胜兄大人。
120s 从踏入荆乡地界我就看出来了。
123s 这里农田里稻谷丰盛,村庄里人丁兴满。
129s 与其他州郡相比,荆乡真是有天壤之别。
137s 是啊,副帅自领荆州后,就视荆乡为家了。
143s 他甚至把自己的坟岭都选好了,准备终老于此处。
148s 对了,还有一件事情,我要多谢公子。
152s 我听孙前说,他来拜见景胜兄之时,蔡茂将军曾经极力反对我们入驻荆州。
160s 多亏了公子说话。
162s 公子怎么了?
164s 草安有一天,我会死于蔡茂之手。
172s 皇叔有所不知,我虽为长子,生母却不幸遭亡。
178s 副帅自领荆州后,迎娶后母蔡氏,
182s 上下一子,就是昨日你所看见的刘从。
186s 刘从极受副帅的喜爱。
189s 蔡氏和她的弟弟蔡茂,多年来一直在劝父亲,立刘从为世子。
196s 蔡氏又是荆乡九郡最大的士族。
200s 副帅大部分兵马,都掌握在上将军蔡茂手里。
205s 说不定哪天夜里,我却会死于非命。
208s 不但如此,我甚至担心副帅百年之后,蔡茂还会废了刘从,自己做荆乡之主。
220s 皇叔啊,你可知道蔡茂为何极力反对你来荆州吗?
226s 就是怕你坏了她的大胆。
228s 废长立右,是曲乱之道。
237s 荆升兄如此贤明,岂能不查?
241s 副帅年事已高,已经管不住他。
244s 皇叔,小侄想求你一件事。
248s 公子请吩咐。
250s 听在副帅面前,为我善言尽居吧。
255s 承荆升兄大恩,我才借得荆州一脚。
268s 贵府的家事,论理,我是断断不敢插嘴的。
273s 我只能这么说。
275s 如果有一天,荆升兄大恩,
277s 他征求我的意思,我定然会向他尽监。
282s 多谢皇叔。
284s 不谢。
