7s 在线上不得不。
15s 令你立即召集五百虎奔甲士
162s 随我前往客馆
164s 吴将军
165s 令你调集六万精兵囤禹城外
167s 待命攻沙新野
169s 宋将军
170s 命你封锁靖州九门
171s 严加防范
172s 不准一人一鸡熟肉
174s 遵命
175s 刘皇叔
181s 公子
185s 为何深夜到此
194s 皇叔
195s 容小臣先问一句
196s 皇叔今天与我父亲单独相会了吗
199s 是啊
200s 端午节嘛
201s 明公召我喝酒
203s 西间可谈了什么
204s 明公问我立世子之事
209s 我说
210s 费掌利诱
211s 自古便是取乱之道
214s 多谢皇叔直言
216s 这话也给皇叔引来了大祸
221s 怎么
222s 景升兄会杀我吗
224s 不不
225s 父亲绝不会
227s 但菜猫要对你下手了
229s 今晚将军府灯火通明
231s 菜猫正在调兵遣将
233s 皇叔啊
234s 赶紧离开京州返回西野吧
236s 多谢公子相救
246s 不过依礼
247s 我是景升兄请来的
249s 我总要回禀过明公才好走
252s 否则岂不是失礼
254s 生死关头
255s 皇叔还顾得这些虚礼
256s 快走快走
257s 拿出刘备了吗
258s 将军
286s 防守空空
287s 里面全都搜遍了
288s 没有发现刘备踪影
289s 刘备明明就住在这里
291s 咱们就不见踪影了
292s 带馆主来
293s 沿上来
294s 遵命
295s 刘备哪儿去了
296s 禀将军
302s 这二更天的时候
303s 刘备突然冲出客馆
305s 骑上马就走了
306s 什么都没说
308s 没说
309s 深京半夜的
311s 这里为何聚集
362s 这么多的虎喷假事
364s 主公
365s 末将挺关注禀报
367s 说刘备在二京时
368s 冲出客馆
369s 匆匆跑了
371s 末将身负安危大任
373s 刘备又是主公的贵客
375s 万一有个闪失
376s 末将罪不可赦
378s 所以末将代表
379s 前来探查
380s 是这样吗
381s 是
382s 灯来
385s 拿来
386s 暮年土手困
423s 空对旧山川
426s 龙起池中雾
429s 城雷遇上天
433s 主公
434s 这是反噬啊
435s 刘备不甘心
436s 做京中的池中之物
438s 他就称雷上九霄啊
440s 我对他人之一击
442s 看来
443s 真是想谋取我的京中吧
445s 是
446s 我非出调他不可
448s 此事粗疏不堪
450s 不想悬得笔墨
452s 再者
454s 我也从来没见他
455s 写过诗啊
466s 主公
467s 刘备肯定心怀意志
469s 否则
470s 为何连夜离开京中啊
472s 末将已调急兵马
473s 请主公下定
474s 末将
475s 末将
476s 末将
477s 末将
478s 末将
479s 末将
480s 有急兵马
481s 请主公下定
482s 准末将前往新野
483s 擒拿刘备
488s 我怀疑此事真伪
490s 那么
491s 先拿下刘备
492s 主公也好当面问个明白
494s 你到新野去捉拿刘备
496s 关羽 张飞
497s 会坐视不管吗
499s 还有赵云 赵子龙
501s 我们两家
502s 不是立刻就要打起来吗
505s 都退了吧
507s 此事
508s 日后我定有详查
515s 车民回营
516s 没有听见吗
524s 你们都看他干什么
526s 我是京中之主
529s 你们没听见主公的禁令吗
530s 马上手臂回营
531s 快
543s 昨夜我们赶到客馆之后
545s 刘备仓皇逃命了
546s 我们扑了个空
548s 此外
549s 我请命攻杀新野
551s 主公也不准
552s 可是怀疑我了
557s 当然怀疑了
558s 主公深夜回府
564s 进门就大骂
565s 京中城内暗藏奸贼
568s 气得他差点吐血
571s 那我们怎么办
572s 别慌嘛
576s 侥幸的是
578s 他大骂之后
580s 竟然旧病复发
583s 我看
585s 这十天半个月
587s 他是不能立正了
590s 可是主公病好之后
591s 还会追究此事的
593s 这是当然
596s 不过
597s 我可以让他的病
602s 好得别那么快吗
604s 我已经吩咐府医
608s 让他用药当心
611s 一方面
613s 要让主公好生活着
618s 另一方面
620s 要让主公病势不紧
624s 所以你有的是时间
626s 抓紧办事吧
627s 还当军师啊
633s 女的又如何
635s 女的
636s 就不能当京中之主了吗
638s 是是
639s 多谢皇叔相迎
673s 公子客气了
674s 客管相救之事
676s 还要多谢你呢
678s 对了
679s 那日
680s 我不辞而去
682s 景升兄
683s 打算如何料理这事
685s 巧了
686s 第二天
687s 父亲就救急重犯
688s 不能下榻了
689s 因此
690s 这事就搁下了
691s 那今日
692s 公子亲自到新野来
696s 有何事吩咐
698s 后天就是京乡庙会了
701s 此会每年举行一次
703s 凡京乡九军
704s 县令以上文武官员
705s 均必须到会议政
707s 今年又直到古大熟
709s 庙会将更加隆重
711s 依律
712s 父亲应该亲自出行
714s 但他病重不会复会
716s 便令我带他出行
719s 好啊
720s 这说明景升兄
721s 还是信任你啊
723s 但我对父亲说
726s 京乡各军官员
727s 多为我叔伯执辈
729s 万年轻德伯
730s 恐怕有如父亲之尊
732s 于是父亲说
734s 那就请留先
735s 那就请刘先得与你同去
737s 他乃当今天子的皇叔
739s 这份尊贵
740s 足够让官员们敬服了吧
742s 不敢当
743s 既然景升兄有命
744s 公子就亲自出驾
746s 那我奉命就是了
748s 多谢
749s 公子请
750s 皇叔请
751s 京乡庙会
755s 乃京州府
757s 极其重要的政事
759s 九军官吏七纪御堂
761s 共同议政
763s 刘景升患病
