3s 我意 吉祥 金周用兵 攻伐刘备
11s 父亲 此时京乡正是秋雨季节
15s 恐怕不利于骑兵作战
18s 是否等到雨季过后
22s 我儿长进了 知道天时地利了
30s 不过 金乡雨季即将结束
35s 而我们从许昌进军到金乡
39s 需要五天时间
41s 等我们的人马到金乡的时候
43s 不但雨季已经结束了
46s 就连地面也已经风干了
49s 丝毫无碍战马奔驰
51s 你说对吗
53s 父亲说得是
55s 我忽略了先君的时间
60s 曹人听令
61s 末将在
62s 命你为主将
64s 李典为副将
66s 率金兵五万进驻樊城
69s 虎视京乡各郡
71s 待我令相则攻取新野
75s 末将领命
77s 你们这就去整军待命
79s 明日出发
81s 诺
82s 诺
84s 李典
88s 丞相
91s 我知道你出事谨慎
94s 所以才派你给曹人做副将
98s 曹人虽勇
101s 但他性急
103s 立功心切
104s 必要时
106s 你要劝他妥当用兵
109s 遵命
111s 刘备兵虽少却是近敌
115s 你们屯兵樊城后
117s 要关起虎视
119s 再择动兵时机
123s 末将明白了
124s 去忙吧
126s 诺
139s 将军
141s 前面就是樊城了
143s 令城守开门
144s 说上将军曹人到了
146s 上将军
149s 将军
150s 我们进城吧
151s 你领军进城休息吧
153s 我亲领树记到新野查探一番
156s 听说新野居此八十余里
159s 探宁可派少记前去
161s 何劳将军亲往呢
165s 大战已迫在眉睫
167s 为将者应当知己知彼
170s 丞相让我们屯居樊城
172s 待命出击
174s 听将军的意思
176s 仿佛即刻就要出战了
180s 不错
181s 你传令各部
183s 今日让他们好生休息
185s 明日五更出发
187s 随我踏平新野生擒留备
191s 将军不可轻敌
193s 我们还是等候丞相的军令到时
195s 再进军吧
199s 我看你是害怕刘关璋啊
202s 我不怕刘关璋
204s 却也不轻视刘关璋啊
206s 那好
207s 明日我给你五千军马
210s 你守城吧
211s 我自去取群野
212s 将军不可呀
214s 李鼎
216s 你嫉妒我独剑大功吗
218s 末将绝无此意啊
220s 那你为何违抗我的命令
227s 在下奉命
230s 跟我走
231s 撤
236s 进城
243s 主公
243s 草军到了
244s 上将军草儿已在关前部下战阵
246s 生生挑战
247s 草军来得好快啊
248s 军师还说三十日兵当
250s 前后差不过两天
251s 现在足足差了三天
253s 只差一天军师已经是料敌入城
255s 三天不要强辩
257s 余计位置
258s 草草已经向新野领兵
260s 在他进军堂中余计结束
262s 地面也干了
264s 草草不反抗
267s 真有上将军之才啊
337s 中中饭酒之辈
348s 识得草人将军阵法吗
350s 快快出城迎战
352s 否则攻破城池
354s 集一拳不留
363s 令将士坚守不战
365s 只用弓弩射出两翼击了
368s 待中午过后
369s 离使烧录
371s 我再射弓弓
374s 子龙
375s 快去布置
376s 既正盛
418s 草军所住的凡城
420s 乃是一座五百多年的古城了
422s 在下曾经登城观景
425s 看到城楼西角处
428s 长着一层菩萨大的灵芝
430s 黑里透红极为珍贵
433s 难得 难得
436s 连年兵火
437s 也不知那灵芝焚毁了没有
440s 是啊
441s 如果在的话
442s 早晚取来泡茶
444s 那可是
452s 军师
453s 茶喝够了吗
456s 都正午了
