27s 外面世界混沌,这里却仿无仙境。
34s 真乃高人隐居之处啊。
36s 大哥,这诸葛亮比徐军师如何啊?
40s 徐叔说了,孔明胜他十倍。
43s 他吹牛,这世上岂有胜过徐叔十倍的人,
47s 那不成了仙了。
48s 大哥,你别信这些,那些文人啊,
51s 这读了几年的诗书,懂了些礼术,
54s 就变得假惺惺的了。
56s 这狂起来啊,是狂的要死。
57s 这谦虚起来啊,又谦虚的要命。
61s 怪不得人们管他们叫腐儒呢。
63s 腐儒是什么呀?
65s 那就是腐烂的臭豆腐。
67s 大哥,你千万可别拿臭豆腐当宝贝了。
71s 三弟说得痛切,当福以大白。
74s 那可是。
76s 我们三兄弟进山访闲,有如登高拜天,
80s 要有一片诚心。
82s 你们二位莫要讽刺挖苦了。
120s 此歌意境深远,
122s 听来仿佛清风拂面,明月荡空啊。
126s 去去去,这哥哥又犯傻了。
129s 就这等歌同谣啊,那遍地都是。
132s 这有啥戏气的?
134s 徐述早就说过了,
137s 民谣所唱所指,往往是民心所向。
141s 得民心者,距离得天意也就不远了。
148s 那位乔夫,请你过来。
152s 在下有事请教。
155s 客官哪,有何吩咐啊?
161s 请笑哪。
164s 刚才所唱民谣,是何人所作?
169s 是卧龙岗上的卧龙先生所作。
172s 卧龙先生,就是诸葛亮?
175s 正是。
178s 那请问卧龙岗距此有多远?
181s 由此往北,十二三里以外就是。
185s 多谢了。
186s 不用谢。
189s 二哥,你听见没有?
191s 那刚才乔夫说什么?
192s 卧龙岗上的卧龙先生。
194s 这诸葛亮这胆可真大啊。
196s 敢自称自己为龙,还是卧着呢。
200s 是啊,天下大乱,风起云涌。
204s 大家都在争权夺利。
206s 你说,他不卧着他能干什么?
208s 他没事呗,自睡。
210s 你们两个说完了没有?
213s 没听见刚才民谣所唱吗?
216s 荣者自安安,庸者定路路。
219s 诸葛亮在乱世能够持重首决,太然高涡。
222s 天下几人能够做到?
261s 请问卧龙先生在此吗?
273s 请问客官是谁?
275s 汉左将军,易成廷侯。
278s 免玉周目,皇叔刘。
281s 客官名字太长了,我记不住。
286s 就说,刘备前来拜访孔明先生。
290s 知道了,你叫刘备?
291s 刘备先生,我家先生知道近日会有贵人到访,
294s 所以他出门远游了。
297s 什么?小哥能再说一遍吗?
300s 先生,他知道会有贵客到访,
302s 所以出门远游了。
310s 那,请小哥留话。
312s 待孔明先生回来时,
314s 就说刘备专程来拜访。
317s 记住了。
320s 请再告诉他,
321s 数日后,刘备还会再来拜访。
324s 也记下了。
326s 刘备告辞。
327s 客官,请慢走。
343s 两位,怎么了?
344s 大哥,你都听到了。
347s 诸葛亮明明知道你要前来拜访,
350s 他却故意出门远游。
352s 我...
353s 无妨,过几日我们再来。
357s 哥哥,你可是大汉皇叔啊。
361s 专程来看这厮,
363s 你这是给他天大的面子吗?
366s 这厮却好生无礼啊,躲着不见,岂有此理。
371s 下次不来了,
380s 立刻叫他到西野城拜见我大哥。
383s 听好了?
384s 不可,放肆。
385s 否则,大军到处遵守秘密。
388s 走。
392s 哥哥,无妨,我护他一壶。
397s 下回啊,
398s 保证他是乖乖地老老实实地来拜见哥哥。
436s 敢问,阁下是卧龙先生吗?
441s 请问阁下何人?
442s 新野刘备。
444s 久仰将军,但我并非孔明,
447s 我乃孔明学生,柏林崔周平。
452s 崔周平,先生大名如雷贯耳,
456s 刘备早已久仰。
458s 崔先生,刚才我刚刚去过卧龙岗,
461s 孔明先生外出云游去了。
465s 先生,如有侠,我们可否叙谈一番啊?
469s 甚好,在下平生喜欢交友,
472s 所以无论走到哪里,都随身携带常敌一杆,
475s 茶吹已复,已被高鹏雅士所需。
479s 如将军不弃,我们就在那西畔烹茶如何?
483s 好极好极。
