4s 川帝艰险易守难攻,
6s 古称川帝为天府之国,
8s 那里物产丰盛,
10s 足可养兵百万。
12s 当年,高祖刘邦就是从川帝起兵而得天下成帝也。
17s 将军得西川、京乡两地之后,
19s 天下一居齐半。
21s 既知,就改南府一跃,
23s 西河朱荣,外劫孙氏,
25s 内修君正名声。
27s 待天下有变,便可率熊师出秦川,
30s 取许昌,灭曹贼。
32s 如果将军按此方略行事,
35s 我料十年之内,大业必成。
39s 再十年,天下可定。
42s 将军就能忠心汉事,
45s 而名垂千古。
48s 二十年,即可安天下。
52s 将军可知,我去何处远游了吗?
59s 不知。
61s 西川,将军请看。
63s 这便是西川五十四郡的祥土。
78s 从现在开始,将军便要
83s 眼观京州,意在西川,
85s 心存天下,徐图进取。
88s 刘备,斗胆请你出山相助。
112s 我必终生奉你为师。
115s 先生啊,先生不出,
118s 苍生无救。
123s 刘备,恳请先生。
126s 刘备,叩求先生。
130s 诸葛亮,愿效全马之劳。
149s 先生,您真要走了吗?
151s 那阿三怎么办?
176s 好生看管家园,
178s 我功成之后,定当归也。
181s 阿三知道了。
183s 易德兄弟,别忘了,
186s 欠我一座草堂。
188s 你若助我哥哥得了天下,
190s 我给你盖一座
191s 八百里大的草堂吧。
195s 一言为定。
196s 一言为定。
197s 请。
198s 走。
199s 从这一刻起,
201s 历史发生了巨变。
204s 龙中队成为千古名点。
217s 孔明未出茅蒙,
219s 已定三分天下。
222s 孔明先生十五年
223s 静观天下,
225s 今日终于得其主,
226s 出神山了。
230s 孔明虽得其主,
232s 不得其时日了。
234s 细哉。
236s 今天,
238s 神先射中猎物,
240s 我重赏。
281s 夫君怎么还没回来?
283s 随我去看看。
284s 诺。
285s 叫兵。
286s 齐桓宫,
302s 我去看看。
303s 是。
309s 齐桓宫,
404s 齐桓宫,
405s 楚庄王,
406s 晋文宫,
407s 相继称霸。
410s 燕,
411s 秦鲁,
412s 又继续征雄,
414s 先后三百年。
417s 中原吴宁日,
420s 京齐卷长空。
423s 报!
424s 报!
425s 少将军,
426s 主公被仇家射伤,
427s 主你快回去。
429s 伤势严重吗?
434s 伤势很严重,
436s 主公被侍卫抬回来的时候,
438s 已经,
439s 已经神志不清了。
445s 公子啊,
446s 听稍候。
448s 公子啊,
449s 咒讽计辩,
450s 定要冷静应对。
453s 主公纵伤的消息,
454s 一旦流传出去,
456s 各军的文武,
457s 就会惶惶不安。
459s 特别是,
460s 如果许昌,
461s 曹操和靖州刘表,
462s 知道此讯,
464s 趁着可能,
465s 蠢蠢欲动,
467s 趁江东内乱之时,
469s 向我用兵啊。
471s 多谢先生教诲。
498s 程老将军。
499s 在。
500s 请令三军统领及各级将士,
501s 就说主公在行猎时,
502s 不幸坠马,
503s 受了点轻伤,
504s 不日及个痊愈,
505s 敢有遭遥生事。
506s 急诊。
507s 明白,
508s 我这就去传命。
509s 黄老将军。
510s 在。
511s 请你撤去街上的军事,
512s 让将军府恢复常态,
513s 让各级官员归守原职。
514s 知道了,
515s 急办。
545s 母亲,
546s 霍哥怎么样了?
549s 你,
551s 哥,
552s 他,
553s 怕是不好了。
564s 哥,
568s 我来了。
575s 全帝来了。
576s 哥。
583s 扶来,
592s 接下江东兵府。
600s 哥,
602s 这万万不可。
605s 你会好起来的。
607s 请令!
611s 接下兵府,
615s 执掌江东。
627s 不及这等大任呢。
629s 要论杀场、吃场,
633s 皆胜于两阵之间。
642s 但要论举弦任能,
645s 运筹于帷幄。
648s 我,
649s 你能胆敢大任。
699s 全儿,
700s 听你哥的话,
702s 借过印符吧。
704s 江东文物,
716s 大多都是我的前辈叔伯,
720s 大哥英雄盖世,
722s 与他们有生死之情。
725s 他们定然扶大哥,
729s 可他们怎么会扶我呢?
733s 我才十八岁,
735s 在他们眼里,
737s 我太稚嫩了,
739s 我甚至,
743s 比他们的儿子还小许多。
749s 你是主,
772s 他们是臣。
774s 你父亲做将军时,
827s 也是你这般大。
829s 你哥成绩复页时,
831s 比你的年龄还小。
834s 数代以来,
836s 我江东一直是英雄初少年。
840s 现在祖爷交到你手里,
843s 你定能够,
845s 无愧于父兄。
879s 母亲孙权,
887s 领命了。
888s 放下了。
898s 老臣张昭,
925s 拜见主公。
927s 拜见主公。
930s 各位亲戚,
939s 我受兄长一命,
954s 成绩祖爷,
957s 指令江东。
959s 即日起,
961s 盼各位叔伯,
963s 多多辅佐,
965s 共乡大业。
968s 指令。
970s 将军周瑜,
979s 正在芭秀贤县。
981s 此时,
982s 末将的意思,
984s 应该立即招他回吴郡,
986s 主持江东大计。
988s 我是说,
993s 招他回来,
995s 辅佐少主公,
996s 主持江东大计。
999s 母亲已经传命了,
1002s 让周公锦,
1004s 速归。
1006s 遵命。
1007s 如今我生世于此,
1047s 发现一道,
1051s 不能跟你白头偕老,
1054s 走完以后的路,
1058s 不要怪我呀。
1064s 夫君,
1067s 你不要这样说,
1068s 你还会站起来的,
1072s 还会驰骋沙场。
1074s 别忘了,
1076s 你的江东大业,
1077s 还没有完成呢。
1083s 我已如此,
1085s 何谈大业?
1090s 像我少年时骑兵,
1098s 数年间,
1102s 又占据了江东。
1106s 现在,
1109s 我却要先离江东,
1114s 我心痛了。
1119s 不夫君,
1121s 你不会倒下的,
1123s 不会。
1124s 一切都是命啊,
1130s 只是少儿现在年纪太小,
1138s 不成大业。
1139s 我已将江东托付给了全帝。
1149s 你要记着,
1151s 以后,
1155s 以江东大举为重,
1161s 为江东整命。
1165s 定以江东大举为重。
1174s 我现在就要离去啊,
1186s 怎么能躺在床踏之上而死。
1190s 来,
1195s 扶我起来。
1197s 夫君,
1198s 你。
1199s 扶我起来。
1201s 若有来世,
1255s 大强,
1257s 还愿意做夫君的妻子。
1259s 夫君。
1281s 先主公,
1335s 虽将兵符交给少主,
1338s 可权力交接
1340s 历来是父王子弟。
1343s 孙少是先主公亲子,
1346s 理应由孙少
1348s 接替先主公掌管江东。
1351s 孙少尚小,
1354s 可由夫人代为掌管。
1357s 这才是千年流传的规矩,
1361s 如此才有礼法可徇。
1364s 请夫人代幼子孙少
1366s 接管江东。
1368s 幼子孙少理应接管江东,
1371s 如此才是以江东大局为重,
1374s 才可使众人信服。
1377s 请夫人三思。
1380s 夫人,
1417s 请以江东大局为重。
1423s 张大人想说什么,
1429s 大桥听着。
1430s 夫人,
1434s 请问,
1436s 如今汉室衰败的起因是什么呢?
1440s 应是多位先帝幼小,
1446s 皇后当政,
1448s 外戚专权所至啊。
1451s 如今我江东,
1453s 虽然先主公孙策,
1456s 把大权交给了孙权,
1459s 可是留下幼子孙少
1462s 还有夫人你。
1465s 有很多人因此而心存芥蒂,
1470s 生怕夫人仿效汉室皇后,
1474s 一旦有人要挟夫人,
1476s 以此作乱,
1478s 那我江东,
1480s 必将大乱啊。
1482s 可我只想为夫君守灵,
1488s 你说,
1489s 难道我错了吗?
1494s 夫人当然没有错,
1497s 或许也没有什么人是错的,
1499s 可是古往今来权力的交接,
1503s 是父王子替,
1506s 如今是孙权当政,
1508s 你带着幼子,
1510s 肯定会引起人们的猜疑,
1512s 防备。
1514s 一旦有人利用此事,
1516s 那最终的结局将是,
1520s 孙策一手建立起来的江东大局,
1524s 不得稳定啊。
1527s 请夫人三思,
1531s 主公啊,
1533s 请原谅老臣的直言。
1542s 夫君,
1544s 我追随你多年,
1612s 知道你的雄心伟略,
1615s 我知道,
1620s 江东吉夜,
1622s 是夫君的生命。
1624s 我知道,
1628s 夫君即使在天上,
1630s 也想看到江东的稳定,
1632s 如果江东不稳,
1634s 夫君的在天之灵,
1638s 又怎么能够安息?
1640s 为了江东的稳定,
1642s 甘愿为夫君,
1648s 舍弃生命,
1653s 我是夫君的。
1655s 将军!
1672s 将军!
1674s 何事大呼小叫?
1680s 传太夫人口讯,
1682s 请你迅速返回江东。
1684s 出什么事了?
1685s 主公,
1686s 主公去世了。
1691s 令少主孙全,
1692s 执掌江东印符,
1693s 成绩祖业。
1695s 太夫人命你立即返回江东,
1697s 辅助少主,
1698s 以祭江东大业。
1715s 令少主,
1716s 上将军周瑜回城奔丧了。
1718s 带来多少兵马?
1720s 周将军进城的时候,
1721s 只有单击匹马。
1723s 知道了。
1725s 你为何匆匆离去?
1772s 周瑜来迟,
1785s 连面都没见上。
1791s 兄长。
1822s 恭敬将军,
1823s 请你接下兵符,
1827s 提令江东,
1830s 继承我父兄大业。
1833s 你这是为何?
1849s 江东是孙氏三代大侠的江山。
1852s 我周瑜,
1854s 万不能行窜逆之事。
1856s 将军听我说,
1858s 这不是窜逆,
1860s 这恰恰,
1862s 是为了我父兄大业着想。
1864s 我年幼稚难,
1866s 不能服众。
1868s 可将军你文武超俊,
1870s 又久随我父兄征战,
1873s 在江东文武中,
1875s 你是最有威望的大将军。
1878s 由你来指令江东,
1882s 才能使文武败俘,
1884s 广大祖业。
1887s 我愿做将军手下一常事,
1905s 一方面,
1907s 可以相助将军,
1909s 另一方面,
1911s 可以安心侍奉母亲,
1913s 安享太平,
1915s 请将军体谅我的辱惑。
1917s 这难道是主公的遗命吗?
1925s 兄长的遗命是,
1929s 让我们保佑江东,
1931s 广大祖业。
1933s 可能完成这遗命的
1935s 首当将军你啊?
1958s 少主心意,
1959s 周瑜极为感动,
1964s 但周瑜绝不能受命。
2006s 周瑜奉命回城,
2008s 拜见太夫人。
2014s 周瑜,
2017s 我幼年丧母,
2020s 终年丧夫,
2022s 晚年丧子。
2027s 你说,
2029s 我的命苦不苦啊?
2032s 太夫人命苦,
2041s 但夫人辅佐上将军孙涧,
2044s 创下三江基业,
2046s 又养育了主公和少主,
2048s 使得江东能有今天的昌盛,
2050s 足以敬佩太夫人。
2056s 我虽然命苦,
2058s 但有一个人,
2060s 可能比我命更苦。
2069s 小儿孙全呢?
2071s 你看,
2073s 他年方十八,
2075s 就不得不执掌江东,
2078s 任中而道远,
2081s 内忧而外患,
2084s 这些,
2085s 都让他惶恐不安,
2088s 让他暗暗发抖啊。
2091s 刚才,
2093s 全儿向你辞兵服了吧?
2095s 太夫人,
2104s 主公的遗命,
2108s 究竟是什么?
2110s 周瑜啊,
2111s 你虽然不是我亲生,
2114s 但我视你如亲子,
2116s 所以,
2118s 我把一切都告诉你了,
2121s 孙策留下的遗命,
2123s 确实是让全儿,
2125s 提领江东。
2127s 那少主为何要签让给我?
2131s 这还不明白吗?
2134s 孙策死后,
2136s 全儿最敬重的人是你,
2138s 最担心的人也是你。
2141s 他想,
2142s 与其将来你让他如坐针针,
2144s 大权旁落,
2146s 还不如早早地,
2147s 把江东让给你。
2150s 他相信,
2151s 只有这样做,
2153s 不但他能得到安全,
2155s 江东的祖业,
2157s 也能发展壮大。
2159s 还有三军将士,
