8s 来,二哥,过酒。
10s 关将军,张...
12s 二位将军,二位将军,主公让你们赶紧过去啊。
18s 什么事?
20s 夏侯敦轻率大军朝新野城杀过来了。
23s 来了好啊,总算把他们给盼来了。
29s 你去告诉大哥,叫那孔明去迎敌啊。
33s 这大敌当前,你们这是为何呀?
36s 快去啊。
37s 三弟,来。
45s 二弟三弟,
56s 曹军已经逼近樊城了,你们还在吃喝。
59s 快快整军,准备迎敌。
65s 哥啊,
66s 我有一计,定可退敌。
70s 你也有计?
71s 有啊,有啊。
74s 只是大哥从不问计,
77s 我面子薄,
79s 又不好意思说。
81s 你且说来。
87s 大哥使水去啊。
88s 水?
90s 什么意思?
94s 大哥是鱼,那孔明是水啊。
98s 现在曹军来了,你快快使水出战,
102s 让他水淹三军啊。
107s 大哥,哥,大哥。
111s 志赖孔明,永虚二弟。
114s 我没工夫跟你们开玩笑,快快整军。
117s 三弟,扒他扒他,快取兵器。
123s 命苦啊,命苦啊。
125s 这大敌当前,
127s 兄长才想起还有俩兄弟。
132s 云长和易得都是傲视天下的汉将。
149s 你须在此战中建立威望,
152s 方能够镇住他们。
155s 明白。
157s 我有一事,
159s 请主公将佩剑兵符借我十日,
162s 否则我可使不动两位将军。
165s 十日够吗?
176s 足够。
177s 你须谨记,
184s 兵符剑印都在你手上,
186s 也得听命。
189s 主公放心。
191s 王将军,
205s 张将军,军师传众将登堂听令了。
210s 这孔明真是要指挥我们作战了。
213s 不在那儿,我们自个儿率军杀敌就是了。
216s 那可不行,军令如山,
218s 我们还是前去听听他胡说些什么。
221s 走。
223s 谢主公。
239s 曹军来犯,
245s 大战将至,
247s 诸将定要遵奉军师军令,
251s 违者
253s 依法从事。
254s 遵命。
256s 曹兵进军,
260s 必须路经博望坡,
263s 博望其左有山,
265s 名曰玉山,
266s 其右有陵,
267s 名曰安陵,
269s 山洼与陵间皆可伏兵。
273s 关羽听令。
275s 你引一千径旅,
276s 前往玉山埋伏,
283s 待曹军治,
284s 必须放他们过,
285s 其粮草资重定在军后,
288s 但见南面火起,
289s 你即率军杀出,
291s 交战之时,
292s 不可贪恋斩获。
294s 首先焚烧尽粮草,
296s 熄火
297s 也可阻断曹军的退伍。
299s 知道了。
300s 张飞听令。
304s 卓尼,
308s 引一千径旅,
309s 在安陵之后埋伏,
316s 但见南面火起,
317s 即率军杀出,
318s 直奔博望城。
320s 你才不是说过
321s 曹军在博望坡吗?
324s 你叫我进城干什么?
325s 这是谦言不达厚语。
328s 博望坡是曹军进军之地,
330s 博望城
331s 则是曹军驻军之所,
333s 其粮草军械
334s 避屯于城中,
336s 令以纵火
337s 焚烧。
339s 官平听令。
342s 末将在。
344s 你率五百将士
345s 携带萤火之物,
346s 在博望城后等候,
348s 待张飞军至,
349s 即可纵火。
351s 领命。
352s 弥方听令。
354s 在。
355s 你速去樊城召回赵云,
357s 令其率军为前步,
359s 与曹军交战之时,
361s 只可败,
362s 不许胜。
363s 遵命。
364s 主公。
365s 刘公。
366s 主公。
369s 刘备在。
375s 请主公率三千铁骑督战,
378s 并担任后援。
379s 遵命。
381s 请问军师,
395s 我们大家都出去杀敌了,
398s 你做什么?
400s 我嘛。
402s 镇守城关。
406s 我们在外面拼命,
408s 你却在这里坐地喝茶?
411s 好自在啊。
412s 主公建议接负于我,
416s 抗命者,
418s 斩。
419s 运筹帷幄之中,
422s 绝胜千里之外,
424s 抗命者,
426s 斩。
427s 众位将军,
433s 按我刚才的分派,
434s 速速行事。
436s 遵命。
437s 别照他说的做,
443s 我不应言,
444s 回来再算账。
445s 也罢。
446s 主公。
454s 请主公放心。
462s 主公今日便可去博王山下屯军,
465s 明日黄昏曹军必到,
467s 到那时主公就要弃婴而逃,
470s 逃得越狼狈越好,
472s 但见难免火起,
473s 回军眼杀。
475s 好。
479s 忘了告诉简庸孙乾了,
481s 让他们提前准备好庆功酒宴,
483s 并安排功劳部侍候着。
486s 军师啊,
487s 尚未开战,
489s 就准备庆功宴。
493s 提前准备嘛,
494s 免得到时不及。
496s 好。
500s 侯叔。
523s 公子,
525s 公子,
526s 荆州出什么事了?
529s 母亲病情越来越严重,
531s 我几次探望都被蔡师挡架,
534s 我已经十几天见不到父亲面了。
537s 这个蔡报究竟想干什么?
545s 蔡报和亲母整日关起门来密谋,
548s 蔡师主兄弟也全部到了荆州,
551s 他们必有不轨之举啊。
553s 侯叔,
554s 行事堪威,
556s 我在城中孤独无靠,
558s 无兵无勇,
559s 听侯叔设法救我。
562s 起来。
563s 贤侄啊,
570s 曹军将至,
571s 我这就要前去迎敌。
573s 再说,
574s 论制谋,
575s 我也远不及孔明。
576s 这样,
577s 你马上去找孔明,
578s 他定有妙计相救。
581s 我已经找过他了,
587s 可他说,
588s 我们是客居荆州,
591s 绝不介入荆州内部之争。
593s 如不愿设计,
594s 你也可以逼他出主意啊。
603s 这,
604s 如何逼?
607s 刘公子,
608s 先生大驾光临,
629s 寒舍蓬璧升辉。
633s 公子府绝非寒舍,
635s 区区在下,
636s 也没法令其升辉。
638s 无论如何,
639s 先生能到碧府来,
641s 在下莫大欣慰。
642s 公子招在下来,
643s 在下不敢不来。
645s 只是在下有言在先,
647s 如若谈及令尊病况,
649s 或者荆州争处夺位之事,
651s 在下不敢善意,
652s 只能立刻就走。
653s 请公子多多见谅。
655s 不谈不谈,
656s 我请先生来,
657s 只是想让先生
658s 观看一部上古兵书,
660s 并请教其中不解之处。
662s 如此便好说了。
663s 先生请。
664s 好。
665s 请问公子,
666s 是哪部兵书啊?
672s 六合阵法。
673s 六合阵法?
675s 不可能吧?
677s 这部兵书
678s 早在世上绝迹五百多年。
681s 封闻,
682s 他被楚香王埋于坟中,
684s 为他的父亲殉葬了。
686s 真是可惜啊。
688s 公子,
689s 你莫要夸我啊。
690s 不错。
691s 六合阵法
692s 确实埋进楚王墓里了。
694s 但这几百年下来,
696s 会不会被盗墓人挖出,
698s 又会不会流落在街巷书寺,
701s 更会不会被某位贵公子
703s 以千金购得,
704s 之后珍藏于高楼威阁啊?
708s 公子,
709s 你真有这本书吗?
711s 六合阵法
712s 就藏于此楼中。
714s 我一直觅不识人,
716s 但我读来读去,
717s 如读天书。
720s 无奈
721s 只好问先生一声,
723s 愿意赐教访。
725s 愿意,愿意。
727s 我还以为这辈子
728s 再也看不见这本书了呢。
730s 快请公子带我前去。
732s 请上楼。
734s 上楼?
735s 在下不才,
737s 却有缘分。
738s 今日就要大饱眼福了。
740s 先生慢行。
742s 先生,
743s 这边请。
744s 好。
745s 这便是六合阵法。
760s 精妙精妙。
766s 非一所思啊。
792s 先生。
793s 公子,
794s 你这是。
798s 才冒于金木河谋想害我。
806s 请先生设法救我。
808s 在下有言在先。
810s 若谈金木河谋,
814s 在下善不敢意。
816s 只会即刻离去。
818s 不敢设计相救。
820s 我只有思路一条了。
822s 公子,
823s 你听我言。
836s 我主公承刘鼎升厚恩,
840s 方能赞助兴隐。
842s 我若干涉金州敌数之争,
847s 不是给我主公惹祸吗?
849s 不敢,
850s 断断不敢啊。
851s 此处上不着天,
852s 下不着地。
853s 也不敢,
854s 也不敢,
855s 也不敢,
856s 也不敢,
857s 也不敢,
858s 此处上不着天,
859s 下不着地。
860s 有话,
861s 出先生之口,
862s 乳流其至耳。
863s 史上再无一人知道。
865s 非也。
866s 人世间没有任何事能够永久期满。
869s 若要人不知,
870s 除非己莫为。
872s 先生,
875s 我情愿坠楼生死,
883s 也胜过被才茂所杀。
885s 这部六合阵法,
901s 奉送给先生了。
903s 多谢公子。
907s 我已经不需要它了。
909s 六合阵法全篇三千二百余字。
912s 我早已滥熟于心。
915s 我可以背给你听听。
917s 第一阵,
918s 心阵。
920s 开篇便是,
921s 阵法源于心法,
923s 以心法御阵法,
925s 以无形御有形,
927s 犹如蛟龙御凤鸣。
930s 先生救我!
934s 我且问你,
943s 刘景生已不能亲政。
946s 荆州军政大权
947s 早已进我蔡茂手中是吗?
950s 是。
951s 蔡茂名为上将,
952s 其实蠢如屠夫。
