7s 我奉你为朝廷上将军,拜江宁侯。
168s 谢丞相。
169s 你久违水军统领,擅长水战。
175s 我令你为水师大都督。
178s 从今日起,你不光要提领原金周的水师,
183s 我还要把我的十八万水师也一并交给你。
187s 如此总共是三十六万人吧。
189s 我令你进驻江宁,训练水师战船,日后为朝廷建功。
196s 末将遵命。
198s 蔡茂是个卖主之徒,产妹之辈。
201s 封个侯也就罢了。
203s 丞相为何受他水军大都督重任?
220s 此人的中间我岂有不知。
223s 但是我们下一个目标就是江东。
226s 我觉得布齐号称天下无敌。
230s 但是周瑜的水师也号称无敌于天下。
235s 我担心我们的水师不是周瑜的对手。
239s 蔡茂擅长水战。
242s 我们如玉曲江东。
245s 必须让蔡茂为我们训练出一只强大的水师。
249s 我们必须让蔡茂为我们训练出一只强大的水师。
252s 我们必须让蔡茂为我们训练出一只强大的水师。
257s 这叫做,物尽其用,人尽其才。
262s 丞相高见。
268s 丞相有谕,召荆州次子刘从进见。
280s 臣刘从拜见丞相。
285s 刘从啊,你荆州总共有多少人马?
291s 丞相,臣有骑兵五万,步军十万,水军十八万。
295s 共计三十三万。
296s 臣还有钱粮数百万,大步屯于江夏。
299s 足可供应一年有余。
301s 你既有如此多的兵马,为何不战而降呢?
307s 虚之那刘备,兵马钱粮还不计你的十分之一。
315s 他还死战不降呢?
321s 哦,我知道你为何不战而降了。
328s 都是那蔡茂逼宫,对不对?
332s 是啊,丞相,丞相明见。
334s 蔡茂说战端一开,山河俱碎,不但祖业难保,就连我的性命也……
340s 诶,蔡茂说什么就甭管了。
343s 此人原本就是个卖主求荣之徒。
346s 毒啊,他为了自个儿的荣华富贵,不惜让荆州易主。
355s 刘从啊,照此看来你继续待在荆州实在是太危险了。
361s 因为那蔡茂肯定会谋害你。
367s 你想啊,她卖主卖了第一次,就会卖第二次,第三次。
375s 越卖,价越高啊。
378s 那,那我该怎么办?
381s 无妨,有我曹操在,我会保护你的。
387s 听着,你即刻就坐上我的车架,陪你母亲蔡氏一块儿前往许昌。
396s 从今往后,你们就和大汉天子一块儿住在皇宫里吧。
402s 你们都姓刘,又都是皇室血脉,住在一块儿多亲啊。
410s 丞相,你这是要把我软禁起来啊?
414s 你不是说让我做荆州刺史,永远体领荆襄九郡的吗?
418s 丞相,臣不想啊。
421s 没错,我是说过让你永远做荆州刺史。
426s 但是在许昌宫里,也一样可以做啊。
431s 这叫做身处龙宫,遥领荆襄。
437s 不一定非要待在荆州嘛。
439s 是不是?
441s 还有,那个荆州的官方大印,你戴上。
446s 它永远都是你的,你的!
450s 丞相!
452s 刘司师,请上车架。
456s 丞相,末将等已把新野城攻下来了。
479s 刘备水晕苍黄而逃。
482s 攻下来是好事啊。
484s 我怎么看你们好像丢了魂似的?
487s 丞相,朱改亮在新野布下火阵。
492s 我军入城之后,正在做饭。
495s 城外射入火箭,立刻大火冲天。
499s 我等率军出城避火。
502s 又在柏林渡遭遇大水。
505s 官与赵云张飞,趁我军被水淹,群起而攻。
509s 我等奋力血战,才把他们击退。
513s 什么又是火又是水的?
515s 赵师说吧,蛇了多少人马?
518s 大约,大约三五万。
521s 那就是五万了?
525s 刘备呢?
527s 率军逃往江夏了。
529s 江夏?天哪!
532s 刘齐正在那里驻军。
540s 荆州的钱粮多半都在那里。
542s 孔明河等人物。
544s 只要有钱粮在手,他马上会变出十万精兵来。
550s 丙丞相,据报。
553s 刘备逃往江夏时,带上了新野城里的所有百姓。
557s 估计大约有一二十万人。
560s 末将以为他们日行不过三四十里。
563s 这才是你们该说的!
565s 寻玉。
566s 在。
567s 江夏距此有三百多里吧?
569s 三百六十五里。
571s 如果派铁骑近旅,三日内定可追上。
575s 丞相!
576s 末将愿领军追下!
578s 不用!
580s 这是千载难逢的战机。
583s 我要亲自出马。
585s 听着。
587s 你们各自回步。
589s 准备好五千铁骑子。
591s 是。
592s 这一回。
594s 我一定要杀了刘备。
596s 斩草除根!
599s 我以爱民为指导。
601s 万不了,竟害了苍生百姓。
606s 我们昨日行径了二十八里。
644s 今日只行径了十余里。
646s 如此赶。
652s 十天半个月都到不了江夏。
655s 曹操带着刘备到江夏时。
658s 这次我必须杀了刘备。
660s 江夏。
662s 曹操大军就在身后。
664s 我估计两日间便能赶上。
674s 放弃百姓。
676s 率将士急速前进。
690s 但炮射百姓。
696s 圣军者既要依赖百姓也不能被百姓所违。
699s 否则主攻就是因小失大。
701s 其结果既毁了百姓也毁了自己。
710s 大难临头之路。
714s 人们总是投亲人而去。
718s 百姓跟随于我。
720s 是把我当成他们的亲人了。
721s 历代君王君以为
727s 大业以江山为本。
730s 但我始终相信
732s 大业者百姓
736s 只要万民归心
738s 江山早晚会有。
740s 如果今天我一旦弃民逃生
743s 我刘备从此身败名裂
746s 一无所获就算跟百姓一块死了。
754s 主攻一言阵容发愧。
760s 在下惭愧。
762s 军师
769s 关于这辈子只敬三者。
772s 其一是天
774s 其二是地
776s 其三是我大哥刘玄德
778s 我大哥的人意之心
780s 与天同高与地同果。
787s 我现在才明白
789s 为何你们三兄弟
791s 饱受磨难却能够百战不倒
794s 敬拜。
797s 你就不必劝了
798s 赶路要紧
801s 如此缓缓而行
802s 终究不是办法
808s 你有什么更好的办法
811s 有
812s 关将军
815s 请你飞机赶往江夏
816s 请刘齐发兵至江津部
818s 前来接引
820s 因为曹操大军
821s 不只是冲着主攻
823s 他更想夺取江夏
825s 江夏之危不次于主攻
829s 刘齐来主攻贤职
830s 知晓厉害
831s 定会清晨发兵
832s 助主攻抗草
835s 好计呀
837s 不过
838s 曹操大军不远
840s 我岂能离开兄长
842s 快快脱离险地
843s 才是救主攻最好的办法
846s 关将军的赤兔马日行千里
848s 天下任何战棋都不如他
851s 你半日之内便可到江夏
853s 因此非你莫属
855s 待我问过兄长
859s 不用问了
860s 去吧
863s 遵命
1097s 青釭剑是曹操的配件
1099s 你是何人
1100s 我乃曹丞相的配件将军
1101s 夏昏
1103s 贼将
1104s 拿命来
1105s 去告诉曹贼
1131s 赵云早晚用这把剑
1132s 削下他的头颅
1133s 陶曹亲率数千铁骑
1159s 追杀而来啊
1161s 曹军来得太快了
1162s 主攻上马吧
1163s 听令
1164s 随我出战曹军
1165s 是
1167s 子龙呢
1168s 子龙保护夫人
1169s 在后面赶路护路
1170s 不是啊主攻
1172s 刚才我看见夫人的车
1173s 倒在路边
1174s 夫人已经失踪了
1175s 子龙
1176s 子龙他
1177s 他
1178s 他降曹了他
1179s 不可能
1180s 千真万确啊主攻
1182s 我亲眼看见赵子龙
1183s 投西北而去啊
