26s 刘将军
27s 军师
29s 如今曹操生势滔天
31s 早晚必会向江夏用兵
34s 他现在没来
36s 只是水失不济 战船不足
38s 待他一切准备完毕
40s 江夏断然不是齐天
44s 依军师意思 如何是好
48s 不如投靠江东
49s 与孙权联手抗曹
54s 江东文武昌盛
56s 英雄人物极多
58s 岂能容我等
61s 我看未必
64s 曹操现在已是隔江而忘了
66s 金戈铁马生生在耳
69s 此时此刻江东少主孙权
72s 恐怕比主公更加坐卧不明
76s 主公已经战败
78s 再战只是败上加败而已
81s 而孙权则不然
83s 他除了胜败之外
84s 更有生死之嫌
86s 明摆着
87s 曹操必会跨江而过
89s 夺他机应
90s 只有孙柳联手抗曹
92s 方能有胜机
100s 禀将军
101s 江东有使者前来
103s 为先主公刘表调丧
104s 江东使者
106s 为我父亲调丧
109s 奇怪
111s 怎么
112s 军师记得吗
113s 十年前
114s 孙权的父亲孙涧
116s 被我荆州部下乱箭射死
118s 江东与我荆州有杀夫之仇啊
121s 十年来我两家只有刀兵相见
123s 从没有胡同过喜丧啊
127s 明白了
129s 主公啊
130s 江东使者是冲着你来的
135s 何意见得
137s 明摆着
139s 江东使者以调丧为名
140s 前来向主公
142s 打探曹操军情
143s 我们不是刚刚
144s 与曹操激战过吗
146s 不错
150s 时机已到
152s 大势可期
154s 我愿借一夜小舟
156s 随此人过江
158s 拼过三寸不烂之舌
159s 说服孙权与我们联手抗曹
162s 在万里长江间
163s 激起一场空前绝后的南北大战
166s 如孙权胜
168s 主公可乘势取荆州
170s 如曹操胜
171s 主公可乘势取江东
172s 成千秋霸业
181s 到这个时候了
183s 你还想着霸业
187s 恕我直言
189s 所有的千秋霸业
191s 都是在山穷水静时开始的
193s 我们已度过最危险关头
196s 此时此刻
197s 除了向上这颗头颅
199s 已经没什么能让我们再失去的了
202s 只能天天向好
203s 争争日上
208s 佩服
210s 江东来是何人
212s 他说
214s 他是将军府参军
216s 名叫鲁肃
217s 鲁肃
218s 吴子敬
222s 孙权竟派此人来探引
225s 恐明你识得此人
227s 不
228s 但此人大名
230s 我早已听兄长朱阁锦说过
233s 主公啊
235s 在江东文武中
236s 武将之首非周瑜莫属
238s 文臣之首
239s 当属老臣张昭
241s 除此之外的第三人
243s 便是鲁肃了
245s 据我兄长说
246s 今后能够领袖群贤的
249s 只怕还是这个鲁子敬
251s 鲁子敬是才华
256s 竟在你兄朱阁锦之上吗
260s 我兄长在江东群贤中
263s 只能排在二十名以外
267s 我且这么说吧
269s 周瑜是何等的巨傲啊
271s 天下没几个人能让他瞧得上
274s 但周瑜这辈子只推荐过一个人
277s 那便是鲁肃
279s 孙策去世第三天
281s 鲁肃才被周瑜推荐给孙权
283s 那小的从那以后
284s 整整一个月
286s 孙权与鲁肃十则同席
288s 请则同事
289s 朝夕不离
290s 相待如恩师
294s 在那些日子里
295s 他们谈论些什么
296s 无人知道
298s 只晓得从此以后
300s 刚刚继位的少主孙权
302s 变得焕然一新
304s 言谈举止中
305s 已有了三分帝王之气
308s 江东派这等人物为使
311s 非同小可
317s 快随我出营鲁肃
318s 偶闻刘皇叔大名
344s 今日幸得相会
347s 子敬远道而来
348s 我们有失远迎
350s 请恕罪
350s 岂敢岂敢
353s 请
366s 刘公子
368s 我家主公得知刘景升先师
371s 痛不能眠
373s 特派我专程前来
375s 治丧吊宴
376s 些许公务不成精
384s 贵主公与我荆州有杀父之仇
387s 我父亲去世
389s 贵主公应该欢喜才是
390s 怎么可能痛不能眠呢
393s 再说
395s 又为何亲自请阁下前来吊丧
400s 因为
402s 刘景升如果不死
404s 曹操不敢犯荆州
407s 景升一死
408s 非但荆州沦陷吧
410s 我江东也是危在旦夕
415s 所以
416s 我家主公当然要为刘景升之死
419s 痛不能眠了
424s 至于派我来吊丧吗
427s 那是因为
429s 我要借吊丧之名
431s 探一探曹军的虚实
434s 顺便看一看
435s 你们还有没有能力抗击曹军
440s 了不起
441s 一开口便是大实话
445s 这位就是诸葛亮吧
449s 顾明兄
450s 在下久仰了
455s 风闻已足智多谋能言善辩
458s 单凭一条肉舌头
460s 也能够杀人
461s 不耐在下嘴拙
463s 在你面前只好是句句实话
467s 好在千言万语
469s 也不如实话管用啊
473s 敬佩敬佩
475s 岂敢岂敢
482s 那就恕我句句实话实说了
489s 六皇叔
490s 请问曹操现在有多少兵马
494s 其战里究竟如何呀
500s 惭愧惭愧
502s 我兵为将管
503s 闻曹军而来
505s 掉头便走
506s 竟也不清楚曹操
508s 到底有多少兵马
511s 六皇叔是在欺瞒老师
516s 子敬啊
518s 都是我的错
519s 是我让主公推托不严的
522s 那我就要问你了
526s 空明
527s 曹操到底有多少兵马
531s 其战里究竟如何
534s 去荆州之前
536s 曹操就有步军二十万
538s 马军六万 水军十八万
540s 去荆州后
541s 约增长三十万
543s 共计七十余万
545s 至于战力嘛
547s 挟大胜之师
548s 风头正劲
551s 敢问
552s 曹操下一步
554s 愈与何谓
555s 愈与何谓
558s 跨疆而过
560s 攻取江东
561s 一统天下
566s 那你们接下来
569s 又打算何去何从呢
577s 苍吾太守
578s 与我家主公有救
580s 万不得已之时
582s 我们可投靠苍吾
587s 苍吾乘小兵弱
589s 断不可休守
592s 我江东六郡之地
594s 天险民风 兵精良品
597s 我主公又极其爱贤
600s 你们为何不投江东
606s 联合抗草呢
610s 紫禁
611s 你方才说什么
614s 孔明啊
616s 当下之计
617s 除了孙刘联手之外
619s 你我两家
620s 还有别的活路吗
634s 紫禁所言
635s 真如大汉将干你了
641s 你们谁愿意过江东
644s 与我去见我家主公
649s 我
652s 我随你过江
658s 甚好
661s 丞相有令
663s 召各部文武上堂听证
681s 刘备已逃往江夏
685s 与刘齐合军一处
688s 坚守不成
691s 些许残敌不足为虑
694s 合律者
696s 是刘备与孙权联手
698s 共同抵抗朝廷大军
704s 本相思考再三
708s 决定
710s 休整三个月
712s 待春暖花开
716s 河西化冻
718s 及挥施百万
720s 一举跨越长江天嵌
722s 拒间孙刘
724s 遵命
725s 遵命
727s 此役
729s 当是我一统天下的
732s 最后一战
734s 也是成就千秋霸业
737s 万载流明的一战
740s 而且
742s 也是盛券在握的一战
