5s 孔明啊,你这是何意啊?
8s 兴儿我主动大怒了。
11s 否则,必置你谢主之罪。
15s 都走了好啊,空气为之一心。
22s 紫禁啊,真正藐视吴侯的人不是我,是曹操。
28s 我自有破敌良策,但吴侯不问,我只能憋在心里。
32s 憋得我好不难受。
42s 你在此坐着,我去去就来。
44s 孔明辱我太甚,我不忍诸客,让他自行离去吧。
63s 我刚刚已经斥责过孔明。
69s 可是,可是他说,我是曹操的百万雄兵,如地上的裙椅。
77s 只需举手之劳,裙椅皆成鸡粉。
81s 孔明胸中有破敌良策啊。
88s 不,孔明刚才是故意击我,他口口声声劝我想。
100s 恰恰是担心我想。
103s 张氏,且问他高论。
110s 明公啊,曹军将士多出自北方,进入江汉之后便水土不服,多生急患。
125s 曹军的战力需折去两三成。
128s 其次,曹军长途进军,披星带月攻城霸占。
133s 其事已成强弩之末,战力又需折去两成。
138s 第三,曹军大胜之后都是骄兵,而新增的军队多是京乡兵用将士。
146s 他们愤恨曹操是其旧主,毁其家园,强暴其妻女。
150s 这些将士,人虽然扶手归草,其心不服。
157s 如此算来,曹操一半是骄兵,一半是心怀不满的愿兵。
163s 战力又需折去两成。
165s 再其次,攻伐江东主要靠水战,天下水军首属江东。
171s 曹操在洞庭大造战船,但须知战船是需要水军来降。
178s 曹操能在数月间建造出巨大战船。
182s 却不能在数月间训练出骁勇善战的水军将士。
186s 练水军比造战船困难多。
190s 而东吴的水军将士,个个都是身经百战,以静带动。
196s 此者,曹军的战力再也需折去两三成。
201s 综上所记,曹操号称的百万大军,民工只可视作一成左右的战力,而且是含笑观之。
210s 一成者不过十万上下。
214s 孙柳两将的精兵猛将,战船水势合力破曹,那岂不是如鸡鸡粉?
223s 听君一言,茅塞顿开。明日起,计召江东文武,商议起兵。
231s 遵命。
233s 先生,请。
236s 请。
237s 师叔?
264s 你这是?
272s 主公。
275s 你中了苦民的奸计啊。
279s 曹操最恨的人不是你,而是刘备。
285s 曹操视刘备如心腹大患,如猛禽恶兽。
291s 因此他才在战表中谁也不提,独提刘备。
296s 并要与主公会列于江东。
299s 既是会列何为猎物,又是刘备。
304s 刘备身陷绝境,眼眼待毙。
309s 他唯一的办法就是用我江东将士来救他自己的灭顶大祸呀。
317s 主公。
318s 我唯一的办法就是用我江东将士来救他自己的灭顶大祸呀。
335s 主公如能救的成,倒也罢了。
339s 但事实上是救不成的。
342s 反倒把我们江东也拖进灭顶之灾呀。
347s 请主公三思。
350s 全儿。
368s 母亲?
373s 这都二更了,你怎么还不睡啊?
375s 你不是也没有睡吗?
378s 这种时候,还不知道有多少人睡不着呢?
384s 你说得是。
385s 全儿。
387s 你忘了你兄长的临终遗言吗?
391s 哪句遗言?
394s 内事不绝问张昭,外事不绝问周瑜。
400s 儿字字拥计,绝不敢忘。
403s 那曹操来宫是内事还是外事?
408s 外事也是外患。
411s 那你何不招周瑜一举?
414s 母亲,儿不用招他。
420s 儿料定周公瑾现在正在星夜兼程地赶回来。
425s 他到此后,就连他要对我说些什么,儿也大致知道。
431s 可儿所担心的,并不仅仅是湛羽湘啊。
438s 那还有什么?
439s 分裂。
440s 我江东文武,如果一半主湛,一半主湛的话,
454s 那江东岂不要分裂了吗?
458s 而如果想不出个法子,让江东文武同心同德的话,
463s 多这个江东之主。
470s 有你这句话,我放心了。
477s 你父兄的在天之灵,也该放心了。
482s 我可以睡觉去了。
488s 都督,
518s 禀都督,张昭,顾庸,布置,薛从,四位先生拜访。
524s 这深夜回府,本不想惊动任何人。
527s 可他们还是来了,客厅奉茶。
532s 诺。
533s 那位前辈不必起身,周瑜公听教诲。
543s 可知道江东大祸临头了吗?
558s 在下刚刚回府,还一无所知。
565s 曹操拥兵百万,欲与主公会列于江东。
571s 我等为大局计,劝主公归降曹操,以避江东水火。
578s 不料卢子敬,请来刘备的军师朱葛亮,
583s 挑拨主公占曹操,以救他们自己的灭顶之灾。
588s 都督在江东,可谓一言九鼎。
592s 明日主公必问都督的战何之策。
597s 因此我等就连夜前来,让都督知道我等的主张。
604s 君等,也都是这个主张吗?
610s 都是。
613s 诸位前辈,都是我江东的栋梁历主。
617s 君等主相,更是为苍生子民所想。
621s 周瑜暂止了,列尉请先回。
626s 明日我见主公自有定义。
629s 告辞了。
640s 先生,慢走。请。
642s 评督督,成普黄盖、周太祖猫四位将军前来拜访。
664s 快请他们进来。
666s 遵命。
670s 周瑜刚刚回府,未及远迎。
672s 大都督。
673s 列尉将军请上座。来,请。
675s 督督,你可知道,江东要改天换地,落进曹操之手了吗?
688s 还不止。
690s 随孙千将军举兵起驾,三十年下来,大大小小数百战,才创下江东六郡。
702s 可如今,少主公却轻信那帮谋士之言,居然要投降曹操。
710s 我等是宁死不降。
714s 你是督督,明天要极力劝说主公,举兵抗曹,拒不降曹。
721s 几位将军都与德谋将军同词主张吗?
729s 我江东有断头将军,绝无降曹将军。
734s 我等宁死不降。
736s 在下早就想与曹操一战,绝不投降。
742s 列尉将军请回,明日我见主公自有定义。
746s 好。
747s 督督留步,督督留步。
760s 将军请慢走。
761s 禀督督,诸葛瑾,吕范,陆继,吕藩四位先生拜访。
784s 请他们进来。
785s 遵命。
786s 客厅摆茶。
787s 诺。
788s 先生们请上座,周瑜公听教诲,请坐。
809s 督督啊,诸葛亮前来向主公游说,提议孙柳两家联手抗曹。
831s 文武门对此也是争执不下。
839s 何况,诸葛亮是我的胞弟,所以我也不便多说什么。
847s 此间难处,还请督督见谅。
850s 这我理解,但是先生如果有话,在我这儿但说无法。
860s 见而言之,祥者一安,战则不保。
873s 列位也是这主张吗?
881s 我等皆是。
883s 我等皆是。
884s 明日同见主公,自有定义。
887s 那好,我等告辞了。
892s 先生慢走。
893s 督督请留步。
895s 先生慢走。
896s 督督留步。
897s 报!
906s 丁凤四位将军前来拜访。
908s 进来吧。
909s 遵命。
919s 大都督,大都督。
921s 说吧。
922s 末将不想来打扰大都督。
927s 但是听说那些先生纷纷跑来这里。
936s 末将也不得不为众将士表达一下心愿。
944s 说。
945s 当然是死战不祥。
947s 明日会见主公,自有定义。
951s 末将告辞。
952s 这不该来的都来了,该来的却没来。
966s 报!
967s 宾都督,参军鲁素陪同朱葛亮前来拜访。
999s 书房百查。
1001s 遵命。
1002s 公瑾啊,这是你的书房吗?
1008s 是。
1009s 那为何不借一卷书啊?
1037s 是。
1039s 是。
1040s 那为何不借一卷书啊?
1044s 我读完一卷烧一卷,全部读完则全部烧尽。
1051s 因此书房无书,徒有私避。
1056s 公瑾此言,在下听来倍加亲切。
