129s 这是谁啊?怎么睡到我踏上来了?
133s 大都督,请故人蒋干同踏而面。
136s 果然是子宜。
154s 喝醉了喝醉了。
157s 万万不该喝醉啊。
159s 也不知道说什么梦话没有。
170s 你神经半夜的唤我何事啊?
173s 江北有人到此。
303s 夫人。
304s 先生,上哪儿去啊?
306s 在下正准备回江北。
308s 大都督知道吗?
311s 大都督酒醉未醒,在下不忍惊动他。
315s 那怎么成?先生是大都督的旧友。
318s 他应该亲自相送才是啊。
320s 先生稍后带我回禀大都督去。
323s 夫人且慢。
327s 夫人啊。
329s 恭敬好意,待在下疾后。
332s 昨夜,在下平生未有如此大罪。
337s 如果恭敬得知我走,定然会强行挽留。
341s 那岂不是又要醉得天崩地裂吗?
344s 所以在下寻思,除了不辞而别,
348s 实在是没有别的办法。
350s 还请夫人见谅。
353s 既然如此,那我就不禀报大都督了。
357s 多谢夫人,在下告辞。
361s 先生且慢。先生你是客,
366s 岂能让你自行驾舟。
369s 带我回去叫两位军士送你回江北。
372s 万万不可。
374s 为何呢?
378s 夫人,
380s 时下,东吴玉曹丞相正处于交战状态。
385s 我是担心这江东的军士到了江北
388s 只怕多有不便呢。
392s 先生说得是,那我就只好不送了。
397s 夫人告辞。
399s 日后再来啊。
412s 走了。
415s 走了。
418s 多谢你啊,小巧。
419s 你看太阳快升起来了。
435s 好像专为你我而升起来了。
451s 禀丞相,参见蒋干回来了。
453s 回来,回来,回来。
457s 丞相。
458s 来。
461s 蒋干,事情办得如何?
465s 在下惭愧,没能说动周瑜。
471s 看来我根本就不应该叫你去做这个说客。
475s 此事不成,反遭周瑜耻笑。
480s 不过丞相,在下虽然没能说动周瑜,
483s 却为丞相取得了一件天大的机密。
486s 什么机密?
488s 丞相请看,请不要动怒。
493s 凯尔纳。
504s 在。
505s 你各叫蔡茂张云来见我。
508s 诺。
509s 丞相,末将奉命呈见。
524s 蔡茂,我让你调练水军,你调练得如何了?
531s 禀丞相,各营上下正在日夜苦练,
534s 骑号、弓弩、巨弦书。
537s 但船阵之间的互相协调及其水面战法还不熟练,仍需时日。
543s 等你熟练了,我的头颅也就挂到江东了吧。
548s 末将不明大事。
549s 天谕他听。
553s 禀大都督,茂等降曹,实属无奈。
559s 今日得知,曹操攻去江东之后,吐死狗烹。
563s 罢免茂等荆州降临,永不再用。
566s 茂等既恨且愧,痛不可当。
569s 茂等已决定将功折罪,投效江东吴侯。
572s 如今,曹操水军已在我掌握之中,
575s 水上银寨未已暗流破绽。
578s 交战时,大都督只需从西北方击入船阵,
581s 那江北营寨便会随之崩坏。
584s 事实,茂碧驱使取下曹操首级,陷于吴侯。
589s 不!
590s 带出去!斩了!
591s 诺!
592s 若不,丞相,丞相,丞相!
595s 这是奸计!
597s 丞相!
598s 这是奸计啊,丞相!
600s 丞相!
601s 丞相!
602s 冤枉啊!
603s 我忠心耿耿为丞相灭兵!
611s 你听信小人缠言!
613s 那是小人使出的奸计啊!
617s 丞相!
624s 禀丞相,蔡茂张云已被斩首。
626s 将蔡茂张云的首级
640s 传递水军各营,并宣布其通敌大罪。
646s 遵命!
647s 于晋、老介。
662s 末将在!
664s 末将在!
665s 你二人曾经提领过新许水军,
672s 说你二人担任正副都督,
676s 重整船阵,重新布防。
680s 领命!
681s 领命!
688s 启禀丞相,末将有一建议。
691s 你说!
694s 将我北军将士大刀善于弓马刀剑,
698s 却不善于周击。
700s 他们登船之后烧于风浪,便会晕船,
703s 不利于交战。
705s 末将建议将所有战船用铁索连为一体,
710s 使船体困入陆地,既抗风浪,又稳如城池。
715s 军士登船交战,便可大战神威。
719s 好主意!
720s 你们看,蔡茂她就偏偏不肯这么做。
727s 现在你们明白了吧,她确实是个奸贼。
733s 于敬,你即刻上任,改舰船阵。
740s 遵命!
741s 通敌被丞相处死,公子这是为何?
769s 不,蔡茂将军无罪,是被周虞害死的。
777s 蔡将军为国捐躯,功垂古今。
782s 二位叔伯啊,我实话相告,
793s 丞相为此正悲痛万分。
796s 他虽然不便亲治,却特令我以子之身份前来拜祭守灵,
806s 以消除丞相内心之悲痛。
809s 公子,这到底是怎么回事?
813s 那封密信是周虞伪造的。
822s 丞相已是失察,挫斩了蔡茂将军。
829s 此刻丞相的心里,真是追悔莫及,痛不可挡啊。
835s 现在,他已经秘密地除斩了蒋干。
842s 一位蔡茂将军,深冤。
851s 我还要恭喜二位叔伯。
861s 恭喜我们。
872s 丞相已尚造天子。
875s 赤峰蔡中为湘中侯,
882s 赤峰蔡和为新野侯。
886s 并拜两位叔伯为中军将军,
890s 各赏黄金一万两。
894s 谢丞相大恩。
897s 丞相还说了,
900s 如果二位可为朝廷建功的话,
903s 丞相还会重重地升上二位。
906s 请公子吩咐,
911s 我等如何才能建功?
914s 炸降。
919s 炸降?
920s 正是。
921s 如果你们现在投往江东,
925s 必定能够得到周虞的信任。
927s 为何?
928s 因为丞相斩了你们的亲哥哥蔡茂。
932s 你们对丞相恨之入骨。
936s 你们投往江东,
939s 也是为亲哥哥复仇吗?
943s 你们应该明白,
951s 真正杀害蔡茂将军的,
954s 并不是丞相,
957s 而是周虞。
959s 你们炸降过去之后,
963s 趁肩行事,
964s 助丞相除掉周虞。
966s 同时,
967s 二位叔伯,
969s 也为自己的哥哥报仇雪恨。
972s 请问,
973s 我都愿意。
980s 好。
981s 我这就回禀丞相,
983s 以消除丞相之心头悲痛。
986s 丞相大恩。
987s 高山流水,
1063s 一身情长。
1065s 琴宵相伴,
1068s 如闻天籁。
1071s 我紫荆,
1072s 真是要醉了。
1076s 先生取笑了。
1078s 紫荆,
1079s 何事?
1080s 恭喜大都督啊。
1084s 反奸计大功告成了。
1087s 刚才接到谈报,
1089s 说江北曹营市一片哗然。
1092s 蔡茂已经被曹操斩首了。
1095s 又伤将军余金,
1097s 前军赴江茅界,
1099s 既然水势正负都督。
1101s 好啊。
1103s 没想到我这区区一道反奸计,
1107s 借蒋干为使,
1109s 竟然有这等奇效啊。
1112s 是啊。
1113s 大都督的谋略,
1114s 真是神鬼莫测啊。
1116s 蔡茂本是我江东水势的大患。
1120s 她这一死,
1121s 曹操水势的调炼和指挥,
1123s 必定是大打折扣。
1126s 如此,
1127s 曹军必败。
1129s 我知道计谋,
1137s 估计他人看不出奥妙。
1139s 却不知聪明绝顶的朱可亮,
1144s 能否闻出她的味来。
1146s 紫荆,
1147s 劳你替我去探探她的口风。
1154s 空明也不过是凡人而已。
1162s 恐怕未必看得出其中的奥妙。
1165s 我前去一探。
1167s 紫荆,
1170s 恭喜恭喜。
1174s 喜从何来啊?
1176s 恭景时反奸计杀了蔡茂,
1179s 猜紫荆来探我口风,
1181s 看我知与不知,
1182s 便是这事可喜啊。
1185s 空明,
1186s 你是如何知道的?
1188s 蔡茂的死讯一传来,
1190s 我便猜出定是恭景所为。
1192s 不过,
1194s 这等计谋只能瞒得过奖干之流。
1197s 曹操虽然一时不查,
1199s 但早晚都会看破的。
1201s 只不过曹操不肯认错罢了。
1204s 有道是曹阿满知错改错,
1208s 不认错。
1210s 空明啊,
1211s 还有一事。
1212s 你知道蔡茂死后,
1214s 是谁继任了水市都督吗?
1218s 我刚才不是说了两个恭喜吗?
1220s 这第一次恭喜是为蔡茂。
1222s 这第二次恭喜,
1224s 就是为于敬毛介接任水市都督。
1227s 在这两个莽夫手里,
1229s 必送了曹操水市的信。
1233s 紫禁啊,
1234s 待会儿回见恭景时,
1245s 千万别说我看破了他的妙计啊。
1247s 你一定要说我一无所知。
1250s 拜托,
1251s 拜托了。
1253s 越是聪明无比之人,
1255s 越要假装愚昧啊。
1257s 如此,
1259s 能让恭景快乐一些,
1262s 自豪一些。
1264s 恭景心情好了,
1266s 对孙柳联手才大有助矣。
1268s 若是他心情不好,
1270s 我就要跟着倒霉了。
1272s 紫禁切记,
1274s 切切不可直言。
1276s 明白。
1277s 紫禁,
1280s 大都督,
1302s 见过孔明了。
1316s 他看出我的反间计谋。
1318s 我很想说,
1323s 他没看出来。
1325s 可是,
1326s 可是孔明把一切都看出来了。
1331s 而且在我刚进门的时候,
1333s 他就看出,
1334s 我此行是去探他的口风。
1337s 此人绝不可留,
1338s 必须展示一出后患。
1347s 恭景呢,
1351s 还帮你以抗曹大局为重,
1354s 万不可一意孤行啊。
1356s 放心,
1357s 我自然会依法办事。
1362s 叫孔明死而无怨。
1365s 依法办事,
1367s 敢问,
1368s 你所依何法呀?
1370s 军法。
1371s 主公立下七禁令五十四斩,
1373s 任何人都必须遵行。
1378s 违法者自我以下,
1380s 也包括我,
1381s 都可以政府。
1382s 自家的嬴泪梨,
1389s 竟也是杀鸡四伏啊。
1409s 我既不能让周瑜杀了孔明,
1411s 因而毁了孙刘联盟,
1413s 也不能逆着公金保护孔明,
1416s 因而激怒镇前主帅。
1420s 几何孔明之间的争斗,
1425s 只怕比这江上之战更加激烈。
1429s 我夹在这两个绝世英才中间,
1435s 如何行事做人呢?
1438s 孔明啊,
1455s 这天时转暖,
1457s 春水泛滥,
1458s 我料不日即将开战,
1460s 到时你定要助我啊。
1463s 大都督不必客气,
1465s 你我孙刘两家,
1467s 早已生死与共,
1468s 荣辱同舟。
1469s 主公吩咐过我,
1470s 军中任何事,
1472s 在下都要遵奉大都督军令。
1475s 好,好。
1478s 你看,
1479s 这水上交战,
1481s 当以何种兵器为先呢?
1484s 大都督乃天下名将,
1486s 游善水战,
1487s 何必询问在下呢?
1489s 你且说来。
1493s 禀大都督,
1496s 水上交战,
1497s 双方当以弓箭为先。
1500s 先生所言,
1501s 圣和兵法呀,
1507s 可如今,
1509s 我军中缺少箭弩,
1512s 我想劳请先生
1513s 兼造弓箭十万支,
1514s 用于水上制敌,
1516s 盼先生不要推辞才好。
1519s 大都督军令,
1520s 在下自当遵奉,
1523s 只不知这十万支箭,
1525s 大都督何时要用呢?
1527s 先生十日之内,
1532s 可以办完吗?
1534s 大战已迫在眉睫,
1539s 也随时可能交兵,
1542s 如再拖延十日,
1544s 岂不一物战机吗?
1551s 那先生估计几日可以办完?
1553s 只需三日。
1560s 军中无戏言。
1562s 在下怎敢戏弄大都督,
1565s 诸葛亮愿当众立下军令状,
1569s 如三日之后,
1571s 造不出十万支箭,
1573s 军法受处。
1575s 取文书来,
1576s 让孔明画押。
1577s 不过,
1578s 今日已经来不及了。
1580s 明日算是第一日。
1582s 待三日后半晚,
1583s 有事证。
1584s 请大都督着五百军士,
1586s 来江边搬箭。
1588s 好。
1592s 孔明啊,
1593s 我讨杯茶吃吃啊。
1595s 子敬啊,
1596s 你害死我也,
1597s 害死我也。
1599s 这倒怪了。
1600s 这第一,
1601s 不是我令你造箭。
1603s 第二,
1604s 不是我逼你画押。
1605s 我怎生害你了?
1607s 再说,
1608s 在下区区俗物,
1609s 怎生害得动神机妙算的卧龙先生啊?
1613s 子敬不必挖苦。
1614s 你害我不是今日,
1616s 而是在三天前就把我害了。
1618s 三天前我怎生害你了?
1621s 三天前,
1622s 恭井社反奸计杀了蔡茂,
1624s 差你来探我的口风。
1626s 我再三叮嘱你,
1628s 千万不要告诉恭井,
1629s 我看破了他的计谋。
1631s 而你,
1632s 肯定告诉周瑜,
1633s 我看破了他的计谋。
1635s 是也不是。
1638s 恭井当面问我,
1642s 我,
1646s 你知道我这辈子是从无谎言的。
1649s 我就,
1650s 早知说了实情。
1652s 你看看,
1653s 祸有此生。
1655s 恭井嫉妒我才是过人,
1658s 担心日后成为东吴大害,
1660s 今日,
1661s 当着众将的面逼我造箭。
1663s 我不接令吧,
1665s 有失体面,
1666s 日后无颜在此立足。
1668s 可我如果接令吧,
1670s 又会落入他的陷阱。
1672s 子敬啊,
1674s 你做的孽呀。
1677s 你们二人斗法弄得是水火不容,
1680s 把我鲁素夹在中间,
1682s 我是好不难过呀。
1684s 好好好,
1685s 废话不说了,
1687s 你做下事来,
1688s 你也得救我一救。
1690s 否则,
1691s 我如果死了,
1692s 孙柳联盟也就崩溃了,
1694s 曹操必娶东吴,
1695s 独成罢野。
1697s 这一劫,
1699s 我自然是明白的。
1701s 但不知,
1702s 我现在如何能救得动你呀?
1705s 借我二十条快船,
1712s 每船三十军士,
1713s 船上以轻步为漫,
1715s 各速草人千余个,
1717s 立于船险两侧,
1718s 我自有妙用。
1723s 敢问,
1724s 有何用处啊?
1726s 子敬,
1727s 恕我现在不能告诉你,
1729s 免得你在公警面前又为难了。
1732s 日后,
1733s 我一定重重相信。
1735s 不必言谢,
1737s 也罢,
1738s 快船与军士,
1739s 我替你准备好了就是了。
1741s 茶,
1742s 也等你准备好了再喝。
1745s 这么急,
1746s 那就,
1747s 公警不如从命了。
1749s 好。
1750s 子敬,
1756s 借船之事,
1757s 万万不能让周瑜知道,
1759s 否则我必死无疑,
1761s 而且,
1762s 生生是被你害死。
1763s 好了好了,
1764s 放心放心,
1766s 这回我是万万不敢再说了。
1768s 那就好,
1769s 第三天某时出客,
1771s 你到我这儿来,
1772s 我们俩一起去取剑。
1775s 遵命。
1777s 夫君,
1803s 才三今天,
1804s 你为何就起身了?
1806s 不瞒你说,
1810s 今天是第三天了,
1815s 正是诸葛亮应该复命,
1817s 交纳那十万支剑的日子。
1819s 我苦思冥想,
1822s 也想不出来他如何能打造出十万支剑。
1827s 你管他做甚,
1830s 他若交不出,
1831s 自有军阀处置。
1833s 莫非还斟斟了他,
1837s 他即使交不出来我也未必杀他,
1840s 我只想折辱他一下而已。
1844s 既然如此,
1847s 夫君为何这么苦恼啊?
1850s 我是在想啊,
1851s 小乔,
1857s 诸葛亮既然硬撑下十万支剑,
1860s 他必是有恃无恐,
1861s 别有用心,
1862s 但他究竟有何用心,
1865s 又只被如何弄到那十万支剑。
1869s 我却是怎么也想不出来,
1871s 我身为江东大都督,
1878s 统领江东半边天下,
1880s 如果连诸葛亮的用心我的财不破坏,
1884s 有何脸面统掌大军,
1886s 真是枉为我咒语啊。
1891s 空明啊,
1914s 你这是要带我到哪里去啊?
1920s 去取剑哪,
1922s 子定兄,
1924s 切吃杯茶。
1948s 据曹丁水代,
1949s 一步足一箭之遥啊。
1950s 好,
1951s 夏毛,
1952s 将船一字排开,
1954s 面向曹军大营,
1955s 雷鼓挑战。
1957s 诺。
1958s 丞相,
1979s 将命有敌船来袭。
1980s 大务弥漫,
1985s 武军误众来袭,
1987s 是想把我船引出水寨,
1988s 拒而坚持。
1990s 船命不可营地,
1992s 指令工弩手乱剑设置即可。
1994s 遵命。
1995s 里外,
1996s 从孤军营里调三千工弩手,
2001s 到岸边一起放箭。
2003s 遵命。
2005s 我说,
2022s 离曹军的水寨太近了,
2024s 曹军要冲出来,
2025s 你如何应对啊?
2029s 子敬放心,
2030s 无敌可应。
2032s 曹操的战船,
2033s 根本就不会出来。
2035s 真是剑飞如雨啊。
2078s 草漫上的箭支已经密如蜂巢,
2083s 扎不下了。
2085s 将船调头,
2086s 逼向曹军大寨,
2087s 用船的另一面受箭。
2089s 诺。
2090s 领军师,
2118s 每条船上收到五六千只箭,
2119s 三十条船,
2120s 不下于十二三万只。
2122s 下去吧。
2123s 诺。
2126s 子敬,
2127s 十万只箭交纳给公主,
2129s 另外二三万只,
2131s 算是我额外敬送。
2134s 孔明啊,
2135s 你是如何知道,
2136s 今日会有误啊?
2138s 为将者,
2140s 如不通天文,
2141s 不识地理,
2142s 不知阴阳,
2143s 不晓齐门,
2144s 不观正途,
2145s 不长兵士,
2146s 阴彩。
2147s 三天前,
2148s 我就判定,
2149s 今日会起大误,
2150s 所以才敢接公警的军令。
2153s 孔明啊,
2160s 孔明真乃神人哪。
2167s 拜,
2168s 在下拜。
2169s 不敢,
2170s 真真切切是不敢当了。
2181s 误众补生一想,
2212s 我已猜破断想。
2215s 孔明草船借箭,
2216s 是也不是。
2223s 正是。
2224s 孔明神机妙算,
2237s 我不如他。
2238s 公主啊,
2246s 也是你把他逼的这个份上,
2249s 他才不得不,
2250s 贸然行险啊。
2253s 是想,
2255s 假如今日无误,
2258s 假如,
2259s 曹兵大胆出击,
2262s 他不是死无葬身之地吗?
2264s 公主,
2265s 在下希望你们二人,
2270s 还是同心同德,
2272s 共灭曹飞。
2274s 不要再相争相斗了,
2277s 好吗?
2278s 我应当,
2279s 亲自前去拜谢孔明。
2287s 先生草船借箭,
2293s 堪称千古神算,
2298s 周于敬佩。
2300s 雕虫小技,
2302s 何劳大都督相谢,
2303s 快请。
2305s 军士,
2306s 摆查。
2307s 诺。
