14s 大都督! 大都督!
15s 贼无辜杀我兄长啊,大都督!
18s 京城九部无不切齿痛恨!
21s 我兄弟特来投奔大都督!
23s 为大都督效命!
25s 杀曹贼!
26s 为我兄长报仇啊,大都督!
27s 好,好!
30s 靖乡水军也愿意返曹吗?
33s 大都督!
33s 我俩来之前,你和弟兄们相约!
35s 大家都愿意奉都督号令!
37s 待大战起时,一起返曹!
43s 真是上天助我!
46s 两位兄弟,
47s 请随我进城喝酒去!
48s 好!
58s 恭敬留用蔡氏兄弟了吗?
60s 留下了,
62s 任命为水师将军!
65s 好!
67s 有趣,有趣!
70s 孔明啊,
71s 蔡氏兄弟前来相投,
74s 却没带家眷!
76s 我担心二人是奸细!
79s 奸细好啊!
80s 奸细有奸细的妙律!
82s 有时候,一个奸细能顶十万兵!
87s 正是!
88s 且看公瑾如何用他们吧!
93s 曹操率百万之众,
94s 连赢二百多里,
96s 非一日可后!
98s 先领诸将,
99s 各领三个月粮草!
101s 分发至各营中,
103s 准备持久战!
104s 大都督!
112s 我们屯兵下口,
113s 已快半年了!
114s 始终不见都督有任何动作!
117s 现在,
118s 又要我们再等三个月!
119s 叫我说,
120s 别说三个月!
122s 你就是三十个月!
123s 也无济于事!
125s 如果,
126s 本月能破草金就破了!
127s 本月破不了!
128s 都督还是向主公谢罪请辞吧!
136s 黄盖,
139s 你是想夺我军权吗?
141s 不敢!
143s 都督如果没有破敌之策,
145s 应该另选贤能!
147s 放肆!
148s 如再敢胡言乱语,
150s 军法不容!
152s 周云!
153s 你本是无能之辈,
155s 却擅用狂妖自大,
156s 来欺使道明!
158s 我担心江东六郡要断足在你手里!
161s 老皮肤!
162s 你辱我太甚!
164s 黄老将军!
166s 我随上将军打天下使,
168s 哪有你啊!
169s 如果不是主公宽然为怀,
171s 我等岂容你张罚!
176s 来人!
179s 黄盖看我将力,
180s 乱我军心!
182s 卓将黄盖斩首示众!
184s 即刻执行!
185s 诺!
185s 大都督!
186s 黄盖虽然犯下罪过,
188s 但是战前斩将,
189s 与我军不利啊!
190s 是啊大都督!
191s 收督七度!
192s 黄将军随先生征战多年,
194s 孤不可没!
195s 还是先免了他的死罪吧!
198s 待破了曹军,
200s 再斩不迟啊!
211s 如果不是看在众老将面上,
214s 我真把你!
215s 赵羽!
216s 你要杀便杀,
217s 要砍便砍!
218s 我九泉之下,
220s 也不服你!
222s 屠将军!
223s 急斩!
224s 大都督!
225s 大都督!
225s 大都督!
225s 饶了黄将军!
226s 大都督!
227s 也不服你!
236s 你个无能斩罚!
239s 大都督!
242s 求你饶了他们!
244s 死罪可免,
252s 活罪难赦!
256s 卓将黄盖,
258s 打一百军仗!
259s 罢免一切军职!
261s 谨留新凤!
262s 共锦!
264s 黄将军已年纪六十,
266s 这一百军会下去,
267s 不死也惨啊!
269s 还望共锦,
270s 多宽容他一些吧!
272s 不准!
273s 听令!
274s 痛打一百军仗!
276s 仗掌无虚!
278s 赢仗也不许少!
281s 我死了也不服你!
286s 你什么东西!
288s 岂是盗名之徒!
317s 空明!空明!
319s 紫禁!
320s 你不是去柴桑见吴侯了吗?
322s 我刚刚从柴桑归来,
324s 就听说共锦在大庭广众之下,
327s 把皇公傅老将军打得皮开肉绽死去活来!
331s 我刚才,
332s 才去探望过,
334s 老将军现在已是,
335s 双腿剧断,
336s 惨不忍睹啊!
338s 真断了腿啊?
342s 你唉呦什么呀?
344s 疼啊!
345s 替皇老将军心疼啊!
349s 空明啊!
350s 我听人家说,
352s 共锦在打黄丐的时候,
354s 在场所有的人都苦劝,
356s 唯独你飘然而过,
358s 一言不发,
360s 可有此事啊?
361s 紫禁难为我了,
363s 这是你们东吴自家的事,
365s 你们的将军都劝不下来,
368s 我客居于此,
369s 岂敢多嘴!
371s 此言差矣,
373s 将军们是共锦的部下,
374s 劝也无用,
375s 而你却不然,
377s 你是宾客,
378s 恰恰可以直言相劝啊!
381s 紫禁欺我,
382s 紫禁又欺我!
386s 我怎的欺你了?
389s 我何时欺过你啊?
395s 紫禁难道看不出来,
397s 周瑜打黄丐,
398s 可谓一个怨大,
399s 一个怨哀?
400s 这是大都督的苦肉计啊!
411s 既然你当时已经看出是苦肉计,
414s 那你就更应该相劝他!
417s 为何?
418s 因为你劝了,
420s 共锦才会相信,
421s 你没有试过他的语劝啊!
425s 这个苦肉计,
426s 才会显得更苦,
427s 更痛,
428s 更真切,
429s 共锦才会显得更高明!
437s 对对对,
439s 是我糊涂,
440s 我该劝,
441s 我清高了,
442s 辜负了紫禁一片苦心啊!
448s 为了维护孙柳两家,
450s 联合抗草的大族,
453s 这半年来,
454s 我夹在你们两个人之间,
457s 可以说是口已说破,
459s 心已操碎了,
461s 可你们二位高士呢?
464s 斗法斗得是御家的起劲啊!
467s 我左支右挡,
469s 两头遭罪啊!
472s 可怜我一个愚者,
475s 真是太累,
477s 太累了!
478s 抱歉抱歉,
480s 在下告罪了,
482s 不过紫禁啊,
484s 你切莫谦诚什么愚者,
487s 你才真正是大智若愚啊!
499s 禀丞相,
500s 黄丐受先主厚恩,
502s 本不当怀有二心,
504s 但周虞如子,
505s 狂傲度恨,
507s 作威作福,
508s 有功不赏,
509s 无罪则罚,
511s 与其让江东陷于此辈之手,
513s 不如陷于朝廷,
515s 黄丐久仰丞相,
517s 开诚待物,
518s 虚怀纳士,
520s 丐愿率所部倾城归乡,
523s 及时,
524s 粮草弃蟹也将随传奉运,
527s 黄丐弃学百败。
531s 黄丐,
532s 苦肉计给我下炸乡书,
539s 如此雕虫小计,
541s 岂能瞒得过我?
543s 白亚!
544s 在!
545s 把此人推出去,
546s 斩了!
547s 诺!
548s 丞相!
549s 丞相!
550s 我无罪丞相!
551s 丞相!
553s 启禀丞相,
555s 蔡中蔡禾,
556s 卓密许快传,送来此剑。
558s 念。
560s 蔡禾蔡中百败丞相,
562s 昨日于军仗异兵,
565s 黄丐一夺舟于军权,
573s 被舟于识破,
575s 将罪斩首,
576s 幸得成仆甘宁等老将苦求,
579s 侥幸免死,
581s 重仗一百,
583s 仗义一百,
584s 仗义一百,
586s 敬免死,
587s 重仗一百,
589s 黄丐双腿俱断,
591s 吾军军心惶惶,
593s 末将亲自探得,
594s 甘宁祖茂等老将皆愤愤不平,
599s 亦有反舟于降丞相之心,
603s 因未得丞相允许,
604s 我等尚不敢与其接触,
607s 盼丞相明示,
609s 蔡禾蔡中尚。
615s 舟于少年得志,
620s 焦狂不可一世,
623s 瞬间就不反他那是早晚的事。
632s 丞相,此简如何回复?
635s 告诉他们,
636s 他们暗中联络甘宁祖茂,
641s 大战起时,
642s 一起来想。
644s 遵命。
652s 禀丞相,
653s 末将已把水军战船营寨
655s 全部调询完毕,
657s 请丞相责十月军。
659s 好,
661s 十一月十五日正午,
665s 我会率文臣武将一起前往约军。
671s 末将这就去准备。
673s 把我的眼都看花了。
708s 自从盘古开天地以来,
711s 我曾有过如此雄壮的水军吗?
715s 沃丞相,
716s 便不会有这雄壮的水军。
721s 我起兵二十年来,
723s 为国出凶去暴,
726s 利势扫平四海,
728s 扩清天下。
730s 如今只剩江南为定,
733s 无心不足啊。
737s 为此,
738s 率百万穷师,
740s 八千战船,
741s 替天行道,
743s 收复江南,
744s 承千秋功年。
747s 到了那一时,
751s 我与中卿就可以安享富贵,
755s 欢乐太平了。
757s 成年少,万岁,
758s 皇兄万岁,
760s 家宴席我要靠什么?
776s 我曹操今年五十有四,
814s 追思往西,
817s 获黄金,
822s 擒吕布,
825s 灭袁术,
827s 拜袁绍,
829s 马他塞北,
832s 见敌,
834s 纵横天下,
839s 笑傲苍穹,
841s 此生如此,
845s 夫妇何求?
851s 真生不朝露玉日以抗,
927s 忧思何以解忧杜抗?
940s 听清悠悠沉意,
971s 悠悠执品,
987s 执品,
989s 我有佳宾五色吹笙,
995s 明明何时可多,
1001s 有从终来不可断绝,
1007s 月末渡迁,
1010s 往用相存,
1012s 气阔谈夜,
1015s 新念旧魂,
1019s 月明兴夕,
1022s 吾阙南飞,
1024s 绕树三杂,
1027s 何至何依?
1031s 山不厌高,
1034s 海不厌深,
1037s 州公徒步,
1040s 天下归心。
1044s 小巧你看,
1069s 大疆东去,
1075s 天高地阔,
1076s 好战场啊。
1088s 我家夫君定能在此建立,
1091s 盖世功勋的,
1092s 你突然晕倒,
1137s 到底患了何病啊?
1157s 公秦,
1159s 公秦,
1160s 我的话真是心情肉跳啊。
1230s 先生,
1231s 周郎此病,
1233s 大夫竟查不出是何原因,
1236s 都为之惊骇不已,
1238s 我与他相处多年,
1240s 也从未见他病得如此厉害,
1243s 如此奇怪过。
1250s 天意难料啊。
1255s 我想,
1256s 只怕是周郎心有快乐,
1260s 愚闷难当。
1266s 究竟是为何呢?
1270s 我再三相问,
1272s 他就是不肯说。
1283s 我想有一人,
1286s 他和公秦心心相印,
1289s 生息相通,
1293s 他最知道公秦的心思,
1297s 或许可以把他请来,
1300s 给公秦看看。
1304s 先生说的是,
1306s 诸葛亮?
1311s 医师已经把过脉了,
1314s 竟然断不出公秦所患何病。
1319s 据吕蒙将军说,
1321s 当时公秦正在江边水寨,
1324s 跳往曹军的大营,
1327s 突然江风骤起,
1329s 吹动展起,
1330s 大肚肚凝神看去,
1333s 随后大叫一声,
1335s 口吐鲜血,
1336s 跌倒于地。
1339s 江风骤起,
1340s 督督大叫,
1341s 跌倒于地。
1344s 紫禁,
1345s 当时是什么风向?
1348s 这个季节,
1351s 当然是西北风了。
1354s 西北?
1358s 紫禁,
1360s 公秦这个病,
1361s 在下已知病因,
1363s 在下或许能治。
1367s 你会医病吗?
1369s 天文地理,
1371s 奇门遁甲,
1372s 古今已难,
1373s 人间伤病,
1375s 我无所不通。
1377s 快,
1380s 快随我走。
1381s 先生,
1399s 好些吗?
1403s 这半日来,
1405s 周郎只觉得心腹保障,
1407s 阵阵泛熬,
1409s 头晕目眩,
1411s 浑身酸痛难当。
1416s 我方才去看孔明,
1418s 说到了你的病症,
1420s 他说他能够医治。
1423s 现在正在帐外候着呢。
1425s 我不想让周国梁看见我这副样子。
1442s 大都督,
1457s 坐吧。
1463s 几日不见,
1464s 在下极为挂念,
1466s 不料大都督竟一病如此。
1468s 人有丹蝎护腹,
1473s 又岂能治。
1477s 天有不测风云,
1479s 人又岂能预料。
1481s 都督觉得心中烦闷吗?
1504s 闷哪,
1505s 好像闷着一团火。
1512s 那当用良药解治啊。
1513s 无用啊。
1520s 若是良药无用,
1522s 在下另有一个方子,
1524s 或许能解都督病症。
1527s 那就有劳先生写个方子吧。
1537s 都督请看,
1561s 这便是药方。
1562s 你真是神啊。
1595s 欲破曹宫,
1596s 需用火功,
1598s 万事皆备,
1600s 只欠东风。
1603s 实不相瞒,
1608s 这确实是我的心病。
1611s 龙冬季节,
1614s 长江上只有西北风,
1616s 并无东南风。
1618s 我军如果用火功攻草,
1622s 那么火势一起,
1624s 反而会烧了我自家的战船。
1626s 什么都料想好了,
1635s 就是疏忽了风向。
1638s 先生既然知我病症,
1646s 可有办法治他吗?
1650s 在下虽然才博,
1657s 却有幸识得一位艺人,
1660s 承他恩典授我奇门遁甲之术,
1663s 一旦施其法来,
1665s 便可呼风唤雨。
1672s 当真?
1673s 当真。
1676s 紫禁啊,
1677s 你立刻着人
1678s 在南平山上修建一座奇星潭,
1680s 潭高九尺,方圆三丈。
1683s 令一百二十人手持奇帆,
1685s 将祭潭为定。
1686s 我在潭上做法,
1687s 为恭敬借三天三夜的东南大风。
1691s 何用三天三夜?
1696s 只要能给我借来一夜东风,
1698s 我就能灭曹。
1700s 但是,我急着等风,
1705s 我急着等用风啊!
1707s 大都督,
1708s 今日是十一月十五,
1710s 如果十月二十日,
1712s 甲子启封,
1713s 至二十二日,
1714s 禀吟封旨,
1716s 你看如何呀?
