7s 我要的兵马战船都准备好了吗?
13s 早就备好多日了,只等军师调用。
15s 好。
163s 子龙听令。
165s 你引三千军,渡江后直奔乌龄小道,在卢尾密处埋伏着。
171s 四经以后,曹操必从那里兵败。
175s 待见曹操拜兵至,你点燃卢尾旧式杀出。
179s 曹军即使不能全军覆没,也能杀他一半。
183s 遵命。
185s 你率五千军,渡江后前往夷陵葫芦口来。
189s 曹军被子龙杀过一场之后,必不敢往南面走。
193s 会往北夷陵奔头,你旧式杀出。
197s 就算情不得曹操,这份功劳也是不小啊。
201s 得嘞!
203s 尼方,尼竹,刘丰听令。
205s 你三人各率快船百支,不必攻杀曹军。
210s 我估计你们定能满载而归。
214s 遵命。
216s 公子,刘齐在。
218s 据武昌遗忘之地,最为要紧。
220s 请公子率本部兵马前往武昌城。
224s 但看曹操拜兵,便鼓声大作,出城击杀。
230s 遵命。
232s 主公啊,你我前往梵芦口来。
236s 看周瑜今夜建功。
238s 好极,好极。
246s 军师,那我呢?
248s 哦,关将军啊。
250s 你哪儿都不用去了?
252s 在家歇着。
254s 关某征战多年,身经百战。
263s 每逢战事从未落后。
265s 这些年,我从来都没有落后。
267s 我从来都没有落后。
269s 我从来没有落后。
272s 我从来没有落后。
274s 我从来没有落后。
276s 战事从未落后。
280s 今日之战,百年不遇。
282s 军师为何视我为巫物?
286s 云长啊,我
288s 我本想派给云长一锦腰的爱口。
292s 但有些放心不下,故而不敢用。
296s 为何放心不下?
298s 请军师明言。
300s 曹操兵败之后,必然会走华戎道。
306s 我如果派你去,怕你心软,把曹操放了。
310s 因此不敢派你。
312s 我为何要放他?
314s 曹操当年对你恩深似海。
318s 难道你就不想报答他吗?
320s 军师,你多心了。
322s 关某斩颜良诸文丑,解百马之违。
326s 早已报答过他了。
328s 我们是恩断义绝。
330s 如能撞到,岂敢放他?
334s 如果私下放了又如何?
336s 军法从事。
339s 好!
341s 那请官将军立军令状。
343s 好,我愿立军令状。
347s 如果官某思纵曹操,愿受军法处置。
353s 但如果曹操未从华戎道而来,又该如何?
359s 问得好。
361s 这样吧,我也立下军令状。
365s 如果曹操不从华戎道上来,就罚我军法从事。
370s 好,这天大的功劳,官某算是拿定了。
375s 官平、周桑!
377s 在!
378s 随我出征!
379s 遵命!
380s 关于最终意气,我担心……
390s 主公,我夜观天象,此意曹操命。
396s 曹操命不该举。
398s 既然如此,这份人情就让给官女,也是一件传世美谈。
411s 先生真乃神算子,古今罕见。
414s 罕见。
415s 此意,恍惚我们江东的安危!
425s 所有将士,要翻营杀敌!
428s 各部将领,要身先士卒!
431s 剿灭曹操!
436s 黄将军,都准备妥当了吗?
438s 只等大都督下令,便要拔毛起航!
442s 好,我用两贼的头颅,为将军撞行!
446s 好!
447s 押上来!
449s 走!
451s 走!
454s 快走!
455s 大都督饶命啊!
460s 饶命啊,大都督!
461s 计骑!
465s 出发!
469s 不该约定的归乡信号,天出火焰。
519s 不必败,孙全活不了几日了。
526s 这船体过于轻浮,不像是满载粮草和兵器的船啊!
559s 用箭射住,不准靠近!
561s 放箭!
562s 给我点火!
1154s 出的沙声中,判断出三江口的战况。
1158s 遵命。
1161s 沙声之中,吴军的谷号浓密,曹军的呼喊杂乱。
1171s 其中,还夹杂着战马重剑的长厮,
1175s 和将士临死前的痛号,学生判断。
1181s 周瑜的大军已经攻破曹营,曹军正在溃败。
1185s 三江口,大局已定。
1188s 不错,曹操终于败了。
1194s 可是先生,好像并不欢喜。
1201s 何以见得?
1206s 恕学生直言,先生恐怕是在为一个人而担忧。
1214s 我担忧什么?
1216s 先生是在为曹操而待命。
1218s 我为什么要为曹操待命?
1220s 先生所虑的,不是曹操会不会死,
1228s 而是曹操能不能活。
1231s 如果曹操死在关将军之手,
1236s 那么此后,我们便和曹氏后裔结下了不共待天之仇,
1241s 成为他们的头号大敌。
1244s 尤长,你让我刮目相看。
1252s 小的,小的实在扛不动了。
1283s 你当了多久的掌机兵了?来!
1286s 回丞相,小的,小的跟你十年了。
1290s 那你应该知道,头可断,人可亡,帅气不能丢。
1295s 小的,小的知道。
1299s 胜败乃兵家常事,失败并不可怕,可怕的是心疾而败了。
1306s 这是何处?
1314s 丞相,乌林之西,一渡之北啊。
1321s 丞相为何发笑啊?
1324s 我笑,我笑周虞无谋,诸葛愚蠢。
1329s 为何?
1330s 你们看,此处山势险峻,乃兵家生死之地。
1339s 如果能在此处预先埋伏一支伏兵的话,
1343s 我等插尺难逃。
1346s 这回虽然他们侥幸取胜了,
1348s 不过是一介匹夫殊胜儿。
1351s 吴祖历,吴祖历!
1353s 照左方军师下令,再次等候多时。
1358s 丞相,快!
1361s 派出了六路兵,却独一缺,西北一缺。
1375s 吴军攻破曹营后,本可以将曹操射杀。
1379s 然而,却让曹操于重围之中脱身遁去。
1385s 我猜想,
1387s 为何周瑜要把曹操的大功劳交给主公?
1393s 为什么?
1394s 周瑜是故意把曹操驱赶到我军前,
1402s 让曹操死于我军之手。
1405s 让曹氏把这笔仇恨寄给主公。
1409s 江东不仅可以获得胜利,
1413s 更可以在今后旁观我主和曹氏之间的拼杀他坐收余翁之力。
1420s 先生,我说错了吗?
1435s 不,你说对了。
1438s 尤长,想不到你未见周瑜,竟能看破周瑜心计。
1446s 这营中怕是找不出第二个人了。
1449s 谢先生夸奖。
1451s 但你并没有到处我们真正可游之处,却过于喜悦。
1455s 还请先生教我。
1458s 曹操大败之后元气大伤,数年之内不敢动了。
1464s 而东吴大胜之后,实力大增。
1468s 他还会与我们亲密为盟,还会像以前那样对我们吗?
1473s 卧榻之策岂容杭人。
1476s 周瑜定想趁此机会夺取荆州九郡,
1480s 之后吸取古川,成天下霸业。
1484s 尤长啊,敌与友是相互变化的。
1488s 今日之敌很可能成为明日之友,
1491s 今日之友也可能成为明日之敌。
1495s 就是我在东吴帮周瑜抗曹时,
1499s 周瑜还几次三番想要杀我,为东吴消除后患。
1503s 若非鲁素阻止,我恐怕早就死在宫井之手了。
1508s 是吗?
1510s 我还要告诉你的是,
1512s 鲁素之所以阻止周瑜害我,
1515s 其意也并非出于心善,并非为了救我,
1518s 而是为了救孙刘联盟,救他江东。
1527s 学生提狐贯地,大梦方觉。
1534s 我们现在最要紧的并非此意的胜败,并非曹操的生死,
1540s 而是如何取下荆州,如何对付即将变脸的东吴。
1545s 王!王!
1570s 卖灵!卖灵!
1571s 站住他们!站住!
1578s 王一文,让他走吧。
1584s 要都跑了,那谁来保护成县了?
1590s 吓破了胆的军士,再多也无用。
1594s 金公之鸟,任其自去,该走的都走了。
1624s 还有二十七个人。
1629s 苍天后代啊,还给我留了二十七个人。
1639s 想当年,我行刺董卓未遂,
1645s 披马逃出京城,东作西藏,何其狼狈。
1651s 可是短短几年工夫,
1654s 我就擒起了一面王旗,招募了蒙氏百万。
1660s 到今日,竟然还有二十七个中心根根的将士。
1669s 还有什么可仇的?
1675s 苍天不负我,我也绝不会辜负这片苍天的。
1690s 丞相,启行吧。
1711s 丞相,刚才大孝引来了赵子龙,
1716s 现在又为何发笑啊?
1719s 我还是孝周于无母,诸葛短治。
1727s 你们看此间地势,宛如一只葫芦口。
1737s 如果是我用兵,必定会在此处埋下一支伏兵。
1743s 不需多,五百天气足矣,我等必死无疑。
1751s 由此看来,周于,诸葛亮,匹夫而已,皆不足成。
1805s 丞相投赐大孝,引来了赵云。
1809s 二次大孝,引来了张飞,几乎使我们丧命啊。
1815s 在下赶紧,丞相,不要再笑了。
1820s 我明白了,我一切都明白了。
1824s 丞相明白什么了?
1826s 你们想想,咱们身后一直有周于的数据。
1831s 为什么他们一直屡屡破镜,却一直没有乱剑齐发?
1839s 还有,为什么他们一直是古生大作,却不拼力为杀我们?
1846s 为什么?
1847s 为什么呢?
1848s 因为周于想把我赶到刘备的地盘去,借刘备至少杀我。
1855s 这样刘备就成了我们北军的大敌。
1860s 而东吴就可以躲开我们复仇的利剑,鱼翁得利。
1866s 可是赵云和张飞也是指节而不及啊。
1872s 他们只顾掠夺兵器和马匹啊。
1876s 那是因为诸葛亮也识破了周于。
1880s 他也想把我赶到东吴的地盘上去,借东吴的手来杀我。
1886s 孙刘联盟,是则各怀鬼胎啊。
1893s 丞相所言极是啊。
1895s 由此可见,孙刘联盟长不了,我曹操也死不了。
1903s 周围虽然遍布杀鸡,在我曹操最安全。
1909s 我可以断言,诸位一定可以毫发无损地跟我回到南军大营。
1916s 这也算是对你们忠诚的回报吧。
1923s 丞相英明啊。
1925s 丞相,逃兵遭到了律师。
1931s 丞相英明啊。
1938s 丞相,逃兵遭到了律师,领土的监杀都死了。
1943s 看见了吗?看见了吗?去我去者就是自寻绝路。
1950s 丞相,下命令吧,我们该怎么办?不要慌。
1955s 承玉。
1958s 在。
1959s 你说。
1960s 丞相,这里是三岔口啊,此去南军有两条道。
1967s 左边是大道,道路平坦,却远五十里。
1973s 右边是华融道,道路崎嶇,却近五十里。
1980s 丞相,华融道上也有风烟飘起啊,大道上反而很平静。
1988s 走华融道。
1993s 华融道上有伏兵啊。
1995s 虚者识之,识者虚之。
1998s 虚虚实实,用兵之道。
2002s 华融道上的风烟不是伏兵,是故作夷兵。
2007s 楚歌亮的雕虫小技岂能瞒得过我。
2011s 走。
2013s 丞相,为何不走了?
2046s 丞相这批火焰狙极有灵性。
2049s 遇到猛兽大虫,或是狄青,就会地名报警。
2063s 他来了。
2064s 谁?
2065s 你们想想,连日来孙柳的猛将军已出现,唯有一人没有出现,这人是谁?
2075s 关羽?
2076s 变过丞相。
2114s 将军,别来无恙。
2116s 在下尚好。
2119s 丞相,关羽奉军师将令,在此专候。
2126s 军长,隔着树里,我都能感觉到你长刀上的含义。
2135s 自许昌一别,我常在梦中见到将军。
2141s 总是盼望着何年何月能与你八九言欢。
2147s 没想到,相逢却是在这穷途末路之中。
2154s 丞相,下马吧。
2159s 虽然是个小兵,但不会让你受苦。
2162s 军长,你忘了我们以前的交情了吗?
2167s 丞相,我永远不会忘记以前的恩典。
2171s 只是,展颜良和朱文丑已经报答过丞相。
2176s 今天我们相遇,我怎么敢与他相争?
2181s 那么你也忘了过五官斩六将的事吗?
2185s 你杀了我那么多的将军。
2188s 我让你过将,不要为难你。
2192s 让你兄弟三人团圆。
2195s 军长,我们有高山流水之情,
2216s 但我们必须在战场上成为敌人。
2219s 人生的痛苦不过死。
2222s 我已经被打败,我已经是孤家寡人。
2228s 我已经被打败,我已经是孤家寡人。
2231s 我已经被打败,我已经是孤家寡人。
2234s 不过,你必须听我一声。
2237s 我曹操,生当豪杰。
2258s 死亦鬼凶,断不堪忍受。
2263s 除求之辱。
2266s 如果,云长,
2269s 在昔日的交情份上,
2272s 请指使剑斩我头颅。
2276s 丞相!
2279s 能死在将军这样的大英雄手下,
2282s 此生无憾!
2284s 丞相!
2286s 丞相执意要死,我们绝不独生!
2291s 说什么?
2292s 云长是盖世英雄,
2298s 尔等如此孤寂,
2300s 岂不是让将军为难吗?
2302s 丞相执意要死,我们绝不独生!
2314s 云长,我知道你心里不想杀我,
2320s 但是,军命不可。
2323s 你杀我,我不怪你。
2329s 九泉直下,寒宵相望。
2333s 等着,与你把酒言缓。
2337s 请用剑吧。
2370s 父亲,你遛过军令状的。
2373s 散开!
2374s 快散开!
2378s 全军散开!
2385s 走!
2388s 走!快上马!
2462s 两军交战,
2464s 各为其主。
2466s 我走了,你怎么办?
2468s 刘备和孔明,
2470s 不会饶过你。
2472s 就算他们饶过你,
2474s 江东的周瑜和孙全,
2477s 也不会依你。
2495s 你费心了。
2497s 我不能走!
2498s 哄他走!
2499s 诺!
2503s 我不能走啊!
2504s 云长!
2506s 我们如何向军师交代啊?
2542s 不可!
2543s 父亲!
2545s 面禁军师。
2551s 将军!
2552s 父亲!
2554s 该回营,
2572s 直面军师。
2576s 下我这颗头,
2578s 以正军法,以正军威。
