4s 来人呐,在。
6s 去城里看看,是否还有曹军。
8s 诺。
29s 禀报大都督,城内空无一人,一个敌军都没有了。
31s 进城。
39s 太紧了,紧得不像是真的。
96s 我们已经中了敌方的埋伏。
104s 你们别慌,
106s 慢慢退出去。
108s 慢慢退,千万不能乱。
113s 极难愈合,
408s 百日之内,大都督
410s 定要安心静养,不可动怒。
412s 若是怒气冲击,
414s 伤口迸发,
416s 后果不堪设想啊。
420s 进城我军,
433s 不要瞒着我。你是多少?
442s 有五千人吧。
449s 大都督,
453s 你不可动怒啊,
455s 伤口又出血了。
457s 咱们暂且先退兵,
466s 回复吴侯,
468s 再做理会。
489s 对江东符合,向主公交代。
493s 再说了,
495s 诸葛亮有约在先,
502s 举不下南郡的时候。
509s 毕竟是身负重伤啊,
521s 就怕。
523s 这曹军在外头骂阵嘛,
534s 国捉我周华。
558s 东东,你不能再动怒了。
560s 伤口又出血了。
562s 主公,军师,南郡消息到了。
586s 曹人设计诈败,
588s 将吴军诱入南郡城中,
590s 在甕城将周瑜射伤。
592s 吴军大败,紧闭营门不出。
594s 曹军正日已在吴军大战门前
596s 逃敌骂阵。
600s 这曹人果然是智勇双全的上将啊。
602s 连周瑜都打败了。
604s 周瑜伤势如何?
608s 探子传回消息说,
610s 伤势急重,已经卧床不起了。
612s 如此看来,
616s 东吴这次取南郡
618s 是无功而返喽。
620s 孔明,
622s 那我们现在该进郡吗?
624s 主公啊,
629s 我看
631s 我们还是再等几日为好。
633s 我太明白周瑜了。
635s 他只要还剩一口气,
637s 就断然不会服输的。
639s 是军中正在操练士卒。
680s 骗我做甚?
682s 在外那些曹兵,
687s 早就叫骂半天了,
689s 听得清清楚楚。
692s 你们这些战家,
694s 就这么任敌军销政吗?
698s 孔静,
700s 我这事出于无奈啊。
702s 曹人刚错我兵风,
704s 此时,
706s 气焰正盛。
708s 我们准备暂时避起风浪。
710s 等你的伤势好些再说。
712s 都督!
718s 都督!
720s 都督!
730s 国家大使,
734s 拿我战甲来!
736s 都督,
738s 你的伤势未好,
740s 千万不可接战哪!
742s 大丈夫即使军录,
744s 就该死于战场,
749s 以马革骨尸环,
751s 都督,
753s 不能去,都督,
759s 杀出迎门。
761s 都督!
771s 你想娶我的南郡吗?
773s 为什么像乌龟一样,
775s 怕着不动呢?
792s 谁敢拿下曹人?
796s 末将去拿她,战将羞狂,
830s 你呢?
832s 我给你找了个好菜式,
834s 你只配给丞相羊马,
838s 给我曹人几酒。
849s 我 failure。
902s 周瑜气死了
908s 我就骂了几句破谜话呀
916s 辛雄太狭隘
918s 中了毒箭
920s 还死撑着应战
926s 周瑜尸体
928s 赏万斤
937s 清除这屌壶
954s 军师
955s 曹人急攻东吴大战
957s 周瑜带伤出战
958s 箭伤并肋而亡
960s 东吴大军全军举效
961s 空胜一片
971s 周瑜死了
974s 真让人不敢相信
976s 如此天纵之才
977s 竟然死了
980s 主公
981s 周瑜
983s 定是诈死
984s 何以见到
986s 周瑜如果死了
989s 程浦定会遣人来
990s 求我们与他合兵一处
992s 防止曹军趁势追击
995s 避免全军覆没
996s 可是到现在
998s 既不见有人来报丧
999s 也不见有人来求救
1001s 足见
1002s 这是周瑜演的一出戏
1006s 他在南郡城
1008s 受了曹人的埋伏
1009s 吃了一个大苦头
1011s 现在要用曹人
1013s 去劫他的大营
1014s 还他一个福机
1020s 那
1022s 我们该怎么办
1026s 主公
1028s 派一支轻计
1029s 坚诚赶往南郡城以东
1031s 待曹人出城之后
1033s 趁需夺下城池
1035s 我们这么做
1042s 不合适吧
1044s 人家血仗了这么多天
1046s 折了这么多人马
1049s 我们这么做太不仁义了
1052s 跟周瑜能讲仁义吗
1055s 主公难道忘了
1056s 他上次在这儿说什么来着
1058s 乱世之中
1060s 最珍贵的就是土地城池
1063s 我们势力越大
1086s 城池越多
1087s 周瑜才会越尊重你
1089s 反之
1090s 如果我们始终处于
1091s 孤寡弱小的话
1093s 东吴都不会看上我们一眼
1095s 早晚有一天
1098s 会抛弃我们
1100s 甚至消灭我们
1122s 你头疼
1127s 这几天风寒
1129s 怕是着凉了吧
1133s 来人
1134s 阿布
1138s 我到后章歇息
1140s 军师
1142s 军务师
1144s 一概由你做主吧
1170s 传子龙将军
1171s 诺
1188s 敌兵果然是兵无斗志
1192s 防备也那么细松
1194s 弟子们 给我上
1195s 上
1224s 我们中计了
1246s 曹人是清朝而出
1248s 我想
1249s 城内应该没有几个人
1250s 应是如此
1254s 大都督
1255s 你看
1255s 曹人好像引军攻打西寨去了
1258s 他想突出去
1259s 就让他突出去吧
1262s 这样的酒囊饭袋留给曹操
1265s 往后曹操有的是败仗的事
1268s 眼下最要紧的是南郡跟荆州
1271s 传我将令
1273s 各营立即整顿兵马
1275s 北上攻取南郡
1300s 你还健在呀
1301s 末将恭喜了
1303s 赵云
1305s 我家军使得到消息
1306s 说是贵军中了埋伏
1308s 损失惨重
1309s 连都督都阵亡了
1311s 为防曹贼进军
1313s 派在下取了南郡
1315s 以拒曹贼啊
1317s 我血沾月雨
1320s 儿等却背信弃义
1321s 暗示手脚夺我城池
1324s 都督言重了
1326s 你可是有言在先的
1328s 若是你取不下南郡
1330s 便由我家主公来取
1332s 大都督
1342s 大都督
1343s 大都督
1344s 大都督
1344s 大都督
1345s 大都督
1346s 大都督
1347s 大都督
1352s 大都督
1355s 下令吧
1356s 我这就攻杀南郡
1424s 军情嘛
1424s 不着急
1425s 当我军与曹人立战之时
1438s 祝贵亮派赵云
1439s 亲率兵马
1440s 攻取了南郡
1442s 擒获了守将陈娇
1444s 夺得了曹人的兵符
1446s 他们兴业
1448s 调取了附近的守军
1450s 前来救南郡
1453s 却叫张飞
1454s 夺取了一城
1455s 关羽
1456s 夺取了另一城
1459s 因此
1460s 荆州的南郡等三座城池
1463s 皆在刘备之手
1467s 大都督
1468s 大都督
1469s 大都督
1470s 大都督
1471s 大都督
1471s 大都督
1472s 大都督
1473s 你千万别动怒啊
1474s 我要将你碎尸万段
1519s 不要动怒啊
1520s 派尚书主公
1528s 增调三万兵马来驻战
1536s 二十日之内
1538s 我誓将景湘夺回东吴
1541s 快去办
1563s 诺 将提办
1567s 刘表去世后
1656s 这块地盘一直虚稀一带
1659s 今日
1660s 总算迎来了真正的主公
1667s 我等漂泊多年
1669s 一直寄人李下
1671s 今儿
1671s 总算有自个儿的地盘了
1674s 哥呀
1675s 来
1676s 坐下
1677s 让咱瞧瞧
1684s 孔明啊
1687s 咱们趁周瑜不备
1689s 得了荆州
1692s 事情虽是无奈
1695s 但多少有些力亏
1698s 主公担心什么
1701s 江东折了那么多兵马
1704s 周瑜又受了重伤
1708s 可城池
1710s 尽落于我手
1712s 我不担心曹操会行兵报复
1716s 我只担忧
1718s 周瑜会咽不下这口气
1722s 你怕他做事
1724s 有俺张飞在呢
1726s 如果那周郎小儿敢来寻仇
1729s 你瞧我
1730s 戳他几个脱名窟窿
1731s 三弟
1733s 李执则能气壮
1735s 李在人家那儿
1738s 再说
1739s 东吴雍兵十万
1741s 我们只有两万人马
1743s 真的要打起来
1744s 哪里是人家的对手
1748s 更重要的是
1750s 玉城大业
1752s 不能单靠兵马刀强
1755s 仁义
1756s 才能征服天下人心
1760s 主公怕失了仁义
1762s 我倒有个方法
1764s 可让主公无忧
1766s 先生请讲
1768s 周瑜并不恨主公
1770s 恨的乃是孔孺吧
1772s 只要主公把我交给周瑜
1774s 他定会转怒为喜
1776s 把我点了天灯
1778s 这叫什么话
1779s 我就算不要京乡
1781s 也万不能失去先生
1788s 主公请放心
1789s 两年之内
1791s 不会有人赶来跟主公争京乡
1794s 而两年之后呢
1795s 我军将一发强大
1797s 兵士更少
1798s 那时他们想争也争不动
1805s 周瑜的兵马
1806s 现在扔住砸在南郡城下
1808s 巨弩长枪以门而立
1812s 过不了几日
1814s 他便会引兵还武
1817s 你何出此言
1821s 我这么说吧
1823s 一家有三兄弟
1825s 最好做人的往往是老三
1827s 最难做的往往是老二
1830s 曹操虽然经历了赤壁之败
1833s 但他仍是天下老大
1835s 老二是谁
1837s 东吴
1839s 主公勉强可称为老三
1842s 曹操要一统天下
1843s 便要灭了东吴
1845s 因此从东吴的角度看
1848s 他最厉害的敌人不是我
1850s 仍是曹操
1853s 眼下周瑜遭挫受辱
1856s 恼羞成
1857s 却是恨透露了我
1859s 尤其是我
1862s 而孙权和鲁肃却是明白
1865s 他们两眼一直盯着天下大局
1868s 我料定他们定会想方设法
1871s 阻止周瑜和我们交兵
1875s 再者
1876s 我们立足荆州之后
1878s 便成了曹操的大患
1879s 也因此分担了东吴的三分北患
1883s 所以
1885s 荆州之势
1887s 对东吴来说是气
1889s 消除北患
1890s 对东吴来说是喜
1892s 这一气一喜
1894s 他们也就释怀了
1899s 那还有呢
